eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,nucleusRecoilEnergy,timeOfFlight,detector,
587,1019,5,13,0,1,0,0,0,131.509,A1,
525286,1527,14,14,0,1,0,0,0,75.1608,A2,
525944,1252,3,7,0,1,0,0,0,128.761,A0,
526092,2654,5,14,0,1,0,0,0,64.5683,A3,
527440,666,10,9,0,1,0,0,0,136.571,A1,
532115,1100,15,24,0,1,0,0,0,63.5186,A6,
533127,2068,10,15,0,1,0,0,0,59.1519,A3,
535446,677,5,5,0,1,0,0,0,74.798,A2,
536542,911,13,10,0,1,0,0,0,59.8375,A3,
538842,1472,19,31,0,1,0,0,0,67.4602,A7,
540354,1829,21,24,0,1,0,0,0,62.6665,A6,
542946,1296,8,15,0,1,0,0,0,61.6842,A3,
543872,1126,11,5,0,1,0,0,0,68.7364,A2,
545244,2559,13,19,0,1,0,0,0,58.4723,A3,
545891,2269,24,25,0,1,0,0,0,66.5272,A7,
547269,1281,13,24,0,2,0,0,0,65.7611,A4,
549187,864,6,4,0,1,0,0,0,69.9933,A2,
549278,2294,22,19,0,1,0,0,0,66.9616,A5,
549855,1976,23,29,0,2,0,0,0,68.3553,A5,
551020,1971,21,27,0,1,0,0,0,64.6107,A6,
553330,1805,26,25,0,1,0,0,0,66.0974,A6,
554885,793,12,14,0,1,0,0,0,63.4991,A3,
557482,3166,9,9,0,1,0,0,0,59.7269,A3,
558364,1834,26,35,0,1,0,0,0,67.4108,A7,
564077,1036,8,24,0,1,0,0,0,67.3737,A5,
568408,1697,8,12,0,1,0,0,0,78.2514,A2,
568420,1890,11,10,0,1,0,0,0,127.377,A0,
571572,3191,16,23,0,1,0,0,0,61.6855,A7,
571834,2097,6,16,0,1,0,0,0,130.41,A1,
574756,821,9,13,0,1,0,0,0,68.822,A2,
576573,1732,3,5,0,1,0,0,0,127.626,A0,
586255,885,16,18,0,1,0,0,0,64.6851,A6,
589040,2163,12,13,0,1,0,0,0,61.9506,A3,
