eventID,numReachedDown,numReachedUp,numPE,
0,0,0,0,
1,1773,621,2394,
2,2156,300,2456,
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,1397,766,2163,
7,0,0,0,
8,7658,2771,10429,
9,0,0,0,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,311,4149,4460,
21,2171,1805,3976,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
27,0,0,0,
28,0,0,0,
29,0,0,0,
30,0,0,0,
31,0,0,0,
32,0,0,0,
33,0,0,0,
34,0,0,0,
35,0,0,0,
36,407,148,555,
37,0,0,0,
38,0,0,0,
39,280,2636,2916,
40,0,0,0,
41,0,0,0,
42,0,0,0,
43,4504,5469,9973,
44,0,0,0,
45,0,0,0,
46,1253,2073,3326,
47,0,0,0,
48,627,756,1383,
49,0,0,0,
50,0,0,0,
51,0,0,0,
52,0,0,0,
53,131,231,362,
54,0,0,0,
55,1100,2156,3256,
56,0,0,0,
57,0,0,0,
58,0,0,0,
59,0,0,0,
60,1720,1034,2754,
61,0,0,0,
62,0,0,0,
63,0,0,0,
64,1636,2521,4157,
65,1235,266,1501,
66,0,0,0,
67,0,0,0,
68,3320,291,3611,
69,2591,1576,4167,
70,0,0,0,
71,2392,4796,7188,
72,0,0,0,
73,3626,782,4408,
74,0,0,0,
75,0,0,0,
76,0,0,0,
77,0,0,0,
78,0,0,0,
79,0,0,0,
80,0,0,0,
81,0,0,0,
82,0,0,0,
83,0,0,0,
84,342,1432,1774,
85,2843,1254,4097,
86,0,0,0,
87,3841,6490,10331,
88,0,0,0,
89,3200,953,4153,
90,0,0,0,
91,0,0,0,
92,0,0,0,
93,0,0,0,
94,4232,8532,12764,
95,0,0,0,
96,0,0,0,
97,0,0,0,
98,1238,1085,2323,
99,1148,934,2082,
100,346,701,1047,
101,0,0,0,
102,0,0,0,
103,0,0,0,
104,0,0,0,
105,1700,1295,2995,
106,0,0,0,
107,0,0,0,
108,253,931,1184,
109,1458,1021,2479,
110,0,0,0,
111,1049,1405,2454,
112,0,0,0,
113,0,0,0,
114,0,0,0,
115,1814,1217,3031,
116,0,0,0,
117,0,0,0,
118,0,0,0,
119,499,5562,6061,
120,3043,7210,10253,
121,0,0,0,
122,0,0,0,
123,1063,1012,2075,
124,0,0,0,
125,0,0,0,
126,0,0,0,
127,0,0,0,
128,0,0,0,
129,1915,9049,10964,
130,0,0,0,
131,0,0,0,
132,0,0,0,
133,0,0,0,
134,1216,530,1746,
135,0,0,0,
136,0,0,0,
137,729,932,1661,
138,0,0,0,
139,0,0,0,
140,0,0,0,
141,0,0,0,
142,368,1011,1379,
143,4881,3378,8259,
144,0,0,0,
145,0,0,0,
146,2293,5519,7812,
147,0,0,0,
148,0,0,0,
149,4495,5661,10156,
150,2983,1157,4140,
151,1391,6448,7839,
152,149,167,316,
153,0,0,0,
154,1267,7393,8660,
155,0,0,0,
156,0,0,0,
157,0,0,0,
158,0,0,0,
159,1466,1768,3234,
160,944,1380,2324,
161,0,0,0,
162,0,0,0,
163,0,0,0,
164,0,0,0,
165,0,0,0,
166,0,0,0,
167,328,1945,2273,
168,0,0,0,
169,2948,3079,6027,
170,0,0,0,
171,0,0,0,
172,317,203,520,
173,0,0,0,
174,0,0,0,
175,0,0,0,
176,0,0,0,
177,150,224,374,
178,3717,4116,7833,
179,1001,116,1117,
180,0,0,0,
181,0,0,0,
182,0,0,0,
183,0,0,0,
184,363,1387,1750,
185,0,0,0,
186,0,0,0,
187,0,0,0,
