eventID,ExtScatter,CryoScatter,innerLayerScatter,outerCellScatterAngle,CryoScatterAngle,outerCellEDep,CryoEDep,innerLayerEDep,numElasticSensitive,numInelasticSensitive,
0,1,0,0,0,0,0,0,0,0,0,
1,4,1,0,1.39596,0.285353,0,0,0,0,0,
2,2,0,1,1.55072,0,0,0,0,1,0,
3,1,2,0,0.415494,0.529384,0,0,0,0,0,
4,1,0,0,0,0,0,0,0,0,0,
5,2,0,0,1.49012e-08,0,0,0,0,1,0,
6,5,1,0,0.955026,2.69235,0,0,0,0,0,
7,2,1,0,1.09981,0.486139,0,0,0,1,0,
8,2,0,0,1.49012e-08,0,0,0,0,0,0,
9,0,0,1,0,0,0,0,0,0,0,
10,1,0,0,0,0,0,0,0,0,0,
11,2,0,0,0.757216,0,0,0,0,0,0,
12,3,0,0,0.493124,0,0,0,0,2,0,
13,9,1,0,0.695128,0.583235,0,0,0,1,0,
14,1,0,0,0.499249,0,0,0,0,0,1,
15,0,2,0,0,0.717263,0,0,0,0,0,
16,2,1,0,0.898474,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,3,0,
18,1,0,0,0.556203,0,0,0,0,0,0,
19,3,0,0,0.157561,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,0,1,1,
21,1,0,0,0.285827,0,0,0,0,0,0,
22,1,0,0,2.56267,0,0,0,0,0,0,
23,1,0,0,2.18698,0,0,0,0,1,0,
24,3,0,0,0.32556,0,0,0,0,0,0,
25,1,0,0,0,0,0,0,0,0,0,
26,2,0,0,0.605891,0,0,0,0,0,0,
27,3,0,1,0.337437,0,0,0,0,0,0,
28,0,4,0,0,0.448124,0,0,0,0,0,
29,4,0,0,0.306505,0,0,0,0,0,0,
30,0,0,1,0,0,0,0,0,0,0,
31,0,0,0,0,0,0,0,0,0,0,
32,1,0,0,2.10734e-08,0,0,0,0,1,0,
33,1,0,0,0.432727,0,0,0,0,0,0,
34,1,0,0,0,0,0,0,0,0,0,
35,0,0,0,0,0,0,0,0,0,0,
36,2,0,0,0.530857,0,0,0,0,2,0,
37,3,0,0,2.08917,0,0,0,0,0,0,
38,4,0,0,0.770948,0,0,0,0,2,0,
39,2,0,0,0.755056,0,0,0,0,2,0,
40,2,0,0,0.479311,0,0,0,0,0,0,
41,3,0,0,0,0,0,0,0,0,0,
42,5,0,0,2.15145,0,0,0,0,0,0,
43,1,0,0,0.538662,0,0,0,0,0,0,
44,2,0,0,0.56534,0,0,0,0,0,0,
45,4,0,0,0.733562,0,0,0,0,0,0,
46,1,0,0,2.0682,0,0,0,0,0,0,
47,3,0,0,nan,0,0,0,0,1,0,
48,6,0,0,2.30954,0,0,0,0,0,0,
49,7,0,0,0.366931,0,0,0,0,0,0,
50,0,0,0,0,0,0,0,0,0,1,
51,3,0,0,1.20303,0,0,0,0,0,0,
52,3,1,0,0.71286,0.470624,0,0,0,1,0,
53,2,0,0,0,0,0,0,0,0,0,
54,6,0,0,0.564655,0,0,0,0,1,0,
55,1,1,0,3.03029,0.657621,0,0,0,0,0,
56,5,0,0,0.891915,0,0,0,0,0,0,
57,4,0,0,2.16633,0,0,0,0,0,0,
58,0,0,0,0,0,0,0,0,0,1,
59,1,0,0,1.34598,0,0,0,0,1,0,
60,4,0,0,0.624567,0,0,0,0,1,0,
61,3,0,0,1.49012e-08,0,0,0,0,0,0,
62,3,0,0,0.760035,0,0,0,0,1,0,
63,0,0,0,0,0,0,0,0,0,0,
64,3,0,0,2.10734e-08,0,0,0,0,1,0,
65,0,0,0,0,0,0,0,0,0,1,
66,3,0,0,0.54624,0,0,0,0,1,0,
67,0,0,0,0,0,0,0,0,0,1,
68,5,1,0,2.51768,0.709746,0,0,0,0,0,
69,1,0,0,0.271456,0,0,0,0,2,0,
70,1,0,0,0.639002,0,0,0,0,0,0,
71,0,0,0,0,0,0,0,0,0,0,
72,7,0,0,1.03063,0,0,0,0,0,0,
73,1,1,0,1.48953,0.513494,0,0,0,0,0,
74,6,0,1,2.66507,0,0,0,0,1,0,
