eventID,Type,
0,external_interaction,
2,single_elastic,
3,external_interaction,
6,single_elastic,
10,external_interaction,
12,single_elastic,
14,external_interaction,
15,elastics_plus_nnprime,
16,single_elastic,
17,single_elastic,
18,single_elastic,
19,single_elastic,
20,external_interaction,
21,external_interaction,
23,external_interaction,
24,multiple_elastic,
25,external_interaction,
26,external_interaction,
28,elastics_plus_nnprime,
30,single_elastic,
31,single_elastic,
32,single_elastic,
36,multiple_elastic,
37,external_interaction,
40,single_elastic,
41,single_elastic,
42,elastics_plus_nnprime,
43,multiple_elastic,
44,external_interaction,
45,nnprime,
46,external_interaction,
51,nnprime,
52,external_interaction,
60,elastics_plus_nnprime,
61,external_interaction,
62,multiple_elastic,
63,external_interaction,
64,single_elastic,
65,single_elastic,
68,external_interaction,
69,external_interaction,
71,single_elastic,
72,multiple_elastic,
76,single_elastic,
77,nnprime,
78,external_interaction,
79,elastics_plus_nnprime,
80,elastics_plus_nnprime,
82,multiple_elastic,
84,multiple_elastic,
85,external_interaction,
86,single_elastic,
88,single_elastic,
89,multiple_elastic,
90,single_elastic,
91,single_elastic,
92,single_elastic,
93,external_interaction,
98,single_elastic,
99,single_elastic,
100,single_elastic,
102,external_interaction,
103,external_interaction,
105,multiple_elastic,
106,single_elastic,
107,single_elastic,
108,single_elastic,
110,multiple_elastic,
111,external_interaction,
112,external_interaction,
114,external_interaction,
115,external_interaction,
116,single_elastic,
117,single_elastic,
119,external_interaction,
121,single_elastic,
122,single_elastic,
124,external_interaction,
125,single_elastic,
126,single_elastic,
127,single_elastic,
128,nnprime,
130,single_elastic,
131,external_interaction,
132,external_interaction,
135,single_elastic,
137,external_interaction,
138,multiple_elastic,
139,single_elastic,
140,multiple_elastic,
142,single_elastic,
143,single_elastic,
148,single_elastic,
150,external_interaction,
151,single_elastic,
152,single_elastic,
155,nnprime,
157,elastics_plus_nnprime,
158,nnprime,
159,external_interaction,
161,elastics_plus_nnprime,
162,single_elastic,
163,external_interaction,
165,external_interaction,
169,external_interaction,
171,external_interaction,
172,external_interaction,
175,multiple_elastic,
176,external_interaction,
177,external_interaction,
178,external_interaction,
180,single_elastic,
181,single_elastic,
183,single_elastic,
185,external_interaction,
186,single_elastic,
187,external_interaction,
189,external_interaction,
192,nnprime,
196,external_interaction,
197,single_elastic,
198,single_elastic,
201,single_elastic,
202,external_interaction,
203,external_interaction,
205,external_interaction,
206,single_elastic,
207,external_interaction,
208,nnprime,
209,external_interaction,
210,single_elastic,
211,external_interaction,
212,nnprime,
213,external_interaction,
214,single_elastic,
215,external_interaction,
216,single_elastic,
217,single_elastic,
218,external_interaction,
219,external_interaction,
220,external_interaction,
221,external_interaction,
222,multiple_elastic,
226,external_interaction,
227,nnprime,
229,external_interaction,
232,single_elastic,
234,elastics_plus_nnprime,
237,single_elastic,
238,external_interaction,
239,single_elastic,
240,external_interaction,
242,multiple_elastic,
243,external_interaction,
247,single_elastic,
249,external_interaction,
250,nnprime,
251,external_interaction,
252,external_interaction,
253,single_elastic,
255,external_interaction,
258,single_elastic,
260,external_interaction,
263,external_interaction,
264,external_interaction,
265,external_interaction,
266,external_interaction,
267,single_elastic,
270,external_interaction,
271,multiple_elastic,
272,external_interaction,
274,single_elastic,
276,single_elastic,
277,external_interaction,
279,external_interaction,
280,external_interaction,
281,external_interaction,
282,single_elastic,
285,external_interaction,
286,single_elastic,
288,external_interaction,
291,single_elastic,
292,single_elastic,
293,external_interaction,
294,single_elastic,
296,multiple_elastic,
300,multiple_elastic,
301,single_elastic,
302,single_elastic,
303,external_interaction,
306,external_interaction,
309,single_elastic,
310,single_elastic,
311,external_interaction,
314,external_interaction,
315,single_elastic,
316,external_interaction,
320,external_interaction,
321,single_elastic,
322,external_interaction,
323,multiple_elastic,
325,external_interaction,
327,external_interaction,
329,nnprime,
330,single_elastic,
331,external_interaction,
332,external_interaction,
333,external_interaction,
334,external_interaction,
335,external_interaction,
336,external_interaction,
337,nnprime,
339,external_interaction,
340,external_interaction,
341,external_interaction,
345,single_elastic,
347,single_elastic,
350,external_interaction,
353,external_interaction,
357,multiple_elastic,
358,nnprime,
361,nnprime,
363,multiple_elastic,
365,multiple_elastic,
367,single_elastic,
368,single_elastic,
369,multiple_elastic,
370,external_interaction,
371,single_elastic,
372,multiple_elastic,
373,external_interaction,
378,single_elastic,
379,external_interaction,
380,single_elastic,
382,single_elastic,
386,single_elastic,
387,external_interaction,
388,external_interaction,
389,external_interaction,
391,external_interaction,
392,single_elastic,
393,external_interaction,
394,external_interaction,
395,single_elastic,
396,external_interaction,
398,nnprime,
399,external_interaction,
400,single_elastic,
403,external_interaction,
407,single_elastic,
411,external_interaction,
413,single_elastic,
414,single_elastic,
416,single_elastic,
417,single_elastic,
421,single_elastic,
423,elastics_plus_nnprime,
424,external_interaction,
425,single_elastic,
426,single_elastic,
427,external_interaction,
428,multiple_elastic,
431,nnprime,
433,single_elastic,
434,single_elastic,
436,external_interaction,
437,elastics_plus_nnprime,
439,single_elastic,
441,external_interaction,
443,external_interaction,
444,single_elastic,
446,single_elastic,
447,single_elastic,
448,external_interaction,
452,elastics_plus_nnprime,
454,single_elastic,
455,external_interaction,
456,external_interaction,
457,external_interaction,
461,external_interaction,
464,single_elastic,
465,external_interaction,
466,external_interaction,
467,external_interaction,
468,external_interaction,
472,nnprime,
474,single_elastic,
475,external_interaction,
476,multiple_elastic,
477,external_interaction,
480,external_interaction,
481,external_interaction,
482,single_elastic,
483,nnprime,
485,external_interaction,
486,external_interaction,
488,single_elastic,
490,single_elastic,
491,external_interaction,
495,multiple_elastic,
496,external_interaction,
497,nnprime,
499,external_interaction,
500,nnprime,
501,elastics_plus_nnprime,
504,external_interaction,
505,external_interaction,
507,external_interaction,
512,nnprime,
514,external_interaction,
515,external_interaction,
517,external_interaction,
518,nnprime,
519,external_interaction,
520,single_elastic,
521,single_elastic,
522,external_interaction,
526,multiple_elastic,
527,single_elastic,
528,elastics_plus_nnprime,
530,external_interaction,
531,nnprime,
532,multiple_elastic,
533,single_elastic,
534,single_elastic,
535,external_interaction,
537,single_elastic,
538,nnprime,
539,single_elastic,
540,external_interaction,
541,external_interaction,
542,single_elastic,
543,single_elastic,
544,external_interaction,
545,single_elastic,
547,external_interaction,
548,external_interaction,
549,external_interaction,
550,external_interaction,
553,external_interaction,
554,single_elastic,
555,external_interaction,
556,external_interaction,
557,nnprime,
558,single_elastic,
559,nnprime,
562,elastics_plus_nnprime,
563,single_elastic,
567,external_interaction,
568,nnprime,
569,external_interaction,
570,multiple_elastic,
572,external_interaction,
573,external_interaction,
575,single_elastic,
576,single_elastic,
577,external_interaction,
579,multiple_elastic,
580,external_interaction,
581,multiple_elastic,
582,external_interaction,
583,multiple_elastic,
584,external_interaction,
587,nnprime,
589,nnprime,
590,external_interaction,
592,multiple_elastic,
593,nnprime,
595,nnprime,
598,external_interaction,
600,nnprime,
601,single_elastic,
602,external_interaction,
603,nnprime,
604,external_interaction,
605,external_interaction,
607,external_interaction,
612,external_interaction,
616,external_interaction,
617,single_elastic,
621,external_interaction,
622,multiple_elastic,
623,external_interaction,
625,external_interaction,
626,single_elastic,
628,external_interaction,
629,external_interaction,
630,external_interaction,
632,single_elastic,
633,single_elastic,
635,external_interaction,
636,single_elastic,
637,single_elastic,
638,external_interaction,
639,multiple_elastic,
641,external_interaction,
642,external_interaction,
643,single_elastic,
644,external_interaction,
645,external_interaction,
647,single_elastic,
648,multiple_elastic,
650,nnprime,
651,external_interaction,
