eventID,numPhotons,nScint,sumStepLength,
0,38855,0,0,
1,0,0,0,
2,468,0,0,
3,689,0,0,
4,0,0,0,
5,0,0,0,
6,159,0,0,
7,0,0,0,
8,0,0,0,
9,0,0,0,
10,583,0,0,
11,0,0,0,
12,427,0,0,
13,0,0,0,
14,18361,0,0,
15,12257,0,0,
16,397,0,0,
17,322,0,0,
18,156,0,0,
19,1448,0,0,
20,235,0,0,
21,146,0,0,
22,0,0,0,
23,220,0,0,
24,527,0,0,
25,501,0,0,
26,138,0,0,
27,0,0,0,
28,73023,0,0,
29,0,0,0,
30,125,0,0,
31,742,0,0,
32,473,0,0,
33,0,0,0,
34,0,0,0,
35,0,0,0,
36,207,0,0,
37,169,0,0,
38,0,0,0,
39,0,0,0,
40,59,0,0,
41,83,0,0,
42,41831,0,0,
43,607,0,0,
44,356,0,0,
45,491,0,0,
46,200,0,0,
47,0,0,0,
48,0,0,0,
49,0,0,0,
50,0,0,0,
51,11035,0,0,
52,369,0,0,
53,0,0,0,
54,1000,0,0,
55,0,0,0,
56,0,0,0,
57,0,0,0,
58,0,0,0,
59,0,0,0,
60,257,0,0,
61,384,0,0,
62,902,0,0,
63,514,0,0,
64,587,0,0,
65,570,0,0,
66,0,0,0,
67,0,0,0,
68,771,0,0,
69,379,0,0,
70,0,0,0,
71,147,0,0,
72,1000,0,0,
73,0,0,0,
74,0,0,0,
75,0,0,0,
76,306,0,0,
77,1000,0,0,
78,540,0,0,
79,523,0,0,
80,376,0,0,
81,0,0,0,
82,424,0,0,
83,0,0,0,
84,666,0,0,
85,139,0,0,
86,474,0,0,
87,0,0,0,
88,261,0,0,
89,486,0,0,
90,695,0,0,
91,235,0,0,
92,73142,0,0,
93,526,0,0,
94,0,0,0,
95,0,0,0,
96,0,0,0,
97,0,0,0,
98,139,0,0,
99,279,0,0,
100,236,0,0,
101,0,0,0,
102,401,0,0,
103,368,0,0,
104,0,0,0,
105,365,0,0,
106,280,0,0,
107,769,0,0,
108,1777,0,0,
109,0,0,0,
110,1386,0,0,
111,65,0,0,
112,276,0,0,
113,0,0,0,
114,151,0,0,
115,177,0,0,
116,228,0,0,
117,69,0,0,
118,0,0,0,
119,454,0,0,
120,0,0,0,
121,137,0,0,
122,126,0,0,
123,0,0,0,
124,1221,0,0,
125,157,0,0,
126,222,0,0,
127,14293,0,0,
128,298,0,0,
129,0,0,0,
130,177,0,0,
131,43743,0,0,
132,265,0,0,
133,0,0,0,
134,0,0,0,
135,304,0,0,
136,0,0,0,
137,445,0,0,
138,2031,0,0,
139,36,0,0,
140,1953,0,0,
141,0,0,0,
142,324,0,0,
143,535,0,0,
144,0,0,0,
145,0,0,0,
146,0,0,0,
147,0,0,0,
148,40,0,0,
149,0,0,0,
150,1054,0,0,
151,416,0,0,
152,181,0,0,
153,0,0,0,
154,0,0,0,
155,62865,0,0,
156,0,0,0,
157,506,0,0,
158,71825,0,0,
159,2511,0,0,
160,0,0,0,
161,727,0,0,
162,75,0,0,
163,418,0,0,
