t0,t1,
58.2092,10000,
10000,10000,
44.0955,10000,
10000,10000,
10000,10000,
10000,10000,
47.0324,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
46.1878,10000,
10000,10000,
53.9893,10000,
39.8992,10000,
43.1632,10000,
39.7548,10000,
42.0747,10000,
56.7525,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
37.3112,10000,
10000,10000,
10000,10000,
10000,10000,
40.9057,10000,
10000,10000,
45.8463,10000,
44.6537,10000,
41.8001,10000,
10000,10000,
10000,10000,
10000,10000,
39.5574,10000,
10000,10000,
10000,10000,
10000,10000,
46.4124,10000,
48.9166,10000,
39.3502,10000,
39.0383,10000,
10000,10000,
40.9105,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
43.8664,10000,
10000,10000,
10000,10000,
39.007,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
41.524,10000,
10000,10000,
39.446,10000,
10000,10000,
44.5592,10000,
38.9905,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
37.4016,10000,
40.5881,10000,
10000,10000,
10000,10000,
10000,10000,
41.2104,10000,
48.8664,10000,
77.62,10000,
38.0801,10000,
46.5538,10000,
10000,10000,
37.1147,10000,
10000,10000,
45.9875,10000,
10000,10000,
39.4264,10000,
10000,10000,
42.2172,10000,
39.6038,10000,
39.7515,10000,
37.4438,10000,
40.4493,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
49.8086,10000,
41.3709,10000,
41.8127,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
40.9839,10000,
44.5873,10000,
40.2363,10000,
40.2414,10000,
10000,10000,
39.2147,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
44.3026,10000,
44.5668,10000,
10000,10000,
10000,10000,
10000,10000,
39.795,10000,
40.6869,10000,
10000,10000,
80.2214,10000,
49.1775,10000,
42.8314,10000,
46.3831,10000,
40.0953,10000,
10000,10000,
44.9322,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
49.9205,10000,
10000,10000,
10000,10000,
39.8957,10000,
46.6492,10000,
43.5625,10000,
10000,10000,
38.2964,10000,
41.8911,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
49.9449,10000,
10000,10000,
10000,10000,
39.2667,10000,
42.1177,10000,
10000,10000,
10000,10000,
46.3617,10000,
10000,10000,
41.7052,10000,
40.6683,10000,
49.9529,10000,
10000,10000,
39.332,10000,
39.8657,10000,
10000,10000,
10000,10000,
56.0214,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
38.7592,10000,
10000,10000,
43.4225,10000,
10000,10000,
10000,10000,
36.9301,10000,
42.4085,10000,
10000,10000,
37.4389,10000,
10000,10000,
10000,10000,
38.3439,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
41.7464,10000,
10000,10000,
10000,10000,
10000,10000,
10000,10000,
42.6125,10000,
42.4438,10000,
10000,10000,
10000,10000,
39.8679,10000,
10000,10000,
68.1874,10000,
10000,10000,
10000,10000,
41.6886,10000,
10000,10000,
40.5961,10000,
10000,10000,
39.5094,10000,
10000,10000,
41.0425,10000,
10000,10000,
40.1235,10000,
10000,10000,
38.3736,10000,
