eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
0,262,1585,374.027,11,1,0,
1,5,49,200.367,6,0,0,
2,122,513,890.715,44,1,0,
3,175,1214,692.378,27,1,0,
4,226,1489,230.783,7,1,0,
5,319,1758,930.973,23,1,0,
6,8,27,180.645,1,0,0,
7,26,151,761.852,10,0,0,
8,277,1652,873.904,37,1,0,
9,8,35,210.226,4,0,0,
10,3,21,217.999,1,0,0,
11,286,1747,892.336,51,1,0,
12,7,28,213.42,1,0,0,
13,285,1676,798.764,14,1,0,
14,10,46,236.968,2,0,0,
15,249,1689,654.047,27,1,0,
16,10,103,337.243,6,1,0,
17,239,1552,429.396,11,1,0,
18,55,297,1367.85,20,0,0,
19,236,1669,873.409,55,1,0,
20,256,1635,933.444,18,1,0,
21,276,1632,778.853,23,1,0,
22,6,36,239.827,2,0,0,
23,268,1669,945.836,16,1,0,
24,166,1154,327.57,10,1,0,
25,195,1345,84.593,2,1,0,
26,25,161,494.375,15,1,0,
27,286,1700,631.01,23,1,0,
28,263,1684,805.906,32,1,0,
29,287,1778,941.25,46,1,0,
30,56,387,1815.33,33,0,0,
31,266,1597,733.536,11,1,0,
32,262,1585,268.264,5,1,0,
33,304,1693,907.954,35,1,0,
34,230,1551,332.658,15,1,0,
35,287,1738,904.947,63,1,0,
36,240,1549,361.094,7,1,0,
37,3,24,0,0,1,0,
38,4,48,295.502,2,0,0,
39,86,553,2344.46,58,0,0,
40,260,1573,236.772,10,1,0,
41,301,1687,755.018,21,1,0,
42,249,1627,576.843,11,1,0,
43,272,1608,266.735,10,1,0,
44,216,1498,182.894,4,1,0,
45,260,1476,168.894,3,1,0,
46,33,164,736.395,10,0,0,
47,243,1749,788.921,36,1,0,
48,96,641,143.426,8,1,0,
49,244,1536,312.883,9,1,0,
50,281,1631,510.973,16,1,0,
51,276,1535,135.231,4,1,0,
52,347,1768,909.217,52,1,0,
53,47,288,1411.07,21,0,0,
54,283,1738,733.793,30,1,0,
55,5,32,219.885,1,0,0,
56,3,30,163.217,1,0,0,
57,315,1680,879.086,31,1,0,
58,1,19,160.036,1,0,0,
59,260,1701,760.081,9,1,0,
60,2,25,226.231,1,0,0,
61,97,654,815.789,27,1,0,
62,283,1609,329.971,17,1,0,
63,251,1577,373.975,3,1,0,
64,104,641,2439.68,79,0,0,
65,270,1642,487.24,15,1,0,
66,19,92,546.344,7,0,0,
67,99,532,2196.35,47,0,0,
68,8,42,96.0827,4,1,0,
69,4,25,198.801,1,0,0,
70,41,229,155.587,3,1,0,
71,64,427,294.042,6,1,0,
72,258,1563,202.786,5,1,0,
73,218,1472,51.0293,4,1,0,
74,2,27,219.951,1,0,0,
75,245,1439,0,0,1,0,
76,294,1686,933.547,43,1,0,
77,6,28,225.259,1,0,0,
78,283,1604,740.108,28,1,0,
79,225,1545,153.43,1,1,0,
80,6,39,235.229,2,0,0,
81,258,1552,884.587,44,1,0,
82,250,1711,638.808,19,1,0,
83,7,36,236.561,2,0,0,
84,52,270,1255.52,13,0,0,
85,9,75,615.538,4,0,0,
86,235,1484,855.796,14,1,0,
87,240,1502,652.582,8,1,0,
88,316,1812,953.3,62,1,0,
89,296,1672,848.546,37,1,0,
90,267,1625,387.749,13,1,0,
91,173,1289,329.013,4,1,0,
92,239,1511,134.21,2,1,0,
93,52,320,969.617,67,1,0,
94,19,102,368.515,6,1,0,
95,238,1514,288.536,8,1,0,
96,19,88,562.442,5,0,0,
97,14,129,708.78,6,0,0,
98,276,1677,526.172,13,1,0,
99,296,1761,775.008,38,1,0,
100,80,437,2047.82,41,0,0,
101,201,1345,614.867,16,1,0,
102,115,590,2373.8,68,0,0,
103,296,1652,924.291,19,1,0,
104,4,25,164.356,2,0,0,
105,27,219,1212.25,13,0,0,
106,73,440,1956.85,36,0,0,
107,200,1317,0,0,1,0,
108,26,196,1009.7,16,0,0,
109,266,1625,772.406,25,1,0,
110,261,1538,153.053,6,1,0,
111,24,163,857.921,10,0,0,
112,331,2111,42.7524,3,1,0,
113,12,53,278.526,2,0,0,
114,208,1391,16.9762,1,1,0,
115,6,29,216.252,1,0,0,
116,4,38,195.715,3,0,0,
117,6,28,207.887,1,0,0,
119,8,50,194.856,5,0,0,
120,242,1573,202.483,4,1,0,
121,313,1759,775.535,32,1,0,
122,218,1490,132.085,3,1,0,
123,176,1276,771.822,22,1,0,
124,251,1519,383.559,11,1,0,
125,318,1843,844.873,42,1,0,
126,372,2195,242.488,3,1,0,
127,55,311,1579.66,22,0,0,
128,21,133,397.154,13,1,0,
129,6,44,263.046,4,0,0,
130,271,1716,809.486,36,1,0,
131,258,1577,208.269,4,1,0,
132,276,1641,421.007,10,1,0,
133,272,1567,292.813,11,1,0,
134,286,1735,902.813,37,1,0,
135,56,296,849.889,40,1,0,
136,206,1343,350.234,8,1,0,
137,6,29,164.492,1,0,0,
138,206,1515,268.475,2,1,0,
139,265,1665,786.052,40,1,0,
140,6,51,297.403,3,0,0,
141,4,26,164.938,2,0,0,
142,271,1558,221.953,8,1,0,
143,232,1470,49.0173,3,1,0,
144,241,1466,19.9893,3,1,0,
