eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
0,135,855,2823.95,47,1,0,
1,194,1078,2919.16,83,1,0,
2,54,363,167.49,7,1,0,
3,368,1987,1239.82,40,2,0,
4,1686,10506,741.786,27,3,0,
5,2081,11897,1835.91,57,2,0,
6,2014,12077,649.881,9,2,0,
7,68,484,79.3394,3,1,0,
8,1561,9858,83.9138,2,3,0,
9,1738,11136,112.654,2,2,0,
10,1968,12113,0,0,1,0,
11,2229,12215,1929.87,47,2,0,
12,488,3178,183.225,8,1,0,
13,476,3162,421.551,17,1,0,
14,477,2830,975.273,71,2,0,
15,169,1020,210.883,4,1,0,
16,323,2063,1071.17,26,2,0,
17,222,1299,14.6195,2,1,0,
18,459,2738,64.0584,2,1,0,
19,315,2097,1512.44,49,2,0,
20,229,1562,170.043,6,1,0,
21,1909,11875,1715.08,60,3,0,
22,2125,12731,0,0,1,0,
23,2105,12848,565.125,14,2,0,
24,435,3171,55.2417,1,1,0,
25,499,2635,1537.63,59,2,0,
26,512,3361,21.4474,1,1,0,
27,637,4149,1114.51,45,2,0,
28,1961,12197,1249.93,27,3,0,
29,87,614,695.331,13,1,0,
30,1969,12089,925.851,16,3,0,
31,2018,12036,871.556,18,2,0,
32,2194,12301,844.155,12,2,0,
33,2197,12653,621.958,17,3,0,
34,2199,13267,111.504,4,2,0,
35,337,2002,1741.18,51,2,0,
36,248,1624,96.3779,2,1,0,
37,298,2138,0,0,1,0,
38,96,717,0,0,1,0,
39,1716,10732,731.109,35,1,1,
40,436,2413,1281.06,63,2,0,
41,1806,11813,238.295,4,2,0,
42,328,1933,33.651,1,1,0,
43,2253,12789,1154.42,47,3,0,
44,388,2085,910.804,32,2,0,
45,2819,12635,1217.75,57,3,0,
46,1449,10148,422.285,5,2,0,
47,1391,9539,104.457,8,2,0,
48,303,1947,362.133,16,1,0,
49,606,3533,966.021,45,3,0,
50,624,3610,694.08,72,2,0,
51,198,1164,1815.39,51,2,0,
52,47,334,28.9618,1,1,0,
53,1432,9072,92.5017,3,2,0,
54,1836,11739,606.156,8,3,0,
55,342,2092,671.214,21,2,0,
56,428,2708,392.83,18,2,0,
57,296,1936,813.462,26,1,0,
58,1844,10750,1214.2,60,3,0,
59,13,72,7.27962,1,1,0,
60,2071,12403,965.825,46,2,0,
61,226,1481,104.9,3,1,0,
62,2285,11483,994.627,39,2,1,
63,618,3649,51.9282,13,2,0,
64,236,1327,809.175,43,1,0,
65,103,604,1845.95,79,2,0,
66,1978,11505,298.784,11,2,0,
67,391,2602,308.987,22,1,0,
68,210,1116,2960.62,85,1,0,
69,256,1733,848.579,21,1,0,
70,280,1672,2039.09,75,1,0,
71,1733,10210,1.63166,1,1,0,
72,91,561,668.958,11,1,0,
73,268,1737,190.504,5,2,0,
74,108,749,1459.48,21,1,0,
75,536,3205,922.957,70,2,0,
76,2319,12766,935.145,53,4,0,
77,137,874,2813.1,71,1,0,
78,58,364,0,0,1,0,
79,1907,12091,475.85,8,3,0,
80,485,2981,218.676,26,2,0,
81,415,2495,74.0503,9,1,0,
82,1863,12117,1029.38,40,3,0,
83,1415,8980,92.2176,2,2,0,
84,515,2925,342.298,24,2,0,
85,226,1432,1514.97,25,1,0,
86,159,946,1940.61,40,1,0,
87,318,1907,837.978,31,2,0,
88,1973,12233,149.924,13,4,0,
89,455,3003,881.752,40,1,0,
90,373,2312,1773.69,45,2,0,
91,1949,12156,321.914,7,2,0,
92,1692,11015,23.2873,4,3,0,
93,454,2728,703.637,35,1,0,
94,131,825,1698.37,41,1,0,
95,151,1181,1034.54,20,1,0,
96,1257,8184,0,0,1,0,
97,282,1449,2429.24,86,1,0,
98,610,3990,323.592,6,2,0,
99,712,4306,387.544,16,2,1,
100,117,719,1655.69,39,1,0,
101,274,1598,2193.11,74,1,0,
102,2037,12631,419.796,38,3,0,
103,600,3668,108.193,11,2,0,
104,529,3448,518.103,26,2,0,
105,245,1502,1370.18,26,1,0,
106,137,859,2473.24,55,1,0,
107,1828,11776,217.842,10,3,0,
108,136,853,1381.15,32,1,0,
109,1957,11435,2702.44,89,2,0,
110,392,2504,901.892,26,1,0,
111,1988,11606,2156.5,29,2,0,
112,157,952,2613.74,57,1,0,
113,299,1818,372.014,4,2,0,
114,101,697,172.89,12,1,0,
115,209,1218,1050.4,24,1,0,
116,132,898,509.892,8,1,0,
117,1900,12189,546.322,10,3,0,
118,71,386,853.293,13,1,0,
119,1997,10939,1615.22,29,2,0,
