eventID,numReachedDown,numReachedUp,numPE,
3,325,273,598,
4,583,431,1014,
5,152,144,296,
8,1186,992,2178,
9,1323,1070,2393,
14,992,752,1744,
15,1166,906,2072,
18,1272,943,2215,
21,1052,790,1842,
22,794,675,1469,
24,949,722,1671,
26,341,256,597,
28,536,463,999,
31,437,335,772,
32,180,90,270,
34,1353,1061,2414,
36,142,118,260,
38,316,262,578,
39,1798,1557,3355,
41,544,400,944,
43,472,380,852,
48,1284,1024,2308,
49,231,189,420,
50,610,501,1111,
52,200,140,340,
54,191,137,328,
55,1246,973,2219,
56,718,562,1280,
59,1039,833,1872,
61,122,94,216,
62,349,288,637,
68,1152,987,2139,
69,682,449,1131,
70,265,213,478,
71,1234,998,2232,
72,1158,908,2066,
74,454,366,820,
75,1805,1450,3255,
76,178,152,330,
81,767,611,1378,
87,805,643,1448,
89,1260,1104,2364,
91,2038,1409,3447,
93,1302,999,2301,
97,899,704,1603,
99,1224,1038,2262,
102,381,321,702,
103,1053,830,1883,
105,11,11,22,
106,1096,777,1873,
108,1021,780,1801,
109,755,608,1363,
112,764,581,1345,
113,1256,1024,2280,
114,284,198,482,
115,1506,1153,2659,
119,1225,925,2150,
121,1255,850,2105,
124,615,478,1093,
129,989,754,1743,
132,908,728,1636,
133,1418,1229,2647,
134,861,693,1554,
136,1194,922,2116,
137,1221,1054,2275,
144,132,108,240,
145,576,593,1169,
146,1346,1065,2411,
148,320,283,603,
150,693,622,1315,
151,1196,931,2127,
154,24,32,56,
157,1165,851,2016,
158,1349,978,2327,
159,1291,1095,2386,
160,1315,1096,2411,
161,553,432,985,
165,157,137,294,
167,1077,841,1918,
168,517,412,929,
169,473,404,877,
173,1940,1396,3336,
175,1854,1477,3331,
176,1216,905,2121,
177,429,333,762,
180,693,519,1212,
181,1842,1366,3208,
182,1209,913,2122,
183,1077,864,1941,
185,408,328,736,
186,188,140,328,
187,448,341,789,
189,1098,820,1918,
193,1247,942,2189,
194,549,429,978,
195,1166,901,2067,
200,348,283,631,
201,244,222,466,
203,1046,814,1860,
204,469,401,870,
208,581,496,1077,
210,954,705,1659,
213,156,98,254,
214,1137,874,2011,
216,299,243,542,
217,225,219,444,
218,867,727,1594,
219,1114,828,1942,
220,6,9,15,
223,1523,1015,2538,
224,981,790,1771,
227,124,92,216,
228,1261,1022,2283,
229,1340,969,2309,
