eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,nucleusRecoilEnergy,timeOfFlight,detector,
341,207,8,12,0,1,0,0,0,154.844,A0,
1173,448,17,36,0,1,0,0,0,79.3284,A3,
1331,1074,71,74,0,1,0,0,0,81.1688,A7,
4206,973,70,69,0,1,0,0,0,81.3173,A6,
4403,211,16,18,0,1,0,0,0,80.3499,A4,
5044,373,25,23,0,1,0,0,0,77.0192,A3,
5773,1087,72,65,0,1,0,0,0,80.0579,A7,
8576,366,22,24,0,1,0,0,0,77.4697,A3,
9566,161,10,12,0,1,0,0,0,147.096,A0,
10450,377,18,27,0,1,0,0,0,78.2522,A3,
11021,384,15,32,0,1,0,0,0,77.8729,A3,
11198,183,9,8,0,1,0,0,0,148.935,A0,
11486,301,8,15,0,1,0,0,0,92.9916,A2,
14470,266,18,24,0,1,0,0,0,149.092,A1,
15780,632,35,34,0,2,0,0,0,77.5721,A3,
16201,1041,57,68,0,1,0,0,0,81.036,A7,
17091,629,40,31,0,1,0,0,0,79.933,A4,
17925,517,20,42,0,2,0,0,0,150.216,A0,
18329,265,12,12,0,1,0,0,0,154.219,A1,
19504,607,25,33,0,1,0,0,0,77.5403,A4,
22603,377,25,27,0,1,0,0,0,90.2763,A2,
25541,1022,53,74,0,1,0,0,0,81.3006,A7,
26304,1028,57,81,0,1,0,0,0,81.6431,A7,
29524,323,17,14,0,1,0,0,0,92.9648,A2,
31838,964,32,80,0,1,0,0,0,82.9796,A6,
33317,359,17,20,0,1,0,0,0,90.4949,A2,
35731,607,42,48,0,1,0,0,0,77.7962,A4,
36905,1330,73,102,0,2,0,0,0,81.6581,A5,
36956,318,6,17,0,1,0,0,0,147.405,A1,
38572,1034,60,79,0,1,0,0,0,82.0408,A7,
38982,1087,59,89,0,1,0,0,0,80.2215,A7,
42168,1049,63,62,0,1,0,0,0,79.8318,A7,
42217,342,21,21,0,1,0,0,0,80.9428,A3,
42448,764,40,73,0,1,0,0,0,78.8581,A5,
43960,1097,61,71,0,1,0,0,0,83.1549,A7,
44285,935,56,58,0,1,0,0,0,81.2358,A6,
44607,978,65,73,0,1,0,0,0,79.181,A6,
45431,1207,75,87,0,3,0,0,0,80.2926,A4,
46418,631,28,56,0,1,0,0,0,81.3405,A4,
46899,758,40,54,0,1,0,0,0,77.089,A5,
50424,288,16,19,0,1,0,0,0,151.2,A1,
51096,399,15,27,0,1,0,0,0,76.6124,A3,
52851,982,50,71,0,1,0,0,0,81.2627,A6,
53149,178,5,6,0,1,0,0,0,147.654,A0,
53206,1000,62,63,0,1,0,0,0,83.8636,A7,
53992,1408,80,80,0,2,0,0,0,81.591,A7,
55375,602,31,58,0,1,0,0,0,79.5826,A4,
55557,174,7,14,0,1,0,0,0,150.921,A0,
57209,951,51,68,0,1,0,0,0,79.2818,A6,
57251,370,24,27,0,1,0,0,0,80.1442,A3,
62260,458,25,40,0,1,0,0,0,77.8151,A3,
62351,416,19,31,0,1,0,0,0,90.1025,A2,
65817,339,17,21,0,1,0,0,0,89.5771,A2,
65929,829,52,58,0,2,0,0,0,80.256,A4,
67142,391,25,27,0,1,0,0,0,78.2585,A3,
67520,1104,53,81,0,1,0,0,0,79.033,A7,
68920,606,33,46,0,1,0,0,0,78.7624,A4,
70340,178,10,17,0,1,0,0,0,148.508,A0,
70400,1024,63,71,0,1,0,0,0,79.2309,A6,
71447,758,42,48,0,1,0,0,0,79.7054,A5,
75210,156,14,17,0,1,0,0,0,152.6,A0,
77298,322,20,30,0,1,0,0,0,151.891,A1,
77625,732,43,46,0,2,0,0,0,153.077,A1,
78064,566,28,47,0,2,0,0,0,80.3044,A6,
78620,576,32,42,0,1,0,0,0,79.403,A4,
79570,451,32,29,0,1,0,0,0,76.2529,A3,
82038,1047,65,81,0,1,0,0,0,80.6532,A6,
82620,792,50,60,0,1,0,0,0,79.8047,A5,
82978,354,18,28,0,1,0,0,0,89.9031,A2,
84027,364,17,25,0,1,0,0,0,78.2674,A3,
84674,353,17,29,0,1,0,0,0,92.3987,A2,
85608,526,35,39,0,1,0,0,0,80.4977,A4,
86398,945,49,74,0,1,0,0,0,80.8955,A6,
87156,328,20,27,0,1,0,0,0,149.791,A1,
88514,1161,63,98,0,2,0,0,0,80.1463,A7,
91294,1183,54,103,0,2,0,0,0,81.6205,A7,
91503,203,13,15,0,1,0,0,0,151.322,A0,
92301,174,12,19,0,1,0,0,0,151.04,A0,
92597,281,14,25,0,1,0,0,0,146.676,A1,
92716,42,2,4,0,1,0,0,0,90.8839,A2,
92926,579,41,40,0,1,0,0,0,81.445,A4,
93112,412,33,33,0,1,0,0,0,90.2202,A2,
93235,332,13,20,0,1,0,0,0,147.444,A1,
94574,368,24,25,0,1,0,0,0,88.8888,A2,
94668,638,38,31,0,1,0,0,0,77.7064,A4,
96002,1007,62,77,0,2,0,0,0,79.2523,A5,
96018,215,12,14,0,1,0,0,0,146.326,A0,
97497,552,32,45,0,1,0,0,0,80.194,A4,
99527,446,25,27,0,1,0,0,0,78.4359,A3,
100875,313,18,24,0,1,0,0,0,92.4156,A2,
102491,930,62,72,0,1,0,0,0,79.0075,A6,
102565,1243,71,85,0,2,0,0,0,81.9277,A7,
102801,360,16,29,0,1,0,0,0,79.1106,A3,
103560,299,13,21,0,2,0,0,0,79.2883,A3,
105748,403,21,26,0,1,0,0,0,76.3911,A3,
105966,435,16,44,0,1,0,0,0,76.0298,A3,
109488,425,21,27,0,1,0,0,0,80.5844,A3,
109829,575,33,40,0,1,0,0,0,81.3436,A4,
110351,196,12,17,0,1,0,0,0,151.853,A0,
