eventID,energy,neutronAngle,timeOfFlight,external,numElastic,
2045,14.2938,0.486158,44.2548,0,1,
2478,17.1781,0.417205,44.4211,0,2,
2581,3.33986,0.232961,45.2547,1,1,
3133,8.76616,0.379038,44.9852,0,1,
3549,9.33705,0.391364,45.7977,0,1,
4274,0,0,137.899,1,0,
6184,13.7622,0.476828,42.7326,0,1,
9409,0,0,144.53,1,0,
10392,12.5369,0.454657,44.832,0,1,
11022,192.393,2.23851,53.9366,1,1,
11728,30.6795,0.648136,46.4132,0,3,
12971,0,0,141.421,1,0,
13504,25.9523,0.58663,43.9377,0,2,
14725,0,0,139.964,1,0,
15232,0,0,138.817,1,0,
15376,0,0,138.363,1,0,
18457,14.1043,0.482851,43.8729,0,1,
19961,11.6269,0.437525,43.358,0,1,
20697,0,0,159.191,0,0,
21319,13.7616,0.476817,44.4672,0,1,
24240,10.2341,0.410025,47.3734,0,1,
24762,0,0,141.124,1,0,
25354,0,0,140.58,1,0,
26543,0,0,137.866,1,0,
27401,0,0,138.079,1,0,
29125,10.0948,0.40718,44.5438,0,1,
33545,13.1559,0.465978,42.6876,0,1,
33883,0,0,140.495,1,0,
34035,0,0,144.75,1,0,
35901,22.3404,0.534359,42.9848,0,2,
37568,191.806,1.02522,51.7543,1,2,
38818,13.4403,0.471095,42.4768,0,1,
38884,0,0,138.809,1,0,
39368,10.3418,0.412214,46.6714,0,1,
39848,0,0,143.862,1,0,
40035,0,0,138.199,1,0,
42463,14.8871,0.496383,44.1556,0,1,
44296,0,0,136.774,1,0,
45797,0,0,137.395,1,0,
46368,11.903,0.442787,43.7915,0,1,
48036,9.87238,0.402598,44.7475,0,1,
53215,9.6464,0.397892,42.8654,0,1,
54356,0,0,138.118,1,0,
55590,0,0,138.603,1,0,
55878,11.0121,0.425591,45.5118,0,1,
57427,0,0,136.545,1,0,
57800,12.1001,0.446509,49.3116,0,1,
58543,0,0,136.911,1,0,
61119,0,0,147.213,1,0,
61721,9.31497,0.3567,45.1661,0,2,
64008,0,0,138.904,1,0,
64777,0,0,138.618,1,0,
66170,254.167,0.799755,181.864,1,2,
67161,8.57735,0.374878,47.1241,0,1,
67190,19.574,0.571367,47.1929,1,1,
68566,0,0,137.46,1,0,
69395,0,0,136.604,1,0,
69443,31.7701,0.659291,44.2025,0,2,
70088,14.3741,0.487553,44.8546,0,1,
70915,0,0,137.305,1,0,
71280,1.37646,0.149326,49.3516,1,1,
71789,12.4298,0.452671,45.1527,0,1,
72220,13.6706,0.475203,43.886,0,1,
72246,13.4291,0.470895,46.9068,0,1,
72851,0,0,138.128,1,0,
76787,0,0,136.918,1,0,
80583,287.499,1.68082,46.0407,0,2,
81276,14.2944,0.48617,43.056,0,1,
82727,0,0,137.295,1,0,
86122,28.7671,0.698006,45.7582,1,1,
86890,0,0,140.012,1,0,
89047,0,0,140.355,1,0,
90210,12.2729,0.449748,42.6777,0,1,
90695,9.68115,0.398619,48.5965,0,1,
92189,0,0,141.079,1,0,
94277,0,0,143.636,1,0,
95544,10.0776,0.406827,45.575,0,1,
96558,0,0,142.277,1,0,
96792,14.1856,0.484273,43.3794,0,1,
99924,0,0,137.552,1,0,
100428,13.4618,0.471481,47.1424,0,1,
100498,9.7033,0.399082,43.5768,0,1,
101010,10.7073,0.419557,43.2744,0,1,
101053,9.76102,0.400286,44.5871,0,1,
104286,9.16503,0.387689,49.3381,0,1,
105082,11.8982,0.442697,48.9666,0,1,
105875,10.1797,0.408917,47.5471,0,1,
106238,10.3935,0.41326,42.122,0,1,
108336,0,0,137.712,1,0,
109823,10.8026,0.421452,45.544,0,1,
111627,10.1449,0.189876,48.2764,0,2,
112774,9.29268,0.322397,46.508,0,2,
112904,11.7495,0.439869,44.8179,0,1,
114814,13.6599,0.475013,44.2683,0,1,
115428,17.4477,0.534113,46.3171,0,2,
115828,0,0,139.608,1,0,
116555,0,0,139.145,1,0,
116666,20.8515,0.279524,45.7537,1,2,
116797,12.8548,0.460502,43.9445,0,1,
117696,0,0,136.82,1,0,
118741,104.273,0.744708,51.646,0,2,
120394,12.1007,0.44652,45.3616,0,1,
127692,328.23,1.428,54.134,1,2,
129713,0,0,137.78,1,0,
130113,0,0,135.878,1,0,
131482,194.252,0.986548,48.2772,0,3,
133937,0,0,143.775,1,0,
134794,13.1469,0.465815,47.8029,0,1,
135063,20.1448,0.57991,45.7914,1,1,
135407,0,0,136.674,1,0,
136019,0,0,136.396,1,0,
137002,0,0,141.206,1,0,
138999,9.44833,0.393724,45.8754,0,1,
139089,0,0,137.133,1,0,
139715,8.44119,0.37185,45.9871,0,1,
140448,0,0,141.553,1,0,
141164,0,0,136.946,1,0,
141826,12.5103,0.454165,42.4476,0,1,
143916,15.0301,0.498821,43.7714,1,1,
144408,12.4366,0.452798,43.633,0,1,
144714,0,0,137.496,1,0,
145939,14.2571,0.485519,45.1695,0,1,
146622,12.7381,0.458364,43.1774,0,1,
146928,14.1596,0.483819,45.9789,0,1,
147579,10.2952,0.411268,42.4248,0,1,
147653,14.1881,0.484317,45.2095,0,1,
147748,3.70317,0.245375,44.1446,1,1,
148113,10.6975,0.419362,42.0155,0,1,
148783,181.724,2.1245,56.2182,1,1,
149833,0,0,136.833,1,0,
150053,9.55188,0.395908,47.4117,0,1,
152035,0,0,138.011,1,0,
152292,0,0,140.559,1,0,
153540,12.9086,0.461486,45.6624,0,1,
155885,0,0,136.788,1,0,
156415,12.0983,0.446476,47.7892,0,1,
156892,0,0,137.86,1,0,
157051,9.2831,0.390215,46.0445,0,1,
158074,0,0,137.283,1,0,
158805,0,0,137.984,1,0,
158982,13.2858,0.468321,42.5356,0,1,
159589,19.9953,0.577816,50.2959,1,1,
