eventID,experimentalRecoilEnergy,timeOfFlight,
1247,19.5691,46.8994,
1332,18.8474,47.695,
7995,20.7662,46.4755,
11130,15.0826,45.8129,
14880,16.5747,43.5648,
16715,213.845,47.8345,
17401,3.17281,46.9315,
17804,72.9867,48.5338,
20104,15.1316,43.6952,
21552,15.4108,46.2591,
22374,19.7484,44.3226,
28025,18.6922,46.1201,
28074,14.1539,43.1624,
30059,16.5776,43.1644,
30512,16.116,44.551,
37154,16.3268,43.1048,
41337,15.3733,44.1577,
41856,56.4503,46.2996,
42658,19.3907,44.4898,
48933,19.4904,43.7085,
57000,20.6159,45.5105,
60087,15.6332,48.2275,
62173,12.5485,45.6457,
64344,18.5123,44.2454,
67045,8.28009,45.2243,
67432,20.6242,43.9584,
80760,17.4124,45.503,
81983,11.6352,45.6244,
82370,17.2871,47.3086,
83015,8.91105,44.4886,
84686,28.072,46.8779,
85702,13.5787,48.4058,
88793,11.4434,44.4118,
90993,23.9712,45.6129,
91684,20.1972,43.6796,
99202,18.2467,46.4097,
105105,20.7204,44.6172,
106619,17.2785,45.5584,
108333,12.5336,43.6778,
113073,14.8127,44.5584,
113084,11.5184,45.5448,
121148,21.4909,45.9474,
124212,27.1741,43.2692,
124609,13.5308,48.77,
125782,4.33644,48.3085,
128490,14.1995,45.5068,
128614,14.8834,48.0222,
132121,12.5564,46.9647,
132571,15.4485,47.6331,
133502,13.9083,46.8196,
133812,19.0103,47.1939,
141275,13.9158,46.6206,
145475,2.30119,45.6065,
151468,18.3574,43.5241,
151730,16.1908,46.6342,
152612,12.8636,47.2536,
154747,15.9423,44.6219,
156562,21.223,46.5905,
157349,12.4194,46.1025,
157625,20.3008,46.1008,
160591,18.7507,44.5477,
162774,18.0878,42.31,
163634,6.8024,45.4729,
164279,19.8947,42.43,
164282,14.3102,43.5075,
166386,14.6156,45.9257,
166505,19.2596,47.0421,
172507,38.704,46.5418,
173452,4.28194,48.8442,
175022,17.0362,43.1298,
182022,14.0342,42.6769,
187230,17.1464,47.69,
190185,0.510027,48.8959,
190526,148.547,44.6365,
191050,15.2711,43.5276,
197172,14.0364,44.4076,
202333,13.2644,43.9235,
202409,31.1763,45.9441,
209462,0.377437,44.8416,
217379,7.74804,46.999,
220266,15.3839,48.6458,
221630,13.218,46.8801,
225671,36.1724,45.6322,
229870,19.0006,45.6752,
235423,92.4012,46.5382,
238609,14.9117,44.9304,
241624,17.2577,46.0415,
247605,12.1252,47.1766,
252253,12.4663,43.886,
254571,16.0284,44.5141,
256211,19.0436,44.4511,
266400,16.636,43.7526,
269466,19.4438,44.6692,
276423,17.7411,46.061,
288742,17.2075,46.4552,
291010,13.0742,45.3642,
292343,20.2596,43.2949,
294005,14.8027,47.9682,
294379,18.834,44.0717,
295797,17.4044,42.2673,
298295,10.7749,45.0942,
300377,15.5821,45.1987,
302171,12.9612,44.5614,
304016,66.6566,46.5599,
304198,41.7269,44.8031,
306020,16.8128,45.4855,
308409,12.5571,44.2781,
309933,14.4263,47.3868,
311911,14.0751,45.6247,
320592,12.0119,44.7122,
327373,16.3339,48.9518,
331762,13.9726,47.1421,
339147,20.4014,43.5556,
339634,17.2479,43.2462,
344683,19.1804,44.6895,
350991,18.9612,44.5021,
353054,19.8978,47.9777,
353582,19.3271,47.4102,
361597,23.1456,46.1408,
364684,60.3813,45.0961,
366424,17.7432,48.0474,
371516,19.6474,45.4584,
376028,11.1474,45.2267,
378050,14.1386,44.9343,
380244,16.2536,45.744,
380889,18.3003,43.352,
382342,17.4246,44.3951,
383047,14.7054,46.5082,
383749,17.6785,43.3135,
