eventID,energy,neutronAngle,timeOfFlight,
28931,40.8659,0.922195,69.7777,
39950,33.2579,0.853041,164.782,
48806,6.57659,0.528277,72.9886,
49081,39.0826,0.952082,163.385,
92583,35.3725,0.885399,163.779,
284229,37.6509,0.891839,70.884,
302294,34.5351,0.834025,72.6303,
323299,35.3015,0.866772,170.41,
328130,39.3278,0.932161,70.3104,
349489,37.3769,0.923091,165.389,
374349,26.7094,0.69128,74.5059,
399570,34.7582,0.829776,163.551,
405956,34.0269,0.821869,164.014,
464227,40.1793,0.906239,68.2784,
482499,19.453,0.509795,175.065,
511072,56.0425,1.14717,165.728,
522720,32.2196,0.82073,162.874,
566314,34.8707,0.85315,69.4859,
568605,34.1463,0.857845,163.262,
571962,36.4533,0.900307,76.6914,
664781,39.367,0.941784,163.824,
667712,28.2173,0.710805,71.3344,
697256,33.2497,0.862878,74.0524,
722078,32.3352,0.780507,162.836,
739982,35.7268,0.877239,73.4035,
815093,134.546,2.41174,85.939,
856742,33.8957,0.820013,71.1247,
880124,31.4879,0.813835,72.4303,
881568,31.0281,0.809312,166.097,
897712,16.2393,0.422829,72.9053,
919228,58.1058,1.3143,78.284,
962754,35.339,0.85904,74.2664,
990010,39.5543,0.953135,166.434,
997127,37.37,0.887374,163.293,
1118611,38.5059,0.939431,74.2169,
1163697,31.7589,0.813836,69.3376,
1203252,71.5613,1.39555,74.8147,
1213145,38.0249,0.911382,76.9744,
1228683,34.7287,0.849645,72.9305,
1276978,41.3627,0.924824,165.388,
1277662,37.6935,0.874642,71.6621,
1339473,18.1874,0.465244,168.873,
1403581,69.8002,2.3905,79.4861,
1449427,41.4212,0.975166,165.35,
1503504,117.439,2.20218,175.908,
1529293,32.2911,0.775425,162.212,
1541214,37.77,0.897751,71.9692,
1554980,111.15,1.99404,86.5583,
1633582,35.5196,0.859394,73.7547,
1634688,38.4129,0.923035,162.541,
1651493,37.2786,0.89296,74.7859,
1675540,35.5684,0.8297,71.5773,
1697004,15.0033,0.417326,68.8357,
1734669,36.9136,0.912498,70.1658,
1743982,89.8175,1.60327,166.054,
1755215,33.5581,0.85093,68.572,
1831127,37.7595,0.883001,70.5916,
1888180,35.5361,0.825541,162.524,
1994768,38.034,0.882452,71.9403,
