eventID,numPhotons,nScint,sumStepLength,
0,1633,0,0,
1,1633,0,0,
2,1636,0,0,
3,1627,0,0,
4,1471,0,0,
5,1636,0,0,
6,1634,0,0,
7,1629,0,0,
8,1630,0,0,
9,1417,0,0,
10,1418,0,0,
11,1455,0,0,
12,1636,0,0,
13,1638,0,0,
14,1625,0,0,
15,1464,0,0,
16,1635,0,0,
17,1473,0,0,
18,1638,0,0,
19,1412,0,0,
20,1609,0,0,
21,1491,0,0,
22,1639,0,0,
23,1631,0,0,
24,1631,0,0,
25,1624,0,0,
26,1635,0,0,
27,1624,0,0,
28,1632,0,0,
29,1629,0,0,
30,1409,0,0,
31,1629,0,0,
32,1408,0,0,
33,1634,0,0,
34,1628,0,0,
35,1636,0,0,
36,1624,0,0,
37,1636,0,0,
38,1630,0,0,
39,1618,0,0,
40,1429,0,0,
41,1400,0,0,
42,1528,0,0,
43,1626,0,0,
44,1632,0,0,
45,1637,0,0,
46,1403,0,0,
47,1623,0,0,
48,1634,0,0,
49,1380,0,0,
50,1425,0,0,
51,1638,0,0,
52,1382,0,0,
53,1625,0,0,
54,1632,0,0,
55,1639,0,0,
56,1315,0,0,
57,1636,0,0,
58,1421,0,0,
59,1628,0,0,
60,1637,0,0,
61,1631,0,0,
62,1635,0,0,
63,1578,0,0,
64,1362,0,0,
65,1435,0,0,
66,1618,0,0,
67,1622,0,0,
68,1399,0,0,
69,1448,0,0,
70,1150,0,0,
71,1622,0,0,
72,1634,0,0,
73,1621,0,0,
74,1629,0,0,
75,1624,0,0,
76,1633,0,0,
77,1628,0,0,
78,1623,0,0,
79,1624,0,0,
80,1633,0,0,
81,1595,0,0,
82,1542,0,0,
83,1301,0,0,
84,1560,0,0,
85,1636,0,0,
86,1631,0,0,
87,1388,0,0,
88,1632,0,0,
89,1617,0,0,
90,1542,0,0,
91,1637,0,0,
92,1629,0,0,
93,1268,0,0,
94,1384,0,0,
95,1631,0,0,
96,1643,0,0,
97,1638,0,0,
98,1385,0,0,
99,1639,0,0,
100,1566,0,0,
101,1381,0,0,
102,1389,0,0,
103,1419,0,0,
104,1629,0,0,
105,1634,0,0,
106,1627,0,0,
107,1575,0,0,
108,1633,0,0,
109,1631,0,0,
110,1628,0,0,
111,1627,0,0,
112,1627,0,0,
113,1629,0,0,
114,1630,0,0,
115,1627,0,0,
116,1413,0,0,
117,1634,0,0,
118,1431,0,0,
119,1619,0,0,
120,1635,0,0,
121,1390,0,0,
122,1625,0,0,
123,1635,0,0,
124,1409,0,0,
125,1628,0,0,
126,1629,0,0,
127,1631,0,0,
128,1634,0,0,
129,1637,0,0,
130,1434,0,0,
131,1421,0,0,
132,1612,0,0,
133,1629,0,0,
134,1635,0,0,
135,1633,0,0,
136,1638,0,0,
137,1623,0,0,
138,1644,0,0,
139,1631,0,0,
140,1227,0,0,
141,1632,0,0,
142,1380,0,0,
143,1629,0,0,
144,1293,0,0,
145,1630,0,0,
146,1627,0,0,
147,1630,0,0,
148,1402,0,0,
149,1636,0,0,
150,1417,0,0,
151,1631,0,0,
152,1634,0,0,
153,1624,0,0,
154,1623,0,0,
155,1632,0,0,
156,1626,0,0,
157,1398,0,0,
158,1468,0,0,
159,1629,0,0,
160,1627,0,0,
161,1631,0,0,
162,1553,0,0,
163,1640,0,0,
164,1484,0,0,
165,1467,0,0,
166,1639,0,0,
167,1633,0,0,
168,1636,0,0,
169,1637,0,0,
170,1506,0,0,
171,1635,0,0,
172,1632,0,0,
173,1399,0,0,
174,1459,0,0,
175,1554,0,0,
176,1330,0,0,
177,1523,0,0,
178,1489,0,0,
179,1631,0,0,
180,1632,0,0,
181,1638,0,0,
182,1635,0,0,
183,1638,0,0,
184,1633,0,0,
185,1627,0,0,
186,1629,0,0,
187,1481,0,0,
188,1629,0,0,
189,1464,0,0,
190,1632,0,0,
191,1635,0,0,
192,1630,0,0,
193,1635,0,0,
194,1634,0,0,
195,1635,0,0,
196,1493,0,0,
197,1628,0,0,
198,1635,0,0,
199,1631,0,0,
200,1633,0,0,
201,1635,0,0,
202,1635,0,0,
203,1403,0,0,
204,1627,0,0,
205,1628,0,0,
206,1629,0,0,
207,1632,0,0,
208,1629,0,0,
209,1419,0,0,
210,1636,0,0,
211,1287,0,0,
212,1637,0,0,
213,1639,0,0,
214,1631,0,0,
215,1632,0,0,
216,1607,0,0,
217,1363,0,0,
218,1244,0,0,
219,1450,0,0,
220,1628,0,0,
221,1409,0,0,
222,1453,0,0,
223,1628,0,0,
224,1626,0,0,
225,1631,0,0,
226,1626,0,0,
227,1416,0,0,
228,1634,0,0,
229,1293,0,0,
230,1630,0,0,
231,1632,0,0,
232,1634,0,0,
233,1414,0,0,
234,1625,0,0,
235,1631,0,0,
236,1631,0,0,
237,1275,0,0,
238,1401,0,0,
239,1631,0,0,
240,1387,0,0,
241,1637,0,0,
242,1634,0,0,
243,1470,0,0,
244,1632,0,0,
245,1637,0,0,
246,1510,0,0,
247,1639,0,0,
248,1625,0,0,
249,1634,0,0,
250,1579,0,0,
251,1626,0,0,
252,1564,0,0,
253,1603,0,0,
254,1386,0,0,
255,1633,0,0,
256,1533,0,0,
