nucleusKineticEnergykeV,numPhotonsCreated,nucleusEnergykeVPost,
48.9829,421,0,
46.7334,407,0,
50.703,429,0,
47.3121,414,0,
51.2875,432,0,
45.2343,404,0,
45.5439,402,0,
53.9983,443,0,
45.3375,402,0,
52.6408,442,0,
52.4294,437,0,
49.646,420,0,
53.0123,442,0,
52.8655,437,0,
54.8436,447,0,
46.4995,412,0,
49.6574,426,0,
52.6164,436,0,
49.5289,426,0,
54.9159,448,0,
50.1834,429,0,
46.8189,409,0,
50.9718,432,0,
45.443,403,0,
45.8319,408,0,
46.791,407,0,
45.9793,409,0,
51.1364,428,0,
47.4133,418,0,
54.3669,449,0,
45.6488,407,0,
49.993,427,0,
46.3197,408,0,
48.2735,422,0,
45.2272,404,0,
54.089,448,0,
53.1234,441,0,
49.2264,425,0,
53.4792,443,0,
47.6413,414,0,
54.1662,447,0,
46.9343,414,0,
46.7273,413,0,
50.0891,428,0,
47.9359,416,0,
54.2931,450,0,
46.8584,410,0,
54.7379,446,0,
48.9678,420,0,
47.5541,414,0,
50.3012,426,0,
47.5177,413,0,
52.6374,437,0,
47.7762,417,0,
47.9994,416,0,
46.3269,411,0,
50.2677,424,0,
51.8649,435,0,
54.4043,449,0,
46.0132,408,0,
48.8511,422,0,
52.0823,433,0,
48.0457,415,0,
51.161,429,0,
54.6008,446,0,
52.5643,435,0,
45.3078,405,0,
50.7628,428,0,
50.7208,433,0,
47.3249,413,0,
47.2189,413,0,
45.7091,409,0,
52.6942,439,0,
54.9882,447,0,
54.9572,449,0,
50.0536,426,0,
54.549,447,0,
47.3968,415,0,
54.5499,449,0,
53.8933,448,0,
50.5564,425,0,
54.5008,447,0,
50.0324,424,0,
54.4514,445,0,
51.884,436,0,
49.565,430,0,
51.6324,432,0,
47.2829,410,0,
48.1787,415,0,
48.6392,420,0,
54.9808,447,0,
47.2063,417,0,
47.8965,417,0,
54.5123,447,0,
48.7008,420,0,
45.0943,406,0,
47.2113,413,0,
48.8331,420,0,
47.7457,418,0,
50.8938,430,0,
53.905,442,0,
51.7673,433,0,
47.4144,415,0,
46.2942,409,0,
50.0288,429,0,
51.3336,429,0,
46.8304,412,0,
49.9717,427,0,
54.9756,444,0,
46.9849,410,0,
45.1786,403,0,
50.4061,431,0,
47.9767,415,0,
49.9616,423,0,
52.7814,441,0,
51.4452,432,0,
50.507,430,0,
45.1452,404,0,
53.2957,444,0,
54.9408,445,0,
46.6694,413,0,
48.7736,420,0,
53.5649,443,0,
53.0397,439,0,
51.9596,436,0,
50.3993,430,0,
47.8767,417,0,
50.8025,428,0,
52.2958,437,0,
48.6562,421,0,
52.5664,440,0,
49.5861,426,0,
49.8481,424,0,
54.1212,444,0,
49.9378,426,0,
47.101,414,0,
50.4788,430,0,
51.9391,434,0,
46.9422,407,0,
46.4993,409,0,
53.2246,437,0,
48.0893,419,0,
48.3262,422,0,
46.5854,413,0,
50.2797,428,0,
54.9477,449,0,
53.6921,444,0,
53.3581,443,0,
51.6362,431,0,
46.442,406,0,
47.2962,415,0,
46.6379,409,0,
46.9585,411,0,
51.8317,435,0,
48.8467,419,0,
48.3143,418,0,
45.8584,408,0,
46.1763,409,0,
54.9639,448,0,
51.4953,435,0,
52.0815,440,0,
51.4907,434,0,
50.7849,428,0,
49.8745,425,0,
54.2596,448,0,
48.5439,417,0,
46.9467,412,0,
51.1082,431,0,
52.7173,437,0,
52.4695,440,0,
49.6355,425,0,
48.7123,420,0,
45.8776,408,0,
50.2219,428,0,
52.3002,438,0,
54.6679,447,0,
53.7123,444,0,
46.2131,406,0,
50.4113,425,0,
46.8083,410,0,
50.0891,429,0,
54.9438,448,0,
49.4363,421,0,
45.4672,404,0,
49.2191,424,0,
54.5255,445,0,
53.7985,441,0,
46.169,409,0,
48.7548,421,0,
48.3918,416,0,
54.2849,446,0,
50.3337,428,0,
47.7598,419,0,
48.9905,421,0,
49.2238,425,0,
50.4037,431,0,
53.9275,441,0,
50.7236,426,0,
54.5184,444,0,
49.9873,430,0,
52.6253,442,0,
45.2671,405,0,
47.0426,414,0,
46.8357,410,0,
48.3031,420,0,
45.1556,405,0,
51.3537,431,0,
46.21,409,0,
53.9975,444,0,
49.9969,426,0,
53.6697,449,0,
49.8639,430,0,
47.035,414,0,
53.3239,441,0,
52.8961,443,0,
45.774,407,0,
45.3655,409,0,
47.0617,412,0,
45.3656,408,0,
51.1283,434,0,
45.6056,403,0,
50.3664,428,0,
48.1784,420,0,
49.7713,424,0,
46.5889,412,0,
50.3195,426,0,
45.6038,406,0,
46.649,412,0,
53.8155,439,0,
46.3952,413,0,
54.6724,447,0,
51.9922,438,0,
54.8613,444,0,
47.9563,421,0,
45.4167,403,0,
47.327,413,0,
54.7498,455,0,
50.5346,427,0,
52.9175,436,0,
45.2253,403,0,
51.8133,431,0,
46.0052,408,0,
49.5136,423,0,
46.1432,406,0,
49.5633,428,0,
50.8243,433,0,
53.608,440,0,
52.3458,437,0,
48.7268,418,0,
48.9641,424,0,
46.647,412,0,
51.6927,434,0,
50.9811,432,0,
46.1636,409,0,
46.2554,404,0,
50.0366,421,0,
46.2709,410,0,
49.5776,420,0,
50.741,428,0,
45.833,412,0,
47.8535,419,0,
45.5655,408,0,
47.3031,413,0,
48.4706,418,0,
45.2131,404,0,
54.558,444,0,
53.0046,440,0,
48.93,418,0,
47.3308,416,0,
51.6271,433,0,
46.0642,403,0,
47.7453,414,0,
48.9171,415,0,
53.8649,440,0,
50.6195,427,0,
48.3649,419,0,
49.1365,421,0,
45.9375,406,0,
50.0495,428,0,
47.8382,413,0,
45.6754,404,0,
45.1669,406,0,
53.092,439,0,
45.2068,403,0,
47.373,413,0,
46.3086,409,0,
47.9717,417,0,
46.1498,406,0,
51.8477,436,0,
54.7341,448,0,
47.1941,417,0,
53.9433,443,0,
50.6981,430,0,
46.1396,407,0,
53.9928,445,0,
51.7764,434,0,
49.0633,421,0,
53.7303,442,0,
51.7249,436,0,
50.6426,425,0,
54.322,446,0,
47.8149,418,0,
49.9771,420,0,
46.3973,410,0,
45.821,409,0,
46.6213,412,0,
46.0588,407,0,
53.7193,445,0,
47.321,416,0,
47.5045,415,0,
49.7592,426,0,
47.2914,410,0,
47.152,414,0,
47.4788,415,0,
53.3969,445,0,
53.4366,444,0,
49.1249,423,0,
47.1734,411,0,
53.7746,443,0,
48.9933,422,0,
49.0203,422,0,
53.089,437,0,
49.386,421,0,
53.4072,442,0,
51.5195,435,0,
47.8077,415,0,
52.937,439,0,
50.6356,430,0,
50.8415,431,0,
46.277,410,0,
50.4746,428,0,
54.7972,448,0,
51.142,431,0,
47.3861,415,0,
48.8603,424,0,
45.8253,405,0,
51.809,434,0,
45.3947,406,0,
49.6054,426,0,
53.0271,443,0,
48.4745,420,0,
47.4082,412,0,
48.2098,419,0,
48.9162,420,0,
46.202,408,0,
52.7692,441,0,
51.846,432,0,
47.8994,417,0,
47.523,412,0,
54.0353,444,0,
47.1945,413,0,
48.9104,422,0,
50.9266,428,0,
54.6382,450,0,
48.9206,422,0,
50.9631,432,0,
48.7086,416,0,
48.2808,420,0,
45.7109,406,0,
52.652,439,0,
46.2197,409,0,
48.4201,422,0,
50.5807,431,0,
54.8716,453,0,
49.1809,424,0,
47.0102,414,0,
48.188,419,0,
45.6339,406,0,
53.045,439,0,
54.5721,446,0,
50.1485,422,0,
50.1882,428,0,
46.4431,412,0,
50.0241,425,0,
47.4795,413,0,
47.3989,418,0,
53.6484,441,0,
52.4012,439,0,
47.298,418,0,
50.6762,428,0,
50.0169,427,0,
53.8083,441,0,
45.3873,403,0,
45.4467,403,0,
45.271,404,0,
49.6319,426,0,
47.5485,415,0,
54.3835,450,0,
45.9455,402,0,
