eventID,experimentalRecoilEnergy,timeOfFlight,success,
527,0,52.5555,0,
5545,0,81.8303,0,
5840,0,44.4087,1,
24316,0,39.7588,0,
29761,0,61.3521,0,
41553,0,50.3132,1,
51415,0,65.4718,0,
53607,0,32.5886,0,
61848,0,90.5447,0,
65799,0,47.9483,0,
67607,0,64.3951,0,
77597,0,46.6265,1,
81158,0,51.368,1,
81729,0,47.9107,1,
90148,0,47.0543,0,
93134,0,45.2067,1,
108365,0,48.4003,0,
116814,0,57.8072,0,
122071,0,42.5038,0,
146795,0,45.9869,1,
151904,0,51.8722,0,
152646,0,80.1773,0,
152919,0,47.5977,0,
160195,0,57.3546,0,
177528,0,56.3358,0,
181550,0,51.8045,0,
207428,0,62.3666,0,
217530,0,98.8774,0,
237484,0,47.4367,1,
244723,0,48.9003,1,
257051,0,48.4056,0,
261230,0,38.8063,0,
266224,0,48.8066,1,
269412,0,72.4925,0,
273380,0,42.4437,0,
280495,0,81.773,0,
283709,0,39.9374,0,
289344,0,32.118,0,
303354,0,45.6724,0,
320513,0,42.926,0,
329857,0,47.13,0,
346839,0,62.9707,0,
351259,0,45.472,0,
355169,0,56.9356,0,
359374,0,50.4476,1,
363931,0,46.6653,1,
371121,0,46.7055,1,
380368,0,44.4752,1,
380798,0,38.956,0,
380850,0,66.3123,0,
393348,0,51.1391,0,
398558,0,49.245,0,
400615,0,45.2878,1,
403431,0,38.2515,0,
404749,0,74.7669,0,
407017,0,46.9475,0,
433607,0,47.8312,0,
443534,0,45.4333,0,
448347,0,39.8306,0,
457753,0,48.9563,0,
459505,0,59.6527,0,
462365,0,50.3246,1,
466629,0,51.3133,1,
473466,0,78.7785,0,
480128,0,43.1888,0,
480697,0,47.7752,1,
487776,0,50.0598,0,
490701,0,49.6434,1,
491986,0,71.4217,0,
493280,0,73.4768,0,
509950,0,45.3956,1,
512157,0,47.1971,0,
513269,0,55.9885,0,
516613,0,45.6528,0,
530567,0,52.7944,0,
531824,0,68.2047,0,
534917,0,54.0078,0,
549341,0,58.0639,0,
556979,0,76.5637,0,
561378,0,46.664,1,
573686,0,80.451,0,
582487,0,49.5772,0,
589042,0,48.8968,0,
596009,0,47.9503,1,
596054,0,46.4994,1,
605528,0,85.5295,0,
612519,0,43.2594,0,
616090,0,58.4518,0,
616348,0,58.1861,0,
619090,0,60.4483,0,
620261,0,49.6164,1,
628573,0,54.5176,0,
630624,0,44.7596,1,
640533,0,46.3595,0,
648866,0,48.5509,0,
658069,0,50.7423,1,
665496,0,49.3694,1,
666459,0,47.8493,1,
667717,0,60.8541,0,
670397,0,46.517,1,
676797,0,60.7468,0,
708604,0,46.1507,1,
720004,0,85.4078,0,
726010,0,49.1291,0,
731937,0,46.1076,1,
736743,0,41.9998,0,
739063,0,39.2027,0,
739738,0,43.4028,1,
740009,0,43.1718,0,
749291,0,34.8519,0,
755270,0,43.5211,1,
758808,0,49.0143,1,
764889,0,51.0245,0,
766487,0,48.3234,1,
770120,0,54.3867,1,
793099,0,47.0564,1,
794417,0,44.0816,0,
804608,0,53.0084,0,
825080,0,53.2576,0,
839197,0,71.5886,0,
842523,0,47.1014,1,
866771,0,49.7615,0,
871997,0,71.1858,0,
873864,0,53.7546,0,
883562,0,79.816,0,
883589,0,43.6505,0,
884214,0,44.4745,1,
884408,0,47.5539,0,
894972,0,48.6432,0,
897295,0,46.9831,1,
908191,0,44.9587,0,
909633,0,47.5859,0,
912109,0,36.2507,0,
914991,0,58.3738,0,
915721,0,54.4313,0,
922307,0,48.3145,0,
926916,0,36.1545,0,
928471,0,49.0011,0,
931616,0,45.2332,1,
936471,0,43.8245,0,
936868,0,55.6716,0,
939307,0,41.9011,0,
949442,0,47.4706,1,
951012,0,95.6887,0,
952956,0,45.5566,1,
958382,0,47.6399,1,
963033,0,51.5645,0,
966385,0,46.9573,0,
970228,0,43.9821,0,
981010,0,42.5215,0,
985060,0,48.6495,1,
998532,0,66.43,0,
