eventID,experimentalRecoilEnergy,timeOfFlight,success,
132,0,9.4272,0,
706,0,34.3091,0,
1876,0,15.2053,1,
2391,0,11.8463,0,
4423,0,3.25615,0,
4473,0,12.6264,0,
6388,0,6.2729,0,
6923,0,25.3857,0,
7010,0,13.4138,0,
7576,0,7.91068,0,
8827,0,14.0977,0,
9145,0,19.5721,0,
9183,0,10.0006,0,
9229,0,8.23293,0,
9337,0,2.01215,0,
9859,0,23.6712,0,
10968,0,14.6173,0,
11134,0,15.9433,0,
11826,0,7.73137,0,
11966,0,6.65343,0,
12025,0,10.7675,1,
12774,0,13.0524,0,
13011,0,12.3573,0,
13090,0,33.35,0,
13680,0,3.20436,0,
14298,0,9.80702,0,
15718,0,8.85531,0,
15924,0,13.0743,0,
16359,0,15.2827,0,
17872,0,11.869,0,
19623,0,6.75566,0,
19834,0,37.9895,0,
22485,0,8.51648,0,
23504,0,32.9338,0,
24511,0,10.3159,0,
25069,0,29.8991,0,
25166,0,10.4787,0,
25792,0,18.534,0,
26324,0,9.60465,0,
28849,0,14.7248,0,
29034,0,6.36961,0,
29591,0,9.75338,0,
29977,0,28.3748,0,
30194,0,9.25709,0,
31320,0,19.4186,0,
32736,0,6.90222,0,
34241,0,18.3471,0,
35088,0,34.777,0,
35243,0,9.3697,0,
37718,0,12.9935,0,
38352,0,7.90252,0,
38751,0,5.45542,0,
39391,0,14.2904,0,
41719,0,10.2149,0,
41841,0,1.94654,0,
42179,0,15.3881,0,
43134,0,10.6249,0,
43146,0,6.70574,0,
43408,0,20.7462,0,
43738,0,10.6385,0,
43745,0,20.4791,0,
44017,0,14.464,0,
44357,0,7.47988,0,
44746,0,5.90529,0,
45667,0,14.2449,0,
48894,0,9.0637,0,
49393,0,11.7298,0,
49913,0,6.99432,0,
51844,0,9.93456,0,
51865,0,14.7575,0,
52034,0,8.93275,0,
52432,0,9.24701,0,
52543,0,7.87474,0,
52919,0,11.2791,0,
54793,0,7.6739,0,
54866,0,14.5046,0,
55376,0,10.3166,0,
55640,0,8.40325,0,
55946,0,4.2629,0,
58410,0,4.52849,0,
58496,0,19.515,1,
59758,0,16.058,0,
60015,0,12.0865,0,
61937,0,24.6788,0,
61939,0,6.80856,0,
62056,0,12.6006,0,
64883,0,10.5397,0,
65857,0,7.37418,0,
66245,0,39.9064,0,
66625,0,10.5404,0,
69140,0,8.64013,0,
69954,0,5.56906,0,
70251,0,11.0277,0,
70563,0,12.7535,0,
70841,0,25.977,0,
71092,0,91.7179,0,
71363,0,10.8662,0,
74147,0,6.49076,0,
74587,0,11.4134,0,
75505,0,7.17924,0,
76099,0,45.8366,0,
76663,0,11.9489,0,
77740,0,9.32953,0,
78888,0,52.3697,0,
79412,0,8.78294,0,
80249,0,10.0491,0,
81186,0,20.9027,0,
81424,0,36.1328,0,
82545,0,21.3221,0,
83407,0,13.0561,1,
84400,0,20.5896,0,
85578,0,15.063,0,
88465,0,14.1114,0,
88640,0,15.0726,0,
89963,0,6.88014,0,
89986,0,11.3388,1,
91426,0,8.97135,1,
92076,0,12.6946,0,
93108,0,8.34618,0,
93642,0,19.4636,0,
93820,0,18.4498,0,
94611,0,12.4295,0,
95549,0,37.7601,0,
95603,0,22.5137,0,
96482,0,11.2949,0,
96831,0,10.4736,0,
96855,0,21.5127,0,
97069,0,11.3414,0,
98665,0,7.10776,0,
99582,0,13.5188,0,
100454,0,12.8851,0,
100587,0,4.68659,0,
100971,0,12.5327,0,
101549,0,10.3654,0,
101961,0,37.2699,0,
102610,0,11.8314,0,
103636,0,48.4508,0,
104119,0,5.6983,0,
104418,0,41.1907,0,
105012,0,10.6426,0,
105099,0,12.2868,0,
105132,0,80.1137,0,
106630,0,17.2987,0,
107231,0,9.55824,0,
107632,0,8.2394,0,
109082,0,12.6829,0,
109867,0,11.3692,0,
110865,0,10.7156,0,
112684,0,2.85998,0,
113333,0,5.73681,0,
113511,0,8.86556,0,
114355,0,21.5375,0,
114503,0,15.6511,0,
116550,0,16.6959,0,
117467,0,7.28854,0,
118644,0,10.4789,0,
118652,0,11.7174,0,
118757,0,23.0454,0,
119746,0,41.2319,0,
119782,0,5.13615,0,
120807,0,13.811,0,
121616,0,11.1884,0,
121726,0,5.26736,0,
122060,0,60.21,0,
122246,0,50.566,0,
123885,0,33.2444,0,
124486,0,26.629,0,
124521,0,14.385,0,
125590,0,15.4417,0,
126438,0,15.0571,0,
129339,0,6.23494,0,
130042,0,9.02093,0,
130546,0,28.0536,0,
131812,0,6.89182,0,
131893,0,10.0348,0,
132244,0,6.75543,0,
132731,0,10.4538,0,
133948,0,14.2318,0,
133979,0,28.0542,0,
134358,0,15.6393,0,
134578,0,12.5749,0,
135483,0,42.0294,0,
135960,0,13.937,0,
136554,0,35.5446,0,
136723,0,15.5585,0,
137746,0,8.35558,0,
138344,0,11.4465,0,
138670,0,5.04859,0,
139070,0,13.2266,0,
139988,0,56.548,0,
140331,0,17.4594,0,
141027,0,16.7173,0,
141701,0,16.7089,0,
144123,0,1.176,0,
145541,0,15.7666,0,
145548,0,6.34675,0,
146081,0,9.83857,0,
146188,0,14.9104,0,
146744,0,34.2066,0,
149271,0,10.0143,0,
151129,0,9.00154,1,
151655,0,11.409,0,
151717,0,33.2879,0,
151962,0,5.56583,0,
152732,0,7.57532,0,
152816,0,32.4053,0,
153083,0,8.3315,0,
153206,0,9.20154,0,
153409,0,11.0844,1,
155145,0,8.42487,1,
155473,0,12.0936,0,
155693,0,1.56751,0,
155816,0,9.64064,0,
156145,0,10.985,1,
156163,0,14.2425,0,
156175,0,13.2619,0,
157201,0,14.1884,0,
157278,0,12.3511,0,
157484,0,11.3535,1,
158608,0,14.8895,0,
158787,0,44.656,0,
159326,0,12.6465,0,
160077,0,8.75101,0,
160089,0,18.2706,0,
161315,0,8.76606,0,
162340,0,13.237,1,
162496,0,16.0174,0,
162934,0,4.41903,0,
163395,0,8.2436,0,
163557,0,17.4922,0,
163799,0,10.4879,1,
164555,0,10.9642,0,
165139,0,19.6728,0,
165714,0,37.3755,0,
166501,0,14.8997,0,
167403,0,53.6446,0,
169495,0,8.48759,0,
169985,0,13.3697,0,
170046,0,7.20932,0,
170716,0,4.69635,0,
171154,0,2.66477,0,
171448,0,16.8474,0,
171528,0,36.2127,0,
172174,0,23.029,0,
172318,0,26.1171,0,
175251,0,21.2614,0,
175356,0,12.7268,0,
175590,0,14.2047,0,
175607,0,10.0002,0,
175946,0,8.86274,1,
176282,0,10.0097,0,
177023,0,2.92464,0,
177930,0,53.6463,0,
178975,0,12.6379,0,
179819,0,11.1573,0,
180332,0,9.26066,0,
181068,0,11.6227,0,
181628,0,5.06361,0,
