eventID,numPhot,
0,14,
1,16,
2,18,
3,0,
4,14,
5,18,
6,16,
7,18,
8,18,
9,18,
10,18,
11,17,
12,17,
13,17,
14,19,
15,16,
16,0,
17,19,
18,15,
19,18,
20,20,
21,18,
22,18,
23,19,
24,16,
25,16,
26,5,
27,16,
28,18,
29,16,
30,16,
31,18,
32,20,
33,0,
34,19,
35,20,
36,2,
37,0,
38,19,
39,15,
40,17,
41,18,
42,16,
43,17,
44,0,
45,16,
46,18,
47,16,
48,19,
49,14,
50,19,
51,17,
52,18,
53,0,
54,14,
55,0,
56,7,
57,19,
58,17,
59,15,
60,14,
61,18,
62,15,
63,17,
64,17,
65,11,
66,18,
67,0,
68,15,
69,18,
70,0,
71,19,
72,19,
73,15,
74,19,
75,18,
76,19,
77,17,
78,20,
79,19,
80,14,
81,18,
82,15,
83,17,
84,0,
85,18,
86,16,
87,0,
88,17,
89,18,
90,18,
91,18,
92,19,
93,17,
94,0,
95,15,
96,0,
97,19,
98,15,
99,0,
100,18,
101,19,
102,21,
103,19,
104,0,
105,20,
106,20,
107,17,
108,0,
109,17,
110,18,
111,13,
112,19,
113,19,
114,16,
115,18,
116,19,
117,0,
118,19,
119,17,
120,16,
121,19,
122,6,
123,16,
124,19,
125,0,
126,0,
127,17,
128,0,
129,17,
130,0,
131,20,
132,18,
133,19,
134,19,
135,0,
136,18,
137,19,
138,18,
139,0,
140,19,
141,17,
142,1,
143,17,
144,16,
145,18,
146,16,
147,17,
148,17,
149,12,
150,17,
151,19,
152,18,
153,14,
154,16,
155,19,
156,16,
157,18,
158,17,
159,18,
160,14,
161,18,
162,18,
163,0,
164,17,
165,17,
166,18,
167,18,
168,19,
169,19,
170,20,
171,19,
172,18,
173,16,
174,19,
175,17,
176,0,
177,19,
178,16,
179,19,
180,19,
181,14,
182,20,
183,18,
184,15,
185,18,
186,17,
187,16,
188,20,
189,21,
190,19,
191,19,
192,19,
193,16,
194,16,
195,21,
196,21,
197,17,
198,19,
199,16,
200,19,
201,17,
202,20,
203,16,
204,11,
205,21,
206,7,
207,18,
208,16,
209,20,
210,0,
211,17,
212,0,
213,18,
214,18,
215,18,
216,8,
217,0,
218,0,
219,18,
220,19,
221,17,
222,18,
223,0,
224,20,
225,9,
226,19,
227,19,
228,18,
229,17,
230,19,
231,23,
232,18,
233,19,
234,15,
235,19,
236,16,
237,17,
238,18,
239,0,
240,19,
241,19,
242,19,
243,6,
244,19,
245,14,
246,0,
247,18,
248,18,
249,0,
250,19,
251,15,
252,18,
253,20,
254,18,
255,20,
256,18,
257,17,
258,0,
259,19,
260,16,
261,0,
262,17,
263,14,
264,17,
265,0,
266,16,
267,18,
268,16,
269,17,
270,12,
271,18,
272,18,
273,19,
274,17,
275,21,
276,18,
277,18,
278,18,
279,19,
280,17,
281,19,
282,18,
283,19,
284,19,
285,19,
286,15,
287,18,
288,0,
289,16,
290,18,
291,17,
292,20,
293,15,
294,17,
295,17,
296,19,
297,17,
298,15,
299,17,
300,14,
301,22,
302,18,
303,18,
304,15,
305,0,
306,0,
307,19,
308,0,
309,17,
310,19,
311,10,
312,0,
313,19,
314,18,
315,16,
316,16,
317,0,
318,19,
319,17,
320,19,
321,19,
322,16,
323,18,
324,0,
325,18,
326,16,
327,18,
328,16,
329,18,
330,0,
331,18,
332,0,
333,21,
334,18,
335,0,
336,19,
337,19,
338,0,
339,19,
340,18,
341,13,
342,17,
343,19,
344,16,
345,22,
346,13,
347,16,
348,13,
349,16,
350,19,
351,0,
352,16,
353,17,
354,27,
355,21,
356,18,
357,17,
358,8,
359,21,
360,19,
361,0,
362,14,
363,19,
364,15,
365,1,
366,0,
367,19,
368,12,
369,19,
370,0,
371,19,
372,0,
373,19,
374,17,
375,18,
376,16,
377,18,
378,15,
379,16,
380,15,
381,16,
382,0,
383,17,
384,18,
385,20,
386,17,
387,18,
388,0,
389,14,
390,18,
391,0,
392,14,
393,18,
394,19,
395,18,
396,15,
397,20,
398,15,
399,19,
400,15,
401,15,
402,14,
403,0,
404,18,
405,17,
406,18,
407,18,
408,19,
409,0,
410,17,
411,7,
412,0,
413,14,
414,15,
415,17,
416,18,
417,19,
418,0,
419,18,
420,21,
421,15,
422,19,
423,17,
424,0,
425,19,
426,19,
427,0,
428,18,
429,0,
430,19,
431,19,
432,21,
433,18,
434,15,
435,18,
436,0,
437,20,
438,17,
439,0,
440,16,
441,19,
442,18,
443,17,
444,0,
445,0,
446,19,
447,17,
448,0,
449,15,
450,18,
451,18,
452,19,
453,17,
454,19,
455,18,
456,0,
457,18,
458,16,
459,18,
460,15,
461,18,
462,15,
463,20,
464,17,
465,19,
466,19,
467,17,
468,17,
469,17,
470,14,
471,17,
472,15,
473,16,
474,18,
475,18,
476,0,
477,23,
478,17,
479,0,
480,19,
481,15,
482,16,
483,18,
484,18,
485,18,
486,17,
487,16,
488,0,
489,16,
490,18,
491,16,
492,18,
493,0,
494,19,
495,19,
496,18,
497,18,
498,0,
499,18,
500,17,
501,21,
502,19,
503,24,
504,0,
505,17,
506,16,
507,20,
508,20,
509,19,
510,16,
511,20,
512,19,
513,0,
514,0,
515,0,
516,19,
517,18,
518,18,
519,20,
520,16,
521,15,
522,20,
523,14,
524,18,
525,14,
526,17,
527,20,
528,19,
529,18,
530,16,
531,0,
532,17,
533,19,
534,0,
535,16,
536,18,
537,18,
538,19,
539,21,
540,20,
541,20,
542,19,
543,19,
544,18,
545,16,
546,19,
547,18,
548,16,
549,0,
550,18,
551,0,
552,20,
553,0,
554,20,
555,0,
556,16,
557,19,
558,12,
559,20,
560,17,
561,0,
562,19,
563,0,
564,18,
565,17,
566,20,
567,15,
568,19,
569,17,
570,16,
571,19,
572,17,
573,0,
574,18,
575,19,
576,20,
577,14,
578,17,
579,16,
580,0,
581,15,
582,0,
583,19,
584,18,
585,16,
586,21,
587,17,
588,0,
589,17,
590,18,
591,2,
592,17,
593,16,
594,18,
595,19,
596,19,
597,18,
598,20,
599,18,
600,0,
601,19,
602,6,
603,19,
604,13,
605,18,
606,18,
607,17,
608,14,
609,18,
610,16,
611,19,
612,18,
613,20,
614,17,
615,0,
616,0,
617,16,
618,0,
619,19,
620,18,
621,19,
622,14,
623,19,
624,18,
625,22,
626,19,
627,20,
628,0,
629,18,
630,13,
631,19,
632,0,
633,17,
634,15,
635,0,
636,18,
637,18,
638,17,
639,19,
640,18,
641,18,
642,0,
643,18,
644,21,
645,21,
646,0,
647,18,
648,17,
649,20,
650,20,
651,16,
652,21,
653,16,
654,18,
655,18,
656,17,
657,15,
658,14,
659,13,
660,15,
661,15,
662,18,
663,18,
664,17,
665,19,
666,16,
667,19,
668,0,
669,0,
670,19,
671,0,
672,12,
673,18,
674,19,
675,17,
676,16,
677,17,
678,17,
679,20,
680,19,
681,0,
682,0,
683,14,
684,0,
685,19,
686,21,
687,17,
688,19,
689,0,
690,20,
691,19,
692,18,
693,19,
694,17,
695,17,
696,16,
697,17,
698,15,
699,19,
700,19,
701,19,
702,0,
703,15,
704,21,
705,18,
706,17,
707,18,
708,18,
709,18,
710,19,
711,18,
712,16,
713,14,
714,19,
715,18,
716,18,
717,15,
718,19,
719,19,
720,15,
721,19,
722,19,
723,0,
724,19,
725,19,
726,19,
727,17,
728,0,
729,14,
730,18,
731,17,
732,16,
733,20,
734,10,
735,19,
736,13,
737,19,
738,17,
739,0,
740,19,
741,0,
742,6,
743,19,
744,17,
745,19,
746,16,
747,0,
748,17,
749,17,
750,0,
751,16,
752,0,
753,19,
754,18,
755,18,
756,18,
757,0,
758,17,
759,0,
760,19,
761,0,
762,12,
763,19,
764,18,
765,0,
766,19,
767,17,
768,16,
769,18,
770,18,
771,19,
772,0,
773,13,
774,18,
775,18,
776,20,
777,1,
778,18,
779,19,
780,20,
781,16,
782,19,
783,16,
784,18,
785,20,
786,19,
787,18,
788,15,
789,0,
790,0,
791,18,
792,19,
793,20,
794,17,
795,10,
796,0,
797,18,
798,17,
799,17,
800,18,
801,18,
802,19,
803,18,
804,19,
805,17,
806,0,
807,23,
808,17,
809,18,
810,20,
811,18,
812,20,
813,16,
814,17,
815,18,
816,20,
817,14,
818,20,
819,18,
820,6,
821,16,
822,6,
823,18,
824,16,
825,19,
826,19,
827,19,
828,18,
829,18,
830,14,
831,19,
832,0,
833,19,
834,0,
835,17,
836,17,
837,0,
838,19,
839,19,
840,19,
841,18,
842,20,
843,0,
844,19,
845,19,
846,18,
847,18,
848,18,
849,16,
850,18,
851,18,
852,0,
853,0,
854,18,
855,16,
856,5,
857,18,
858,19,
859,16,
860,19,
861,18,
862,18,
863,19,
864,12,
865,0,
866,19,
867,19,
868,18,
869,18,
870,0,
871,0,
872,19,
873,19,
874,18,
875,19,
876,19,
877,23,
878,18,
879,19,
880,19,
881,0,
882,18,
883,15,
884,22,
885,18,
886,17,
887,19,
888,18,
889,15,
890,19,
891,18,
892,16,
893,18,
894,14,
895,0,
896,18,
897,17,
898,6,
899,19,
900,14,
901,18,
902,20,
903,17,
904,20,
905,0,
906,13,
907,16,
908,18,
909,0,
910,19,
911,0,
912,0,
913,7,
914,18,
915,19,
916,0,
917,15,
918,18,
919,19,
920,17,
921,3,
922,19,
923,0,
924,18,
925,16,
926,22,
927,18,
928,17,
929,18,
930,0,
931,19,
932,0,
933,18,
934,16,
935,19,
936,20,
937,18,
938,17,
939,19,
940,19,
941,18,
942,21,
943,0,
944,18,
945,19,
946,18,
947,19,
948,19,
949,16,
950,19,
951,0,
952,17,
953,14,
954,18,
955,17,
956,19,
957,17,
958,18,
959,19,
960,0,
961,21,
962,19,
963,17,
964,12,
965,6,
966,17,
967,19,
968,17,
969,19,
970,18,
971,19,
972,17,
973,18,
974,18,
975,16,
976,17,
977,15,
978,21,
979,17,
980,15,
981,20,
982,13,
983,14,
984,17,
985,15,
986,17,
987,19,
988,19,
989,0,
990,17,
991,20,
992,20,
993,18,
994,18,
995,0,
996,16,
997,18,
998,18,
999,19,
1000,0,
1001,18,
1002,16,
1003,9,
1004,19,
1005,20,
1006,17,
1007,18,
1008,0,
1009,16,
1010,17,
1011,18,
1012,18,
1013,20,
1014,17,
1015,15,
1016,18,
1017,19,
1018,17,
1019,18,
1020,18,
1021,17,
1022,18,
1023,0,
1024,19,
1025,14,
1026,15,
1027,14,
1028,18,
1029,19,
1030,17,
1031,19,
1032,0,
1033,15,
1034,17,
1035,11,
1036,19,
1037,0,
1038,16,
1039,0,
1040,19,
1041,19,
1042,0,
1043,13,
1044,19,
1045,20,
1046,18,
1047,19,
1048,21,
1049,1,
1050,18,
1051,16,
1052,20,
1053,17,
1054,23,
1055,17,
1056,0,
1057,19,
1058,19,
1059,15,
1060,19,
1061,15,
1062,16,
1063,18,
1064,18,
1065,19,
1066,19,
1067,17,
1068,0,
1069,18,
1070,0,
1071,21,
1072,22,
1073,17,
1074,19,
1075,17,
1076,0,
1077,19,
1078,18,
1079,18,
1080,18,
1081,19,
1082,0,
1083,19,
1084,18,
1085,21,
1086,8,
1087,19,
1088,18,
1089,21,
1090,17,
1091,19,
1092,0,
1093,0,
1094,17,
1095,18,
1096,16,
1097,17,
1098,20,
1099,18,
1100,17,
1101,20,
1102,12,
1103,19,
1104,18,
1105,17,
1106,17,
1107,12,
1108,15,
1109,17,
1110,18,
1111,17,
1112,19,
1113,0,
1114,19,
1115,17,
1116,15,
1117,20,
1118,22,
1119,15,
1120,18,
1121,18,
1122,16,
1123,17,
