eventID,numPhotons,nScint,sumStepLength,
0,1432,0,0,
1,1389,0,0,
2,1342,0,0,
3,994,0,0,
4,1425,0,0,
5,1390,0,0,
6,761,0,0,
7,1335,0,0,
8,1063,0,0,
9,1447,0,0,
10,1483,0,0,
11,1336,0,0,
12,941,0,0,
13,1070,0,0,
14,843,0,0,
15,1451,0,0,
16,660,0,0,
17,1415,0,0,
18,1419,0,0,
19,1419,0,0,
20,1158,0,0,
21,983,0,0,
22,1032,0,0,
23,1173,0,0,
24,1442,0,0,
25,1156,0,0,
26,1387,0,0,
27,623,0,0,
28,483,0,0,
29,389,0,0,
30,811,0,0,
31,1425,0,0,
32,1349,0,0,
33,1122,0,0,
34,1238,0,0,
35,1081,0,0,
36,1286,0,0,
37,681,0,0,
38,1299,0,0,
39,1449,0,0,
40,1471,0,0,
41,1486,0,0,
42,982,0,0,
43,1375,0,0,
44,1098,0,0,
45,1271,0,0,
46,1461,0,0,
47,1268,0,0,
48,1056,0,0,
49,1410,0,0,
50,1327,0,0,
51,1194,0,0,
52,1292,0,0,
53,1508,0,0,
54,1340,0,0,
55,1279,0,0,
56,1194,0,0,
57,1396,0,0,
58,1256,0,0,
59,1454,0,0,
60,1071,0,0,
61,1019,0,0,
62,1212,0,0,
63,1230,0,0,
64,895,0,0,
65,1157,0,0,
66,1291,0,0,
67,1385,0,0,
68,1433,0,0,
69,1293,0,0,
70,1353,0,0,
71,1077,0,0,
72,1293,0,0,
73,1258,0,0,
74,1169,0,0,
75,1330,0,0,
76,1154,0,0,
77,1193,0,0,
78,1316,0,0,
79,1323,0,0,
80,707,0,0,
81,1291,0,0,
82,1406,0,0,
83,1434,0,0,
84,1391,0,0,
85,1405,0,0,
86,1105,0,0,
87,1300,0,0,
88,1298,0,0,
89,1310,0,0,
90,1321,0,0,
91,1402,0,0,
92,1340,0,0,
93,649,0,0,
94,865,0,0,
95,1475,0,0,
96,1330,0,0,
97,1257,0,0,
98,1335,0,0,
99,953,0,0,
100,1271,0,0,
101,1490,0,0,
102,1471,0,0,
103,1396,0,0,
104,1428,0,0,
105,1333,0,0,
106,952,0,0,
107,1035,0,0,
108,738,0,0,
109,1150,0,0,
110,1100,0,0,
111,1484,0,0,
112,1083,0,0,
113,1375,0,0,
114,1136,0,0,
115,1331,0,0,
116,1174,0,0,
117,1368,0,0,
118,1344,0,0,
119,1309,0,0,
120,590,0,0,
121,1439,0,0,
122,1310,0,0,
123,1239,0,0,
124,719,0,0,
125,1231,0,0,
126,1024,0,0,
127,1415,0,0,
128,1322,0,0,
129,1016,0,0,
130,1370,0,0,
131,1355,0,0,
132,1423,0,0,
133,1374,0,0,
134,1261,0,0,
135,1210,0,0,
136,1459,0,0,
137,1077,0,0,
138,1142,0,0,
139,1347,0,0,
140,1396,0,0,
141,1096,0,0,
142,1314,0,0,
143,959,0,0,
144,1333,0,0,
145,1371,0,0,
146,1437,0,0,
147,1411,0,0,
148,1405,0,0,
149,1217,0,0,
150,1508,0,0,
151,1270,0,0,
152,1097,0,0,
153,1179,0,0,
154,1071,0,0,
155,1357,0,0,
156,1338,0,0,
157,1285,0,0,
158,1068,0,0,
159,1276,0,0,
160,1416,0,0,
161,1397,0,0,
162,673,0,0,
163,1321,0,0,
164,1150,0,0,
165,1275,0,0,
166,1328,0,0,
167,737,0,0,
168,1095,0,0,
169,1243,0,0,
170,681,0,0,
171,1391,0,0,
172,1339,0,0,
173,929,0,0,
174,955,0,0,
175,1140,0,0,
176,1178,0,0,
177,1034,0,0,
178,1222,0,0,
179,1262,0,0,
180,373,0,0,
181,1286,0,0,
182,1454,0,0,
183,1013,0,0,
184,1027,0,0,
185,1459,0,0,
186,1439,0,0,
187,1494,0,0,
188,1268,0,0,
189,1442,0,0,
190,1360,0,0,
191,1312,0,0,
192,886,0,0,
193,1362,0,0,
194,1289,0,0,
195,888,0,0,
196,1429,0,0,
197,1390,0,0,
198,1391,0,0,
199,1609,0,0,
200,1219,0,0,
201,949,0,0,
202,1289,0,0,
203,1275,0,0,
204,1352,0,0,
205,965,0,0,
206,1293,0,0,
207,312,0,0,
208,1226,0,0,
209,1337,0,0,
210,1144,0,0,
211,768,0,0,
212,1062,0,0,
213,1107,0,0,
214,1211,0,0,
215,1141,0,0,
216,1362,0,0,
217,932,0,0,
218,1353,0,0,
219,1256,0,0,
220,1044,0,0,
221,1461,0,0,
222,834,0,0,
223,1232,0,0,
224,1262,0,0,
225,1443,0,0,
226,1299,0,0,
227,1408,0,0,
228,1264,0,0,
229,1376,0,0,
230,1496,0,0,
231,1197,0,0,
232,874,0,0,
233,1192,0,0,
234,1387,0,0,
235,1542,0,0,
236,815,0,0,
237,1451,0,0,
238,1522,0,0,
239,1194,0,0,
240,1306,0,0,
241,1233,0,0,
242,1137,0,0,
243,1340,0,0,
244,411,0,0,
245,697,0,0,
246,1065,0,0,
247,1591,0,0,
248,1043,0,0,
249,985,0,0,
250,1316,0,0,
251,1512,0,0,
252,1183,0,0,
253,861,0,0,
254,1128,0,0,
255,1287,0,0,
256,762,0,0,
257,1406,0,0,
258,1272,0,0,
259,1216,0,0,
260,1313,0,0,
261,1235,0,0,
262,1433,0,0,
263,1019,0,0,
264,1307,0,0,
265,1490,0,0,
266,1180,0,0,
267,1284,0,0,
268,1239,0,0,
269,1326,0,0,
270,1461,0,0,
271,1396,0,0,
272,1153,0,0,
