eventID,numPhotons,nScint,sumStepLength,
0,1285,0,0,
1,1192,0,0,
2,1426,0,0,
3,1313,0,0,
4,1277,0,0,
5,1554,0,0,
6,1382,0,0,
7,1399,0,0,
8,1494,0,0,
9,1094,0,0,
10,1551,0,0,
11,1391,0,0,
12,1507,0,0,
13,1528,0,0,
14,1511,0,0,
15,1603,0,0,
16,1516,0,0,
17,685,0,0,
18,1336,0,0,
19,1516,0,0,
20,1492,0,0,
21,1598,0,0,
22,1370,0,0,
23,1181,0,0,
24,1193,0,0,
25,1236,0,0,
26,1386,0,0,
27,1342,0,0,
28,1511,0,0,
29,1123,0,0,
30,1271,0,0,
31,1063,0,0,
32,1364,0,0,
33,1551,0,0,
34,1503,0,0,
35,1508,0,0,
36,1547,0,0,
37,1548,0,0,
38,1316,0,0,
39,1379,0,0,
40,1571,0,0,
41,1017,0,0,
42,807,0,0,
43,1567,0,0,
44,1449,0,0,
45,1599,0,0,
46,1451,0,0,
47,1188,0,0,
48,1444,0,0,
49,1427,0,0,
50,1257,0,0,
51,1334,0,0,
52,1542,0,0,
53,1329,0,0,
54,1458,0,0,
55,1526,0,0,
56,551,0,0,
57,1432,0,0,
58,1432,0,0,
59,1584,0,0,
60,1579,0,0,
61,1451,0,0,
62,1448,0,0,
63,1430,0,0,
64,961,0,0,
65,1006,0,0,
66,1390,0,0,
67,1019,0,0,
68,1309,0,0,
69,1471,0,0,
70,1532,0,0,
71,1492,0,0,
72,1411,0,0,
73,1443,0,0,
74,1437,0,0,
75,1442,0,0,
76,1286,0,0,
77,1491,0,0,
78,991,0,0,
79,1485,0,0,
80,998,0,0,
81,1245,0,0,
82,1295,0,0,
83,1498,0,0,
84,1347,0,0,
85,1376,0,0,
86,1226,0,0,
87,1529,0,0,
88,1501,0,0,
89,1367,0,0,
90,1035,0,0,
91,1623,0,0,
92,1319,0,0,
93,1463,0,0,
94,1407,0,0,
95,1589,0,0,
96,1437,0,0,
97,1346,0,0,
98,1124,0,0,
99,1464,0,0,
100,1566,0,0,
101,1232,0,0,
102,1406,0,0,
103,1323,0,0,
104,1473,0,0,
105,1419,0,0,
106,1092,0,0,
107,1526,0,0,
108,1281,0,0,
109,1494,0,0,
110,1515,0,0,
111,1498,0,0,
112,1492,0,0,
113,1153,0,0,
114,1534,0,0,
115,1085,0,0,
116,1301,0,0,
117,1345,0,0,
118,1047,0,0,
119,1467,0,0,
120,1632,0,0,
121,1370,0,0,
122,1446,0,0,
123,1286,0,0,
124,1366,0,0,
125,1447,0,0,
126,1424,0,0,
127,1306,0,0,
128,1511,0,0,
129,1433,0,0,
130,1482,0,0,
131,1099,0,0,
132,1427,0,0,
133,1454,0,0,
134,1595,0,0,
135,1595,0,0,
136,1449,0,0,
137,1500,0,0,
138,1565,0,0,
139,1428,0,0,
140,1547,0,0,
141,1521,0,0,
142,1231,0,0,
143,1400,0,0,
144,1504,0,0,
145,1452,0,0,
