numPhotons,numUp,numDown,
50005,3377,2945,
49990,3104,3051,
50135,3092,3187,
50093,3066,3177,
49650,3228,3070,
49820,3115,3050,
49982,3131,3109,
48776,3065,3108,
50101,3336,2986,
49274,2954,3291,
49625,3196,3083,
50024,2983,3347,
50110,3021,3203,
50167,3175,3182,
49879,3116,3151,
49645,3034,3222,
50204,3058,3264,
49845,3090,3322,
49993,3208,3016,
50075,3067,3309,
49989,3367,2910,
49368,3153,2916,
50091,3044,3300,
50038,3271,2976,
50018,3124,3253,
49916,3071,3282,
49283,3003,3217,
49227,3004,3096,
49673,3268,3036,
50116,3014,3173,
50125,3106,3190,
50030,3191,3032,
50039,3046,3212,
49981,3168,3094,
50098,3183,3200,
50007,3274,3067,
50137,3221,3136,
50117,3152,3147,
50209,3116,3315,
49391,3035,3157,
49976,2954,3367,
50124,2950,3337,
49840,3282,2930,
50036,3053,3225,
49647,3311,2931,
49908,3009,3184,
49102,3158,3001,
50192,3185,3248,
48676,3159,3055,
49903,3305,2907,
50063,2883,3476,
49766,3050,3231,
50152,3069,3334,
49818,3083,3092,
49792,3240,3059,
50221,3126,3136,
50188,2908,3321,
49334,3066,3124,
49731,3089,3236,
49931,3194,3040,
49358,3114,3160,
50024,3120,3133,
50001,3191,2931,
50018,3046,3295,
50034,3250,3086,
49913,3123,3133,
50137,3245,3012,
49846,3341,2960,
38395,2485,2490,
49187,3074,3117,
50058,3367,2947,
49860,3111,3227,
49987,3020,3300,
49995,3049,3215,
49873,2907,3397,
50255,3163,3195,
49914,3138,3202,
49690,3181,2969,
49766,3064,3281,
49949,3146,3180,
49822,3024,3244,
49719,3165,2979,
49857,3292,2793,
49963,3101,3221,
49699,3133,3220,
50172,3193,3074,
49878,3137,3085,
49044,3206,3020,
49501,2907,3192,
50112,3148,3113,
49385,3265,3076,
49671,3267,2967,
49445,2869,3276,
49897,3237,3000,
50106,3216,2975,
49926,3135,3193,
50048,3062,3126,
50114,3228,3035,
49525,3015,3277,
50176,3256,3026,
50104,3102,3192,
49784,3126,3043,
48772,3035,3014,
50162,2914,3451,
49955,3178,3040,
50185,3079,3159,
48885,3267,2997,
49801,3180,3074,
48911,3196,3047,
49847,2933,3332,
49798,3244,3044,
49496,3086,3181,
49860,3114,3184,
49896,3255,2936,
49850,3158,3013,
50126,3089,3263,
50035,2853,3313,
49911,3243,3179,
49861,3092,3293,
50039,3262,3077,
48760,3354,2764,
49555,3187,3093,
49961,3074,3213,
49579,2921,3281,
49498,3167,2984,
50081,2995,3189,
50176,3319,2912,
50027,3107,3105,
50060,3211,3027,
49930,3279,3024,
50135,3044,3305,
49384,2865,3267,
49883,3172,3079,
50149,3260,3060,
50175,3241,2959,
49791,2977,3319,
50018,3099,3232,
42758,2805,2570,
50082,2924,3377,
49526,3139,3182,
49879,3126,3216,
49819,3140,3101,
49292,3276,2945,
50105,3036,3323,
50061,3228,3110,
50018,3141,3128,
50050,2933,3337,
50023,3122,3151,
49669,3003,3117,
49530,3254,2977,
49638,3156,3050,
49649,3029,3212,
49877,3225,3020,
49850,3078,3094,
49584,3102,3137,
49904,3038,3174,
50007,3008,3168,
43958,2952,2710,
50071,3266,3113,
49772,3264,3106,
49707,3012,3239,
49425,3180,3077,
41858,2251,2275,
50028,3230,3083,
49557,3287,3004,
49873,3028,3203,
50053,3019,3294,
49310,3043,3017,
49299,3012,3154,
49383,3082,3083,
49720,3201,3054,
49849,3140,3183,
41198,2677,2448,
49369,3032,3072,
50103,3272,3073,
49273,3024,3235,
49578,3087,3145,
49995,3017,3243,
50183,3148,3111,
50005,3063,3303,
44850,2444,2577,
49029,3060,3114,
49310,3077,3119,
50102,3243,3001,
49866,3122,3080,
49900,3280,3036,
49736,3097,3086,
48591,2657,3012,
50153,3021,3251,
50135,3255,2970,
49897,3041,3161,
49882,2920,3260,
49949,3119,3210,
48630,2912,3152,
50140,3140,3161,
49705,3216,3070,
49774,3075,3026,
48690,2963,3093,
49743,3042,3228,
50177,3083,3218,
49731,3237,3076,
49851,3161,3192,
49951,2895,3298,
50075,3278,3106,
49970,3109,3082,
49635,3196,3122,
49020,3213,2983,
50030,3039,3296,
49858,3305,3017,
49844,3402,2857,
49969,3275,2952,
50075,3026,3340,
49475,3034,3247,
50130,3176,3164,
49893,3413,2969,
49900,3354,2984,
48911,3245,2942,
50125,3232,3109,
49767,3070,3142,
49700,3029,3088,
50165,3094,3236,
50191,3190,3201,
50144,3328,3029,
50152,3269,3163,
50074,3263,3010,
49528,3073,3076,
49787,3184,3034,
49838,3165,3143,
49537,3017,3502,
49733,2960,3097,
49846,3077,3188,
49808,3151,2978,
49849,3208,3020,
50084,3186,3124,
49751,2998,3071,
49764,2989,3268,
50196,2833,3419,
49678,3083,3198,
49371,3109,3053,
49635,3180,3031,
49409,2989,3265,
49673,3189,3171,
49971,3162,3066,
49472,3154,3129,
50095,3169,3211,
49923,3130,3180,
49396,3034,3173,
50146,3212,2973,
49499,3150,3048,
50060,3193,3125,
50179,3241,2899,
49673,3238,3045,
49607,3009,3123,
50114,2973,3379,
49315,3234,3020,
50101,3160,3192,
50123,3208,3056,
49785,3019,3202,
49240,2901,3286,
49718,3211,3095,
49983,3257,3000,
49336,3100,3219,
49517,3164,3115,
50197,3040,3228,
49109,3074,3156,
50027,3301,3120,
49382,2960,3189,
49925,3292,3014,
50010,3157,3189,
50000,3066,3242,
50056,3095,3233,
49874,3165,3202,
49829,3232,2998,
50104,3152,3046,
50116,3198,3092,
49531,3098,3090,
49848,3154,3079,
50033,2955,3176,
49834,3156,3041,
49729,3246,2995,
50117,3334,3007,
49708,3049,3195,
50094,3286,3016,
50099,3105,3134,
49799,3048,3167,
50040,3141,3198,
50135,3147,3121,
49152,3122,3015,
49906,2995,3269,
49899,3419,2965,
49571,3135,3120,
49890,3205,3029,
49591,3002,3260,
50107,3234,3124,
49453,3276,2903,
50113,3200,2985,
49375,3077,3095,
50198,3171,3099,
49554,3038,3200,
49623,3124,3078,
50082,3198,2933,
50111,3533,2929,
49548,3154,3067,
49687,3159,3028,
49628,3265,3120,
50130,3279,2926,
49491,3107,3204,
50146,3113,3143,
50137,3098,3107,
49462,3103,3033,
49438,3164,3149,
50056,3261,3020,
49749,3181,2927,
49835,3185,3044,
49942,3189,3210,
50045,3185,3111,
49317,3173,2987,
49487,2959,3209,
49359,3079,3130,
49438,3144,3084,
49475,3119,3078,
49917,2987,3295,
50081,3193,2991,
49395,3051,3117,
50018,3237,3096,
49793,3163,3036,
49843,2970,3292,
49944,3068,3178,
50100,3231,3044,
49943,3275,3115,
50121,3038,3258,
49557,3263,3041,
50110,2871,3414,
50231,3199,3130,
50189,3067,3333,
49602,3064,3260,
50038,3257,3065,
49185,3010,3126,
49882,3220,3083,
49394,3190,2932,
49829,3006,3315,
49723,3129,3017,
49651,3229,3124,
49645,3076,3130,
49170,2972,3041,
49519,2989,3215,
49566,3022,2899,
49647,3238,3000,
49063,3161,3065,
49464,3136,3065,
50018,3069,3109,
49813,3246,3120,
50049,3163,3164,
49931,3113,3196,
49732,3169,3093,
49255,3025,3228,
50090,2875,3449,
49822,2928,3284,
50184,3152,3114,
49966,3396,2946,
49782,3244,3081,
49911,3042,3227,
49929,3025,3301,
49964,3000,3275,
48911,3088,3044,
49935,3195,3103,
50114,3242,3010,
49546,3095,3081,
50103,3080,3163,
49229,3055,3111,
49919,3249,3131,
49749,3243,2982,
50002,3107,3186,
49572,3247,3035,
50112,3094,3323,
50099,2922,3331,
49552,2977,3241,
49679,3027,3246,
49872,3229,3038,
50169,3196,3106,
49681,3241,3014,
50034,3001,3286,
50016,2999,3283,
49315,3083,3067,
49720,3107,3113,
49857,3195,3006,
49705,3065,3104,
50062,3097,3216,
49995,3313,2952,
49615,3226,3047,
49799,3187,3038,
49505,3154,3069,
50063,3087,3238,
50010,2985,3386,
49986,3296,2915,
49588,3140,3183,
49815,2967,3349,
49704,3265,2955,
49693,3186,2984,
49640,3049,3106,
49927,3156,3042,
50133,2960,3341,
49409,3207,2958,
49871,3114,3302,
49570,3004,3130,
49918,3134,3208,
49894,2917,3280,
50153,3140,3190,
50039,3117,3121,
50085,2928,3338,
49495,3136,3034,
49499,3378,2984,
49822,3206,3009,
49381,2967,3275,
49973,3234,3045,
49894,3019,3319,
49884,3067,3272,
49617,3164,3156,
48581,3048,3098,
50127,3112,3212,
49201,3025,3200,
49578,3196,3106,
49986,3058,3266,
49645,3116,3078,
50185,3170,3100,
49282,2688,3416,
50111,3211,3108,
49430,2975,3354,
49682,3192,2938,
49672,3046,3229,
49564,3158,3043,
49472,3028,3035,
49574,3131,3174,
49647,3176,3181,
50033,3205,3186,
49767,3029,3251,
50051,3077,3303,
49973,3098,3248,
49336,2957,3148,
50161,2929,3363,
49912,3301,3109,
50091,3018,3215,
50167,3238,3089,
49687,3128,3083,
49444,2886,3281,
49383,3023,3301,
50031,3312,3107,
49864,3153,3096,
49927,3321,3094,
49250,2959,3139,
49979,3098,3200,
49693,3046,3168,
50076,3051,3193,
50022,3378,3036,
49313,2976,3146,
50168,3235,2997,
49910,3253,2982,
49861,3354,3034,
36505,2363,2231,
49017,3031,3080,
48462,2961,2862,
49283,3117,3040,
49180,3051,3045,
49358,2797,3496,
49649,3037,3319,
49729,3115,3224,
49998,3238,2905,
49881,3117,3139,
50024,3177,3161,
50071,3188,3176,
49289,3127,3049,
39689,2519,2436,
49349,3016,3111,
50232,3166,3161,
49997,2850,3328,
49655,3190,3174,
50106,3331,2973,
49646,3119,3129,
49988,3143,3316,
49574,3241,2948,
50114,3136,3114,
50091,2919,3249,
50125,3129,3149,
49570,3201,3140,
50174,3174,3190,
49804,3399,3045,
48992,3078,3151,
50009,2961,3281,
49601,3266,3036,
50059,3289,3028,
49433,3315,2956,
49167,2996,3121,
48202,3047,3095,
50101,3238,2993,
50123,3185,3061,
50214,2908,3462,
49750,3206,3049,
49477,3227,3088,
50075,3077,2994,
49385,2996,3286,
48949,3239,2920,
49482,3180,3055,
49763,2949,3442,
49498,3031,3140,
49601,3328,2923,
42738,2818,2666,
49081,3042,3174,
50032,3207,3201,
50079,3112,3145,
49764,3028,3337,
50106,2915,3418,
49162,2846,2816,
50049,3215,3154,
49465,3046,3137,
49881,3070,3292,
49728,3167,3119,
49704,3143,3187,
50072,3390,2956,
