numPhotons,numUp,numDown,
19716,1306,1230,
20865,1249,1397,
19912,1250,1226,
18888,1143,1117,
18889,1166,1224,
19257,1269,1162,
19355,1281,1224,
18901,1204,1145,
19788,1240,1228,
19861,1246,1273,
18879,1216,1199,
18889,1169,1138,
19982,1275,1258,
18912,1149,1138,
19682,1239,1242,
18891,1164,1154,
18885,1164,1133,
19656,1196,1191,
18880,1194,1141,
18884,1220,1169,
18886,1171,1195,
19568,1256,1317,
18869,1211,1133,
18884,1211,1215,
19212,1286,1165,
19312,1161,1182,
18887,1216,1151,
18875,1125,1186,
18905,1200,1150,
19454,1292,1233,
20557,1190,1333,
18879,1195,1188,
19227,1196,1213,
19728,1262,1268,
18889,1202,1121,
18891,1238,1181,
18899,1147,1171,
18912,1171,1166,
19861,1311,1208,
20187,1310,1319,
19543,1227,1183,
19733,1323,1213,
18899,1218,1220,
19188,1204,1201,
19051,1203,1202,
18889,1215,1258,
18903,1175,1169,
18876,1127,1221,
18896,1161,1207,
19714,1222,1253,
18920,1165,1199,
18872,1204,1250,
19695,1240,1239,
18874,1241,1153,
18916,1126,1147,
18903,1185,1192,
19704,1164,1241,
19346,1184,1136,
18907,1153,1270,
18893,1161,1209,
18892,1198,1151,
18871,1194,1189,
19603,1229,1232,
18907,1201,1254,
19548,1255,1216,
18869,1160,1213,
18882,1193,1196,
19526,1268,1219,
19882,1321,1223,
20002,1224,1304,
20241,1260,1242,
18990,1226,1196,
19925,1246,1266,
18881,1204,1141,
18906,1154,1158,
18885,1228,1166,
18893,1139,1172,
19898,1226,1259,
18884,1213,1176,
19385,1208,1235,
19292,1196,1302,
19502,1308,1184,
19033,1205,1184,
18889,1151,1208,
18878,1174,1194,
19351,1297,1193,
19231,1262,1219,
18880,1181,1189,
19326,1193,1262,
18879,1177,1182,
18878,1230,1144,
18889,1113,1227,
18874,1226,1253,
19048,1171,1182,
18879,1209,1202,
18898,1193,1170,
19999,1264,1193,
18880,1184,1224,
18883,1192,1251,
19917,1221,1200,
19051,1260,1210,
18890,1244,1150,
18880,1157,1243,
20217,1265,1277,
18911,1227,1154,
18888,1179,1180,
19800,1251,1232,
19576,1240,1257,
18911,1160,1149,
18882,1114,1152,
20240,1314,1305,
18892,1142,1251,
18886,1224,1164,
19466,1254,1253,
19435,1271,1242,
19377,1230,1141,
19359,1218,1254,
19752,1293,1200,
18904,1225,1189,
18902,1166,1211,
19373,1227,1201,
18912,1156,1140,
21403,1360,1319,
18873,1196,1201,
18901,1177,1167,
19228,1223,1274,
18899,1163,1211,
18879,1187,1155,
19525,1193,1254,
19520,1224,1230,
18900,1157,1168,
18895,1163,1185,
20006,1266,1277,
19590,1244,1202,
19409,1260,1231,
18911,1227,1165,
19983,1327,1209,
18888,1236,1175,
19305,1181,1183,
20532,1280,1289,
18873,1149,1269,
19532,1229,1265,
19109,1210,1203,
19984,1298,1265,
19873,1290,1178,
18894,1168,1184,
19362,1234,1184,
18868,1202,1116,
18919,1182,1220,
18912,1169,1241,
18888,1136,1164,
19064,1135,1252,
19058,1134,1161,
19317,1197,1215,
18907,1204,1161,
18883,1214,1179,
19822,1222,1250,
18874,1225,1214,
19140,1174,1193,
19989,1271,1196,
19367,1219,1176,
19530,1217,1220,
18877,1124,1183,
19941,1254,1274,
18901,1192,1159,
19158,1179,1163,
18914,1190,1178,
18891,1199,1171,
18887,1224,1144,
18899,1174,1207,
19391,1193,1218,
18885,1165,1212,
19801,1215,1220,
18902,1230,1190,
19765,1241,1215,
19909,1237,1225,
19030,1197,1237,
19783,1286,1298,
19086,1210,1139,
20162,1273,1215,
19803,1233,1238,
19159,1190,1143,
19359,1312,1222,
18908,1211,1243,
19663,1226,1248,
18900,1212,1178,
21231,1344,1284,
18896,1174,1202,
20044,1273,1258,
18877,1194,1187,
18870,1182,1198,
18929,1196,1227,
18885,1160,1242,
20174,1272,1294,
18918,1196,1209,
18871,1208,1203,
18862,1200,1240,
18911,1142,1186,
18874,1163,1235,
18873,1158,1206,
19706,1256,1214,
19559,1197,1216,
19871,1284,1324,
18884,1214,1237,
19928,1285,1294,
19298,1194,1203,
19532,1243,1209,
18882,1155,1162,
20737,1360,1332,
18903,1156,1221,
20278,1245,1266,
18874,1176,1138,
19748,1228,1225,
18903,1157,1253,
18895,1201,1251,
18868,1145,1201,
19402,1187,1254,
20259,1329,1295,
19161,1246,1142,
18892,1213,1172,
18905,1205,1157,
18898,1190,1199,
19805,1275,1202,
19459,1211,1178,
19501,1223,1203,
18900,1201,1182,
18861,1208,1157,
20153,1269,1268,
20022,1293,1229,
18880,1210,1145,
18892,1218,1238,
18880,1174,1205,
18897,1166,1164,
18903,1253,1185,
19586,1211,1223,
18997,1252,1209,
18892,1165,1146,
19103,1192,1203,
18907,1157,1180,
19610,1218,1207,
18897,1163,1229,
18911,1150,1199,
18919,1227,1141,
19455,1200,1253,
18883,1190,1122,
18896,1199,1148,
21448,1302,1391,
18898,1202,1218,
18894,1196,1206,
18872,1181,1240,
18944,1182,1175,
19002,1252,1219,
18907,1181,1126,
18906,1226,1160,
19469,1202,1245,
19335,1192,1241,
18901,1179,1157,
19188,1225,1214,
18871,1201,1224,
19239,1242,1236,
20457,1285,1305,
18887,1225,1124,
19154,1182,1178,
19572,1232,1212,
19054,1188,1128,
18888,1191,1194,
18877,1195,1142,
19320,1208,1235,
19566,1257,1233,
18918,1166,1193,
19561,1232,1295,
19602,1268,1236,
18876,1206,1172,
18924,1193,1171,
19626,1216,1206,
19553,1226,1232,
19891,1239,1275,
19835,1225,1251,
18898,1179,1140,
19682,1252,1208,
19224,1203,1181,
19628,1265,1210,
18893,1179,1198,
20269,1268,1295,
19137,1258,1235,
18894,1199,1205,
19384,1187,1221,
19342,1264,1185,
19201,1309,1170,
18989,1214,1243,
19587,1227,1221,
19343,1202,1204,
19231,1177,1165,
18897,1204,1193,
18881,1188,1167,
18868,1186,1166,
20009,1247,1257,
19042,1170,1274,
19591,1193,1262,
18909,1205,1248,
19363,1245,1246,
19679,1171,1195,
18892,1206,1191,
19356,1235,1246,
18889,1131,1188,
19298,1220,1197,
18897,1148,1212,
19283,1255,1253,
18903,1218,1107,
19621,1245,1237,
18957,1161,1173,
18900,1202,1147,
19828,1213,1267,
18880,1116,1234,
19422,1209,1290,
18882,1191,1164,
18894,1185,1174,
19595,1214,1212,
19123,1261,1240,
19543,1264,1253,
19769,1224,1224,
