energy,time,theta,phi,xpos,ypos,zpos,
9.69293,1138.94,1.45055,1.68528,3.62672e-05,0,0,
9.69275,190.903,0.675132,0.586859,0.00244404,0.000873746,0.00039452,
9.69187,1775.97,2.07126,1.77542,0.0211813,0.00773541,0.00349275,
9.69208,712.642,1.67551,0.889352,0.0310115,0.0113353,0.00511818,
9.69279,1817.74,2.0447,0.388398,0.00603471,0.00218867,0.000988243,
9.69282,343.577,1.4246,2.8017,0.0199102,0.00726993,0.00328257,
9.69252,3932.83,1.27727,0.257441,0.030288,0.0110703,0.00499855,
9.69223,998.347,1.20914,2.93174,0.0179632,0.00655695,0.00296064,
9.69272,92.6476,2.48858,1.72898,0.0222509,0.0081271,0.00366961,
9.69209,549.494,1.74123,2.91355,0.0172756,0.00630512,0.00284693,
9.69127,433.251,1.83026,1.42173,0.00599589,0.00217445,0.000981823,
9.69219,5712.12,1.9708,0.527686,0.0230668,0.00842588,0.00380452,
9.69226,468.733,2.13309,0.824233,0.0154797,0.00564745,0.00254998,
9.692,302.944,1.68263,2.17449,0.00674492,0.00244875,0.00110568,
9.69204,1583.23,0.488465,0.134826,0.0164141,0.00598963,0.00270448,
9.69223,3601.34,1.54795,0.852091,0.00901502,0.00328007,0.00148104,
9.69227,400.493,1.55958,2.59158,0.0238468,0.00871153,0.0039335,
9.69237,1210.15,2.0491,0.950992,0.0213666,0.00780327,0.00352339,
9.69103,476.363,2.05847,0.373035,0.00669733,0.00243132,0.00109781,
9.69247,4822.01,2.54942,2.8391,0.00491012,0.00177683,0.000802289,
9.69181,183.373,1.7906,1.20906,0.0217992,0.00796169,0.00359492,
9.69172,526.5,0.466602,1.88067,0.00363366,0.00130939,0.000591225,
9.69229,1271.24,2.36662,2.01588,0.0215575,0.00787319,0.00355496,
9.69259,1439.65,1.28559,1.88367,0.00858272,0.00312176,0.00140956,
9.69195,214.044,0.585452,0.589044,0.0207094,0.00756259,0.00341471,
9.69154,999.808,1.64977,1.56184,0.00191231,0.000679027,0.000306599,
9.69173,7853.22,2.0202,2.67971,0.0199732,0.00729301,0.00329299,
9.69215,999.452,1.74898,2.82038,0.0168149,0.0061364,0.00277075,
9.69289,5575.88,1.74721,1.45852,0.0267957,0.00979143,0.0044211,
9.69127,1280.11,1.21977,3.11888,0.00433581,0.00156652,0.000707327,
9.69133,1445.91,0.738199,2.54487,0.0242471,0.00885811,0.00399968,
9.69245,541.327,2.55761,2.51294,0.0142032,0.00518001,0.00233891,
9.6928,4031.63,0.535765,0.565725,0.00170513,0.000603154,0.00027234,
9.6918,295.474,1.54589,1.17084,0.0120149,0.00437863,0.00197707,
9.69255,259.693,2.16937,0.838363,0.00222356,0.000793006,0.000358064,
9.69198,757.018,1.15589,2.50582,0.0272973,0.0099751,0.00450403,
9.69139,2128.3,2.34074,0.571203,0.022717,0.00829778,0.00374668,
9.69106,658.617,0.96005,1.10656,0.0141542,0.00516207,0.00233082,
9.69102,1918.73,1.83771,0.678378,0.0298906,0.0109248,0.00493284,
9.69143,400.725,2.059,2.8097,0.00648986,0.00235534,0.0010635,
9.69194,2226.84,0.25598,0.555185,0.00173459,0.000613943,0.000277212,
9.69129,564.756,1.26356,1.2851,0.0117593,0.00428503,0.00193481,
9.69209,623.768,1.10414,1.38684,0.0186842,0.00682096,0.00307985,
9.6924,720.619,2.75439,3.14148,0.0216248,0.0078978,0.00356607,
9.69256,1727.52,1.92626,0.565502,0.027507,0.0100519,0.00453871,
9.69169,2954.15,2.56779,2.84412,0.0208964,0.00763106,0.00344563,
9.69138,1762.61,1.48446,0.555354,0.024322,0.00888553,0.00401206,
9.69122,1317.97,1.19276,0.719028,0.00657582,0.00238682,0.00107772,
9.69225,2201.02,1.27537,0.196938,0.0189316,0.00691156,0.00312076,
9.69258,632.94,1.63868,2.725,0.00238281,0.000851323,0.000384396,
9.69197,873.573,1.85849,0.332168,0.017029,0.00621482,0.00280616,
9.69186,1117.57,1.58943,2.31009,0.0182072,0.00664628,0.00300098,
9.69283,39.9587,0.95094,3.10958,0.00469209,0.00169699,0.000766238,
9.69261,2600.52,1.23651,2.54726,0.00948296,0.00345143,0.00155842,
9.69135,4594.15,0.878431,0.434272,0.00293325,0.0010529,0.000475412,
9.69197,1648.26,2.39111,0.837038,0.0232343,0.00848722,0.00383221,
9.69112,384.245,1.53523,3.02564,0.0235272,0.00859449,0.00388065,
9.69247,3475.4,0.328775,2.94831,0.018844,0.00687949,0.00310628,
9.69122,441.85,0.493802,3.02759,0.0101441,0.00369355,0.00166774,
9.69217,556.111,1.95703,1.3183,0.0184951,0.0067517,0.00304858,
9.69127,1686.19,1.28707,1.57948,0.0262056,0.00957533,0.00432352,
9.69177,234.19,2.3742,1.29754,0.00473159,0.00171146,0.00077277,
9.69205,1267.81,0.870078,0.916931,0.00855507,0.00311163,0.00140499,
9.69214,515.65,1.35726,2.05397,0.00290473,0.00104245,0.000470697,
9.69224,146.321,1.13941,2.87942,0.00939328,0.00341859,0.00154358,
9.69182,534.082,1.03948,2.46249,0.00277441,0.00099473,0.000449148,
9.69134,1025.13,2.34101,1.67862,0.0151331,0.00552054,0.00249267,
9.6914,373.261,1.97897,1.15769,0.0179759,0.00656159,0.00296274,
9.69224,234.239,2.94636,0.950062,0.0230165,0.00840748,0.00379621,
9.69148,1725.79,1.88625,0.715162,0.012329,0.00449367,0.00202902,
9.69111,2907.62,2.10564,3.02641,0.0278596,0.010181,0.00459701,
9.69189,1218.04,0.909366,1.17121,0.0276534,0.0101055,0.00456291,
9.6919,2968.59,1.3967,1.95302,0.0114792,0.00418245,0.00188849,
9.69273,2232.01,1.98014,0.229309,0.00741536,0.00269427,0.00121653,
9.6918,335.367,2.44156,1.385,0.00699907,0.00254182,0.0011477,
9.69286,3355.57,1.03053,0.302499,0.0235351,0.00859738,0.00388195,
9.69118,894.693,1.04856,0.872388,0.00850631,0.00309377,0.00139692,
9.6929,1453.36,2.09079,0.725365,0.0221757,0.00809955,0.00365717,
9.69155,4003.82,0.908039,2.38423,0.01541,0.00562194,0.00253846,
9.69226,256.247,1.80787,2.58171,0.0207376,0.00757291,0.00341938,
9.69196,1412.48,1.83549,2.8914,0.0265057,0.00968524,0.00437315,
9.69212,7220.86,0.543277,2.24803,0.0202117,0.00738036,0.00333243,
9.69143,136.909,1.14858,0.744716,0.0116488,0.00424458,0.00191654,
9.69156,539.738,0.816482,0.970119,0.00850823,0.00309448,0.00139724,
9.69204,473.011,2.64037,2.91871,0.0066447,0.00241205,0.00108911,
9.69167,1472.62,1.5306,2.85789,0.0233054,0.00851327,0.00384397,
9.69125,676.156,2.22286,0.177392,0.0271017,0.00990348,0.00447169,
9.69162,188.391,1.84606,1.19975,0.0305218,0.0111559,0.00503722,
9.6912,657.075,0.930601,0.0213582,0.0247802,0.00905334,0.00408783,
9.69261,1558.59,2.3572,0.7184,0.0130857,0.00477075,0.00215413,
9.69287,101.582,1.5041,1.68664,0.0220586,0.00805669,0.00363781,
9.69156,685.064,1.27607,0.670925,0.02383,0.00870539,0.00393072,
9.69199,417.551,1.14086,0.135843,0.0231998,0.00847459,0.00382651,
9.6918,1594.92,1.32541,2.94831,0.000456892,0.000146045,6.59432e-05,
9.69205,3968.63,0.66588,0.331441,0.0133666,0.00487365,0.00220059,
9.69256,1659.06,2.38772,0.221567,0.00703548,0.00255515,0.00115372,
9.69176,855.778,0.196191,2.98882,0.0112328,0.00409222,0.00184775,
9.69189,559.063,2.0631,0.747987,0.0080284,0.00291876,0.0013179,
9.69148,877.114,2.22732,2.32945,0.00698315,0.00253599,0.00114507,
9.69201,115.854,0.224651,1.654,0.0162016,0.00591184,0.00266936,
9.69182,212.18,2.40126,1.1484,0.0108863,0.00396534,0.00179046,
9.69292,1045.6,1.80684,1.16601,0.0207008,0.00755946,0.0034133,
9.6925,684.85,2.82533,1.85225,0.022475,0.00820916,0.00370666,
9.69253,931.321,1.72741,1.00765,0.0317657,0.0116115,0.0052429,
9.69184,446.654,1.04307,2.87232,0.0197559,0.00721341,0.00325705,
9.69171,1657.81,1.63634,1.63408,0.00281414,0.00100928,0.000455716,
9.69123,2109.7,1.76746,1.26294,0.0108887,0.00396622,0.00179086,
9.69229,1177.22,0.143858,1.22255,0.0114969,0.00418893,0.00189142,
9.69248,557.863,1.12945,1.65012,0.00393962,0.00142143,0.000641816,
9.69233,2297.63,2.2426,2.95579,0.0137189,0.00500263,0.00225883,
9.69234,714.401,2.29972,1.8873,0.00449413,0.0016245,0.000733505,
9.69168,1022.88,1.36437,0.898575,0.0276466,0.010103,0.0045618,
9.69126,65.5645,2.00369,2.16295,0.0250079,0.00913672,0.00412548,
9.69114,1812.49,0.800845,2.26377,0.0297972,0.0108906,0.0049174,
9.69192,554.133,2.36512,1.15472,0.0213528,0.00779821,0.0035211,
9.69133,2382.11,0.59215,2.29361,0.00405692,0.00146439,0.000661213,
9.69251,5306.76,1.32943,2.73228,0.0162218,0.00591921,0.00267269,
9.69275,445.309,0.540518,0.914437,0.0185642,0.00677702,0.00306001,
9.69184,1896.89,2.06233,2.77286,0.00602899,0.00218657,0.000987296,
9.69169,2091.19,1.2621,0.799099,0.0127479,0.00464706,0.00209828,
9.6929,622.983,1.81584,0.0473616,0.0051866,0.00187808,0.000848007,
9.69203,2298.2,0.310443,2.32586,0.00528434,0.00191388,0.000864168,
9.69233,749.939,2.2774,1.22953,0.0160852,0.0058692,0.0026501,
9.69252,1395.72,1.6585,2.8917,0.00344092,0.00123881,0.000559356,
9.69284,2964.2,0.870863,1.85686,0.0161828,0.00590494,0.00266624,
9.69286,1452.01,1.82131,1.4699,0.0207112,0.00756324,0.00341501,
9.69239,2483.09,0.522686,1.01261,0.0241453,0.00882085,0.00398286,
9.6927,3497.63,0.404137,2.90787,0.0110028,0.004008,0.00180972,
9.69149,1710.04,2.97401,1.55005,0.0271443,0.00991907,0.00447873,
9.69193,5959.97,1.50818,0.78079,0.027774,0.0101497,0.00458286,
9.69164,93.2403,1.43188,2.14264,0.0216501,0.0079071,0.00357027,
9.69263,573.412,2.24077,0.998572,0.0223882,0.00817737,0.00369231,
9.69236,1346.44,2.64957,2.1876,0.0230404,0.00841624,0.00380016,
9.69299,594.104,2.66183,0.724254,0.0221816,0.00810171,0.00365814,
9.69165,1300.68,1.53588,2.17272,0.00478588,0.00173134,0.000781746,
9.6929,502.57,1.02713,1.44818,0.0261596,0.00955849,0.00431592,
9.69298,4358.95,0.220998,1.76701,0.00921676,0.00335395,0.0015144,
9.69265,259.306,1.13221,1.56105,0.00217461,0.000775081,0.00034997,
9.69286,2146.33,1.48449,1.46317,0.0121698,0.00443538,0.00200269,
9.693,1498.63,2.28416,0.624865,0.00791903,0.00287871,0.00129982,
9.69268,1618.1,1.60293,2.83102,0.00355867,0.00128193,0.000578827,
9.6918,3190.87,1.00751,0.136568,0.0135274,0.00493252,0.00222717,
9.69224,443.764,1.87353,0.0918726,0.0312398,0.0114189,0.00515594,
9.69169,1204.44,2.11685,0.804716,0.0295724,0.0108083,0.00488023,
9.69278,118.836,1.06029,0.788277,0.00942919,0.00343174,0.00154952,
9.69221,2495.79,1.09536,2.28643,0.0100887,0.00367324,0.00165857,
9.69204,2176.99,2.11681,2.26667,0.00674871,0.00245014,0.0011063,
9.69106,275.24,1.6098,1.73825,0.00079689,0.000270553,0.000122162,
9.69235,156.921,1.8402,0.820212,0.0136312,0.00497054,0.00224433,
9.69191,519.543,1.75329,0.235752,0.00210091,0.000748091,0.000337784,
9.69118,339.228,1.07998,0.765029,0.0184649,0.00674066,0.00304359,
9.69241,1543.76,1.14218,0.033153,0.0311948,0.0114024,0.00514849,
9.69131,1705.5,1.92731,2.88183,0.00562626,0.00203909,0.000920705,
9.69133,2010.06,0.671119,0.871391,0.0205841,0.0075167,0.00339399,
9.69279,119.416,1.64657,0.658078,0.0284745,0.0104062,0.00469869,
9.69185,2684.02,1.19391,1.59263,0.000875556,0.000299361,0.00013517,
9.69289,993.117,1.18598,1.94881,0.0198388,0.00724377,0.00327076,
9.69183,1673.83,1.47193,2.81061,0.0227397,0.00830612,0.00375044,
9.6912,1335.06,1.59006,0.689384,0.00598602,0.00217083,0.00098019,
9.69191,1529.8,2.00186,2.6688,0.0011746,0.000408871,0.000184616,
9.69216,142.508,1.36967,1.08851,0.0252927,0.00924101,0.00417257,
9.69243,3647.32,0.323268,0.907187,9.73567e-05,1.43813e-05,6.49357e-06,
9.6923,571.099,1.75022,1.65498,0.00666127,0.00241811,0.00109184,
9.69206,6682.12,1.30274,0.191256,0.00549683,0.00199169,0.000899302,
9.69297,240.611,1.19177,0.211658,0.0248509,0.00907923,0.00409952,
9.69171,363.907,2.86593,2.57132,0.00720996,0.00261905,0.00118257,
9.69184,1829.66,1.87567,2.2196,0.0260019,0.00950072,0.00428984,
9.69116,2391.05,1.83543,2.84,0.0315121,0.0115186,0.00520095,
9.69213,366.922,2.19028,0.67624,0.0141144,0.00514747,0.00232422,
9.69234,1198.38,0.83355,2.39224,0.0293572,0.0107295,0.00484464,
9.69152,2873.33,2.07402,0.405185,0.0136118,0.00496342,0.00224112,
9.69146,1067.18,1.90616,0.0749751,0.00860808,0.00313105,0.00141375,
9.69288,1599.45,0.568811,2.77421,0.0113238,0.00412556,0.0018628,
9.69293,2420.14,0.517568,2.88395,0.00784219,0.00285057,0.00128711,
9.69184,2865.26,2.77178,2.01768,0.0208847,0.0076268,0.00344371,
9.69146,2043.47,1.97026,1.83878,0.0183883,0.0067126,0.00303092,
9.69134,524.861,1.11721,1.23344,0.0253295,0.00925451,0.00417866,
9.69114,504.861,0.582359,1.06379,0.0197283,0.00720333,0.0032525,
9.69207,155.396,2.03665,0.0668892,0.0167604,0.00611647,0.00276175,
9.69255,1547.51,1.73367,2.445,0.00634363,0.00230179,0.00103932,
9.69192,82.3463,1.73161,0.237872,0.0310165,0.0113371,0.00511901,
9.69162,901.473,2.24879,1.78521,0.016666,0.0060819,0.00274614,
9.69158,443.295,2.50139,0.729146,0.0148673,0.0054232,0.00244872,
9.69129,1868.1,0.813631,2.15192,0.0100353,0.00365369,0.00164974,
9.69287,1700.74,0.526841,3.11927,0.00138586,0.000486235,0.000219548,
9.69183,93.8392,2.39271,2.60389,0.0152819,0.00557503,0.00251728,
9.69141,446.322,0.547415,2.48535,0.0313847,0.0114719,0.00517989,
9.69229,436.232,1.37822,1.68129,0.00964074,0.00350921,0.0015845,
9.69173,79.4691,1.70794,2.3909,0.010578,0.00385245,0.00173949,
9.69142,2267.94,0.227166,1.0109,0.00457121,0.00165273,0.000746251,
9.69288,199.253,1.20659,0.0370719,0.0187031,0.00682789,0.00308298,
9.69171,160.657,1.5788,1.19376,0.026683,0.00975015,0.00440246,
9.6927,1856.17,1.90831,0.126369,0.0156818,0.00572149,0.00258341,
9.69291,353.887,0.907848,3.04327,0.0156798,0.00572074,0.00258307,
9.69147,153.878,2.11881,2.52406,0.0115948,0.00422481,0.00190762,
9.69187,5921.45,0.944143,2.18645,0.0284221,0.010387,0.00469002,
9.69127,27.3808,0.696814,0.170406,0.0297722,0.0108814,0.00491326,
