energy,time,theta,phi,xpos,ypos,zpos,
9.69136,2387.49,2.47006,1.16913,0.0030767,-0.000212168,0.000230291,
9.6919,6230.55,1.11886,1.26533,0.00283037,-0.000195181,0.000211853,
9.6919,804.553,1.56073,2.33672,0.00186553,-0.000128646,0.000139635,
9.69186,290.948,0.299529,1.68029,0.00245688,-0.000169426,0.000183898,
9.69115,1958.37,1.68998,1.56063,0.00226798,-0.000156399,0.000169759,
9.69128,28.0034,0.577306,2.36156,0.00144856,-9.98925e-05,0.000108425,
9.6929,576.211,1.52496,2.94847,0.00278228,-0.000191865,0.000208254,
9.69268,628.011,1.47412,0.626356,0.000868156,-5.98677e-05,6.49815e-05,
9.69244,317.462,1.02441,2.05789,0.00218764,-0.000150859,0.000163745,
9.69257,386.329,1.32168,0.873298,0.000763554,-5.26544e-05,5.71521e-05,
9.69192,1410.67,1.12971,1.41401,0.00234818,-0.00016193,0.000175761,
9.69138,1427.28,1.05928,0.0835388,0.00268662,-0.000185269,0.000201094,
9.6923,1410.97,0.716698,1.44877,0.000680215,-4.69074e-05,5.09142e-05,
9.69247,1073.47,1.99021,1.29997,0.000424408,-2.9267e-05,3.17669e-05,
9.69125,187.481,0.185206,2.14994,0.00250544,-0.000172774,0.000187532,
9.69126,1395.4,1.74194,2.03805,0.0024189,-0.000166807,0.000181055,
9.69293,1824.38,2.42547,2.85797,0.00214515,-0.000147929,0.000160565,
9.69258,2965.62,0.725566,1.0729,0.00245862,-0.000169546,0.000184028,
9.69191,1539.08,1.40473,1.67651,0.00198678,-0.000137008,0.000148711,
9.69148,412.781,0.484655,0.862575,0.00217611,-0.000150064,0.000162882,
9.69292,1023.88,0.651262,1.76721,0.00149099,-0.000102818,0.000111601,
9.69219,1616.12,1.46099,1.45616,0.000991115,-6.8347e-05,7.4185e-05,
9.69109,2818.41,1.61325,1.37911,0.00134927,-9.30455e-05,0.000100993,
9.69281,1472.39,2.30429,0.511357,0.00255834,-0.000176422,0.000191492,
9.69177,172.525,1.09597,1.97413,0.000159104,-1.09717e-05,1.19089e-05,
9.69293,842.8,0.619688,2.32521,0.00141614,-9.76565e-05,0.000105998,
9.69187,647.452,1.59958,0.83004,0.00262366,-0.000180927,0.000196381,
9.69244,674.482,1.0798,2.99768,0.00226616,-0.000156274,0.000169622,
9.69284,1348.57,1.83728,0.782533,0.00194981,-0.000134458,0.000145943,
9.69121,1595.23,2.11318,1.20636,0.00238588,-0.00016453,0.000178583,
9.69276,1238.86,0.837501,0.808045,0.00011059,-7.62625e-06,8.27767e-06,
9.6923,2168.55,1.88054,0.512988,0.000729572,-5.03111e-05,5.46086e-05,
9.69254,901.085,1.47741,1.50286,0.00282873,-0.000195069,0.000211731,
9.69161,607.815,0.252094,0.292109,0.0015789,-0.00010888,0.000118181,
9.69217,1098.71,1.88548,1.72276,0.00302407,-0.000208539,0.000226352,
9.69124,348.454,1.82517,1.50235,0.000916453,-6.31983e-05,6.85966e-05,
9.69189,947.134,0.98752,0.492712,0.00139656,-9.63065e-05,0.000104533,
9.69158,1809.32,0.649044,1.80648,0.00036577,-2.52234e-05,2.73779e-05,
9.69133,1443.95,1.56025,0.420568,0.000879027,-6.06174e-05,6.57952e-05,
9.69145,195.825,0.239097,0.383463,0.0013768,-9.49439e-05,0.000103054,
9.69259,1303.91,1.82014,0.906092,0.00255108,-0.000175922,0.000190949,
9.69279,54.4374,0.946218,1.79171,0.000916056,-6.31709e-05,6.85669e-05,
9.69236,1239.2,1.54664,2.1108,0.000689867,-4.7573e-05,5.16366e-05,
9.6912,372.282,1.55819,1.63892,0.000797647,-5.50055e-05,5.97039e-05,
9.69297,10300.8,0.710405,1.46278,0.000969422,-6.6851e-05,7.25613e-05,
9.69177,761.495,1.43344,2.80161,0.00207014,-0.000142757,0.000154951,
9.69105,1229.59,1.66848,1.15828,0.00218939,-0.000150979,0.000163876,
9.69288,1990.37,2.79619,0.602897,0.00105935,-7.30527e-05,7.92927e-05,
9.69135,1905.39,1.19129,2.9995,8.91463e-05,-6.1475e-06,6.67261e-06,
