eventID,numPhotons,nScint,sumStepLength,
0,0,50646,0.367217,
1,0,50731,0.444155,
2,0,50206,0.36141,
3,0,50521,0.434409,
4,0,50097,0.336925,
5,0,50219,0.312611,
6,0,50586,0.444016,
7,0,49948,0.368634,
8,0,50188,0.347521,
9,0,50617,0.472034,
10,0,50919,0.464367,
11,0,50257,0.427921,
12,0,50042,0.245229,
13,0,50219,0.359469,
14,0,50371,0.407597,
15,0,50448,0.355429,
16,0,50615,0.388094,
17,0,50627,0.421505,
18,0,49976,0.443025,
19,0,50635,0.488859,
20,0,50244,0.440275,
21,0,50810,0.468864,
22,0,50789,0.492086,
23,0,48867,0.296164,
24,0,50656,0.345062,
25,0,50329,0.412621,
26,0,50583,0.339758,
27,0,50262,0.426979,
28,0,50733,0.250162,
29,0,50624,0.396665,
30,0,50777,0.377991,
31,0,49785,0.438235,
32,0,50693,0.440622,
33,0,50886,0.41887,
34,0,50488,0.415604,
35,0,50466,0.410761,
36,0,50757,0.362689,
37,0,50536,0.403213,
38,0,50504,0.451078,
39,0,50530,0.41056,
40,0,50300,0.417897,
41,0,50548,0.475897,
42,0,50048,0.352558,
43,0,50731,0.416006,
44,0,50380,0.357773,
45,0,50897,0.357492,
46,0,50480,0.397739,
47,0,50379,0.334571,
48,0,50745,0.471877,
49,0,50895,0.447865,
50,0,50017,0.46499,
51,0,50589,0.463544,
52,0,50682,0.447117,
53,0,50829,0.471574,
54,0,50798,0.506208,
55,0,50048,0.465617,
56,0,50768,0.422267,
57,0,50544,0.305794,
58,0,51194,0.47745,
59,0,50310,0.397956,
60,0,50317,0.36449,
61,0,50664,0.435014,
62,0,50792,0.423294,
63,0,49593,0.236948,
64,0,51186,0.454823,
65,0,50123,0.402371,
66,0,50878,0.461993,
67,0,50232,0.426307,
68,0,50361,0.398609,
69,0,50709,0.267009,
70,0,50622,0.437478,
71,0,50394,0.370469,
72,0,50308,0.41672,
73,0,50898,0.453924,
74,0,50562,0.520374,
75,0,50844,0.469879,
76,0,50588,0.450869,
77,0,50869,0.405089,
78,0,50872,0.393054,
79,0,50842,0.45812,
80,0,50659,0.416752,
81,0,50805,0.465889,
82,0,50488,0.379601,
83,0,50162,0.444783,
84,0,50742,0.390306,
85,0,50454,0.463352,
86,0,50516,0.316766,
87,0,50948,0.377073,
88,0,50420,0.407796,
89,0,50973,0.449617,
90,0,50198,0.322651,
91,0,50956,0.457018,
92,0,50300,0.403142,
93,0,50633,0.399547,
94,0,50203,0.448955,
95,0,51131,0.362641,
96,0,50488,0.426338,
97,0,50712,0.472382,
98,0,50615,0.36362,
99,0,50323,0.414379,
100,0,50588,0.424,
101,0,50692,0.467702,
102,0,50316,0.444567,
103,0,50716,0.384632,
104,0,50592,0.399614,
105,0,51352,0.421076,
106,0,49950,0.386886,
107,0,50534,0.47218,
108,0,50290,0.439751,
109,0,50410,0.452237,
110,0,50628,0.407912,
111,0,50449,0.454806,
112,0,51194,0.430704,
113,0,50491,0.291392,
114,0,50437,0.407837,
115,0,50656,0.411294,
116,0,50375,0.457508,
117,0,50664,0.446417,
118,0,50453,0.395803,
119,0,50696,0.452996,
120,0,50865,0.403116,
121,0,51248,0.457912,
122,0,50690,0.472971,
123,0,51230,0.472494,
124,0,50692,0.460315,
125,0,50617,0.407654,
126,0,50460,0.387883,
127,0,50531,0.387825,
128,0,50452,0.36525,
129,0,50715,0.454177,
130,0,50728,0.518257,
131,0,50727,0.395217,
132,0,50485,0.466459,
133,0,50319,0.264033,
134,0,49955,0.34922,
135,0,50079,0.426273,
136,0,49931,0.346288,
137,0,50633,0.476087,
138,0,50956,0.505236,
139,0,50583,0.403078,
140,0,50461,0.472772,
141,0,49957,0.318307,
142,0,51136,0.403499,
143,0,50217,0.254727,
144,0,50453,0.388948,
145,0,50761,0.487859,
146,0,50309,0.353148,
147,0,50727,0.49707,
148,0,50580,0.520142,
149,0,52258,0.480006,
150,0,50871,0.418698,
151,0,50357,0.260621,
152,0,50485,0.441589,
153,0,50555,0.423494,
154,0,52737,0.46994,
155,0,50515,0.503426,
156,0,50569,0.39681,
157,0,50613,0.430991,
158,0,50614,0.425334,
159,0,50580,0.379395,
160,0,50265,0.344415,
161,0,50310,0.462227,
162,0,50592,0.444137,
163,0,50980,0.347461,
164,0,50850,0.483405,
165,0,50273,0.474704,
166,0,50656,0.454931,
167,0,50580,0.45607,
168,0,50386,0.394845,
169,0,50280,0.450947,
170,0,50759,0.394417,
171,0,50621,0.371668,
172,0,50604,0.447551,
173,0,50987,0.440313,
174,0,50523,0.405125,
175,0,50797,0.44473,
176,0,50550,0.468492,
177,0,50600,0.461568,
178,0,50525,0.424092,
179,0,50693,0.474287,
180,0,50841,0.425879,
181,0,50646,0.478321,
182,0,49493,0.341098,
183,0,50695,0.366667,
184,0,50675,0.50213,
185,0,49896,0.390379,
186,0,50684,0.332109,
187,0,50561,0.456104,
188,0,50641,0.390351,
189,0,50650,0.428484,
190,0,50640,0.404573,
191,0,53368,0.421741,
192,0,51173,0.398647,
193,0,50605,0.411031,
194,0,50144,0.358166,
195,0,51393,0.359729,
196,0,50684,0.40998,
197,0,50702,0.304883,
198,0,50711,0.481145,
199,0,50658,0.420331,
200,0,50672,0.480899,
201,0,50048,0.357513,
202,0,50624,0.393594,
203,0,50376,0.454941,
204,0,50534,0.416753,
205,0,50186,0.375934,
206,0,50397,0.437836,
207,0,51016,0.516036,
208,0,50911,0.463914,
209,0,50536,0.417739,
210,0,50200,0.367981,
211,0,50266,0.381218,
212,0,50490,0.37067,
213,0,50276,0.466308,
214,0,50477,0.454382,
215,0,50374,0.474563,
216,0,50264,0.317512,
217,0,50427,0.342579,
218,0,50577,0.399996,
219,0,50293,0.46277,
220,0,50395,0.376791,
221,0,50578,0.397167,
222,0,51215,0.415474,
223,0,51037,0.404602,
224,0,49590,0.395059,
225,0,50252,0.441049,
226,0,50139,0.359623,
227,0,50682,0.475392,
228,0,50250,0.425102,
229,0,50539,0.454236,
230,0,50516,0.417628,
231,0,50383,0.435097,
232,0,50836,0.445751,
233,0,50705,0.423346,
234,0,50678,0.441771,
235,0,50155,0.299017,
236,0,50947,0.471488,
237,0,51589,0.223039,
238,0,50746,0.327772,
239,0,49834,0.341832,
240,0,50496,0.440505,
241,0,50493,0.412789,
242,0,50564,0.401779,
243,0,50046,0.292753,
244,0,50455,0.427712,
245,0,50607,0.434049,
246,0,50944,0.47559,
247,0,50901,0.489265,
248,0,50621,0.37255,
249,0,50696,0.444882,
250,0,52264,0.303501,
251,0,51205,0.455227,
252,0,50129,0.44481,
253,0,50462,0.425741,
254,0,50791,0.493049,
255,0,50350,0.483507,
256,0,49885,0.458184,
257,0,50662,0.420978,
258,0,50294,0.407126,
259,0,50392,0.468605,
260,0,50471,0.498162,
261,0,51525,0.478812,
262,0,50320,0.408253,
263,0,50393,0.425392,
264,0,50624,0.418044,
265,0,51186,0.358881,
266,0,50273,0.381689,
267,0,50615,0.412069,
268,0,50819,0.479765,
269,0,50998,0.48918,
270,0,50558,0.381711,
271,0,50585,0.421958,
272,0,50310,0.404164,
273,0,50775,0.454937,
274,0,50616,0.48572,
275,0,50274,0.357197,
276,0,50602,0.431903,
277,0,50891,0.454087,
278,0,51191,0.506237,
279,0,50689,0.493157,
280,0,50629,0.407988,
281,0,50301,0.333367,
282,0,50748,0.502886,
283,0,50648,0.420535,
284,0,50477,0.447058,
285,0,50642,0.43926,
286,0,50423,0.44856,
287,0,50395,0.460177,
288,0,50031,0.314699,
289,0,50389,0.321919,
290,0,50416,0.362871,
291,0,50896,0.440434,
292,0,49898,0.284358,
293,0,50182,0.365887,
294,0,50564,0.377971,
295,0,50638,0.48344,
296,0,50214,0.372516,
297,0,50995,0.443064,
298,0,50652,0.438472,
299,0,50330,0.486953,
300,0,50591,0.462097,
301,0,50279,0.391181,
302,0,50327,0.431559,
303,0,50966,0.412242,
304,0,50506,0.335051,
305,0,51013,0.35159,
306,0,50277,0.466671,
307,0,50492,0.449599,
308,0,50708,0.479264,
309,0,50459,0.335807,
310,0,50499,0.308321,
311,0,50317,0.409716,
312,0,50529,0.300375,
313,0,51404,0.34858,
314,0,50635,0.350533,
315,0,50630,0.51654,
316,0,50376,0.429917,
317,0,50515,0.367477,
318,0,50412,0.400189,
319,0,50504,0.463269,
320,0,50683,0.376734,
321,0,50889,0.452003,
322,0,50661,0.491937,
323,0,50729,0.390199,
324,0,50310,0.457916,
325,0,50578,0.463347,
326,0,50434,0.426533,
327,0,50516,0.424668,
328,0,50615,0.44534,
329,0,50256,0.389501,
330,0,50323,0.4054,
331,0,50751,0.349786,
332,0,50705,0.468935,
333,0,50560,0.46202,
334,0,50847,0.487366,
335,0,50902,0.397909,
336,0,50681,0.43559,
337,0,50544,0.479643,
338,0,50704,0.322506,
339,0,50355,0.423487,
340,0,50487,0.427175,
341,0,50398,0.433268,
342,0,50528,0.383797,
343,0,50808,0.245993,
344,0,50609,0.453384,
345,0,50304,0.399344,
346,0,50421,0.408836,
347,0,50385,0.420624,
348,0,50156,0.305182,
349,0,49738,0.445099,
350,0,50467,0.374263,
351,0,50657,0.358292,
352,0,50244,0.401164,
353,0,50563,0.475458,
354,0,50300,0.428989,
355,0,50917,0.46172,
356,0,50805,0.451035,
357,0,50507,0.45263,
358,0,50067,0.342097,
359,0,49831,0.293285,
360,0,50891,0.44547,
361,0,50431,0.501378,
362,0,50189,0.343909,
363,0,50664,0.442854,
364,0,51182,0.47589,
365,0,50583,0.45936,
366,0,50665,0.465227,
367,0,50872,0.456091,
368,0,50847,0.419138,
369,0,50859,0.462957,
370,0,50789,0.49578,
371,0,50228,0.415603,
372,0,50414,0.399346,
373,0,50641,0.460273,
374,0,50475,0.423258,
375,0,50393,0.398418,
376,0,49963,0.380952,
377,0,50610,0.464174,
378,0,50366,0.444602,
379,0,50395,0.316186,
380,0,49911,0.386711,
381,0,50470,0.436187,
382,0,50616,0.431377,
383,0,50493,0.434359,
384,0,50852,0.412108,
385,0,50709,0.492097,
386,0,50080,0.368485,
387,0,50497,0.403295,
388,0,50451,0.346669,
389,0,49630,0.395338,
390,0,50592,0.448563,
391,0,50018,0.383357,
392,0,50383,0.338376,
393,0,50359,0.421529,
394,0,50581,0.325921,
395,0,50684,0.405034,
396,0,50514,0.407941,
397,0,50394,0.295826,
398,0,50432,0.405171,
399,0,50617,0.46343,
400,0,50773,0.394652,
401,0,50525,0.467618,
402,0,50334,0.469955,
403,0,50450,0.343918,
404,0,50548,0.447998,
405,0,50524,0.398213,
406,0,50878,0.468395,
407,0,50626,0.446348,
408,0,51133,0.480037,
409,0,50831,0.425667,
410,0,50542,0.364592,
411,0,50472,0.436479,
412,0,50267,0.339694,
413,0,50707,0.513977,
414,0,51231,0.4125,
415,0,50537,0.346329,
416,0,50782,0.492129,
417,0,50519,0.424351,
418,0,50937,0.427655,
419,0,50429,0.43704,
420,0,50601,0.454466,
421,0,50055,0.404495,
422,0,51163,0.470127,
423,0,50782,0.493472,
424,0,51224,0.480529,
425,0,50761,0.462973,
426,0,50207,0.427836,
427,0,50633,0.470059,
428,0,50642,0.478611,
429,0,49986,0.419293,
430,0,50538,0.459527,
431,0,50879,0.458804,
432,0,50506,0.449356,
433,0,50752,0.481054,
434,0,51148,0.376345,
435,0,50691,0.406775,
436,0,50495,0.457165,
437,0,50893,0.443223,
438,0,50490,0.402688,
439,0,50544,0.471208,
440,0,50684,0.48444,
441,0,50324,0.334698,
442,0,50419,0.339256,
443,0,50678,0.444078,
444,0,50325,0.302566,
445,0,50942,0.436691,
446,0,50376,0.426459,
447,0,50607,0.42613,
448,0,51554,0.281934,
449,0,50611,0.44265,
450,0,50744,0.470742,
451,0,50684,0.425814,
452,0,50350,0.396463,
453,0,50822,0.394306,
454,0,50752,0.474199,
455,0,50901,0.403752,
456,0,50825,0.384265,
457,0,50475,0.394655,
458,0,50570,0.45143,
459,0,51081,0.475948,
460,0,50703,0.406013,
461,0,50724,0.432915,
462,0,50474,0.327652,
463,0,50822,0.440119,
464,0,50654,0.35225,
465,0,50271,0.402432,
466,0,50633,0.505718,
467,0,50499,0.463191,
468,0,49748,0.408339,
469,0,50447,0.448803,
470,0,50429,0.399128,
471,0,50200,0.419708,
472,0,50658,0.48163,
473,0,50409,0.433682,
474,0,50716,0.476359,
475,0,50167,0.355217,
476,0,50752,0.466548,
477,0,51143,0.464462,
478,0,50751,0.454442,
479,0,50184,0.31577,
480,0,50772,0.422144,
481,0,50442,0.459719,
482,0,50564,0.503878,
483,0,50726,0.436581,
484,0,50333,0.485903,
485,0,49784,0.26334,
486,0,50770,0.485378,
487,0,50702,0.425185,
488,0,50095,0.414223,
489,0,50031,0.313279,
490,0,50336,0.352909,
491,0,51144,0.452673,
492,0,51234,0.394358,
493,0,50746,0.468743,
494,0,50304,0.388118,
495,0,50377,0.402785,
496,0,50822,0.47006,
497,0,50266,0.367036,
498,0,50650,0.474242,
499,0,50866,0.44964,
500,0,50604,0.467374,
501,0,50735,0.463199,
502,0,50948,0.465378,
503,0,50340,0.371046,
504,0,51229,0.449313,
505,0,50478,0.481472,
506,0,51086,0.488892,
507,0,50533,0.390431,
508,0,50046,0.348796,
509,0,50494,0.479955,
510,0,50498,0.439363,
511,0,50725,0.491435,
512,0,50001,0.320902,
513,0,50704,0.438681,
514,0,50200,0.402593,
515,0,50617,0.315096,
516,0,50663,0.472352,
517,0,50609,0.468642,
518,0,50289,0.315951,
519,0,50145,0.234502,
520,0,50721,0.459991,
521,0,49809,0.331228,
522,0,50239,0.279039,
523,0,49702,0.343335,
524,0,50644,0.420249,
525,0,50240,0.384128,
526,0,50771,0.458134,
527,0,50480,0.429531,
528,0,50315,0.372612,
529,0,50776,0.256185,
530,0,50841,0.44611,
531,0,50586,0.279375,
532,0,50366,0.47209,
533,0,50809,0.418003,
534,0,50239,0.299097,
535,0,49670,0.326139,
536,0,50641,0.334985,
537,0,50483,0.324634,
538,0,49935,0.295742,
539,0,50734,0.415197,
540,0,51010,0.433566,
541,0,50654,0.444661,
542,0,50166,0.449026,
543,0,50361,0.273789,
544,0,49573,0.367648,
