eventID,numPhotons,nScint,sumStepLength,
0,19716,19815,0.00335201,
1,20865,20973,0.00362206,
2,19912,20152,0.00332472,
3,18888,37776,0.00310993,
4,18889,37778,0.00310993,
5,19257,19454,0.00315176,
6,19355,20260,0.00323991,
7,18901,37802,0.00310993,
8,19788,22025,0.00341911,
9,19861,20232,0.00331457,
10,18879,37758,0.00310993,
11,18889,37778,0.00310993,
12,19982,20521,0.00338307,
13,18912,37824,0.00310993,
14,19682,21664,0.00338401,
15,18891,37782,0.00310993,
16,18885,37770,0.00310993,
17,19656,19788,0.00330697,
18,18880,37760,0.00310993,
19,18884,37768,0.00310993,
20,18886,37772,0.00310993,
21,19568,21114,0.00331295,
22,18869,37738,0.00310993,
23,18884,37768,0.00310993,
24,19212,19772,0.00317196,
25,19312,19687,0.00318495,
26,18887,37774,0.00310993,
27,18875,37750,0.00310993,
28,18905,37810,0.00310993,
29,19454,19782,0.00320636,
30,20557,25094,0.00375328,
31,18879,37758,0.00310993,
32,19227,19776,0.00316992,
33,19728,21876,0.00340729,
34,18889,37778,0.00310993,
35,18891,37782,0.00310993,
36,18899,37798,0.00310993,
37,18912,37824,0.00310993,
38,19861,20139,0.00334883,
39,20187,23693,0.00360087,
40,19543,20969,0.00330949,
41,19733,20032,0.00331044,
42,18899,37798,0.00310993,
43,19188,19615,0.00314988,
44,19051,19297,0.00312245,
45,18889,37778,0.00310993,
46,18903,37806,0.00310993,
47,18876,37752,0.00310993,
48,18896,37792,0.00310993,
49,19714,20025,0.00330009,
50,18920,37840,0.00310993,
51,18872,37744,0.00310993,
52,19695,21772,0.00339715,
53,18874,37748,0.00310993,
54,18916,37832,0.00310993,
55,18903,37806,0.00310993,
56,19704,21737,0.00339168,
57,19346,20181,0.00321116,
58,18907,37814,0.00310549,
59,18893,37786,0.00310993,
60,18892,37784,0.00307154,
61,18871,37742,0.00310993,
62,19603,21320,0.00334827,
63,18907,37814,0.00310993,
64,19548,20941,0.00330483,
65,18869,37738,0.00310993,
66,18882,37764,0.00310993,
67,19526,19668,0.00324772,
68,19882,22368,0.00345344,
69,20002,20700,0.00339168,
70,20241,21011,0.00346558,
71,18990,19123,0.00311283,
72,19925,22652,0.00348909,
73,18881,37762,0.00310993,
74,18906,37812,0.00310109,
75,18885,37770,0.00310993,
76,18893,37786,0.00310993,
77,19898,22566,0.00348103,
78,18884,37768,0.00310993,
79,19385,20320,0.00324468,
80,19292,19991,0.003195,
81,19502,19651,0.00324551,
82,19033,19236,0.00311775,
83,18889,37778,0.00310993,
84,18878,37756,0.00310993,
85,19351,19378,0.00319636,
86,19231,19812,0.0031746,
87,18880,37760,0.00310993,
88,19326,20164,0.00321471,
89,18879,37758,0.00308381,
90,18878,37756,0.00310993,
91,18889,37778,0.00310993,
92,18874,37748,0.00310993,
93,19048,19272,0.00312009,
94,18879,37758,0.00310993,
95,18898,37796,0.00310993,
96,19999,22883,0.00350873,
97,18880,37760,0.00306784,
98,18883,37766,0.00310993,
99,19917,20263,0.00334466,
100,19051,19267,0.00311929,
101,18890,37780,0.00310993,
102,18880,37760,0.00313735,
103,20217,21057,0.003468,
104,18911,37822,0.00310993,
105,18888,37776,0.00310993,
106,19800,20572,0.00334047,
107,19576,19687,0.00323208,
108,18911,37822,0.00310993,
109,18882,37764,0.00307224,
110,20240,20622,0.00346206,
111,18892,37784,0.00310993,
112,18886,37772,0.00310993,
113,19466,20585,0.00326906,
114,19435,20546,0.00326834,
115,19377,20299,0.00325178,
116,19359,20296,0.00324496,
117,19752,20240,0.00330282,
118,18904,37808,0.00310993,
119,18902,37804,0.00310993,
120,19373,20341,0.00324878,
121,18912,37824,0.00309047,
122,21403,21609,0.00383407,
123,18873,37746,0.00310993,
124,18901,37802,0.00310993,
125,19228,19724,0.00315997,
126,18899,37798,0.00310993,
127,18879,37758,0.00310993,
128,19525,20974,0.00331194,
129,19520,20821,0.00329221,
130,18900,37800,0.00310993,
131,18895,37790,0.00310993,
132,20006,22879,0.00349975,
133,19590,21269,0.00334241,
134,19409,20471,0.00326174,
135,18911,37822,0.00309111,
136,19983,20185,0.0033356,
137,18888,37776,0.00310993,
138,19305,20051,0.00319124,
139,20532,21332,0.00358591,
140,18873,37746,0.00310993,
141,19532,21041,0.00330063,
142,19109,19396,0.00312812,
143,19984,20339,0.00341581,
144,19873,20373,0.00335344,
145,18894,37788,0.00310993,
146,19362,20252,0.00323945,
147,18868,37736,0.00310993,
148,18919,37838,0.00310993,
149,18912,37824,0.00310993,
150,18888,37776,0.00310993,
151,19064,19288,0.00312038,
152,19058,19302,0.00312268,
153,19317,19571,0.00316065,
154,18907,37814,0.00310993,
155,18883,37766,0.00310993,
156,19822,20401,0.00333311,
157,18874,37748,0.00310993,
158,19140,19452,0.00313199,
159,19989,20305,0.00336984,
160,19367,19449,0.00319748,
161,19530,20922,0.00330498,
162,18877,37754,0.00310993,
163,19941,19975,0.00335225,
164,18901,37802,0.00310993,
165,19158,19566,0.00313844,
166,18914,37828,0.00310993,
167,18891,37782,0.00310993,
168,18887,37774,0.00310993,
169,18899,37798,0.00310993,
170,19391,20350,0.00323776,
171,18885,37770,0.00310993,
172,19801,22124,0.00343125,
173,18902,37804,0.00310993,
174,19765,19972,0.00328095,
175,19909,22555,0.00347604,
176,19030,19195,0.00311475,
177,19783,20106,0.00332641,
178,19086,19338,0.00311453,
179,20162,20737,0.00345392,
180,19803,22174,0.00343816,
181,19159,19544,0.00314347,
182,19359,20244,0.00323856,
183,18908,37816,0.00310993,
184,19663,21435,0.00335617,
185,18900,37800,0.00310993,
186,21231,21594,0.00382048,
187,18896,37792,0.00310993,
188,20044,20533,0.00339733,
189,18877,37754,0.00310993,
190,18870,37740,0.00310993,
191,18929,37858,0.00310993,
192,18885,37770,0.00310993,
193,20174,20823,0.0034435,
194,18918,37836,0.00310993,
195,18871,37742,0.00310993,
196,18862,37724,0.00310993,
197,18911,37822,0.00310993,
198,18874,37748,0.00310993,
199,18873,37746,0.00310993,
200,19706,20040,0.00328285,
201,19559,21069,0.00332084,
202,19871,19943,0.00343165,
203,18884,37768,0.00310993,
204,19928,20264,0.00338731,
205,19298,19952,0.00318546,
206,19532,19832,0.00322734,
207,18882,37764,0.00310993,
208,20737,20990,0.00357888,
209,18903,37806,0.00310993,
210,20278,21251,0.00349524,
211,18874,37748,0.00310993,
212,19748,21949,0.0034031,
213,18903,37806,0.00310993,
214,18895,37790,0.00310993,
215,18868,37736,0.00310993,
216,19402,20362,0.0032471,
217,20259,21023,0.0034936,
218,19161,19552,0.00314421,
219,18892,37784,0.00310993,
220,18905,37810,0.00310993,
221,18898,37796,0.00310993,
222,19805,20093,0.00334388,
223,19459,20644,0.00327755,
224,19501,20758,0.00328661,
225,18900,37800,0.00310993,
226,18861,37722,0.00310993,
227,20153,23510,0.00358004,
228,20022,20380,0.00340801,
229,18880,37760,0.00310993,
230,18892,37784,0.00310993,
231,18880,37760,0.00310993,
232,18897,37794,0.00310993,
233,18903,37806,0.00310993,
234,19586,19781,0.00321751,
235,18997,19170,0.00311537,
236,18892,37784,0.00310993,
237,19103,19433,0.00313419,
238,18907,37814,0.00310993,
239,19610,19819,0.00325918,
240,18897,37794,0.00310993,
241,18911,37822,0.00310993,
242,18919,37838,0.00310993,
243,19455,20625,0.00327547,
244,18883,37766,0.00310993,
245,18896,37792,0.00310993,
246,21448,21805,0.00388224,
247,18898,37796,0.00310993,
248,18894,37788,0.00310993,
249,18872,37744,0.00310993,
250,18944,19029,0.00311097,
251,19002,19175,0.00314802,
252,18907,37814,0.00310993,
253,18906,37812,0.00310993,
254,19469,19726,0.00321139,
255,19335,20171,0.00321539,
256,18901,37802,0.00310993,
257,19188,19639,0.00314801,
258,18871,37742,0.00310993,
259,19239,19631,0.00318127,
260,20457,24739,0.00371439,
261,18887,37774,0.00310993,
262,19154,19558,0.00314609,
263,19572,21110,0.00332349,
264,19054,19284,0.00312081,
265,18888,37776,0.00310993,
266,18877,37754,0.00310993,
267,19320,20075,0.0031729,
268,19566,19843,0.00325333,
269,18918,37836,0.00310993,
270,19561,21131,0.00332782,
271,19602,21249,0.00333832,
272,18876,37752,0.00310993,
273,18924,37848,0.00310993,
274,19626,21367,0.00335104,
275,19553,21036,0.00332006,
276,19891,20229,0.0033655,
277,19835,22253,0.00344316,
278,18898,37796,0.00310993,
279,19682,21583,0.00337283,
280,19224,19751,0.00316434,
281,19628,20074,0.003251,
282,18893,37786,0.00310993,
283,20269,20373,0.00359309,
284,19137,19451,0.00313199,
285,18894,37788,0.00310993,
286,19384,20349,0.00324954,
287,19342,20203,0.00321762,
288,19201,19694,0.00315902,
289,18989,19101,0.00311182,
290,19587,21209,0.00332412,
291,19343,19557,0.00312306,
292,19231,19797,0.00317219,
293,18897,37794,0.00310993,
294,18881,37762,0.00310993,
295,18868,37736,0.00310993,
296,20009,20814,0.00340515,
297,19042,19275,0.00312084,
298,19591,21177,0.00333064,
299,18909,37818,0.00310993,
300,19363,20256,0.00323873,
301,19679,20090,0.0032835,
302,18892,37784,0.00310993,
303,19356,20191,0.00320981,
304,18889,37778,0.00310993,
305,19298,20028,0.00319328,
306,18897,37794,0.00310993,
307,19283,20007,0.00319831,
308,18903,37806,0.00310993,
309,19621,19834,0.00326419,
310,18957,19031,0.00308765,
311,18900,37800,0.00310993,
312,19828,22172,0.00343357,
313,18880,37760,0.00310993,
314,19422,20501,0.00326261,
315,18882,37764,0.00310993,
316,18894,37788,0.00310993,
317,19595,19669,0.00330634,
318,19123,19465,0.00313579,
319,19543,20981,0.00331048,
320,19769,21955,0.00341085,
321,18890,37780,0.00310993,
322,18886,37772,0.00310993,
323,20553,21480,0.00359415,
324,18897,37794,0.00310993,
325,19294,19353,0.00316845,
326,18901,37802,0.00310993,
327,19460,20545,0.0032635,
328,18904,37808,0.00310993,
329,19441,20615,0.00327582,
330,20079,20383,0.00345161,
331,18897,37794,0.00310993,
