eventID,numPhotons,nScint,sumStepLength,
0,51008,51097,0.427438,
1,51006,51380,0.376825,
2,51004,51969,0.314318,
3,51004,51219,0.437475,
4,50997,52020,0.448514,
5,51003,51665,0.357571,
6,51001,51220,0.443015,
7,51003,51641,0.3742,
8,50998,51248,0.332744,
9,51000,51373,0.465189,
10,51008,51125,0.344911,
11,51008,51256,0.339093,
12,50982,51166,0.32213,
13,51000,51464,0.445323,
14,51001,51278,0.393991,
15,51012,51199,0.491669,
16,50997,51242,0.462376,
17,51001,51390,0.446705,
18,50984,51833,0.447805,
19,51001,51044,0.492315,
20,51000,51150,0.362598,
21,50997,51315,0.479292,
22,51001,51306,0.342217,
23,50999,51126,0.438028,
24,50992,51289,0.376504,
25,50994,51342,0.376115,
26,51000,51282,0.42892,
27,51003,51218,0.490213,
28,50996,51228,0.324613,
29,51002,51179,0.393796,
30,51007,51823,0.463439,
31,51004,51235,0.451886,
32,50994,51514,0.469423,
33,50986,51325,0.401706,
34,51013,51157,0.476532,
35,51003,51237,0.323108,
36,50997,51141,0.38314,
37,50994,51223,0.40971,
38,51000,51487,0.421052,
39,50996,51359,0.454858,
40,51003,51239,0.46732,
41,50989,51385,0.36633,
42,50997,51299,0.469538,
43,50990,51492,0.423108,
44,50994,51233,0.438823,
45,50996,51515,0.371372,
46,50998,52147,0.357061,
47,50990,51781,0.482851,
48,51009,51024,0.429726,
49,51011,51148,0.252583,
50,51004,52580,0.238395,
51,51003,51205,0.43716,
52,50998,51363,0.279195,
53,50996,51551,0.417717,
54,51005,51225,0.409933,
55,50994,51075,0.358086,
56,51000,51175,0.48866,
57,51004,51201,0.478574,
58,50995,51316,0.441253,
59,51010,51282,0.41836,
60,51009,51218,0.50565,
61,51010,51369,0.476735,
62,50997,51408,0.472359,
63,50981,51208,0.297158,
64,43116,44618,0.320129,
65,50999,51271,0.491473,
66,51005,51192,0.479276,
67,50999,51407,0.463451,
68,50995,51406,0.441161,
69,50999,51258,0.365409,
70,50995,51177,0.417961,
71,50995,51869,0.458968,
72,51002,51298,0.446534,
73,50999,51531,0.453242,
74,50993,51414,0.459691,
75,51004,51205,0.37153,
76,50999,51393,0.455443,
77,50990,51333,0.451428,
78,50968,51180,0.428226,
79,51011,51249,0.453836,
80,50998,51254,0.452172,
81,50996,51519,0.367178,
82,50999,51221,0.451576,
83,50996,51192,0.365753,
84,50996,51180,0.393586,
85,51000,51434,0.426708,
86,51016,51486,0.423718,
87,51000,51738,0.432827,
88,50998,51212,0.483546,
89,51006,51492,0.421467,
90,51007,51207,0.476264,
91,51004,51628,0.378833,
92,51005,51287,0.385152,
93,51005,51287,0.341324,
94,51007,51140,0.500131,
95,50994,51142,0.394082,
96,50999,51206,0.49958,
97,51009,51231,0.392304,
98,51013,51168,0.483296,
99,50989,51305,0.477634,
