numPhotons,numUp,numDown,eDep,
4813,53,45,30.9445,
5300,0,0,0,
5901,369,368,122,
0,0,0,0,
5691,177,553,113.938,
77,2,3,2.24573,
4993,0,0,0,
1680,59,45,22.6572,
1499,0,0,0,
157,6,7,4.05082,
5719,0,0,0,
1462,0,0,0,
5777,0,0,0,
2580,15,15,0,
0,0,0,0,
5428,0,0,0,
1145,0,0,0,
0,0,0,0,
5296,3,22,0,
5596,74,57,22.0361,
5795,0,0,0,
5431,0,0,0,
1548,0,0,0,
5315,164,136,22.5391,
5449,0,0,0,
5816,0,0,0,
5845,341,357,122,
5456,0,0,0,
5483,512,186,122,
5650,8,5,0,
5355,4,16,0,
1803,1,0,0,
5758,352,348,122,
1774,13,4,4.68758,
5793,324,307,122,
5660,0,0,0,
5269,338,305,122,
4277,320,213,92.984,
5262,0,0,0,
5669,0,0,0,
1497,44,23,12.212,
804,18,18,9.62876,
0,0,0,0,
5518,116,153,10.7714,
0,0,0,0,
5789,0,0,0,
5404,175,161,38.0086,
0,0,0,0,
5267,0,0,0,
5270,0,0,0,
5164,131,99,13.0602,
5449,27,46,0,
5358,0,0,0,
1422,1,3,0,
5616,0,0,0,
262,21,18,6.46526,
5270,186,217,84.3196,
675,0,0,0,
625,0,0,0,
0,0,0,0,
0,0,0,0,
14,0,2,0.547602,
0,0,0,0,
2613,0,0,0,
0,0,0,0,
0,0,0,0,
5688,78,59,28.1648,
5510,211,81,43.6522,
5872,351,354,122,
5624,87,96,32.9371,
836,37,19,10.2088,
5790,156,140,0,
0,0,0,0,
5644,590,147,122,
5817,0,0,0,
5803,154,481,122,
610,0,0,0,
5709,371,350,122,
1414,0,0,0,
5818,393,340,122,
5424,326,333,122,
5657,341,354,122,
248,15,12,6.21645,
5120,63,54,28.7732,
5759,7,7,0,
0,0,0,0,
1320,0,0,0,
4868,88,118,29.5482,
5548,346,311,122,
5251,14,12,0,
5721,325,330,122,
5558,475,191,122,
64,7,3,3.54041,
0,0,0,0,
119,0,0,0,
5659,361,377,122,
5613,0,0,0,
5717,0,0,0,
5445,32,42,12.9891,
5660,263,412,122,
0,0,0,0,
2492,0,0,0,
5694,0,0,0,
5184,140,228,58.6563,
5465,46,152,38.1516,
4868,89,104,23.7693,
5564,314,322,122,
4341,0,0,0,
5517,176,138,33.0836,
1635,0,0,0,
5234,14,16,0,
4779,119,123,34.6251,
5625,151,62,37.0511,
5678,344,344,122,
27,0,0,0,
95,0,0,0,
5741,0,0,0,
5318,118,89,42.7509,
1635,0,0,0,
5585,0,0,0,
1652,86,106,33.9669,
5888,346,327,122,
5631,203,480,122,
5614,157,103,44.6207,
1755,26,30,0,
5366,0,0,0,
1329,0,0,0,
5741,0,0,0,
0,0,0,0,
5049,189,228,88.5306,
5482,0,0,0,
5686,0,0,0,
5890,323,340,122,
5567,362,339,122,
4677,290,250,122,
4798,349,251,122,
1507,0,0,0,
5681,0,0,0,
411,0,0,0,
5843,390,344,122,
5567,86,73,23.2329,
5448,63,46,16.0781,
5619,0,0,0,
5622,0,0,0,
0,0,0,0,
4978,101,181,49.8403,
