eventID,eDep,
2,52.8122,
3,72.7223,
4,73.0343,
5,62.5309,
6,54.6476,
7,66.6476,
8,71.0665,
11,54.2329,
12,73.2147,
13,73.5096,
15,66.0902,
17,64.8439,
22,60.0748,
23,63.9216,
25,72.0094,
26,61.5441,
27,73.5265,
28,72.2498,
29,59.8766,
30,63.5173,
31,54.9969,
34,73.4408,
35,55.3885,
36,73.522,
37,60.1345,
40,72.4403,
41,73.5294,
43,65.4015,
44,61.6304,
45,73.5081,
51,73.524,
52,68.2363,
53,65.9781,
54,62.9029,
56,73.5258,
58,73.5294,
60,65.8506,
61,73.5279,
62,54.229,
63,73.4935,
64,65.7312,
65,73.529,
66,72.2339,
67,70.5338,
69,72.3087,
71,72.7631,
72,73.0748,
73,73.4083,
74,66.2895,
75,65.037,
77,59.6955,
81,73.4514,
82,73.5285,
86,69.9883,
87,73.2879,
89,72.589,
90,68.753,
93,61.7035,
94,68.0339,
96,54.6912,
97,61.7112,
98,70.7923,
99,73.5293,
101,65.854,
104,62.9667,
106,62.1176,
108,72.287,
109,54.1663,
110,67.352,
111,73.5251,
113,72.37,
114,73.0841,
115,73.5291,
118,72.6196,
119,72.9138,
120,69.0726,
121,69.6491,
122,53.1638,
125,73.4402,
128,63.8702,
129,71.1457,
130,51.6797,
133,64.3729,
136,57.7337,
138,72.5924,
139,68.1934,
140,73.5221,
141,70.1603,
142,73.5276,
143,73.462,
146,72.2601,
147,69.7455,
149,67.2384,
150,71.4133,
151,65.4489,
152,71.1847,
153,68.1639,
154,54.1423,
157,65.0838,
161,65.9811,
162,72.7271,
163,73.0297,
166,73.5292,
168,73.4054,
170,72.6611,
171,54.33,
173,71.08,
174,70.3715,
175,66.4839,
176,73.2946,
177,52.795,
178,73.4778,
179,67.997,
180,50.681,
181,70.658,
184,73.4437,
186,56.1257,
187,54.5525,
188,64.7783,
191,72.9704,
192,69.6467,
194,59.5292,
195,58.4665,
196,73.2282,
197,61.1033,
198,60.7752,
199,50.8538,
200,50.6924,
201,72.7481,
202,55.905,
203,72.1584,
204,70.9543,
205,73.5281,
206,53.8712,
207,73.4122,
208,73.0014,
209,66.2862,
211,73.5292,
212,64.8644,
213,72.9841,
214,72.2872,
216,68.6313,
217,73.4377,
218,73.5245,
220,69.8279,
223,62.3822,
224,71.485,
225,72.5589,
226,69.8868,
227,73.5206,
229,64.3958,
231,65.3998,
232,62.2819,
233,73.4912,
235,73.5294,
240,73.5272,
241,72.149,
243,67.3356,
246,51.9822,
248,68.4047,
250,73.4753,
251,73.0413,
253,53.7437,
254,68.6387,
256,71.4564,
257,66.4361,
258,64.7778,
260,73.5279,
261,69.4629,
263,73.2874,
265,65.1238,
266,71.0323,
269,63.2616,
271,59.3081,
273,70.3527,
276,56.8162,
277,65.7431,
278,66.3978,
279,59.9233,
280,68.953,
281,73.4425,
282,73.5286,
283,63.373,
286,72.239,
287,50.1057,
289,73.4416,
292,73.5294,
293,57.1534,
295,71.4648,
296,63.8441,
297,71.38,
298,62.0141,
299,64.2467,
300,65.9004,
301,68.9525,
302,72.4228,
303,73.529,
304,50.5547,
305,66.4237,
306,53.9903,
307,53.049,
308,73.1777,
309,72.4166,
310,73.5284,
311,54.0225,
314,73.525,
317,70.4462,
318,73.5246,
319,67.0993,
321,65.6225,
322,68.5956,
323,73.4479,
324,52.3466,
325,65.4654,
326,66.398,
327,59.5212,
329,63.9929,
332,67.2025,
333,50.548,
334,73.529,
335,73.5157,
336,68.6899,
337,72.6004,
338,71.5222,
339,69.2228,
340,68.6826,
341,58.7493,
342,73.5252,
343,55.6609,
346,73.4253,
347,72.8892,
351,61.2259,
353,73.497,
354,73.2391,
355,72.9705,
357,60.8633,
361,69.5997,
364,73.5115,
365,73.5099,
367,73.5197,
370,73.5173,
372,67.4964,
375,73.5292,
376,73.4975,
377,72.1518,
378,73.2527,
379,73.5279,
380,73.4398,
381,68.1711,
382,69.3861,
383,59.2085,
384,72.1451,
385,63.5636,
387,69.0173,
389,55.6556,
390,65.7507,
391,65.7843,
393,56.5738,
394,73.5292,
395,73.5292,
396,73.4901,
397,63.136,
399,55.9333,
401,67.5441,
402,60.275,
