eventID,eDep,
0,420.247,
1,1435.91,
2,1997.29,
3,1924,
4,301.916,
5,1999.98,
6,648.361,
7,878.464,
8,1999.15,
9,1494.43,
10,1997.44,
11,1965.99,
12,664.174,
13,1274.36,
14,1966.66,
15,1147.61,
16,889.629,
17,1999.63,
18,1999.96,
19,1773.72,
20,1096.59,
21,125.208,
22,2000,
23,2000,
24,1662.84,
25,364.872,
26,1832.87,
27,1999.11,
28,1999.44,
29,1998.9,
30,773.339,
31,303.122,
32,1888.17,
33,1952.89,
34,1925.06,
35,1999.97,
36,261.637,
37,2000,
38,2000,
39,2000,
40,861.609,
41,529.709,
42,2000,
43,2000,
44,1772.92,
45,880.997,
46,2000,
47,429.802,
48,1998.74,
49,451.134,
50,0,
51,2000,
52,1452.54,
53,2000,
54,1992.42,
55,1994.88,
56,451.613,
57,2000,
58,1997.93,
59,1999.36,
60,290.021,
61,1463.46,
62,240.606,
63,2000,
64,2000,
65,1850.83,
66,1442,
67,2000,
68,1997.94,
69,1734.38,
70,1999.49,
71,1429.62,
72,1678.6,
73,1710.71,
74,1690.1,
75,2000,
76,1672.48,
77,1170.55,
78,1864.15,
79,1997,
80,2000,
81,0,
82,1999.94,
83,1857.37,
84,1994.31,
85,1872.54,
86,466.653,
87,0,
88,29.7492,
89,0,
90,904.309,
91,1650.98,
92,2000,
93,2000,
94,1997.68,
95,1804.2,
96,410.482,
97,1987.33,
98,1983.8,
99,1934.79,
100,2000,
101,2000,
102,1820.37,
103,307.557,
104,1288.21,
105,504.737,
106,1999.84,
107,1907.68,
108,1949.33,
109,1999.9,
110,2000,
111,2000,
112,1052.47,
113,0,
114,1847.69,
115,2000,
116,2000,
117,1101.62,
118,2000,
119,1995.26,
120,2000,
121,1989.79,
122,1314.21,
123,1997.41,
124,2000,
125,0,
126,2000,
127,1999.99,
128,2000,
129,0,
130,1279.85,
131,487.108,
132,1704.04,
133,2000,
134,2000,
135,2000,
136,1952.37,
137,1994.24,
138,1319.39,
139,1999.99,
140,2000,
141,1999.98,
142,1694.09,
143,1905.55,
144,1998.21,
145,1755.42,
146,2000,
147,1999.82,
148,1156.92,
149,272.889,
150,1217.14,
151,1115.96,
152,61.3473,
153,1994.65,
154,1512.74,
155,104.758,
156,1953.78,
157,1999.95,
158,1999.97,
159,270.059,
160,126.217,
161,1999.86,
162,1350.65,
163,1984.93,
164,585.97,
165,0,
166,2000,
167,1136.93,
168,659.456,
169,1957.8,
170,465.645,
171,1989.89,
172,1828.17,
173,388.644,
174,532.497,
175,1999.95,
176,1740.33,
177,1045.84,
178,0,
179,457.909,
180,2000,
181,1999.99,
182,1999.97,
183,1980.32,
184,2000,
185,0,
186,2000,
187,1845.84,
188,500.417,
189,1725.2,
190,1999.98,
191,2000,
192,1185.73,
193,2000,
194,1998.64,
195,1741.54,
196,0,
197,36.5777,
198,0,
199,2000,
200,2000,
201,1657.92,
202,1999.5,
203,1270.99,
204,1265.28,
205,1484.68,
206,1698.81,
207,2000,
208,0,
209,1999.68,
210,2000,
211,1248,
212,0,
213,1667.41,
214,1999.11,
215,1631.35,
216,1999.89,
217,431.342,
218,1996.37,
219,2000,
220,0,
221,2000,
222,925.073,
223,357.53,
224,2000,
225,399.666,
226,1993.66,
