eventID,eDep,
0,0,
1,0,
2,1,
3,1,
4,1,
5,1,
6,0,
7,0,
8,1,
9,1,
10,0,
11,0,
12,0,
13,0,
14,1,
15,0,
16,0,
17,0,
18,1,
19,0,
20,0,
21,1,
22,1,
23,0,
24,1,
25,1,
26,0,
27,0,
28,0,
29,0,
30,1,
31,1,
32,1,
33,0,
34,1,
35,1,
36,1,
37,0,
38,1,
39,1,
40,0,
41,0,
42,1,
43,1,
44,1,
45,0,
46,1,
47,1,
48,1,
49,0,
50,1,
51,1,
52,1,
53,1,
54,1,
55,1,
56,1,
57,0,
58,1,
59,1,
60,1,
61,1,
62,1,
63,0,
64,1,
65,1,
66,1,
67,1,
68,1,
69,0,
70,0,
71,1,
72,1,
73,0,
74,0,
75,1,
76,0,
77,1,
78,1,
79,0,
80,1,
81,0,
82,0,
83,0,
84,1,
85,1,
86,1,
87,1,
88,1,
89,1,
90,1,
91,0,
92,1,
93,1,
94,1,
95,0,
96,0,
97,1,
98,0,
99,1,
100,1,
101,1,
102,1,
103,1,
104,1,
105,0,
106,1,
107,1,
108,1,
109,0,
110,1,
111,1,
112,0,
113,1,
114,0,
115,1,
116,1,
117,0,
118,1,
119,0,
120,0,
121,1,
122,1,
123,1,
124,0,
125,1,
126,1,
127,0,
128,1,
129,1,
130,1,
131,0,
132,0,
133,1,
134,0,
135,1,
136,1,
137,0,
138,0,
139,0,
140,1,
141,1,
142,1,
143,1,
144,0,
145,1,
146,1,
147,1,
148,1,
149,1,
150,1,
151,1,
152,1,
153,1,
154,1,
155,1,
156,1,
157,1,
158,1,
159,1,
160,0,
161,1,
162,0,
163,1,
164,1,
165,1,
166,0,
167,1,
168,1,
169,1,
170,1,
171,0,
172,1,
173,0,
174,0,
175,1,
176,0,
177,1,
178,0,
179,0,
180,1,
181,1,
182,1,
183,1,
184,0,
185,1,
186,1,
187,1,
188,1,
189,0,
190,1,
191,1,
192,1,
193,1,
194,1,
195,1,
196,1,
197,1,
198,0,
199,1,
200,0,
201,1,
202,1,
203,0,
204,0,
205,1,
206,0,
207,1,
208,0,
209,1,
210,1,
211,0,
212,0,
213,1,
214,1,
215,0,
216,1,
217,0,
218,1,
219,0,
220,1,
221,1,
222,0,
223,0,
224,0,
225,1,
226,0,
227,0,
228,0,
229,1,
230,1,
231,1,
232,1,
233,1,
234,1,
235,0,
236,1,
237,1,
238,0,
239,0,
240,1,
241,1,
242,1,
243,1,
244,1,
245,0,
246,1,
247,1,
248,1,
249,0,
250,1,
251,0,
252,1,
253,1,
254,0,
255,0,
256,1,
257,0,
258,1,
259,1,
260,1,
261,1,
262,0,
263,1,
264,0,
265,1,
266,1,
267,1,
268,1,
269,0,
270,1,
271,1,
272,0,
273,0,
274,1,
275,1,
276,1,
277,1,
278,1,
279,1,
280,1,
281,1,
282,0,
283,0,
284,1,
285,1,
286,1,
287,0,
288,1,
289,1,
290,1,
291,0,
292,1,
293,1,
294,0,
295,0,
296,1,
297,1,
298,1,
299,1,
300,1,
301,0,
302,1,
303,1,
304,1,
305,1,
306,0,
307,1,
308,0,
309,1,
310,0,
311,0,
312,1,
313,0,
314,1,
315,1,
316,1,
317,1,
318,1,
319,1,
320,1,
321,1,
322,1,
323,1,
324,0,
325,1,
326,1,
327,0,
328,1,
329,0,
330,0,
331,1,
332,1,
333,1,
334,1,
335,1,
336,0,
337,1,
338,1,
339,0,
340,1,
341,0,
342,1,
343,1,
344,0,
345,0,
346,1,
347,1,
348,1,
349,1,
350,1,
351,1,
352,1,
353,1,
354,0,
355,0,
356,0,
357,1,
358,1,
359,1,
360,0,
361,1,
362,1,
363,1,
364,0,
365,1,
366,1,
367,1,
368,1,
369,1,
370,1,
371,0,
372,0,
373,1,
374,1,
375,1,
376,1,
377,1,
378,1,
379,1,
380,1,
381,1,
382,1,
383,0,
384,1,
385,1,
386,1,
387,0,
388,1,
389,1,
390,1,
391,1,
392,1,
393,1,
394,0,
395,1,
396,1,
397,1,
398,0,
399,0,
400,1,
401,0,
402,1,
403,1,
404,0,
405,1,
406,1,
407,0,
408,1,
409,0,
410,0,
411,0,
412,1,
413,0,
414,1,
415,1,
416,1,
417,1,
418,0,
419,0,
420,1,
421,1,
422,1,
423,1,
424,1,
