eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,
1247,251,7,15,21.3289,1,0,0,
1332,248,25,12,16.2392,1,0,0,
7995,262,9,19,61.0726,1,0,0,
11130,215,15,13,7.17732,1,0,0,
14880,228,14,8,40.5457,1,0,0,
16715,1871,41,72,79.8055,2,0,1,
17401,604,5,5,0.298275,1,0,1,
17804,711,58,31,52.4226,2,0,0,
20104,212,22,7,68.7442,1,0,0,
21552,218,13,23,1.95996,1,0,0,
22374,253,10,29,1.82014,1,0,0,
28025,243,7,14,19.0387,1,0,0,
28074,208,6,11,44.0778,1,0,0,
30059,229,11,15,33.1438,1,0,0,
30512,221,20,8,18.9351,1,0,0,
37154,256,23,10,27.8057,2,0,0,
41337,217,9,23,31.1433,1,0,0,
41856,594,61,21,21.4423,2,0,0,
42658,251,18,23,48.4513,1,0,0,
48933,251,13,27,9.75158,1,0,0,
57000,262,27,11,27.1455,1,0,0,
60087,219,16,16,30.1259,1,0,0,
62173,537,13,7,10.2089,1,0,1,
64344,246,9,17,11.4201,1,0,0,
67045,280,12,13,15.3723,1,0,1,
67432,257,19,6,14.1143,1,0,0,
80760,233,27,4,38.2013,1,0,0,
81983,182,10,3,0.641493,1,0,0,
82370,236,15,12,12.9536,1,0,0,
83015,355,6,14,43.0447,1,0,1,
84686,658,32,23,15.7512,2,0,1,
85702,199,13,17,34.4233,1,0,0,
88793,179,6,12,27.1437,1,0,0,
90993,284,22,8,13.9021,1,0,0,
91684,256,12,16,3.73692,1,0,0,
99202,243,18,8,13.7958,1,0,0,
105105,284,15,19,21.3605,1,0,1,
106619,233,16,9,3.88768,1,0,0,
108333,190,7,9,10.6778,1,0,0,
113073,215,10,21,12.285,1,0,0,
113084,181,15,16,13.4723,1,0,0,
121148,254,10,24,3.69328,1,0,0,
124212,373,7,26,47.057,1,0,1,
124609,199,8,13,26.8235,1,0,0,
125782,317,13,18,3.98253,1,0,1,
128490,210,11,13,2.36199,1,0,0,
128614,213,13,18,8.01784,1,0,0,
132121,496,11,8,9.30823,1,0,1,
132571,216,10,18,35.8444,1,0,0,
133502,205,11,14,11.9434,1,0,0,
133812,248,6,21,10.9769,1,0,0,
141275,206,11,10,14.5364,1,0,0,
145475,176,2,8,7.8199,1,0,1,
151468,244,28,5,20.6077,1,0,0,
151730,225,13,12,16.075,1,0,0,
152612,195,13,4,6.23048,1,0,0,
154747,220,17,16,4.36256,1,0,0,
156562,264,23,16,43.4129,1,0,0,
157349,189,10,16,10.0265,1,0,0,
157625,259,15,11,7.40951,1,0,0,
160591,248,26,15,7.41062,1,0,0,
162774,240,9,15,0.254947,1,0,0,
163634,239,2,13,13.2032,1,0,1,
164279,255,13,19,29.0789,1,0,0,
164282,209,11,17,23.9116,1,0,0,
166386,212,7,25,36.1925,1,0,0,
166505,971,26,13,28.041,2,0,1,
172507,615,16,31,30.9886,1,0,1,
173452,507,5,2,24.4691,1,0,1,
175022,231,23,5,14.33,1,0,0,
182022,205,20,7,29.3115,1,0,0,
187230,234,13,11,19.286,1,0,0,
190526,1180,74,62,22.4699,3,0,0,
191050,214,14,21,3.44657,1,0,0,
197172,206,16,14,1.58167,1,0,0,
202333,199,14,11,44.6031,1,0,0,
202409,1204,29,13,0.532842,1,0,1,
217379,250,8,8,17.7779,1,0,1,
220266,218,12,12,93.0318,1,0,0,
221630,197,19,4,20.9188,1,0,0,
225671,631,31,16,3.53747,1,0,1,
229870,247,18,18,3.93752,1,0,0,
235423,955,71,48,6.0552,3,0,0,
238609,214,11,10,20.1268,1,0,0,
241624,233,19,7,52.6525,1,0,0,
247605,188,15,13,4.21762,1,0,0,
252253,187,7,17,9.98175,1,0,0,
254571,218,21,2,14.0201,1,0,0,
256211,249,27,7,40.8003,1,0,0,
266400,228,11,9,11.9249,1,0,0,
269466,252,12,19,46.6558,1,0,0,
276423,239,8,20,16.2157,1,0,0,
288742,235,23,10,52.9555,1,0,0,
291010,195,16,7,3.21976,1,0,0,
292343,259,16,13,19.1805,1,0,0,
294005,212,19,12,2.17866,1,0,0,
294379,247,14,14,20.142,1,0,0,
295797,237,4,20,26.9172,1,0,0,
298295,173,13,12,6.41304,1,0,0,
300377,220,20,11,6.0566,1,0,0,
302171,194,7,12,7.73346,1,0,0,
304016,649,47,38,24.1803,2,0,0,
304198,970,9,25,0.82644,1,0,1,
306020,228,17,15,10.377,1,0,0,
308409,192,11,12,9.19433,1,0,0,
309933,212,10,13,47.0656,1,0,0,
311911,203,3,11,4.86393,1,0,0,
320592,188,10,15,26.1277,1,0,0,
327373,226,14,20,20.3717,1,0,0,
