eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,
8088,282,13,7,5.0095,1,0,1,
19780,299,20,14,32.4785,1,0,0,
23289,592,20,16,6.09038,1,0,1,
23868,310,17,19,2.40018,1,0,0,
33884,311,20,17,33.6832,1,0,0,
43977,301,21,22,21.8927,1,0,0,
46405,312,11,17,19.3261,1,0,1,
73229,626,29,20,31.9707,1,0,1,
73966,298,13,18,7.28796,1,0,0,
85894,324,17,20,7.70607,1,0,0,
86264,438,25,27,23.6982,2,0,0,
87090,746,60,31,20.9698,2,0,1,
95614,303,18,21,13.2937,1,0,0,
99041,452,27,26,10.385,1,0,1,
99655,287,17,16,5.2494,1,0,0,
103421,296,14,16,32.0309,1,0,0,
106363,505,22,15,21.2746,1,0,1,
109374,324,18,18,43.3836,1,0,0,
113444,296,11,24,13.3825,1,0,0,
115467,344,17,23,11.6768,1,0,0,
115646,289,19,15,18.1468,1,0,0,
119897,339,23,15,20.0033,1,0,0,
124486,674,14,9,28.0409,1,0,1,
127352,80,8,4,71.2336,1,0,0,
131844,1456,61,98,9.03039,2,0,1,
134048,320,18,15,7.35323,1,0,0,
135457,1749,61,45,39.3732,1,0,1,
135544,395,28,14,0.172074,1,0,0,
139017,325,21,17,8.08422,1,0,0,
143761,284,20,18,9.78421,1,0,0,
145110,293,20,15,11.6752,1,0,0,
146989,318,22,19,9.13535,1,0,0,
148688,312,20,18,14.8674,1,0,0,
150753,304,18,13,78.2828,1,0,0,
151683,283,18,13,5.91809,2,0,0,
153469,324,29,18,18.0079,1,0,0,
155274,297,19,23,1.50124,1,0,0,
155489,300,22,18,43.8075,1,0,0,
156264,406,4,12,15.3819,1,0,1,
165755,311,10,6,43.7318,1,0,1,
167554,295,18,15,40.4404,1,0,0,
169587,277,13,20,12.0884,1,0,0,
178902,292,15,16,7.45507,2,0,0,
179709,329,21,13,16.2113,1,0,0,
187956,319,21,25,22.8013,2,0,0,
188586,291,16,12,38.6494,1,0,0,
189042,502,18,28,83.3557,1,0,1,
191982,289,16,16,32.753,1,0,0,
194471,671,33,37,10.8333,2,0,1,
195253,327,8,4,7.42785,1,0,1,
196601,292,21,21,69.9491,2,0,0,
201583,322,20,17,6.1146,1,0,0,
207089,315,20,26,11.9298,1,0,0,
210744,305,9,12,26.3016,1,0,0,
212057,323,19,19,13.1053,1,0,0,
213046,306,19,22,18.2378,1,0,0,
218304,298,21,17,7.07478,1,0,0,
224259,326,21,13,14.7292,1,0,0,
228309,341,25,17,30.0116,1,0,0,
229586,301,15,12,48.9055,1,0,0,
245978,301,19,21,4.87953,1,0,0,
246754,297,16,22,40.024,1,0,0,
249010,697,22,24,1.63843,1,0,1,
252229,318,15,18,0.223242,1,0,0,
257028,903,14,24,31.7633,1,0,1,
268974,289,12,19,44.6127,1,0,0,
270767,302,18,14,10.9904,2,0,0,
270849,301,14,19,35.2915,1,0,0,
279934,291,21,15,8.07312,1,0,0,
282033,321,17,21,17.5684,1,0,0,
285793,295,18,15,31.9657,1,0,0,
286800,678,27,51,9.39373,2,0,0,
301044,332,20,20,6.66154,1,0,0,
305561,327,14,27,25.2693,1,0,0,
331851,311,19,25,1.91235,1,0,0,
332083,340,23,28,1.66917,1,0,0,
332549,326,21,18,13.8755,1,0,0,
333729,296,25,15,21.4899,1,0,0,
334860,317,20,22,95.4846,2,0,0,
339510,333,22,36,6.00367,1,0,0,
343029,293,13,19,1.18959,1,0,0,
345823,304,15,17,71.0202,1,0,0,
356402,649,20,24,22.0893,1,0,1,
360574,328,16,28,4.94299,1,0,0,
365591,367,14,38,11.0096,2,0,0,
366376,534,35,30,42.1815,1,0,0,
367624,322,19,17,4.25358,1,0,0,
368939,322,19,14,14.1012,1,0,0,
374163,298,17,17,19.5137,1,0,0,
375385,323,22,25,3.5755,1,0,0,
375659,296,16,15,5.97224,1,0,0,
385692,320,24,16,3.81701,1,0,0,
387725,291,13,20,0.378828,2,0,0,
388645,299,20,22,29.7794,1,0,0,
398766,333,22,25,21.2196,2,0,0,
401293,330,24,18,16.8513,1,0,0,
401317,324,23,24,11.3721,1,0,0,
401820,1820,2,5,6.4566,1,0,1,
406788,333,16,24,2.4524,1,0,0,
410864,315,17,17,4.24982,1,0,0,
412435,329,14,19,26.3447,1,0,0,
420539,1000,66,61,5.40221,3,0,0,
424875,878,67,54,37.6099,2,0,0,
425414,306,13,10,11.0722,1,0,0,
430513,342,21,20,68.502,1,0,0,
437028,271,13,14,21.2751,1,0,0,
437652,263,21,13,11.2953,2,0,0,
439036,279,13,19,10.4751,2,0,0,
443057,311,18,18,4.09463,1,0,0,
444515,325,23,19,0.809826,1,0,0,
459589,325,10,22,10.0073,1,0,0,
471228,663,12,45,9.92547,1,0,1,
477387,290,18,16,8.95038,1,0,0,
477669,343,20,12,15.6798,1,0,0,
478652,304,17,10,0.58485,1,0,0,
482928,322,23,17,27.6982,1,0,0,
490908,310,17,22,10.0618,1,0,0,
492270,303,12,24,28.54,2,0,0,
494999,285,13,16,1.22002,1,0,0,
497204,1438,58,52,36.2325,1,0,1,
505190,316,16,13,9.73504,1,0,0,
507183,520,31,6,1.69006,1,0,1,
508944,313,12,21,5.64979,1,0,0,
514649,309,18,12,10.5665,1,0,0,
520180,332,17,17,2.41169,1,0,0,
521830,316,6,8,36.1466,1,0,1,
522037,314,21,19,0.540787,1,0,0,
523700,344,14,26,35.3176,2,0,0,
526211,294,18,15,31.9943,1,0,0,
531401,319,19,18,11.9662,1,0,0,
532652,287,16,15,13.5057,1,0,0,
533566,322,15,23,9.49762,1,0,0,
533816,323,21,16,19.3172,1,0,0,
538169,320,19,26,14.8112,1,0,0,
550577,326,25,17,13.5275,1,0,0,
552773,338,19,20,10.9566,1,0,0,
557538,292,18,17,27.902,1,0,0,
561005,312,13,26,29.9728,1,0,0,
565419,281,16,10,13.2512,1,0,0,
576104,337,10,21,5.87613,1,0,0,
580578,437,23,27,3.59102,1,0,1,
583076,308,16,16,6.45069,1,0,0,
586704,291,15,21,10.6121,1,0,0,
596406,322,20,25,36.1107,1,0,0,
604463,337,17,29,40.2951,1,0,0,
607369,306,22,19,12.4887,1,0,0,
607600,322,21,19,1.3932,1,0,0,
608009,324,19,21,8.31729,2,0,0,
610863,406,4,8,23.4418,1,0,1,
623861,303,15,20,23.3513,1,0,0,
632738,1131,11,26,13.6975,2,0,1,
633994,390,13,9,25.7594,1,0,1,
641141,336,22,17,19.3053,1,0,0,
650240,344,22,24,24.8098,1,0,0,
666179,304,22,16,0.681326,1,0,0,
669433,480,27,33,7.61094,2,0,0,
670274,316,13,14,21.617,1,0,1,
673025,334,18,25,91.268,1,0,0,
677405,341,24,20,24.0062,1,0,0,
679075,326,35,28,23.3946,1,0,0,
684212,299,17,17,4.9465,1,0,0,
686204,325,14,23,5.27286,1,0,0,
688121,289,5,2,96.1446,1,0,1,
688497,318,27,16,31.4855,1,0,0,
691465,306,19,19,19.5602,1,0,0,
692831,304,26,23,8.18869,1,0,0,
696000,348,21,18,6.58005,1,0,0,
714165,100,6,4,21.3291,1,0,0,
714551,310,19,12,5.3944,1,0,0,
732853,333,20,20,20.9175,1,0,0,
733669,310,18,14,5.70552,2,0,0,
734177,345,28,17,26.9543,1,0,0,
738191,319,22,25,17.8015,1,0,0,
739152,354,23,16,4.20719,1,0,0,
740740,308,26,20,4.83312,1,0,0,
740866,491,24,27,0.353288,1,0,1,
744249,399,16,15,23.4441,1,0,1,
746654,309,22,21,88.4184,2,0,0,
751020,302,23,28,41.5876,1,0,0,
752317,328,16,23,18.0112,1,0,0,
753276,297,22,13,26.5684,1,0,0,
757462,319,21,19,61.9701,1,0,0,
760082,305,19,16,9.11911,1,0,0,
775095,335,20,25,19.2968,1,0,0,
782242,331,17,24,8.99744,1,0,0,
786333,339,13,11,52.285,1,0,1,
791502,326,20,12,9.41487,1,0,0,
795117,320,18,21,24.2672,1,0,0,
800983,272,13,12,6.84714,2,0,0,
801078,970,25,30,49.717,1,0,1,
808010,278,18,13,6.76299,1,0,0,
815840,331,28,20,51.0969,1,0,0,
822307,312,18,26,24.2508,1,0,0,
831837,315,17,17,37.0957,1,0,0,
831978,345,21,19,34.3971,1,0,0,
837982,298,15,22,12.261,1,0,0,
843407,162,8,11,16.4344,1,0,0,
857035,1161,68,73,30.2517,2,0,0,
864276,399,5,7,34.1983,1,0,1,
867308,417,30,37,6.0427,2,0,0,
868439,478,28,16,7.00063,2,0,1,
874495,338,22,19,15.8123,1,0,0,
878261,317,22,17,3.82946,1,0,0,
881582,279,20,10,16.4283,1,0,0,
883698,342,22,20,3.44365,1,0,0,
885515,337,21,29,7.33783,1,0,0,
885678,306,17,16,30.438,1,0,0,
889321,298,18,21,15.5912,1,0,0,
889708,326,24,24,33.605,1,0,0,
894092,554,26,21,28.5834,1,0,1,
897848,302,16,26,94.8799,1,0,0,
901795,307,17,12,3.97373,1,0,0,
907513,292,18,18,3.96761,1,0,0,
908238,331,16,20,43.6544,1,0,0,
912758,313,1,8,10.5669,1,0,1,
916557,540,14,26,4.65087,1,0,1,
918308,423,17,26,3.83556,2,0,0,
918829,290,17,13,68.0606,1,0,0,
921853,317,23,22,19.0428,1,0,0,
922558,1317,100,55,20.5755,4,0,1,
928924,342,16,20,7.47736,1,0,0,
933159,314,19,22,28.3149,1,0,0,
948128,306,16,23,2.68432,1,0,0,
950716,328,15,16,36.4658,1,0,0,
951915,305,22,15,42.8276,1,0,0,
952408,309,17,22,15.1114,1,0,0,
955511,282,13,11,6.22736,1,0,0,
956328,645,37,46,26.4178,2,0,0,
958952,490,28,31,5.33997,4,0,0,
968054,77,1,4,15.5484,1,0,0,
974048,326,20,15,4.10016,1,0,0,
974072,1700,85,111,53.2333,2,0,0,
984459,326,17,24,5.89784,1,0,0,
990512,325,16,22,1.65684,1,0,0,
996781,555,8,15,53.8543,1,0,1,
998451,308,16,15,8.28112,2,0,0,
1007600,464,24,11,6.65461,1,0,1,
1011999,593,48,29,24.9502,2,0,0,
1013304,281,18,10,68.5584,1,0,0,
1014731,288,17,17,30.2356,2,0,0,
1018834,325,25,17,44.2936,1,0,0,
1026294,311,22,15,30.3999,1,0,0,
1031415,561,15,15,17.3461,1,0,1,
1043643,288,17,24,43.0851,1,0,0,
1057130,291,19,21,33.0949,1,0,0,
1074005,318,18,22,17.4221,1,0,0,
1084075,301,17,22,0.563303,1,0,0,
1086101,309,19,19,8.19786,1,0,0,
1091257,317,18,27,39.4626,1,0,0,
1094975,91,6,8,0.682688,1,0,0,
1095168,306,20,15,21.7045,1,0,0,
1097878,705,33,29,2.23228,2,0,0,
1099874,311,26,17,23.5656,1,0,0,
1101584,316,12,21,21.4016,1,0,0,
1103126,274,15,19,9.69006,1,0,0,
1108375,313,18,17,7.94313,1,0,0,
1110103,310,23,13,47.2171,1,0,0,
1122645,322,15,14,10.4029,1,0,0,
1123052,328,22,15,1.59848,1,0,0,
1126796,339,20,18,2.71262,1,0,0,
1127849,313,14,19,5.60639,1,0,0,
1128814,315,16,19,20.0175,1,0,0,
1131704,312,17,15,6.31216,1,0,0,
1132278,1533,71,108,4.27305,2,0,0,
1133716,347,19,18,8.64342,1,0,0,
1138027,296,15,9,18.2917,1,0,1,
1140794,303,13,19,23.1494,1,0,0,
1142684,304,19,19,13.1722,1,0,0,
1154115,316,10,13,23.6822,1,0,0,
1154853,342,24,22,7.43647,1,0,0,
1162933,313,2,5,5.24549,1,0,1,
1165048,173,15,14,17.1117,1,0,0,
1168231,299,15,12,22.3439,1,0,0,
1171271,328,30,21,9.16705,1,0,0,
1178768,291,15,17,20.9791,1,0,0,
1183676,645,13,9,46.8767,1,0,1,
1186750,556,19,32,93.9286,1,0,1,
1191961,307,23,20,4.80948,1,0,0,
1197480,318,25,21,34.0116,1,0,0,
1198464,479,22,25,58.5931,2,0,0,
1199178,318,25,20,9.98846,1,0,0,
1200599,291,10,11,7.90662,1,0,1,
1202296,335,22,11,3.8134,1,0,0,
1207481,314,17,18,20.0888,1,0,0,
1214207,286,15,15,9.81414,1,0,0,
1217536,306,19,17,0.0103346,1,0,0,
1226458,308,13,24,27.6246,1,0,0,
1226495,285,11,22,22.4139,1,0,0,
1226686,307,24,24,15.5694,1,0,0,
1229873,320,19,22,0.602292,1,0,0,
1231271,345,23,22,13.489,1,0,0,
1231574,332,21,23,37.1951,1,0,0,
1246495,317,24,19,12.537,1,0,0,
1247165,1590,99,112,13.6786,2,0,0,
1247461,306,15,27,16.5485,1,0,0,
1250481,303,22,21,11.0996,1,0,0,
1252612,339,22,23,0.279951,1,0,0,
1258822,315,16,18,7.73444,1,0,0,
1259556,303,16,19,37.6782,1,0,0,
1259702,600,9,7,1.86334,1,0,1,
1268976,346,21,15,20.0912,1,0,0,
1280685,286,5,8,12.4438,1,0,1,
1286148,330,21,15,46.0913,1,0,0,
1286667,375,4,6,6.24772,1,0,1,
1286805,317,17,14,5.46135,1,0,0,
1289683,321,26,11,31.2755,1,0,0,
1290615,303,12,14,4.30418,1,0,0,
1291835,319,20,22,13.3266,1,0,0,
1304265,1729,88,118,8.90528,2,0,0,
1316861,732,30,23,62.1905,1,0,1,
1319689,311,26,19,5.75784,1,0,0,
1322607,296,16,17,7.76967,1,0,0,
1323010,343,19,19,3.14959,1,0,0,
1332520,292,21,18,12.3306,1,0,0,
1336182,283,11,11,3.22954,1,0,1,
1336533,298,21,17,90.2015,1,0,0,
1339475,300,21,16,22.254,1,0,0,
1342956,278,9,5,29.8141,1,0,1,
1346233,270,19,18,23.1965,2,0,0,
1351303,1117,15,14,90.1826,1,0,1,
1356303,296,19,18,25.0907,1,0,0,
1361390,440,11,8,4.95334,1,0,1,
1366726,277,16,17,3.7487,1,0,0,
1376074,350,22,22,26.9523,1,0,0,
1383816,317,16,25,56.0962,1,0,0,
1386712,328,21,14,7.71653,1,0,0,
1388848,290,23,17,28.5222,1,0,0,
1392071,325,25,31,15.1843,1,0,0,
1392142,302,20,16,27.9331,1,0,0,
1404191,284,21,18,8.91745,1,0,0,
1404999,1046,28,39,68.2147,1,0,1,
1409509,1218,37,36,62.4931,1,0,1,
1417725,299,18,18,24.0626,1,0,0,
1417873,308,25,13,9.08183,1,0,0,
1419838,308,18,19,21.4656,1,0,0,
1426569,240,10,17,10.7986,1,0,0,
1430396,282,19,16,11.5507,1,0,0,
1443007,299,17,19,15.1718,1,0,0,
1443819,531,29,29,13.5409,2,0,1,
1445157,308,21,20,14.5253,1,0,0,
1449159,314,12,25,5.40948,1,0,0,
1453068,310,21,19,14.7364,1,0,0,
1462977,328,26,14,25.0802,1,0,0,
1471240,330,17,19,16.3838,1,0,0,
1476794,823,27,25,8.0598,1,0,1,
1482555,329,16,20,14.6493,1,0,0,
1483817,2000,14,13,4.22447,1,0,1,
1484778,299,20,14,19.3295,1,0,0,
1490799,330,17,23,5.19862,1,0,0,
1493958,338,22,20,22.7519,1,0,0,
1497954,317,22,13,34.3998,1,0,0,
1501317,341,30,19,38.4094,1,0,0,
1507657,437,17,25,22.38,2,0,0,
1509226,313,20,11,7.25762,1,0,0,
1513185,290,25,16,2.31199,1,0,0,
