eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,
1642,475,30,28,33.0457,1,0,0,
3603,484,9,7,11.2829,1,0,1,
5002,604,50,25,7.03883,2,0,0,
9062,710,37,36,60.5005,3,0,0,
22095,463,28,29,17.8153,1,0,0,
31711,450,23,28,8.69366,1,0,0,
32425,495,29,37,82.3387,1,0,0,
37253,768,15,15,24.2999,1,0,1,
38047,1069,55,29,0.425128,2,0,1,
61626,321,11,8,17.0495,1,0,1,
62303,477,31,24,4.29174,1,0,0,
65737,517,25,41,1.34541,2,0,0,
67081,476,29,27,57.0675,2,0,0,
68905,471,30,30,7.89821,1,0,0,
73332,483,25,27,12.0072,1,0,0,
74083,494,38,25,4.96907,1,0,0,
77360,500,27,29,1.15746,1,0,0,
79893,790,32,20,5.30342,1,0,1,
95533,796,56,40,89.8042,2,0,0,
106512,704,34,18,13.6694,1,0,1,
110860,485,25,26,4.64251,1,0,0,
112604,791,43,54,31.6762,2,0,0,
116061,643,34,43,16.9561,3,0,0,
117532,1504,27,58,45.4014,1,0,1,
120446,471,24,24,18.3935,1,0,0,
120949,473,25,33,8.7863,1,0,0,
135520,837,28,25,11.3449,1,0,1,
136113,470,22,29,7.02156,2,0,0,
154680,606,12,25,1.51203,1,0,1,
190988,874,28,24,15.3022,1,0,1,
191327,613,19,14,22.7385,1,0,1,
204734,673,31,30,2.5684,1,0,0,
215038,465,23,28,0.591403,2,0,0,
231178,549,36,31,21.324,2,0,0,
234193,718,29,37,14.4484,1,0,1,
237345,484,30,33,22.3542,1,0,0,
239538,502,23,39,4.24242,2,0,0,
253943,1650,107,117,17.7547,3,0,0,
255890,523,20,19,13.8509,1,0,1,
289425,687,20,23,49.9936,1,0,1,
296818,460,34,24,31.0574,1,0,0,
300041,452,35,34,11.2703,1,0,0,
302050,996,14,15,4.3777,1,0,1,
303094,79,4,2,5.78819,1,0,0,
303382,490,30,25,16.7467,1,0,0,
307235,2000,80,191,0.706264,3,0,0,
318748,246,15,10,33.8426,2,0,0,
333813,720,21,30,12.282,1,0,1,
336619,489,30,30,27.4108,1,0,0,
340490,479,20,18,10.226,1,0,1,
348477,673,42,39,2.81331,2,0,0,
349841,464,17,19,0.882795,1,0,1,
357225,924,74,35,1.5897,2,0,0,
367684,471,7,7,14.2529,1,0,1,
375000,477,17,34,3.2506,1,0,0,
376725,482,27,20,8.93171,1,0,0,
387861,459,33,41,10.0434,1,0,0,
389791,572,14,19,51.6223,1,0,1,
409381,469,30,26,0.847186,1,0,0,
418501,456,32,34,12.5557,1,0,0,
421022,437,20,25,20.7624,1,0,1,
423642,453,33,27,18.6173,1,0,0,
423858,482,35,25,20.8923,1,0,0,
431032,482,22,20,77.6327,1,0,0,
433057,680,44,39,7.92384,2,0,0,
433883,449,9,6,25.4481,1,0,1,
461140,467,26,28,19.0491,2,0,0,
471353,469,29,35,2.99282,2,0,0,
