eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,nucleusRecoilEnergy,timeOfFlight,
5686,859,36,40,7.64095,1,0,1,33.9578,47.5049,
47755,1181,3,9,3.42612,1,0,1,3.59728,48.7519,
112572,658,49,34,5.43592,1,0,0,120.751,43.8596,
143441,961,79,32,9.03829,2,0,0,159.158,46.8371,
143620,639,31,50,8.54738,1,0,0,111.817,47.3947,
149839,664,41,40,21.7281,1,0,0,122.054,48.2956,
155716,1486,3,4,1.35295,1,0,1,2.70941,48.5491,
175486,879,75,27,7.12858,2,0,0,143.361,47.0835,
190310,661,61,26,7.98714,1,0,0,119.33,48.1559,
208315,1140,38,55,7.30336,1,0,1,198.32,47.5816,
228734,662,46,39,13.0763,1,0,0,121.837,46.0892,
232789,761,18,29,16.793,1,0,1,56.1049,44.5557,
233321,881,4,3,54.1946,1,0,1,1.77725,46.1678,
252602,802,30,78,25.2075,2,0,0,103.33,45.4132,
265434,678,51,28,83.3387,1,0,0,125.58,45.7326,
278035,636,62,23,11.5086,1,0,0,112.281,46.49,
278449,662,41,50,4.80588,1,0,0,119.887,45.1036,
279262,642,44,27,28.1528,1,0,0,113.245,43.6043,
285753,651,62,19,8.82754,1,0,1,101.254,45.7188,
318357,669,56,23,52.6033,1,0,0,121.677,47.2467,
347863,653,41,38,15.9148,1,0,0,116.24,47.8978,
353276,651,57,23,12.8286,1,0,0,116.366,47.2213,
364066,660,36,33,13.5186,1,0,0,120.276,47.3355,
381069,665,55,31,7.80759,1,0,0,120.657,46.5631,
382249,655,19,62,6.20699,1,0,0,117.822,46.5589,
393509,1193,34,64,2.95905,1,0,1,191.724,46.0551,
428588,293,15,20,20.4543,1,0,0,25.2723,46.598,
480433,671,23,61,2.34445,1,0,0,124.513,47.5182,
483725,656,50,38,89.089,1,0,0,115.642,45.9016,
485319,1553,39,143,19.7153,3,0,0,279.256,47.3441,
495264,641,37,40,76.3167,1,0,0,114.267,48.9096,
500730,645,48,36,15.0588,1,0,0,113.285,48.9151,
504090,800,19,64,66.0107,1,0,1,142.819,45.736,
523243,676,22,61,7.38721,1,0,0,127.119,44.129,
526480,789,40,35,34.078,1,0,1,133.619,45.9366,
538531,1743,58,98,75.802,2,0,1,200.008,48.6576,
555376,676,44,32,1.47327,1,0,0,123.611,44.4502,
569234,1053,50,27,19.4578,1,0,1,71.0876,47.9225,
593127,657,35,46,59.9901,1,0,0,117.779,47.9017,
626820,1383,66,29,22.4453,1,0,1,214.734,48.448,
