eventID,numPhotons,nScint,sumStepLength,
0,50041,0,0,
1,49648,0,0,
2,46922,0,0,
3,49766,0,0,
4,49770,0,0,
5,49824,0,0,
6,47582,0,0,
7,50061,0,0,
8,49663,0,0,
9,49528,0,0,
10,49881,0,0,
11,50011,0,0,
12,49971,0,0,
13,41208,0,0,
14,49162,0,0,
15,49754,0,0,
16,41400,0,0,
17,49269,0,0,
18,48951,0,0,
19,50068,0,0,
20,49879,0,0,
21,49900,0,0,
22,48991,0,0,
23,50026,0,0,
24,34799,0,0,
25,49506,0,0,
26,49645,0,0,
27,49858,0,0,
28,49939,0,0,
29,48974,0,0,
30,49685,0,0,
31,50166,0,0,
32,49768,0,0,
33,50170,0,0,
34,49848,0,0,
35,8546,0,0,
36,50010,0,0,
37,50112,0,0,
38,50035,0,0,
39,49731,0,0,
40,50133,0,0,
41,50127,0,0,
42,49744,0,0,
43,50123,0,0,
44,49937,0,0,
45,50011,0,0,
46,50194,0,0,
47,49689,0,0,
48,50198,0,0,
49,50103,0,0,
50,50091,0,0,
51,49901,0,0,
52,50043,0,0,
53,49942,0,0,
54,50236,0,0,
55,49521,0,0,
56,50066,0,0,
57,50163,0,0,
58,25798,0,0,
59,49889,0,0,
60,50132,0,0,
61,50064,0,0,
62,49315,0,0,
63,49647,0,0,
64,50152,0,0,
65,50100,0,0,
66,15987,0,0,
67,49966,0,0,
68,19742,0,0,
69,50197,0,0,
70,49524,0,0,
71,49604,0,0,
72,49786,0,0,
73,49872,0,0,
74,49782,0,0,
75,47687,0,0,
76,48585,0,0,
77,13457,0,0,
78,34243,0,0,
79,50035,0,0,
80,50054,0,0,
81,49283,0,0,
82,49116,0,0,
83,49868,0,0,
84,49784,0,0,
85,20550,0,0,
86,49884,0,0,
87,50079,0,0,
88,26372,0,0,
89,10719,0,0,
90,46426,0,0,
91,50138,0,0,
92,45653,0,0,
93,50141,0,0,
94,49734,0,0,
95,49902,0,0,
96,49770,0,0,
97,49389,0,0,
98,49888,0,0,
99,49630,0,0,
100,49421,0,0,
101,49699,0,0,
102,50052,0,0,
103,49598,0,0,
104,49932,0,0,
105,50038,0,0,
106,50125,0,0,
107,50002,0,0,
108,49647,0,0,
109,49059,0,0,
110,49911,0,0,
111,50216,0,0,
112,50022,0,0,
113,49196,0,0,
114,7927,0,0,
115,49404,0,0,
116,50050,0,0,
117,50088,0,0,
118,49684,0,0,
119,50163,0,0,
120,23835,0,0,
121,50070,0,0,
122,50040,0,0,
123,50064,0,0,
124,15329,0,0,
125,50247,0,0,
126,49707,0,0,
127,49513,0,0,
128,4636,0,0,
129,49834,0,0,
130,40697,0,0,
131,49595,0,0,
132,50189,0,0,
133,49229,0,0,
134,50030,0,0,
135,50093,0,0,
136,49101,0,0,
137,50067,0,0,
138,49054,0,0,
139,50141,0,0,
140,49614,0,0,
141,49679,0,0,
142,50271,0,0,
143,49952,0,0,
144,50015,0,0,
145,20625,0,0,
146,49903,0,0,
147,17194,0,0,
148,49552,0,0,
149,50038,0,0,
150,49637,0,0,
151,50000,0,0,
152,49406,0,0,
153,49984,0,0,
154,49334,0,0,
155,49632,0,0,
156,49657,0,0,
157,49767,0,0,
158,49185,0,0,
159,49635,0,0,
160,49958,0,0,
161,49218,0,0,
162,49774,0,0,
163,49826,0,0,
164,49101,0,0,
165,49410,0,0,
166,50120,0,0,
167,49690,0,0,
168,50076,0,0,
169,49905,0,0,
170,49878,0,0,
171,33730,0,0,
172,16659,0,0,
173,49564,0,0,
174,50162,0,0,
175,49227,0,0,
176,49924,0,0,
177,49922,0,0,
178,49750,0,0,
179,50007,0,0,
180,49645,0,0,
181,49721,0,0,
182,50119,0,0,
183,50103,0,0,
184,49921,0,0,
185,49377,0,0,
186,50042,0,0,
187,49360,0,0,
188,49501,0,0,
189,44987,0,0,
190,50057,0,0,
191,49939,0,0,
192,49759,0,0,
193,49802,0,0,
194,50035,0,0,
195,49874,0,0,
196,49732,0,0,
197,50054,0,0,
198,49810,0,0,
199,50013,0,0,
200,50167,0,0,
201,50035,0,0,
202,49354,0,0,
203,49284,0,0,
204,49363,0,0,
205,49547,0,0,
206,49858,0,0,
207,49627,0,0,
208,50111,0,0,
209,48101,0,0,
210,49464,0,0,
211,49728,0,0,
212,42321,0,0,
213,33688,0,0,
214,50030,0,0,
215,50072,0,0,
216,49859,0,0,
217,49999,0,0,
218,49040,0,0,
219,50124,0,0,
220,49306,0,0,
221,49402,0,0,
222,19189,0,0,
223,37750,0,0,
224,49565,0,0,
225,49494,0,0,
226,49650,0,0,
227,49656,0,0,
228,49850,0,0,
229,49357,0,0,
230,48983,0,0,
231,48443,0,0,
232,49024,0,0,
233,17984,0,0,
234,39492,0,0,
235,49967,0,0,
236,49139,0,0,
237,49772,0,0,
238,48390,0,0,
239,50069,0,0,
240,50048,0,0,
241,42656,0,0,
242,49579,0,0,
243,45995,0,0,
244,48672,0,0,
245,50082,0,0,
246,50061,0,0,
247,49272,0,0,
248,46579,0,0,
249,49687,0,0,
250,50140,0,0,
251,50024,0,0,
252,50116,0,0,
253,49835,0,0,
254,49670,0,0,
255,49045,0,0,
256,49924,0,0,
257,49335,0,0,
258,49099,0,0,
259,49874,0,0,
260,50058,0,0,
261,47468,0,0,
262,49330,0,0,
263,50017,0,0,
264,49995,0,0,
265,49997,0,0,
266,49900,0,0,
267,49946,0,0,
268,49234,0,0,
269,49858,0,0,
270,49773,0,0,
271,49190,0,0,
272,50002,0,0,
273,49885,0,0,
274,49986,0,0,
275,25747,0,0,
276,50087,0,0,
277,49056,0,0,
278,49900,0,0,
279,12279,0,0,
280,49069,0,0,
281,47659,0,0,
282,49487,0,0,
283,49494,0,0,
284,50178,0,0,
285,49970,0,0,
286,49270,0,0,
287,49822,0,0,
288,49692,0,0,
289,50005,0,0,
290,50125,0,0,
291,50132,0,0,
292,50020,0,0,
293,13957,0,0,
294,48986,0,0,
295,49668,0,0,
296,49351,0,0,
297,49863,0,0,
298,50151,0,0,
299,49269,0,0,
300,48962,0,0,
301,49856,0,0,
302,49971,0,0,
303,22103,0,0,
304,49930,0,0,
305,48965,0,0,
306,49835,0,0,
307,49914,0,0,
308,49978,0,0,
309,49932,0,0,
310,49216,0,0,
311,49782,0,0,
312,37852,0,0,
313,49649,0,0,
314,48645,0,0,
315,50183,0,0,
316,25755,0,0,
317,49832,0,0,
318,49770,0,0,
319,49712,0,0,
320,49818,0,0,
321,49975,0,0,
322,50104,0,0,
323,50156,0,0,
324,49955,0,0,
325,49706,0,0,
326,49022,0,0,
327,50135,0,0,
328,49915,0,0,
329,13911,0,0,
