eventID,numPhotons,nScint,sumStepLength,
0,45155,0,0,
1,46262,0,0,
2,45619,0,0,
3,46219,0,0,
4,43711,0,0,
5,44282,0,0,
6,45053,0,0,
7,43257,0,0,
8,42611,0,0,
9,44768,0,0,
10,46385,0,0,
11,45287,0,0,
12,43181,0,0,
13,45056,0,0,
14,41759,0,0,
15,44523,0,0,
16,43423,0,0,
17,45602,0,0,
18,42379,0,0,
19,44327,0,0,
20,46240,0,0,
21,45721,0,0,
22,45948,0,0,
23,44442,0,0,
24,44242,0,0,
25,44018,0,0,
26,41997,0,0,
27,38842,0,0,
28,41502,0,0,
29,43090,0,0,
30,40980,0,0,
31,40024,0,0,
32,45234,0,0,
33,45665,0,0,
34,44293,0,0,
35,41760,0,0,
36,45492,0,0,
37,46115,0,0,
38,44352,0,0,
39,45939,0,0,
40,42555,0,0,
41,41946,0,0,
42,45139,0,0,
43,44983,0,0,
44,43794,0,0,
45,46293,0,0,
46,45188,0,0,
47,45243,0,0,
48,43760,0,0,
49,44903,0,0,
50,44096,0,0,
51,44148,0,0,
52,44932,0,0,
53,45031,0,0,
54,41450,0,0,
55,42957,0,0,
56,45106,0,0,
57,45844,0,0,
58,44408,0,0,
59,45766,0,0,
60,41961,0,0,
61,44895,0,0,
62,45242,0,0,
63,44606,0,0,
64,43710,0,0,
65,45734,0,0,
66,46142,0,0,
67,44575,0,0,
68,45569,0,0,
69,44947,0,0,
70,45151,0,0,
71,45979,0,0,
72,45810,0,0,
73,46087,0,0,
74,42984,0,0,
75,44842,0,0,
76,44671,0,0,
77,41521,0,0,
78,42885,0,0,
79,45645,0,0,
80,45950,0,0,
81,45573,0,0,
82,42750,0,0,
83,44255,0,0,
84,45366,0,0,
85,41635,0,0,
86,46146,0,0,
87,45542,0,0,
88,46019,0,0,
89,45129,0,0,
90,44136,0,0,
91,45609,0,0,
92,44691,0,0,
93,43426,0,0,
94,45159,0,0,
95,44102,0,0,
96,39857,0,0,
97,41470,0,0,
98,44748,0,0,
99,45090,0,0,
100,45048,0,0,
101,43900,0,0,
102,45460,0,0,
103,44945,0,0,
104,44754,0,0,
105,41542,0,0,
106,42548,0,0,
107,43583,0,0,
108,44327,0,0,
109,45431,0,0,
110,45306,0,0,
111,45978,0,0,
112,45631,0,0,
113,44052,0,0,
114,44652,0,0,
115,45695,0,0,
116,44933,0,0,
117,45453,0,0,
118,43060,0,0,
119,45070,0,0,
120,43488,0,0,
121,43591,0,0,
122,44790,0,0,
123,45991,0,0,
124,45016,0,0,
125,44093,0,0,
126,45605,0,0,
127,44402,0,0,
128,45086,0,0,
129,43774,0,0,
130,45757,0,0,
131,43462,0,0,
132,44888,0,0,
133,45424,0,0,
134,44162,0,0,
135,44508,0,0,
136,45170,0,0,
137,45640,0,0,
138,46095,0,0,
139,45241,0,0,
140,45394,0,0,
141,43393,0,0,
142,42540,0,0,
143,45941,0,0,
144,45666,0,0,
145,46151,0,0,
146,44667,0,0,
147,44950,0,0,
148,39026,0,0,
149,45432,0,0,
150,45004,0,0,
151,46011,0,0,
152,44114,0,0,
153,45716,0,0,
154,45799,0,0,
155,43908,0,0,
156,45469,0,0,
157,45838,0,0,
158,43296,0,0,
159,42884,0,0,
160,45205,0,0,
161,42417,0,0,
162,44251,0,0,
163,46146,0,0,
164,44997,0,0,
165,43632,0,0,
166,45245,0,0,
167,43207,0,0,
168,46161,0,0,
169,44790,0,0,
170,42966,0,0,
171,44876,0,0,
172,45414,0,0,
173,44191,0,0,
174,44984,0,0,
175,42356,0,0,
176,45486,0,0,
177,42579,0,0,
178,45503,0,0,
179,44862,0,0,
180,46049,0,0,
181,45529,0,0,
182,44553,0,0,
183,44819,0,0,
184,44113,0,0,
185,46155,0,0,
186,42649,0,0,
187,44483,0,0,
188,44168,0,0,
189,45502,0,0,
190,44518,0,0,
191,44676,0,0,
192,42352,0,0,
193,45175,0,0,
194,41794,0,0,
195,44984,0,0,
196,45022,0,0,
197,44233,0,0,
198,40977,0,0,
199,43811,0,0,
200,45829,0,0,
201,41968,0,0,
202,45786,0,0,
203,45288,0,0,
204,44156,0,0,
205,44379,0,0,
206,44026,0,0,
207,42809,0,0,
208,43964,0,0,
209,41340,0,0,
210,41856,0,0,
211,45508,0,0,
212,40968,0,0,
213,45175,0,0,
214,43948,0,0,
215,44653,0,0,
216,40779,0,0,
217,40113,0,0,
218,42976,0,0,
219,44189,0,0,
220,38477,0,0,
221,44252,0,0,
222,45609,0,0,
223,46480,0,0,
224,44759,0,0,
225,43726,0,0,
226,39697,0,0,
227,44337,0,0,
228,46374,0,0,
229,45778,0,0,
230,45615,0,0,
231,42002,0,0,
232,42802,0,0,
233,44778,0,0,
234,40554,0,0,
235,44577,0,0,
236,44265,0,0,
237,44400,0,0,
238,42531,0,0,
239,45169,0,0,
240,44273,0,0,
241,45420,0,0,
242,36208,0,0,
243,45956,0,0,
244,44284,0,0,
245,44870,0,0,
246,43244,0,0,
247,44675,0,0,
248,43507,0,0,
249,43715,0,0,
250,45667,0,0,
251,41988,0,0,
252,45513,0,0,
253,44575,0,0,
254,45984,0,0,
255,42437,0,0,
256,45026,0,0,
257,44824,0,0,
258,45511,0,0,
259,44454,0,0,
260,41736,0,0,
261,45959,0,0,
262,45880,0,0,
263,41269,0,0,
264,46226,0,0,
265,41936,0,0,
266,45306,0,0,
267,43199,0,0,
268,43941,0,0,
269,44783,0,0,
270,46195,0,0,
271,45172,0,0,
272,45309,0,0,
273,45848,0,0,
274,43817,0,0,
275,42387,0,0,
276,45268,0,0,
277,44785,0,0,
278,42375,0,0,
279,44166,0,0,
280,46348,0,0,
281,46327,0,0,
282,45035,0,0,
283,45982,0,0,
284,46066,0,0,
285,44620,0,0,
286,45389,0,0,
287,42889,0,0,
288,43961,0,0,
289,45734,0,0,
290,45207,0,0,
291,44293,0,0,
292,46072,0,0,
293,45533,0,0,
294,43264,0,0,
295,46124,0,0,
296,44059,0,0,
297,45251,0,0,
298,43366,0,0,
299,41102,0,0,
300,44011,0,0,
301,37254,0,0,
302,40514,0,0,
303,45323,0,0,
304,44695,0,0,
305,46180,0,0,
306,44145,0,0,
307,43308,0,0,
308,43183,0,0,
309,44784,0,0,
310,45410,0,0,
311,43703,0,0,
312,45851,0,0,
313,39432,0,0,
314,45505,0,0,
315,46109,0,0,
316,44895,0,0,
317,43280,0,0,
318,45107,0,0,
319,44632,0,0,
320,43787,0,0,
321,45010,0,0,
322,44010,0,0,
323,45005,0,0,
324,46039,0,0,
325,43661,0,0,
326,46180,0,0,
327,41641,0,0,
328,45074,0,0,
329,46254,0,0,
330,45127,0,0,
331,44680,0,0,
332,45115,0,0,
333,45199,0,0,
334,45206,0,0,
335,46152,0,0,
336,45606,0,0,
337,42857,0,0,
338,45665,0,0,
339,42961,0,0,
340,45557,0,0,
341,42127,0,0,
342,46168,0,0,
343,43995,0,0,
344,44709,0,0,
345,45727,0,0,
346,44848,0,0,
347,45264,0,0,
348,46022,0,0,
349,45304,0,0,
350,44758,0,0,
351,44270,0,0,
352,45955,0,0,
353,46022,0,0,
354,42387,0,0,
355,45997,0,0,
356,44502,0,0,
357,45546,0,0,
358,45446,0,0,
359,46216,0,0,
360,45886,0,0,
361,45234,0,0,
362,45634,0,0,
363,43337,0,0,
364,45163,0,0,
365,44647,0,0,
366,44622,0,0,
367,45303,0,0,
368,43961,0,0,
369,46025,0,0,
370,46318,0,0,
371,43453,0,0,
372,45683,0,0,
373,45412,0,0,
374,43108,0,0,
375,44779,0,0,
376,46360,0,0,
377,45570,0,0,
378,46122,0,0,
379,45753,0,0,
380,46148,0,0,
381,46091,0,0,
382,44121,0,0,
383,44750,0,0,
384,45157,0,0,
385,45070,0,0,
386,44678,0,0,
387,44404,0,0,
388,44478,0,0,
389,43286,0,0,
390,43570,0,0,
391,44179,0,0,
392,43880,0,0,
393,44417,0,0,
394,45975,0,0,
395,45051,0,0,
396,44889,0,0,
397,45762,0,0,
398,44921,0,0,
399,42384,0,0,
400,43892,0,0,
401,45219,0,0,
402,45514,0,0,
403,44941,0,0,
404,43437,0,0,
405,44374,0,0,
406,45885,0,0,
407,45755,0,0,
408,45038,0,0,
409,46025,0,0,
410,46216,0,0,
411,45085,0,0,
412,42282,0,0,
413,45486,0,0,
414,45143,0,0,
415,42378,0,0,
416,45899,0,0,
417,45016,0,0,
418,41867,0,0,
419,44839,0,0,
420,42460,0,0,
421,39764,0,0,
422,43415,0,0,
423,45785,0,0,
424,45518,0,0,
425,45652,0,0,
426,42625,0,0,
427,44558,0,0,
428,45412,0,0,
429,45317,0,0,
430,45564,0,0,
431,45836,0,0,
432,44957,0,0,
433,44517,0,0,
434,42461,0,0,
435,45266,0,0,
436,43077,0,0,
437,42899,0,0,
438,44816,0,0,
439,44598,0,0,
440,45167,0,0,
441,45401,0,0,
442,45352,0,0,
443,44864,0,0,
444,43860,0,0,
445,45550,0,0,
446,41776,0,0,
447,45992,0,0,
448,46266,0,0,
449,44499,0,0,
450,44663,0,0,
451,45554,0,0,
452,44340,0,0,
453,45647,0,0,
