eventID,numPhotons,nScint,sumStepLength,
0,39585,0,0,
1,48626,0,0,
2,48008,0,0,
3,48101,0,0,
4,47732,0,0,
5,48373,0,0,
6,46899,0,0,
7,38321,0,0,
8,44444,0,0,
9,47061,0,0,
10,47888,0,0,
11,47218,0,0,
12,33160,0,0,
13,47934,0,0,
14,48831,0,0,
15,47272,0,0,
16,47810,0,0,
17,48407,0,0,
18,47706,0,0,
19,47120,0,0,
20,47779,0,0,
21,47352,0,0,
22,48577,0,0,
23,48845,0,0,
24,48616,0,0,
25,49157,0,0,
26,48806,0,0,
27,48323,0,0,
28,47538,0,0,
29,48047,0,0,
30,48702,0,0,
31,47969,0,0,
32,48825,0,0,
33,47412,0,0,
34,47177,0,0,
35,47591,0,0,
36,48257,0,0,
37,47410,0,0,
38,48357,0,0,
39,38260,0,0,
40,41151,0,0,
41,48318,0,0,
42,37392,0,0,
43,48405,0,0,
44,48265,0,0,
45,32081,0,0,
46,48124,0,0,
47,36299,0,0,
48,38871,0,0,
49,49494,0,0,
50,40031,0,0,
51,46631,0,0,
52,48880,0,0,
53,48089,0,0,
54,49447,0,0,
55,48281,0,0,
56,49032,0,0,
57,47793,0,0,
58,47919,0,0,
59,47530,0,0,
60,48064,0,0,
61,48196,0,0,
62,48556,0,0,
63,49085,0,0,
64,48303,0,0,
65,42005,0,0,
66,48250,0,0,
67,47728,0,0,
68,48272,0,0,
69,47252,0,0,
70,48287,0,0,
71,48597,0,0,
72,47767,0,0,
73,33635,0,0,
74,38489,0,0,
75,35418,0,0,
76,48779,0,0,
77,47023,0,0,
78,38883,0,0,
79,47790,0,0,
80,36153,0,0,
81,47921,0,0,
82,48996,0,0,
83,48613,0,0,
84,47589,0,0,
85,47747,0,0,
86,37655,0,0,
87,48898,0,0,
88,48784,0,0,
89,36822,0,0,
90,48260,0,0,
91,47933,0,0,
92,47420,0,0,
93,48552,0,0,
94,48380,0,0,
95,48133,0,0,
96,48290,0,0,
97,48586,0,0,
98,48338,0,0,
99,37314,0,0,
100,49314,0,0,
101,47374,0,0,
102,48614,0,0,
103,42963,0,0,
104,47540,0,0,
105,48059,0,0,
106,47927,0,0,
107,47829,0,0,
108,47984,0,0,
109,48691,0,0,
110,47964,0,0,
111,46912,0,0,
112,37953,0,0,
113,48672,0,0,
114,47260,0,0,
115,47138,0,0,
116,38804,0,0,
117,48145,0,0,
118,46813,0,0,
119,38979,0,0,
120,48053,0,0,
121,47663,0,0,
122,47769,0,0,
123,48125,0,0,
124,47448,0,0,
125,47824,0,0,
126,47529,0,0,
127,48787,0,0,
128,48950,0,0,
129,40831,0,0,
130,48151,0,0,
131,49045,0,0,
132,48335,0,0,
133,47430,0,0,
134,47530,0,0,
135,43459,0,0,
136,48204,0,0,
137,47874,0,0,
138,48583,0,0,
139,48436,0,0,
140,31936,0,0,
141,48261,0,0,
142,38726,0,0,
143,32869,0,0,
144,47977,0,0,
145,48148,0,0,
146,47776,0,0,
147,48095,0,0,
148,48126,0,0,
149,47220,0,0,
150,41586,0,0,
151,32187,0,0,
152,47459,0,0,
153,41216,0,0,
154,47801,0,0,
155,46464,0,0,
156,43089,0,0,
157,47817,0,0,
158,48664,0,0,
159,48924,0,0,
160,46198,0,0,
161,48548,0,0,
162,46075,0,0,
163,48664,0,0,
164,47150,0,0,
165,47387,0,0,
166,48478,0,0,
167,46788,0,0,
168,47922,0,0,
169,48499,0,0,
170,47934,0,0,
171,47399,0,0,
172,47906,0,0,
173,46994,0,0,
174,47175,0,0,
175,47690,0,0,
176,41370,0,0,
177,48636,0,0,
178,48332,0,0,
179,38804,0,0,
180,48156,0,0,
181,38365,0,0,
182,47313,0,0,
183,48956,0,0,
184,48731,0,0,
185,47535,0,0,
186,48178,0,0,
187,48825,0,0,
188,42705,0,0,
189,40949,0,0,
190,48461,0,0,
191,31992,0,0,
192,48754,0,0,
193,47749,0,0,
194,49423,0,0,
195,45720,0,0,
196,48986,0,0,
197,48666,0,0,
198,48116,0,0,
199,48573,0,0,
200,43759,0,0,
201,48108,0,0,
202,48573,0,0,
203,48222,0,0,
204,48733,0,0,
205,47642,0,0,
206,47316,0,0,
207,48338,0,0,
208,46497,0,0,
209,48323,0,0,
210,48023,0,0,
211,38718,0,0,
212,48663,0,0,
213,34213,0,0,
214,48070,0,0,
215,37689,0,0,
216,48747,0,0,
217,47745,0,0,
218,48198,0,0,
219,47884,0,0,
220,47324,0,0,
221,47279,0,0,
222,47424,0,0,
223,48502,0,0,
224,48268,0,0,
225,47636,0,0,
226,49089,0,0,
227,46345,0,0,
228,48186,0,0,
229,41431,0,0,
230,39269,0,0,
231,47986,0,0,
232,47576,0,0,
233,47967,0,0,
234,48570,0,0,
235,48299,0,0,
236,48851,0,0,
237,43117,0,0,
238,47899,0,0,
239,47933,0,0,
240,39371,0,0,
241,48374,0,0,
242,47344,0,0,
243,48132,0,0,
244,39219,0,0,
245,37613,0,0,
246,46575,0,0,
247,31739,0,0,
248,50063,0,0,
249,44314,0,0,
250,47355,0,0,
251,47732,0,0,
252,47431,0,0,
253,46656,0,0,
254,47939,0,0,
255,46989,0,0,
256,48914,0,0,
257,39171,0,0,
258,48183,0,0,
259,37937,0,0,
260,47357,0,0,
261,47661,0,0,
262,48145,0,0,
263,48509,0,0,
264,47833,0,0,
265,48851,0,0,
266,48754,0,0,
267,48911,0,0,
268,48472,0,0,
269,47548,0,0,
270,46836,0,0,
271,47152,0,0,
272,47926,0,0,
273,46363,0,0,
274,48836,0,0,
275,37955,0,0,
276,47814,0,0,
277,40239,0,0,
278,48731,0,0,
279,47598,0,0,
280,48075,0,0,
281,49069,0,0,
282,47257,0,0,
283,48004,0,0,
284,46097,0,0,
285,48514,0,0,
286,48649,0,0,
287,37796,0,0,
288,46955,0,0,
289,47831,0,0,
290,42637,0,0,
291,48472,0,0,
292,46795,0,0,
293,43828,0,0,
294,42897,0,0,
295,47774,0,0,
296,47285,0,0,
297,47871,0,0,
298,39615,0,0,
299,38899,0,0,
300,45957,0,0,
301,47091,0,0,
302,37035,0,0,
303,39015,0,0,
304,46788,0,0,
305,48949,0,0,
306,46720,0,0,
307,48563,0,0,
308,47910,0,0,
309,48655,0,0,
310,41259,0,0,
311,48221,0,0,
312,47154,0,0,
313,47420,0,0,
314,47353,0,0,
315,41561,0,0,
316,47951,0,0,
317,48600,0,0,
318,42615,0,0,
319,47551,0,0,
320,43444,0,0,
321,46922,0,0,
322,47391,0,0,
323,47846,0,0,
324,47549,0,0,
325,48379,0,0,
326,48814,0,0,
327,47078,0,0,
328,48800,0,0,
329,48707,0,0,
330,47104,0,0,
331,48928,0,0,
332,48455,0,0,
333,40725,0,0,
334,48020,0,0,
335,40854,0,0,
336,49269,0,0,
337,47927,0,0,
338,48701,0,0,
339,47424,0,0,
340,47685,0,0,
341,47466,0,0,
342,44193,0,0,
343,38316,0,0,
344,47718,0,0,
345,48119,0,0,
346,49010,0,0,
347,46957,0,0,
348,48541,0,0,
349,40766,0,0,
350,48795,0,0,
351,48630,0,0,
352,48399,0,0,
353,48871,0,0,
354,47983,0,0,
355,48174,0,0,
356,39951,0,0,
357,47532,0,0,
358,44771,0,0,
359,38218,0,0,
360,41514,0,0,
361,48848,0,0,
362,47346,0,0,
363,49277,0,0,
364,48376,0,0,
365,45710,0,0,
366,48364,0,0,
367,49142,0,0,
368,48393,0,0,
369,48113,0,0,
370,47875,0,0,
371,48413,0,0,
372,47492,0,0,
373,47283,0,0,
374,48031,0,0,
375,48427,0,0,
376,48710,0,0,
377,46281,0,0,
378,47471,0,0,
379,48876,0,0,
380,47053,0,0,
381,48886,0,0,
382,41026,0,0,
383,47459,0,0,
384,42858,0,0,
385,47343,0,0,
386,48775,0,0,
387,49131,0,0,
388,39423,0,0,
389,47942,0,0,
390,48005,0,0,
391,47674,0,0,
392,47600,0,0,
393,47180,0,0,
394,48128,0,0,
395,39964,0,0,
396,48018,0,0,
397,47169,0,0,
398,48583,0,0,
399,47778,0,0,
400,49161,0,0,
401,48046,0,0,
402,37123,0,0,
403,49021,0,0,
404,47952,0,0,
405,47216,0,0,
406,48221,0,0,
407,47371,0,0,
408,48521,0,0,
409,47410,0,0,
410,48520,0,0,
411,47885,0,0,
412,46763,0,0,
413,49434,0,0,
414,47181,0,0,
415,41243,0,0,
416,38960,0,0,
417,47108,0,0,
418,47880,0,0,
419,48232,0,0,
420,47389,0,0,
421,47242,0,0,
422,48332,0,0,
423,37114,0,0,
424,47743,0,0,
425,47271,0,0,
426,49589,0,0,
427,47888,0,0,
428,49173,0,0,
429,47513,0,0,
430,49013,0,0,
431,47293,0,0,
432,48188,0,0,
433,47316,0,0,
434,47200,0,0,
435,47914,0,0,
436,47247,0,0,
437,48646,0,0,
438,48009,0,0,
439,48492,0,0,
440,34521,0,0,
441,49428,0,0,
442,49178,0,0,
443,47127,0,0,
444,48352,0,0,
445,48770,0,0,
446,42098,0,0,
447,48002,0,0,
448,47612,0,0,
449,48280,0,0,
450,39255,0,0,
