eventID,numPhotons,nScint,sumStepLength,
0,48658,0,0,
1,48440,0,0,
2,48462,0,0,
3,48827,0,0,
4,48095,0,0,
5,46376,0,0,
6,47619,0,0,
7,48723,0,0,
8,48957,0,0,
9,47438,0,0,
10,47703,0,0,
11,48434,0,0,
12,48825,0,0,
13,48136,0,0,
14,48872,0,0,
15,48733,0,0,
16,48644,0,0,
17,48851,0,0,
18,48535,0,0,
19,47902,0,0,
20,48143,0,0,
21,48545,0,0,
22,47974,0,0,
23,48854,0,0,
24,47101,0,0,
25,48441,0,0,
26,48496,0,0,
27,47515,0,0,
28,48163,0,0,
29,48734,0,0,
30,47343,0,0,
31,48808,0,0,
32,49059,0,0,
33,48897,0,0,
34,48343,0,0,
35,48671,0,0,
36,47588,0,0,
37,48919,0,0,
38,47408,0,0,
39,48313,0,0,
40,47384,0,0,
41,48166,0,0,
42,47940,0,0,
43,48703,0,0,
44,48165,0,0,
45,49060,0,0,
46,47908,0,0,
47,48579,0,0,
48,47071,0,0,
49,47799,0,0,
50,46600,0,0,
51,49174,0,0,
52,48450,0,0,
53,48675,0,0,
54,48157,0,0,
55,49273,0,0,
56,49184,0,0,
57,48851,0,0,
58,47969,0,0,
59,47854,0,0,
60,48848,0,0,
61,49689,0,0,
62,48979,0,0,
63,48832,0,0,
64,48805,0,0,
65,46976,0,0,
66,48502,0,0,
67,48904,0,0,
68,48311,0,0,
69,48314,0,0,
70,46804,0,0,
71,48669,0,0,
72,48468,0,0,
73,47995,0,0,
74,47205,0,0,
75,48735,0,0,
76,48630,0,0,
77,48127,0,0,
78,49403,0,0,
79,48696,0,0,
80,47283,0,0,
81,49201,0,0,
82,48196,0,0,
83,47257,0,0,
84,47661,0,0,
85,48093,0,0,
86,47792,0,0,
87,48388,0,0,
88,47041,0,0,
89,48432,0,0,
90,48386,0,0,
91,48878,0,0,
92,48392,0,0,
93,47661,0,0,
94,49482,0,0,
95,47597,0,0,
96,48381,0,0,
97,47787,0,0,
98,48257,0,0,
99,48210,0,0,
100,49149,0,0,
101,49227,0,0,
102,47526,0,0,
103,49175,0,0,
104,47882,0,0,
105,48203,0,0,
106,47896,0,0,
107,47808,0,0,
108,49062,0,0,
109,48385,0,0,
110,48607,0,0,
111,47734,0,0,
112,49605,0,0,
113,47850,0,0,
114,48233,0,0,
115,47947,0,0,
116,48867,0,0,
117,47647,0,0,
118,47841,0,0,
119,47449,0,0,
120,48662,0,0,
121,48196,0,0,
122,48284,0,0,
