eventID,numPhotons,nScint,sumStepLength,
0,1202,0,0,
1,1314,0,0,
2,1249,0,0,
3,1183,0,0,
4,1267,0,0,
5,974,0,0,
6,1216,0,0,
7,1119,0,0,
8,1150,0,0,
9,1439,0,0,
10,1215,0,0,
11,1080,0,0,
12,975,0,0,
13,1310,0,0,
14,1362,0,0,
15,1107,0,0,
16,1189,0,0,
17,1076,0,0,
18,1381,0,0,
19,1098,0,0,
20,1249,0,0,
21,1310,0,0,
22,1211,0,0,
23,1218,0,0,
24,1083,0,0,
25,817,0,0,
26,1256,0,0,
27,961,0,0,
28,445,0,0,
29,1110,0,0,
30,1232,0,0,
31,933,0,0,
32,1396,0,0,
33,1239,0,0,
34,1334,0,0,
35,1294,0,0,
36,911,0,0,
37,833,0,0,
38,927,0,0,
39,986,0,0,
40,941,0,0,
41,1306,0,0,
42,1129,0,0,
43,1201,0,0,
44,1353,0,0,
45,1094,0,0,
46,811,0,0,
47,1205,0,0,
48,1330,0,0,
49,1306,0,0,
50,1371,0,0,
51,1153,0,0,
52,1238,0,0,
53,1084,0,0,
54,1157,0,0,
55,1201,0,0,
56,1155,0,0,
57,1288,0,0,
58,1276,0,0,
59,1214,0,0,
60,1073,0,0,
61,782,0,0,
62,1259,0,0,
63,1277,0,0,
64,1328,0,0,
65,981,0,0,
66,1190,0,0,
67,1455,0,0,
68,1113,0,0,
69,1076,0,0,
70,1160,0,0,
71,983,0,0,
72,976,0,0,
73,1214,0,0,
74,1322,0,0,
75,735,0,0,
76,938,0,0,
77,1338,0,0,
78,1229,0,0,
79,1411,0,0,
80,1288,0,0,
81,1335,0,0,
82,1352,0,0,
83,1030,0,0,
84,1240,0,0,
85,1256,0,0,
86,1199,0,0,
87,1249,0,0,
88,1293,0,0,
89,1332,0,0,
90,972,0,0,
91,948,0,0,
92,1297,0,0,
93,1110,0,0,
94,1164,0,0,
95,1338,0,0,
96,1202,0,0,
97,1244,0,0,
98,1340,0,0,
99,1170,0,0,
100,1134,0,0,
101,1283,0,0,
102,1057,0,0,
103,1152,0,0,
104,1251,0,0,
105,1304,0,0,
106,953,0,0,
107,1041,0,0,
108,1331,0,0,
109,1288,0,0,
110,1160,0,0,
111,732,0,0,
112,1289,0,0,
113,986,0,0,
114,579,0,0,
115,1175,0,0,
116,582,0,0,
117,1079,0,0,
118,397,0,0,
119,1013,0,0,
120,1246,0,0,
121,1137,0,0,
122,1261,0,0,
123,1268,0,0,
124,1288,0,0,
125,1140,0,0,
126,1156,0,0,
127,1189,0,0,
128,1194,0,0,
129,1184,0,0,
130,1029,0,0,
131,1133,0,0,
132,1031,0,0,
133,1140,0,0,
134,792,0,0,
135,933,0,0,
136,930,0,0,
137,1230,0,0,
138,1446,0,0,
139,1077,0,0,
140,997,0,0,
141,1154,0,0,
142,775,0,0,
143,1336,0,0,
144,1341,0,0,
145,1274,0,0,
146,1348,0,0,
147,929,0,0,
148,1354,0,0,
149,1220,0,0,
150,901,0,0,
151,1365,0,0,
152,1400,0,0,
153,1335,0,0,
154,1250,0,0,
155,907,0,0,
156,877,0,0,
157,1317,0,0,
158,1170,0,0,
159,1170,0,0,
160,1119,0,0,
161,1380,0,0,
162,1151,0,0,
163,622,0,0,
164,1106,0,0,
165,1075,0,0,
166,1294,0,0,
167,1174,0,0,
168,1274,0,0,
169,1282,0,0,
170,1165,0,0,
171,979,0,0,
172,1237,0,0,
173,1347,0,0,
174,1340,0,0,
175,1261,0,0,
176,1035,0,0,
177,1117,0,0,
178,1117,0,0,
179,821,0,0,
180,1224,0,0,
181,1459,0,0,
182,1290,0,0,
183,1190,0,0,
184,1038,0,0,
185,1289,0,0,
186,957,0,0,
187,744,0,0,
188,1114,0,0,
189,746,0,0,
190,1146,0,0,
191,1271,0,0,
192,584,0,0,
193,1117,0,0,
194,1238,0,0,
195,1247,0,0,
196,1232,0,0,
197,1042,0,0,
198,1369,0,0,
199,1179,0,0,
200,1349,0,0,
201,1267,0,0,
202,1031,0,0,
203,1306,0,0,
204,1069,0,0,
205,1158,0,0,
206,1061,0,0,
207,1176,0,0,
208,1080,0,0,
209,1404,0,0,
210,1300,0,0,
211,1054,0,0,
212,1372,0,0,
213,862,0,0,
214,1235,0,0,
215,1335,0,0,
216,1092,0,0,
217,1085,0,0,
218,1242,0,0,
219,262,0,0,
220,1268,0,0,
221,1210,0,0,
222,1045,0,0,
223,1182,0,0,
224,1347,0,0,
225,1366,0,0,
226,908,0,0,
227,1097,0,0,
228,1128,0,0,
229,1410,0,0,
230,1332,0,0,
231,962,0,0,
232,1117,0,0,
233,1271,0,0,
234,1278,0,0,
235,1167,0,0,
236,1084,0,0,
237,1321,0,0,
238,1033,0,0,
239,1350,0,0,
240,895,0,0,
241,1000,0,0,
242,1052,0,0,
243,1372,0,0,
244,1111,0,0,
245,1246,0,0,
246,1146,0,0,
247,819,0,0,
248,1038,0,0,
249,1238,0,0,
250,1137,0,0,
251,1392,0,0,
252,1356,0,0,
253,1093,0,0,
254,1029,0,0,
255,977,0,0,
256,1245,0,0,
257,1057,0,0,
258,1359,0,0,
259,1311,0,0,
260,1157,0,0,
261,1314,0,0,
262,1179,0,0,
263,1185,0,0,
264,1344,0,0,
265,1290,0,0,
266,1151,0,0,
267,1324,0,0,
268,702,0,0,
269,1414,0,0,
270,1156,0,0,
271,1273,0,0,
272,1304,0,0,
273,1360,0,0,
274,1450,0,0,
275,750,0,0,
276,1313,0,0,
277,1217,0,0,
278,1353,0,0,
279,1095,0,0,
280,1304,0,0,
281,1180,0,0,
282,1016,0,0,
283,1053,0,0,
284,1251,0,0,
285,1254,0,0,
286,1380,0,0,
287,1130,0,0,
288,1246,0,0,
289,1429,0,0,
290,321,0,0,
291,964,0,0,
292,835,0,0,
293,1261,0,0,
294,1371,0,0,
295,1353,0,0,
296,1227,0,0,
297,1282,0,0,
298,1160,0,0,
299,1349,0,0,
300,1236,0,0,
301,671,0,0,
302,1115,0,0,
303,1080,0,0,
304,976,0,0,
305,1216,0,0,
306,839,0,0,
307,1080,0,0,
308,957,0,0,
309,1267,0,0,
310,1106,0,0,
311,819,0,0,
312,983,0,0,
313,1387,0,0,
314,918,0,0,
315,1260,0,0,
316,1271,0,0,
317,1081,0,0,
318,1268,0,0,
319,1003,0,0,
320,1376,0,0,
321,1220,0,0,
322,1194,0,0,
323,1182,0,0,
324,1132,0,0,
325,1220,0,0,
326,1300,0,0,
327,1107,0,0,
328,1049,0,0,
329,1369,0,0,
330,1152,0,0,
331,1391,0,0,
332,1277,0,0,
333,1325,0,0,
334,1215,0,0,
335,1303,0,0,
336,1230,0,0,
337,1358,0,0,
338,1308,0,0,
339,1291,0,0,
340,1371,0,0,
341,849,0,0,
342,1327,0,0,
343,1226,0,0,
344,1078,0,0,
345,1188,0,0,
346,1050,0,0,
347,1370,0,0,
348,1381,0,0,
349,1415,0,0,
350,1121,0,0,
351,1303,0,0,
352,1117,0,0,
353,1184,0,0,
354,1226,0,0,
355,933,0,0,
