eventID,numPhotons,nScint,sumStepLength,
0,1694,0,0,
1,1957,0,0,
2,1792,0,0,
3,1945,0,0,
4,1687,0,0,
5,1573,0,0,
6,2058,0,0,
7,1802,0,0,
8,1876,0,0,
9,1985,0,0,
10,1692,0,0,
11,1827,0,0,
12,1784,0,0,
13,1886,0,0,
14,1731,0,0,
15,1956,0,0,
16,1716,0,0,
17,1115,0,0,
18,1805,0,0,
19,1926,0,0,
20,1906,0,0,
21,1943,0,0,
22,1993,0,0,
23,1582,0,0,
24,1950,0,0,
25,1946,0,0,
26,2048,0,0,
27,1755,0,0,
28,1171,0,0,
29,2005,0,0,
30,1982,0,0,
31,1824,0,0,
32,2011,0,0,
33,1130,0,0,
34,1970,0,0,
35,1032,0,0,
36,1798,0,0,
37,2005,0,0,
38,1737,0,0,
39,1786,0,0,
40,1792,0,0,
41,1831,0,0,
42,1993,0,0,
43,1921,0,0,
44,700,0,0,
45,1904,0,0,
46,1418,0,0,
47,1800,0,0,
48,1485,0,0,
49,1831,0,0,
50,2008,0,0,
51,1895,0,0,
52,1715,0,0,
53,1952,0,0,
54,1986,0,0,
55,2012,0,0,
56,1967,0,0,
57,1936,0,0,
58,1873,0,0,
59,2057,0,0,
60,2018,0,0,
61,2015,0,0,
62,1942,0,0,
63,1943,0,0,
64,1951,0,0,
65,1359,0,0,
66,1809,0,0,
67,1905,0,0,
68,1558,0,0,
69,1721,0,0,
70,1757,0,0,
71,1815,0,0,
72,1479,0,0,
73,1933,0,0,
74,1805,0,0,
75,1787,0,0,
76,1967,0,0,
77,2018,0,0,
78,1977,0,0,
79,1980,0,0,
80,2062,0,0,
81,1487,0,0,
82,1636,0,0,
83,1951,0,0,
84,1990,0,0,
85,1383,0,0,
86,1999,0,0,
87,1359,0,0,
88,1666,0,0,
89,1604,0,0,
90,1979,0,0,
91,1706,0,0,
92,1129,0,0,
93,1730,0,0,
94,2021,0,0,
95,2017,0,0,
96,1519,0,0,
97,2102,0,0,
98,2039,0,0,
99,1871,0,0,
100,2059,0,0,
101,1810,0,0,
102,1935,0,0,
103,2013,0,0,
104,1832,0,0,
105,1886,0,0,
106,1695,0,0,
107,1850,0,0,
108,1412,0,0,
109,2043,0,0,
110,1765,0,0,
111,1941,0,0,
112,1855,0,0,
113,1857,0,0,
114,2010,0,0,
115,1862,0,0,
116,1665,0,0,
117,1779,0,0,
118,2045,0,0,
119,1958,0,0,
120,2070,0,0,
121,2089,0,0,
122,1938,0,0,
123,1631,0,0,
124,1892,0,0,
125,1965,0,0,
126,1693,0,0,
127,1847,0,0,
128,1947,0,0,
129,1974,0,0,
130,2018,0,0,
131,1845,0,0,
132,2097,0,0,
133,1737,0,0,
134,1961,0,0,
135,1983,0,0,
136,1806,0,0,
137,1895,0,0,
138,1728,0,0,
139,1875,0,0,
140,1771,0,0,
141,1584,0,0,
142,1300,0,0,
143,1774,0,0,
144,1496,0,0,
145,1889,0,0,
146,1967,0,0,
147,1862,0,0,
148,1766,0,0,
149,2016,0,0,
150,1374,0,0,
151,1987,0,0,
152,2039,0,0,
153,2054,0,0,
154,2005,0,0,
155,2029,0,0,
156,2107,0,0,
157,1867,0,0,
158,1610,0,0,
159,1925,0,0,
160,1931,0,0,
161,1764,0,0,
162,2039,0,0,
163,2069,0,0,
164,969,0,0,
165,1887,0,0,
166,1973,0,0,
167,2049,0,0,
168,1928,0,0,
169,1952,0,0,
170,2052,0,0,
171,1697,0,0,
172,1946,0,0,
173,2017,0,0,
174,1877,0,0,
175,1727,0,0,
176,819,0,0,
177,1993,0,0,
178,1949,0,0,
179,2043,0,0,
180,1937,0,0,
181,2028,0,0,
182,1771,0,0,
183,1911,0,0,
184,1951,0,0,
185,1759,0,0,
