eventID,tof,detector,numElasticSensitive,ExtScatter,CryoScatter,innerLayerScatter,
7573,44.7415,A2,1,2,1,0,
8310,44.3148,A0,2,1,0,0,
8570,48.8557,A0,1,0,0,0,
11215,46.7905,A3,2,1,0,0,
19174,47.5992,A1,3,0,0,0,
14247,44.9548,A2,1,0,0,0,
14924,44.676,A4,1,0,0,0,
22695,46.915,A0,2,1,0,0,
22786,46.5259,A2,1,0,0,0,
18488,46.9324,A3,1,0,0,0,
21203,43.9414,A0,1,1,0,0,
21550,45.7166,A3,1,2,1,0,
25998,45.7303,A1,1,1,0,0,
24531,45.3019,A0,1,0,0,0,
31631,45.3505,A0,1,0,0,0,
32079,45.5913,A0,1,0,0,0,
32512,43.568,A0,2,0,0,0,
30804,47.1081,A1,2,0,0,0,
28089,49.416,A3,1,3,0,0,
38134,44.0534,A0,1,1,0,0,
39060,46.599,A3,2,0,0,0,
39175,45.1786,A3,1,1,0,0,
42299,43.7653,A0,1,0,0,0,
42359,47.8723,A2,1,1,0,0,
40709,49.4187,A0,2,0,0,0,
40743,43.2458,A0,1,0,0,0,
53858,45.6892,A0,1,0,0,0,
49421,44.2615,A0,2,1,0,0,
54286,44.3802,A0,1,1,0,0,
51877,44.4759,A0,1,0,0,0,
60156,47.501,A3,1,0,0,0,
58144,47.8548,A2,1,1,0,0,
55798,42.3717,A0,1,1,1,0,
55872,44.6118,A0,1,0,0,0,
56000,47.9567,A0,2,0,0,0,
56498,43.7668,A3,1,1,0,0,
56666,42.6652,A0,1,0,0,0,
63449,45.9819,A2,1,1,0,0,
64285,48.1564,A0,1,1,0,0,
64642,43.7928,A0,2,0,0,0,
67820,44.1488,A4,1,0,0,0,
67874,45.1568,A0,1,1,0,0,
65020,45.9725,A4,2,0,0,0,
68150,44.594,A0,2,0,0,0,
69008,46.8348,A1,1,1,0,0,
71470,48.6545,A1,1,1,0,0,
71678,47.5038,A2,1,0,0,0,
76043,47.3601,A1,1,1,0,0,
75238,43.8267,A1,1,0,0,0,
