eventID,ArRecoil,gammas,inelasticRecoilTransfer,
0,1.61124,3.51804,0.134208,
1,1.46916,3.51423,0.262088,
2,0.331867,3.5838,0.288737,
3,1.53224,3.68409,0.0835445,
4,1.01317,3.97549,0.257161,
5,0.259796,4.8456,0.169463,
6,2.08346,2.92044,0.295144,
7,0.705761,4.4751,0.119124,
8,1.45674,3.5133,0.277533,
9,0.961666,4.22903,0.108125,
10,1.78834,2.91759,0.55582,
11,0.692628,4.41378,0.13502,
12,0.898759,3.92339,0.0502943,
13,0.92449,3.99412,0.320989,
14,0.297297,4.66876,0.270461,
15,1.87351,2.91778,0.448895,
16,1.1488,3.57372,0.530897,
17,1.80979,3.2108,0.225223,
18,0.995301,4.1787,0.113749,
19,2.0212,3.2076,0.0443904,
20,0.373343,4.37791,0.487988,
21,0.593825,4.47712,0.169121,
22,1.18843,3.98376,0.127653,
23,2.98053,2.11823,0.20033,
24,0.877651,4.36008,0.0569093,
25,1.21367,3.94744,0.0882623,
26,1.31113,3.58485,0.350496,
27,1.10811,3.98147,0.150355,
28,1.89375,2.92115,0.425929,
29,0.328617,4.66136,0.258523,
30,1.49098,3.68073,0.0758325,
31,1.26642,3.94098,0.0402414,
32,0.63673,4.57391,0.089328,
33,0.885029,3.98302,0.380837,
34,0.899445,4.18111,0.167035,
35,1.83448,3.20793,0.196315,
36,0.0681873,4.32138,0.247993,
37,0.445841,4.6899,0.108987,
38,0.0757394,4.97373,0.250523,
39,0.937495,4.17309,0.164097,
40,1.6129,3.51342,0.173665,
41,0.665464,4.47166,0.10248,
42,1.01081,3.97939,0.254579,
43,1.03339,3.94459,0.264383,
44,0.949472,4.1849,0.1373,
45,0.979495,4.0383,0.225588,
46,2.29637,2.91993,0.0757677,
47,1.0059,3.98197,0.270416,
48,1.31571,3.58219,0.349698,
49,1.32677,3.57992,0.3809,
50,3.0192,2.12332,0.096409,
51,0.65369,4.42146,0.224485,
52,0.30506,4.66658,0.269076,
53,2.39519,2.52867,0.367422,
54,0.555377,4.57682,0.11463,
55,0.467754,4.64113,0.179822,
56,0.919309,3.99109,0.337936,
57,1.44055,3.58622,0.222402,
58,1.10425,3.98282,0.157448,
59,0.481982,4.66551,0.0985781,
60,1.26162,3.57814,0.401007,
61,2.04629,3.20393,0.0497639,
62,0.772621,3.98619,0.487738,
63,0.191925,4.93118,0.123423,
64,2.67454,2.524,0.0369258,
65,1.47112,3.51012,0.267407,
66,0.829908,3.98899,0.425035,
