distanceDiff,timeDiff,
7.27809,3.33458,
13.5092,6.43374,
2.69543,1.23495,
0.556161,0.254865,
13.627,6.24344,
14.7719,6.7704,
4.25443,1.95165,
1.76749,0.817348,
40.2418,18.6436,
13.0258,6.05237,
15.1187,7.28884,
6.41533,3.18949,
21.0088,10.5006,
11.2462,5.15262,
14.451,6.92387,
4.26065,1.95209,
10.7807,5.06265,
3.90134,1.84073,
16.6599,7.87558,
24.9319,11.8043,
14.6878,7.27981,
5.26181,2.61421,
24.4338,12.1441,
3.03258,1.50834,
51.3491,23.5264,
1.79434,0.822107,
8.14972,3.73626,
0.419846,0.201194,
3.58829,1.72289,
8.94152,4.50562,
2.7598,1.39715,
10.6151,5.40542,
2.04811,0.938373,
6.81132,3.13975,
15.736,7.51267,
9.0972,4.39637,
4.369,2.12126,
4.06863,1.86411,
23.3086,10.7058,
2.49041,1.15303,
11.2736,5.22819,
2.55768,1.19136,
39.4056,18.5068,
5.07134,2.46562,
13.3648,6.66771,
2.59583,1.18932,
11.7865,5.4522,
12.9196,5.91932,
11.4579,5.26231,
17.1945,7.96546,
9.4078,4.31034,
12.3997,5.93814,
22.6277,10.3672,
57.1595,26.2656,
15.1927,6.98299,
28.0809,12.8657,
27.668,12.8015,
12.5339,5.81976,
5.04884,2.40066,
10.5593,5.05936,
4.71005,2.26945,
5.69439,2.74605,
7.9502,4.02318,
7.52689,3.44857,
7.68619,3.70135,
4.19094,1.92015,
8.35214,3.92317,
23.825,11.2303,
0.847999,0.401197,
8.43345,4.00533,
1.46918,0.673128,
0.605917,0.291165,
1.05231,0.505795,
5.30202,2.42921,
25.2279,11.5776,
2.07417,0.974482,
31.9531,15.1398,
17.3421,8.22498,
17.7897,8.44055,
21.3432,9.77872,
2.32467,1.09785,
3.52409,1.67358,
3.12986,1.56075,
14.6493,7.30962,
4.56271,2.38847,
2.74055,1.43722,
19.071,10.2461,
8.14531,4.40414,
3.54347,2.00978,
30.6022,17.3653,
0.761526,0.448617,
2.46228,1.47177,
32.9529,19.9145,
8.89635,4.07601,
4.83866,2.24389,
4.14595,1.89954,
15.5271,7.15899,
3.02081,1.43343,
28.5223,13.6155,
6.6466,3.04525,
46.7277,21.5685,
25.0328,11.5578,
19.7445,9.20243,
4.64751,2.16624,
9.69889,4.4437,
9.90331,4.76903,
7.80768,3.57722,
18.7655,8.64405,
4.41868,2.08476,
5.73208,2.71008,
8.20228,4.07676,
0.315748,0.157003,
10.8301,5.44975,
8.31002,4.20807,
7.59187,4.0194,
7.2646,3.84893,
0.59268,0.314851,
3.83348,2.09767,
30.6375,17.5126,
2.46408,1.12896,
0.0472919,0.0222698,
12.4727,5.87504,
7.82107,3.70665,
14.6316,6.70369,
18.7291,8.81074,
33.1747,15.1995,
20.9762,9.6404,
2.14664,0.987111,
5.42535,2.49865,
10.4771,4.83915,
17.8961,8.38273,
2.91381,1.41752,
26.7617,13.1222,
5.33499,2.7141,
22.2761,11.8834,
39.962,21.5808,
3.68898,2.0582,
0.235342,0.131917,
0.157715,0.0885595,
6.18989,3.53573,
13.8496,8.26504,
3.86837,2.3138,
9.09774,5.66193,
16.4453,10.5874,
4.81224,3.1354,
2.36432,1.08325,
12.2279,5.62334,
5.20609,2.39676,
16.8042,7.69912,
9.11831,4.19452,
2.8128,1.29808,
4.60676,2.19696,
9.22251,4.48576,
8.04372,3.96006,
17.0311,8.40121,
16.0262,7.97033,
17.6416,8.08278,
1.11094,0.510138,
13.9492,6.73238,
7.09677,3.2515,
12.23,5.62926,
17.4888,8.0925,
41.672,19.9709,
7.60708,3.74283,
5.68819,2.82452,
11.1611,5.54675,
12.6752,6.3111,
50.5372,23.1545,
13.3385,6.41978,
20.3902,10.2387,
13.1413,6.83614,
1.08186,0.565986,
15.4038,7.0575,
31.6184,14.5002,
1.93122,0.886405,
3.24081,1.53486,
18.3344,8.93295,
1.71044,0.83625,
21.6676,10.7346,
21.8552,10.9587,
17.8744,8.18945,
8.32716,3.83082,
27.5217,13.0487,
33.3848,16.4701,
0.914364,0.418931,
18.5552,8.53286,
14.2062,6.62969,
4.54628,2.15196,
20.4945,9.38988,
9.48882,4.42031,
5.1236,2.39302,
15.1956,7.10355,
22.3828,10.994,
0.107714,0.0493511,
15.484,7.12489,
14.6835,6.72748,
13.1193,6.02352,
13.6645,6.26061,
2.94037,1.35682,
4.56007,2.11204,
1.29094,0.61771,
7.07552,3.40302,
0.444984,0.214141,
4.8531,2.38609,
0.395979,0.194838,
10.1456,5.01937,
