eventID,energy,recoilAngle,neutronAngle,
0,2.40608,1.06705,0.971176,
1,2.43297,1.15075,0.80827,
2,2.37568,0.982002,1.13765,
3,2.48466,1.37445,0.376509,
4,2.34431,0.900164,1.29888,
5,2.32919,0.861944,1.37455,
6,2.40634,1.06783,0.969657,
7,2.19954,0.528905,2.04464,
8,2.37994,0.993505,1.11507,
9,2.373,0.974829,1.15174,
10,2.43025,1.14177,0.825722,
11,2.41056,1.08032,0.945292,
12,2.36081,0.942659,1.21503,
13,2.10055,0.0951558,2.94259,
14,2.23554,0.626664,1.84592,
15,2.47754,1.33252,0.457132,
16,2.49863,1.51254,0.111619,
17,2.46042,1.25206,0.612199,
18,2.19789,0.524195,2.05425,
19,2.46116,1.25517,0.606178,
21,2.3234,0.847444,1.40332,
22,2.48016,1.3471,0.429092,
23,2.32638,0.854891,1.38854,
24,2.49804,1.50108,0.133573,
25,2.38078,0.995788,1.11059,
26,2.26149,0.693176,1.71168,
27,2.46605,1.27636,0.565304,
28,2.46852,1.28755,0.543738,
29,2.47496,1.3189,0.483348,
30,2.14999,0.371366,2.36813,
31,2.43018,1.14156,0.826128,
32,2.38115,0.996799,1.10861,
34,2.13134,0.296567,2.52295,
35,2.48402,1.37035,0.384389,
36,2.3034,0.797665,1.50237,
37,2.49483,1.45733,0.217437,
38,2.42514,1.12526,0.857795,
39,2.4602,1.25116,0.613923,
40,2.40776,1.072,0.961511,
41,2.43476,1.15676,0.796619,
42,2.43755,1.16625,0.778199,
43,2.47533,1.32082,0.479659,
44,2.30733,0.807406,1.48295,
45,2.37868,0.990095,1.12177,
46,2.41114,1.08206,0.94189,
48,2.48309,1.36449,0.395665,
49,2.46792,1.28482,0.548997,
50,2.46591,1.27574,0.566505,
51,2.26564,0.703619,1.69067,
52,2.35395,0.924871,1.25009,
53,2.33543,0.877644,1.34344,
54,2.4755,1.32171,0.477947,
56,2.47803,1.33515,0.452078,
57,2.42049,1.11059,0.886334,
58,2.43922,1.172,0.767066,
60,2.37659,0.984457,1.13283,
62,2.42962,1.13972,0.829697,
64,2.48009,1.34669,0.429887,
65,2.23188,0.617063,1.86536,
66,2.48409,1.37079,0.383552,
67,2.48308,1.36445,0.39573,
68,2.39342,1.03071,1.04217,
69,2.40672,1.06894,0.96748,
71,2.43352,1.1526,0.804689,
72,2.49843,1.5083,0.119745,
73,2.35722,0.933322,1.23343,
74,2.41396,1.09053,0.925385,
76,2.17262,0.44825,2.20978,
77,2.4571,1.23847,0.63843,
78,2.21592,0.574446,1.95186,
79,2.44925,1.20807,0.697202,
80,2.47498,1.319,0.48315,
81,2.3393,0.887425,1.32408,
82,2.42876,1.13691,0.835147,
83,2.48033,1.34807,0.427227,
84,2.24468,0.650358,1.79801,
85,2.46136,1.25603,0.604534,
87,2.48276,1.36247,0.399544,
88,2.27319,0.722537,1.65267,
89,2.46234,1.26017,0.596537,
90,2.42448,1.12315,0.86189,
91,2.4667,1.27926,0.559713,
92,2.4954,1.46377,0.205085,
93,2.36843,0.962683,1.17562,
96,2.31289,0.821234,1.45542,
98,2.48875,1.40294,0.321798,
102,2.25401,0.674213,1.74987,
103,2.4952,1.4614,0.209641,
104,2.39047,1.02245,1.05835,
105,2.40902,1.07573,0.954236,
106,2.22657,0.603046,1.89378,
107,2.42386,1.12118,0.865731,
108,2.45433,1.22749,0.659647,
110,2.4796,1.34388,0.435285,
111,2.4502,1.21161,0.690348,
112,2.2978,0.783766,1.5301,
113,2.48765,1.39483,0.337374,
114,2.46234,1.26017,0.596528,
116,2.42155,1.11391,0.879856,
117,2.42736,1.13236,0.843996,
119,2.39823,1.04433,1.01554,
121,2.42791,1.13416,0.840491,
123,2.45963,1.2488,0.618484,
124,2.41196,1.08452,0.937097,
125,2.40904,1.0758,0.954091,
126,2.39734,1.04182,1.02046,
127,2.42746,1.13271,0.843309,
128,2.39446,1.03365,1.03643,
129,2.30182,0.793737,1.5102,
130,2.1461,0.356834,2.39815,
131,2.27962,0.738598,1.62045,
132,2.47832,1.33677,0.448949,
133,2.39906,1.04671,1.0109,
136,2.33454,0.875411,1.34786,
138,2.20944,0.556666,1.98804,
139,2.45545,1.23189,0.651156,
140,2.28897,0.761862,1.57387,
141,2.29348,0.773039,1.55152,
142,2.39593,1.0378,1.02831,
144,2.31317,0.821921,1.45405,
145,2.41035,1.0797,0.946498,
146,2.45023,1.21175,0.690092,
147,2.11798,0.23067,2.65988,
148,2.47707,1.32998,0.462013,
149,2.49675,1.48083,0.172388,
150,2.13329,0.305116,2.50522,
151,2.39961,1.04829,1.0078,
152,2.4607,1.25325,0.609888,
153,2.482,1.35788,0.408359,
154,2.36526,0.95433,1.19205,
156,2.47096,1.29905,0.521578,
158,2.43597,1.16084,0.788693,
159,2.37364,0.976538,1.14839,
160,2.49682,1.48185,0.170427,
161,2.36884,0.96377,1.17348,
162,2.4358,1.16026,0.789816,
163,2.48193,1.35746,0.409178,
164,2.3107,0.815801,1.46623,
165,2.49009,1.41333,0.30185,
166,2.47845,1.33748,0.447588,
168,2.49278,1.43659,0.257219,
169,2.40115,1.05271,0.999178,
170,2.48322,1.36531,0.394073,
171,2.36195,0.945654,1.20913,
173,2.28431,0.750274,1.59706,
174,2.48603,1.38351,0.359118,
175,2.43643,1.16241,0.785646,
178,2.1062,0.152375,2.82307,
179,2.31301,0.821539,1.45481,
180,2.44476,1.19157,0.729142,
181,2.47512,1.31972,0.481772,
182,2.44158,1.18024,0.751096,
183,2.29257,0.770787,1.55602,
184,2.26554,0.70337,1.69117,
185,2.45913,1.24672,0.622497,
186,2.25691,0.681572,1.73504,
187,2.26864,0.711149,1.67554,
188,2.3843,1.00538,1.09179,
190,2.41524,1.09442,0.9178,
191,2.37777,0.987624,1.12661,
193,2.32788,0.858661,1.38106,
194,2.24162,0.642462,1.81397,
198,2.10044,0.0936508,2.94573,
199,2.27389,0.724305,1.64912,
200,2.39328,1.03031,1.04296,
202,2.48777,1.39572,0.335668,
203,2.48538,1.37915,0.367485,
204,2.3053,0.802378,1.49297,
205,2.47323,1.31014,0.500206,
206,2.31854,0.835311,1.42742,
207,2.34513,0.90225,1.29476,
210,2.37521,0.980744,1.14012,
211,2.46574,1.27497,0.56799,
212,2.49445,1.45322,0.225333,
213,2.48844,1.40064,0.326223,
214,2.46955,1.29238,0.534428,
215,2.38364,1.00358,1.09531,
216,2.47879,1.33934,0.444022,
217,2.37683,0.985104,1.13156,
218,2.49389,1.44735,0.236579,
220,2.25218,0.669554,1.75926,
223,2.25431,0.674981,1.74832,
224,2.2677,0.708796,1.68026,
225,2.47384,1.31318,0.49435,
228,2.48431,1.37219,0.380854,
229,2.46665,1.27905,0.560122,
230,2.39443,1.03355,1.03663,
232,2.40284,1.0576,0.989617,
233,2.49511,1.4604,0.211546,
234,2.44104,1.17833,0.754792,
235,2.43645,1.16248,0.785509,
236,2.18425,0.484177,2.13609,
238,2.38068,0.995505,1.11115,
239,2.16862,0.435389,2.23621,
240,2.38562,1.00901,1.08466,
241,2.44995,1.21069,0.69213,
242,2.46247,1.26073,0.595464,
243,2.30525,0.802245,1.49323,
244,2.43307,1.1511,0.807607,
245,2.26395,0.699368,1.69922,
246,2.49404,1.44886,0.233682,
247,2.37348,0.976101,1.14924,
248,2.37586,0.9825,1.13667,
250,2.34884,0.911739,1.27601,
251,2.47588,1.32368,0.474141,
254,2.35595,0.930041,1.2399,
255,2.47753,1.33242,0.457325,
256,2.46934,1.29136,0.536389,
257,2.48198,1.35775,0.408607,
258,2.37675,0.984875,1.13201,
261,2.13076,0.293996,2.52828,
263,2.48833,1.39983,0.327776,
264,2.47961,1.34395,0.435145,
265,2.4048,1.06331,0.978478,
266,2.10997,0.180977,2.7634,
267,2.29543,0.777878,1.54185,
268,2.47098,1.29917,0.521341,
269,2.4469,1.19935,0.714087,
270,2.26389,0.699212,1.69953,
271,2.48026,1.34764,0.428046,
272,2.49539,1.4637,0.20523,
273,2.11424,0.208872,2.70526,
274,2.45849,1.2441,0.627553,
275,2.43386,1.15375,0.80246,
276,2.3298,0.863463,1.37154,
277,2.3467,0.906247,1.28686,
278,2.23428,0.623352,1.85263,
279,2.33744,0.882718,1.33339,
280,2.43104,1.14436,0.820693,
281,2.29686,0.781427,1.53477,
282,2.48185,1.35698,0.41009,
283,2.12846,0.283538,2.54999,
284,2.43107,1.14446,0.820484,
285,2.34661,0.906014,1.28732,
286,2.44003,1.17482,0.761597,
287,2.32713,0.856772,1.38481,
288,2.48992,1.41196,0.304479,
290,2.12031,0.243344,2.6335,
292,2.44445,1.19047,0.731272,
294,2.4537,1.22504,0.664386,
295,2.18347,0.48181,2.14094,
296,2.20105,0.533197,2.03588,
297,2.40842,1.07395,0.957703,
298,2.49906,1.52236,0.0927964,
300,2.34317,0.897267,1.30461,
301,2.4893,1.40714,0.313733,
302,2.28431,0.750267,1.59707,
303,2.45086,1.21413,0.685474,
304,2.19173,0.506361,2.09069,
305,2.44151,1.18,0.751556,
306,2.47774,1.33356,0.455135,
307,2.43487,1.15714,0.795884,
308,2.40496,1.06378,0.977546,
309,2.39038,1.0222,1.05884,
310,2.35413,0.925338,1.24917,
311,2.30494,0.801477,1.49477,
312,2.39699,1.0408,1.02245,
313,2.49015,1.41386,0.300844,
314,2.42562,1.12677,0.854857,
315,2.15956,0.405215,2.29831,
316,2.14404,0.348971,2.41441,
317,2.40082,1.05178,1.00098,
318,2.45883,1.2455,0.624861,
319,2.45542,1.23179,0.651339,
320,2.25374,0.673528,1.75125,
321,2.26918,0.712509,1.6728,
322,2.48248,1.3608,0.402744,
324,2.32307,0.846605,1.40499,
325,2.26114,0.692293,1.71345,
326,2.4589,1.24581,0.624263,
327,2.47868,1.33872,0.445211,
328,2.27452,0.72588,1.64596,
331,2.23239,0.618397,1.86266,
332,2.37304,0.974932,1.15154,
333,2.09923,0.0759426,2.98275,
334,2.44026,1.17562,0.760049,
335,2.47904,1.34076,0.441292,
336,2.48075,1.35047,0.422603,
337,2.10529,0.144654,2.83919,
338,2.40572,1.06599,0.973229,
