eventID,energy,recoilAngle,neutronAngle,
0,2.06525,0.490267,2.10668,
1,2.03314,0.417252,2.25821,
2,1.9579,0.172717,2.77341,
3,2.39345,1.11881,0.856188,
4,2.21065,0.767395,1.54356,
5,2.28947,0.909786,1.26176,
6,2.0481,0.452309,2.1853,
7,2.45093,1.26987,0.567837,
8,2.34382,1.01365,1.05914,
9,2.34707,1.02014,1.04656,
10,2.08482,0.531348,2.02198,
11,2.29896,0.927395,1.22724,
12,2.20452,0.756416,1.5655,
13,2.34289,1.01179,1.06275,
14,2.4525,1.27488,0.558337,
16,2.07161,0.503852,2.07862,
17,2.09743,0.556829,1.96965,
18,2.42461,1.19461,0.711103,
19,2.08859,0.539038,2.00617,
20,2.38294,1.09531,0.901382,
21,2.04075,0.435337,2.22057,
22,2.16385,0.682893,1.71319,
23,2.21449,0.774272,1.52984,
24,2.29539,0.920739,1.24028,
25,2.27799,0.888683,1.30322,
26,2.23921,0.818544,1.44177,
27,2.33025,0.986913,1.11108,
28,2.14421,0.646691,1.78642,
29,2.25346,0.84417,1.39101,
30,2.46978,1.33605,0.442424,
31,2.33739,1.00089,1.0839,
32,1.95525,0.158097,2.80449,
33,2.39867,1.13083,0.833129,
34,2.17562,0.70433,1.66998,
35,2.44548,1.25307,0.599761,
36,2.40017,1.13431,0.826455,
37,2.20885,0.764163,1.55002,
38,2.07717,0.515524,2.05455,
39,2.02412,0.39499,2.30465,
40,2.07857,0.518448,2.04853,
41,2.47199,1.34494,0.425599,
42,2.04519,0.445646,2.19914,
43,2.37942,1.08761,0.916199,
44,1.96201,0.193274,2.72974,
45,2.4955,1.48092,0.169108,
46,2.17878,0.710053,1.65847,
47,2.46066,1.30218,0.50655,
48,2.00699,0.349742,2.39937,
49,2.3525,1.03112,1.02528,
50,2.02903,0.407232,2.2791,
51,2.30104,0.931278,1.21964,
52,2.48549,1.40892,0.304776,
53,2.40317,1.14136,0.812937,
54,2.06483,0.489347,2.10858,
55,2.21117,0.768328,1.5417,
56,2.30379,0.936429,1.20956,
57,2.00966,0.357082,2.38398,
58,2.33266,0.991625,1.10191,
59,2.11534,0.591987,1.89771,
60,2.25181,0.841202,1.39688,
61,2.37634,1.08092,0.929084,
62,2.3487,1.02343,1.04018,
63,2.39952,1.1328,0.829357,
64,2.37183,1.07127,0.947694,
65,2.27342,0.880335,1.31965,
66,2.19402,0.737559,1.60325,
67,2.09289,0.547726,1.98832,
68,2.14327,0.644929,1.78999,
69,2.48726,1.41922,0.285352,
70,2.33852,1.00313,1.07956,
71,2.09489,0.55176,1.98005,
72,2.20025,0.748741,1.58085,
73,2.02046,0.385685,2.3241,
74,2.3554,1.03703,1.01385,
75,2.03094,0.411898,2.26937,
77,2.28191,0.895856,1.28911,
78,2.07699,0.515158,2.05531,
79,2.27456,0.882414,1.31555,
80,2.37573,1.0796,0.931619,
81,2.09655,0.555085,1.97323,
82,2.21018,0.766559,1.54523,
83,2.12897,0.618061,1.84457,
84,2.13587,0.631092,1.81808,
85,2.10087,0.563677,1.95561,
86,2.12162,0.604076,1.87305,
87,2.4841,1.40128,0.319189,
88,1.94736,0.103444,2.92086,
89,2.09934,0.560635,1.96185,
90,2.43863,1.23296,0.638011,
91,1.97945,0.264019,2.57988,
92,2.07987,0.521146,2.04297,
93,2.02366,0.393825,2.30709,
94,2.21521,0.775552,1.52729,
95,2.24664,0.831902,1.41529,
96,2.09525,0.552478,1.97857,
97,2.1628,0.680981,1.71705,
98,2.06551,0.490829,2.10552,
99,2.45804,1.29318,0.523613,
100,2.49569,1.48284,0.165496,
101,2.45832,1.2941,0.521863,
102,2.06885,0.497967,2.09077,
103,2.09707,0.556107,1.97113,
104,1.94153,0.0146625,3.11029,
105,2.23228,0.806119,1.46644,
106,1.9561,0.162937,2.7942,
107,1.99378,0.311214,2.48034,
108,2.39877,1.13106,0.832679,
109,2.36694,1.06091,0.967671,
110,2.42955,1.20774,0.686058,
111,1.99612,0.318332,2.46536,
112,2.02011,0.384774,2.326,
113,2.24645,0.831558,1.41597,
114,2.31288,0.953554,1.17609,
115,2.30761,0.943609,1.19552,
116,2.00927,0.356027,2.38619,
117,2.29883,0.927144,1.22773,
118,2.23232,0.806203,1.46627,
119,2.17223,0.698171,1.68239,
120,2.45218,1.27387,0.560245,
121,2.23266,0.806805,1.46507,
122,2.28766,0.906444,1.26832,
123,2.14609,0.650185,1.77934,
124,2.17884,0.710163,1.65825,
125,2.13522,0.629865,1.82057,
126,2.33918,1.00444,1.07701,
127,2.3355,0.997173,1.09113,
128,2.15329,0.663506,1.75236,
129,2.01577,0.373482,2.34962,
130,2.4281,1.20383,0.693501,
131,2.1098,0.581227,1.9197,
132,2.00781,0.352012,2.39461,
133,2.26132,0.858368,1.36296,
134,2.33409,0.994426,1.09647,
135,2.23303,0.807464,1.46376,
136,2.45455,1.28152,0.545732,
137,2.34489,1.01579,1.055,
138,2.34892,1.02387,1.03933,
139,2.0777,0.51663,2.05227,
140,2.18617,0.723409,1.63163,
141,2.10508,0.571979,1.93861,
142,2.34844,1.0229,1.04119,
143,1.94253,0.0448518,3.04585,
144,1.94683,0.0986713,2.93104,
145,2.04437,0.443755,2.20307,
146,2.36585,1.05864,0.972053,
147,2.47163,1.34346,0.4284,
148,1.94953,0.120893,2.88368,
149,2.47127,1.34202,0.431118,
150,2.13538,0.630174,1.81994,
151,2.15841,0.672937,1.73329,
152,2.47723,1.36751,0.382949,
153,2.11718,0.595542,1.89046,
154,1.96388,0.201953,2.71132,
155,2.27015,0.874384,1.33137,
156,1.97775,0.257923,2.59276,
