eventID,energy,recoilAngle,neutronAngle,
0,2.23829,0.49027,2.13042,
1,2.49861,1.50657,0.123985,
2,2.22934,0.457481,2.19735,
3,2.27394,0.60952,1.88821,
4,2.47127,1.27414,0.573694,
5,2.41361,1.03923,1.03209,
6,2.39174,0.967441,1.17337,
7,2.48416,1.35204,0.422677,
8,2.476,1.30033,0.522877,
10,2.49084,1.405,0.32022,
11,2.34513,0.824873,1.45593,
12,2.48257,1.34112,0.443835,
13,2.3258,0.767332,1.57077,
14,2.4925,1.42084,0.289589,
15,2.49852,1.50439,0.128187,
17,2.28351,0.63952,1.82759,
18,2.37895,0.927313,1.25263,
19,2.4979,1.49164,0.15282,
20,2.19749,0.203018,2.72181,
21,2.48669,1.3705,0.386952,
22,2.34949,0.837884,1.43003,
23,2.46885,1.26151,0.598223,
24,2.23633,0.483201,2.14484,
25,2.49559,1.45608,0.221498,
26,2.46409,1.23788,0.644131,
27,2.49096,1.40607,0.318144,
28,2.24844,0.525763,2.05813,
29,2.32173,0.755228,1.59499,
31,2.46508,1.23153,0.657905,
33,2.433,1.10808,0.897172,
34,2.42489,1.07853,0.955022,
35,2.49025,1.39688,0.33632,
36,2.46222,1.22901,0.661378,
37,2.49826,1.49883,0.138935,
39,2.47016,1.26832,0.58499,
40,2.46257,1.23066,0.658166,
41,2.37025,0.900537,1.30563,
42,2.46613,1.24785,0.624749,
43,2.22963,0.458578,2.19511,
44,2.30808,0.714424,1.67679,
45,2.49709,1.47769,0.179752,
46,2.49693,1.47513,0.184686,
47,2.42282,1.05326,1.00657,
48,2.48573,1.36333,0.400834,
49,2.32652,0.769485,1.56647,
50,2.49074,1.3986,0.333349,
51,2.26403,0.577722,1.9526,
52,2.17096,0.147023,2.8367,
53,2.3235,0.760492,1.58446,
54,2.16736,0.103951,2.92596,
55,2.42397,1.07527,0.961407,
56,2.43293,1.10782,0.897686,
57,2.4404,1.13624,0.842131,
58,2.48713,1.37388,0.38041,
59,2.48335,1.34642,0.433562,
60,2.46979,1.26636,0.588792,
63,2.48889,1.38798,0.353139,
64,2.45635,1.2022,0.713532,
65,2.27626,0.616851,1.87338,
67,2.21818,0.4141,2.28611,
68,2.36918,0.89727,1.3121,
70,2.39002,0.961964,1.18418,
71,2.47749,1.30909,0.505894,
72,2.47962,1.32204,0.480786,
73,2.36007,0.869655,1.36688,
74,2.19476,0.30859,2.50286,
75,2.26059,0.566489,1.97538,
77,2.43854,1.12903,0.856227,
78,2.4766,1.30384,0.516068,
80,2.48157,1.33449,0.456676,
81,2.46378,1.23641,0.646984,
82,2.42282,1.06217,0.988104,
83,2.41876,1.05695,0.997324,
84,2.46167,1.22642,0.666406,
85,2.33445,0.793077,1.51933,
86,2.40129,0.998216,1.11273,
87,2.38357,0.941692,1.22421,
88,2.33814,0.772098,1.56365,
89,2.48495,1.35761,0.411905,
90,2.44938,1.17235,0.771676,
91,2.46553,1.24487,0.630539,
92,2.47772,1.31048,0.5032,
93,2.27408,0.609964,1.88731,
94,2.33867,0.805634,1.49428,
95,2.44123,1.13947,0.835827,
96,2.47656,1.30362,0.516491,
98,2.2663,0.585069,1.93771,
99,2.37711,0.921607,1.26391,
100,2.28082,0.631155,1.84448,
101,2.46351,1.23511,0.649509,
102,2.47501,1.29471,0.533789,
103,2.45451,1.19416,0.729183,
104,2.49443,1.44174,0.249188,
105,2.46246,1.23013,0.659191,
106,2.21279,0.349842,2.41882,
107,2.35635,0.858451,1.38913,
108,2.49299,1.42592,0.27978,
109,2.34502,0.824531,1.45661,
111,2.41501,1.04404,1.02266,
112,2.45585,1.19999,0.717831,
113,2.44473,1.15334,0.808754,
114,2.33717,0.80116,1.5032,
115,2.37253,0.894594,1.3186,
116,2.49314,1.42744,0.276834,
117,2.47059,1.27059,0.580582,
118,2.49405,1.43738,0.257623,
119,2.36524,0.885297,1.33584,
120,2.34316,0.788024,1.53183,
121,2.47,1.26748,0.586618,
122,2.30418,0.702665,1.70041,
125,2.33203,0.785878,1.53371,
126,2.49195,1.41549,0.299939,
128,2.18873,0.276092,2.56985,
129,2.44654,1.16067,0.794468,
130,2.23342,0.439301,2.23552,
131,2.36713,0.891054,1.32442,
132,2.33667,0.799664,1.50619,
133,2.48627,1.36733,0.393087,
134,2.36434,0.882581,1.34123,
135,2.48457,1.3549,0.417138,
136,2.47729,1.30792,0.508171,
137,2.46042,1.21457,0.690226,
138,2.28031,0.629554,1.84771,
139,2.49784,1.49056,0.154904,
140,2.49205,1.41642,0.298133,
141,2.46796,1.25698,0.607014,
142,2.43542,1.11718,0.879392,
143,2.47402,1.28914,0.544582,
144,2.42438,1.07671,0.958583,
146,2.48092,1.33027,0.464847,
147,2.49284,1.42195,0.28779,
148,2.3754,0.916328,1.27436,
149,2.22799,0.45239,2.20775,
150,2.45412,1.19244,0.732532,
151,2.46252,1.21883,0.682648,
152,2.17284,0.165311,2.79882,
153,2.41687,1.05042,1.01014,
154,2.26046,0.56606,1.97625,
155,2.48606,1.36575,0.396143,
156,2.24122,0.500692,2.10917,
157,2.49231,1.41902,0.293113,
158,2.44957,1.17311,0.770193,
159,2.41636,1.04865,1.01361,
160,2.46958,1.26528,0.5909,
161,2.19031,0.284937,2.55161,
162,2.45228,1.18456,0.74788,
163,2.44983,1.17423,0.768025,
164,2.43972,1.13361,0.847272,
165,2.48567,1.36286,0.401744,
166,2.39104,0.965213,1.17777,
167,2.45002,1.175,0.766517,
168,2.49046,1.39598,0.338436,
169,2.44609,1.15883,0.798046,
171,2.22524,0.44192,2.22916,
172,2.49319,1.42803,0.275691,
175,2.48672,1.37077,0.386437,
176,2.47279,1.28236,0.557741,
177,2.45211,1.18382,0.749321,
178,2.41836,1.05557,1.00002,
179,2.31448,0.733584,1.63835,
181,2.49976,1.54364,0.0524741,
183,2.26042,0.565928,1.97652,
184,2.45839,1.19902,0.721263,
185,2.31334,0.730184,1.64517,
186,2.35752,0.861974,1.38213,
187,2.32824,0.774597,1.55625,
188,2.35317,0.848899,1.40812,
189,2.31971,0.713398,1.68126,
190,2.44142,1.14022,0.834369,
191,2.32178,0.755362,1.59473,
193,2.49274,1.42337,0.284697,
194,2.26443,0.579025,1.94996,
195,2.2869,0.650004,1.80643,
196,2.17965,0.219268,2.68719,
197,2.46474,1.23537,0.649742,
198,2.42658,1.08458,0.943179,
199,2.48467,1.35561,0.415768,
200,2.46356,1.23535,0.649046,
202,2.36072,0.871607,1.363,
203,2.29446,0.673219,1.75965,
204,2.49803,1.4942,0.147869,
205,2.37109,0.890041,1.32763,
207,2.49629,1.46563,0.203044,
209,2.48057,1.32807,0.469115,
210,2.30939,0.718335,1.66894,
211,2.47071,1.27121,0.57938,
212,2.43452,1.11377,0.886041,
213,2.25933,0.562337,1.98381,
214,2.47598,1.30026,0.523024,
215,2.47275,1.28211,0.55823,
216,2.46232,1.22945,0.66052,
217,2.37732,0.922264,1.26262,
218,2.47063,1.2708,0.580183,
219,2.48364,1.34842,0.429697,
220,2.31735,0.742155,1.62117,
221,2.49454,1.44307,0.246633,
222,2.48585,1.36417,0.399198,
223,2.28941,0.657755,1.7908,
225,2.43465,1.11427,0.885066,
226,2.47961,1.32201,0.480852,
227,2.46693,1.2518,0.617067,
228,2.49815,1.49654,0.143348,
229,2.45853,1.21199,0.694482,
230,2.20394,0.353038,2.41141,
231,2.32205,0.75617,1.59311,
232,2.29993,0.689836,1.7262,
233,2.28345,0.63933,1.82797,
234,2.45203,1.18347,0.750017,
235,2.45759,1.20145,0.715794,
236,2.38749,0.953997,1.1999,
237,2.26659,0.586025,1.93577,
238,2.46113,1.2239,0.671315,
239,2.30927,0.71799,1.66964,
240,2.48195,1.33696,0.451885,
241,2.48772,1.37853,0.371415,
242,2.47378,1.28781,0.547174,
243,2.47699,1.30611,0.511664,
244,2.48822,1.38254,0.363656,
245,2.41651,1.04917,1.01258,
246,2.49255,1.42137,0.288573,
247,2.46267,1.23111,0.657294,
248,2.49655,1.4694,0.195769,
249,2.36975,0.872777,1.36302,
250,2.17035,0.140679,2.84984,
251,2.43959,1.1331,0.848264,
252,2.49397,1.43643,0.259451,
253,2.48892,1.38823,0.352645,
255,2.49459,1.44357,0.245659,
256,2.39808,0.987779,1.13329,
257,2.36449,0.883023,1.34035,
258,2.49087,1.40522,0.319789,
259,2.16732,0.1034,2.9271,
260,2.49006,1.39804,0.333672,
261,2.48488,1.3571,0.412878,
262,2.47961,1.32202,0.480833,
263,2.4514,1.1808,0.755219,
265,2.48123,1.33229,0.460937,
266,2.36152,0.874028,1.3582,
268,2.49027,1.39985,0.330164,
269,2.49309,1.42698,0.277731,
270,2.43988,1.13422,0.84608,
271,2.47212,1.27874,0.564761,
273,2.43333,1.1093,0.894783,
274,2.37007,0.873817,1.36095,
275,2.28209,0.635113,1.83648,
277,2.17793,0.206883,2.7128,
278,2.4067,1.01602,1.07771,
279,2.27614,0.616474,1.87414,
280,2.38483,0.94561,1.21647,
282,2.40443,1.00852,1.09246,
283,2.33161,0.784624,1.53621,
284,2.49813,1.49621,0.143993,
285,2.49087,1.4053,0.319635,
286,2.48361,1.34818,0.43016,
287,2.42879,1.09261,0.927454,
288,2.48322,1.34551,0.435332,
289,2.45569,1.19929,0.719189,
290,2.49744,1.48346,0.168598,
291,2.48005,1.32472,0.475609,
292,2.45449,1.19408,0.729351,
293,2.17234,0.16066,2.80845,
294,2.17299,0.166675,2.796,
295,2.46036,1.22031,0.678296,
296,2.42301,1.07187,0.968078,
297,2.37598,0.918119,1.27082,
298,2.39103,0.965191,1.17781,
299,2.3419,0.815258,1.47509,
300,2.25593,0.551095,2.00663,
301,2.31013,0.720553,1.66449,
302,2.49446,1.44213,0.248451,
303,2.46052,1.22108,0.6768,
304,2.17691,0.199226,2.72864,
305,2.49724,1.48012,0.175056,
307,2.44046,1.12882,0.857555,
308,2.40409,1.00739,1.09468,
309,2.48701,1.37299,0.382142,
310,2.46322,1.23373,0.652184,
311,2.29875,0.686261,1.7334,
312,2.49227,1.41854,0.294026,
313,2.49536,1.45301,0.22743,
314,2.35034,0.84044,1.42494,
315,2.49839,1.50152,0.133728,
316,2.46655,1.24992,0.620735,
317,2.419,1.0578,0.995652,
319,2.45729,1.20641,0.70534,
320,2.47803,1.31233,0.499611,
321,2.18126,0.230282,2.66443,
323,2.28516,0.644626,1.81728,
324,2.48174,1.33166,0.462693,
325,2.47728,1.30783,0.50834,
326,2.46708,1.25258,0.615561,
327,2.17663,0.197092,2.73305,
328,2.49713,1.47827,0.178628,
330,2.46821,1.25824,0.604572,
332,2.28756,0.652051,1.8023,
333,2.28672,0.649471,1.80751,
334,2.20833,0.372726,2.37096,
335,2.4896,1.39402,0.341455,
336,2.49533,1.45267,0.228082,
337,2.47115,1.27353,0.574884,
338,2.49334,1.42965,0.272569,
339,2.44445,1.15225,0.810883,
340,2.17979,0.220269,2.68512,
341,2.45307,1.18791,0.74136,
342,2.34566,0.826463,1.45276,
343,2.49289,1.42483,0.281885,
344,2.48752,1.37691,0.374549,
345,2.49706,1.47719,0.180709,
347,2.49342,1.43041,0.271087,
348,2.48747,1.37655,0.375246,
349,2.49951,1.53255,0.073834,
350,2.16454,0.0487983,3.04034,
351,2.41244,1.03529,1.03983,
352,2.46616,1.24796,0.624525,
353,2.30079,0.692443,1.72096,
354,2.33272,0.787933,1.5296,
355,2.49588,1.45983,0.214238,
356,2.17781,0.205978,2.71467,
357,2.48855,1.3852,0.358505,
358,2.32164,0.754963,1.59552,
359,2.35337,0.849519,1.40689,
