eventID,energy,recoilAngle,neutronAngle,
0,2.44131,0.490271,2.15465,
1,2.49036,1.2052,0.726111,
2,2.49849,1.42893,0.281596,
3,2.49922,1.46902,0.202017,
6,2.49862,1.43574,0.268072,
10,2.48446,1.10151,0.932377,
11,2.49754,1.38768,0.363552,
12,2.47818,1.00994,1.11467,
16,2.49635,1.35144,0.435413,
17,2.49913,1.46424,0.211468,
19,2.49648,1.35558,0.427174,
21,2.49511,1.31442,0.508979,
22,2.4808,1.04844,1.03795,
23,2.49086,1.20959,0.717518,
25,2.47608,0.980143,1.17407,
28,2.49434,1.28905,0.559552,
29,2.47908,1.01142,1.11199,
30,2.43168,0.311691,2.51371,
34,2.48393,1.09285,0.949613,
35,2.4757,0.967197,1.20005,
36,2.43274,0.289365,2.55877,
41,2.49616,1.34154,0.455202,
44,2.47065,0.885185,1.36394,
45,2.49104,1.22033,0.695988,
46,2.45704,0.706812,1.7205,
47,2.49973,1.51071,0.119262,
48,2.42616,0.208129,2.72214,
51,2.49809,1.41293,0.313323,
52,2.49971,1.50872,0.123213,
53,2.48743,1.15031,0.835297,
54,2.44963,0.592721,1.94924,
55,2.4975,1.38821,0.362433,
57,2.49102,1.21578,0.705128,
58,2.49323,1.26184,0.613619,
66,2.49731,1.38087,0.377025,
71,2.49301,1.26507,0.606976,
73,2.4862,1.13404,0.867531,
74,2.48363,1.08211,0.971134,
75,2.47842,1.00632,1.12205,
76,2.48928,1.18429,0.767687,
77,2.49799,1.40669,0.325755,
78,2.46206,0.767266,1.59962,
79,2.46175,0.762994,1.60817,
81,2.49,1.19525,0.745975,
82,2.49267,1.25131,0.634498,
83,2.49272,1.2585,0.620028,
84,2.4983,1.41784,0.303689,
85,2.49729,1.38008,0.378596,
87,2.49544,1.3186,0.500819,
90,2.49665,1.35855,0.421362,
91,2.49917,1.46594,0.208119,
92,2.49037,1.2097,0.71704,
93,2.49557,1.327,0.483994,
94,2.4987,1.43973,0.260152,
95,2.43008,0.310789,2.51542,
96,2.48649,1.13897,0.857717,
97,2.49411,1.28862,0.560239,
98,2.49705,1.37413,0.390352,
99,2.49437,1.29832,0.540891,
101,2.49894,1.45199,0.23582,
102,2.49073,1.21268,0.711237,
108,2.49319,1.26686,0.603483,
110,2.45054,0.606032,1.92254,
112,2.49616,1.34572,0.446772,
113,2.49462,1.30031,0.537049,
114,2.49884,1.44663,0.246464,
115,2.48615,1.12796,0.879767,
116,2.49617,1.34359,0.451063,
117,2.48373,1.08001,0.975418,
118,2.49149,1.22828,0.680215,
120,2.48107,1.05257,1.02972,
122,2.49729,1.37738,0.38405,
123,2.48621,1.13064,0.874393,
127,2.49874,1.44142,0.256807,
128,2.49761,1.39234,0.354238,
129,2.49563,1.33049,0.477013,
130,2.49025,1.19723,0.742095,
132,2.49161,1.23336,0.670039,
133,2.47165,0.904954,1.32436,
134,2.49376,1.27909,0.579211,
136,2.49841,1.42486,0.289682,
138,2.42789,0.210938,2.71656,
139,2.49153,1.22903,0.67871,
140,2.48927,1.19326,0.749591,
141,2.4919,1.24083,0.655158,
142,2.48527,1.11295,0.909644,
143,2.42404,0.0134331,3.11452,
144,2.49983,1.52358,0.0936924,
145,2.45902,0.725579,1.68304,
147,2.49362,1.27912,0.579065,
149,2.4977,1.39528,0.348406,
152,2.49808,1.41057,0.318056,
153,2.49762,1.39418,0.350536,
154,2.49668,1.36016,0.418145,
156,2.47951,1.02246,1.08987,
159,2.49929,1.47469,0.190731,
160,2.46979,0.885406,1.36328,
162,2.49987,1.5292,0.082573,
163,2.4941,1.28289,0.571788,
164,2.49897,1.45404,0.23173,
166,2.43467,0.354857,2.42693,
167,2.4844,1.09864,0.938134,
168,2.49992,1.53839,0.0643062,
169,2.49981,1.52021,0.100389,
171,2.48822,1.16446,0.807139,
172,2.48602,1.12743,0.880767,
