eventID,energy,recoilAngle,neutronAngle,
15,1.93026,1.03993,0.723164,
42,0.525586,0.341342,1.98125,
66,1.81806,0.983774,0.804195,
164,1.56387,0.864612,0.981948,
635,1.9377,1.04377,0.717676,
689,1.50203,0.836561,1.0252,
740,0.647875,0.421019,1.7879,
990,0.702402,0.452985,1.71652,
997,0.587541,0.383363,1.87632,
1014,0.43481,0.270217,2.17632,
1101,0.448327,0.281802,2.14291,
1134,1.18604,0.693864,1.25657,
1210,1.47027,0.82222,1.04756,
1516,2.493,1.51465,0.0747706,
1553,0.433319,0.268911,2.18012,
1659,0.542874,0.353479,1.95021,
1693,1.39441,0.788072,1.10153,
1841,0.297977,0.0989424,2.7523,
1863,2.34787,1.30609,0.354329,
2066,2.08857,1.12604,0.601495,
2073,1.49778,0.834639,1.02819,
2193,2.20024,1.19475,0.506212,
2344,2.12093,1.14508,0.574951,
2447,1.50997,0.84015,1.01963,
2560,1.51235,0.841227,1.01797,
2565,1.73901,0.945788,0.859917,
2671,0.426146,0.26255,2.19879,
2728,0.526065,0.341683,1.98037,
2993,2.29511,1.2623,0.413748,
3002,1.50654,0.838597,1.02204,
3018,0.963308,0.589237,1.44252,
3143,1.75465,0.953218,0.848954,
3186,2.35348,1.31113,0.347507,
3232,1.89934,1.02414,0.745802,
3314,0.61743,0.402359,1.83109,
3675,1.97014,1.06072,0.693525,
3763,1.03382,0.623098,1.38045,
3771,0.28233,0.0522291,2.93329,
3882,0.28455,0.0610555,2.89857,
3936,0.782227,0.497113,1.62288,
4059,0.485782,0.3119,2.05916,
4107,0.615083,0.400892,1.83454,
4151,2.27166,1.24451,0.437995,
4300,0.564925,0.368479,1.91269,
4303,0.586766,0.382861,1.87753,
4408,0.319026,0.139077,2.60374,
4432,2.3523,1.31006,0.34895,
4478,2.43986,1.40554,0.220476,
4553,0.800036,0.506605,1.60341,
4631,0.282444,0.0527177,2.93136,
4717,0.675129,0.43721,1.75135,
4726,0.768279,0.489596,1.63846,
4783,1.18565,0.693685,1.25688,
4934,1.23193,0.714776,1.22128,
5125,0.352235,0.185847,2.44072,
5183,2.24069,1.22221,0.468499,
5344,1.91498,1.03209,0.734387,
5566,0.843893,0.529521,1.55731,
5667,2.37586,1.3322,0.319053,
5698,0.49612,0.319769,2.03796,
5724,2.28469,1.25429,0.424658,
5733,2.43154,1.39438,0.235439,
5778,1.19647,0.698631,1.24848,
5810,0.312342,0.127679,2.64516,
5820,2.45565,1.42906,0.188995,
5952,0.294992,0.0918685,2.77921,
5969,1.80587,0.977843,0.812843,
6286,2.27037,1.24356,0.439298,
6406,1.02668,0.619706,1.38658,
6476,2.22319,1.21012,0.48508,
6576,0.449989,0.283197,2.13893,
6646,0.762,0.486188,1.64558,
6648,2.04114,1.09914,0.639201,
6828,0.285815,0.0655586,2.88093,
6912,0.535272,0.348186,1.96367,
7028,1.87738,1.01308,0.761721,
7113,0.522504,0.33914,1.98694,
7183,0.387589,0.225589,2.31144,
7234,2.32579,1.28704,0.380137,
7291,1.18909,0.695259,1.2542,
7367,0.545925,0.355585,1.94489,
7375,0.429037,0.26513,2.1912,
7421,2.4718,1.4579,0.150454,
7436,2.15996,1.16893,0.541857,
7679,1.69348,0.924354,0.891724,
7754,0.726829,0.46679,1.68665,
7862,0.815033,0.514511,1.58736,
8073,2.12873,1.14976,0.568438,
8094,1.15917,0.68155,1.27762,
8172,2.46637,1.44747,0.164383,
8188,0.85612,0.535803,1.54488,
8229,2.29765,1.26428,0.411054,
8293,0.678711,0.439306,1.74668,
8333,1.46034,0.817743,1.05458,
8536,0.90258,0.559301,1.49915,
8551,0.43043,0.266366,2.18757,
8636,0.673688,0.436365,1.75323,
8689,0.601242,0.392161,1.85521,
8737,2.31165,1.27541,0.395924,
8799,1.5786,0.871327,0.971683,
8886,1.06668,0.638606,1.35266,
8952,2.15136,1.16358,0.549262,
8978,1.32776,0.758089,1.14982,
9095,2.0579,1.10852,0.626027,
9270,0.403233,0.241214,2.26294,
9315,0.377897,0.215383,2.34382,
9380,2.25964,1.23571,0.450022,
9418,2.28348,1.25337,0.425916,
9822,0.691532,0.446746,1.7302,
10075,0.842313,0.528706,1.55892,
10098,2.19731,1.19283,0.50886,
10140,0.884365,0.550156,1.51681,
10201,0.437008,0.272131,2.17075,
10238,0.284843,0.0621259,2.89437,
10265,0.694734,0.448591,1.72615,
10345,0.379246,0.216831,2.33919,
10536,2.38236,1.33864,0.310361,
10568,1.96484,1.05793,0.697491,
10712,0.292659,0.08594,2.80192,
10809,2.23366,1.21731,0.475214,
10888,1.76745,0.959329,0.839961,
10940,0.329389,0.155138,2.54646,
10948,0.898752,0.557386,1.50283,
11027,1.26199,0.728402,1.19857,
11068,0.563161,0.367297,1.91561,
11081,0.621893,0.405135,1.82459,
11094,1.75492,0.953349,0.848761,
11354,2.09817,1.13162,0.593704,
11398,0.399796,0.237863,2.27323,
11423,0.50348,0.325272,2.0233,
11548,2.4906,1.50572,0.0866698,
11607,1.768,0.959595,0.83957,
11655,2.23967,1.2215,0.469474,
11706,0.971234,0.593087,1.43536,
11752,0.545672,0.355411,1.94533,
11780,0.432268,0.267988,2.18282,
11796,2.02947,1.09269,0.648289,
11837,0.676544,0.438039,1.7495,
12065,0.367932,0.204394,2.37932,
12169,1.86628,1.00753,0.769726,
12299,0.929815,0.572826,1.47335,
12467,1.476,0.824806,1.04352,
12569,2.01778,1.08628,0.657327,
12600,0.878924,0.547408,1.52215,
12640,2.34941,1.30746,0.352469,
12648,2.01444,1.08446,0.659892,
12661,2.04558,1.10162,0.635725,
12695,0.801497,0.507378,1.60184,
12754,0.324018,0.147027,2.57522,
12838,0.410741,0.24839,2.2411,
13137,1.67254,0.914588,0.906309,
13300,1.22579,0.711984,1.22596,
13369,1.10149,0.65488,1.32391,
13628,1.73986,0.946192,0.85932,
13650,2.22669,1.21251,0.481794,
13724,1.44764,0.812025,1.06357,
13883,1.10637,0.657151,1.31993,
13923,1.2325,0.715032,1.22085,
14024,1.60201,0.882035,0.955381,
14291,2.43937,1.40487,0.221372,
14425,1.80499,0.977414,0.813469,
14445,1.10768,0.657762,1.31886,
14484,0.481228,0.308379,2.06874,
14523,2.3433,1.30204,0.3598,
14531,0.301349,0.106377,2.72423,
14633,2.26663,1.2408,0.443066,
14746,0.631404,0.411004,1.81093,
14795,1.90615,1.02759,0.740838,
14858,2.28682,1.25592,0.422443,
14968,0.541249,0.352353,1.95307,
14993,1.31596,0.752771,1.15848,
15034,1.71286,0.933447,0.878197,
15097,1.99882,1.076,0.671846,
15101,2.36027,1.31735,0.339101,
15114,0.640242,0.4164,1.79848,
15233,1.18659,0.694115,1.25614,
15234,2.10823,1.13753,0.585461,
15260,0.495987,0.319669,2.03823,
15294,1.8757,1.01223,0.762939,
15422,2.3683,1.3249,0.328899,
15443,2.31521,1.27829,0.392004,
15590,1.8166,0.983057,0.805238,
15604,2.22375,1.2105,0.484552,
15659,0.946585,0.581072,1.4578,
15715,1.2795,0.73632,1.18547,
15745,2.18051,1.18193,0.523882,
15844,0.528347,0.343305,1.97619,
15866,2.19542,1.19159,0.510568,
15930,1.79362,0.971911,0.821512,
15935,2.22271,1.20979,0.485533,
15937,0.335526,0.163932,2.51567,
16005,0.502426,0.324489,2.02538,
16073,1.61306,0.887105,0.94769,
16124,1.03411,0.623234,1.3802,
16130,1.79828,0.974165,0.818215,
16267,2.14607,1.16032,0.553787,
16346,2.21019,1.20135,0.497129,
16461,1.3058,0.74819,1.16597,
16598,2.4855,1.48993,0.107721,
16610,2.34956,1.3076,0.352281,
16687,2.13598,1.15415,0.562345,
16885,1.74305,0.947707,0.857083,
17051,0.307635,0.119017,2.67706,
17158,1.52885,0.8487,1.00641,
17159,0.882856,0.549394,1.51829,
17186,1.67644,0.916403,0.903595,
17234,2.42995,1.39232,0.238204,
17485,2.15702,1.16709,0.544404,
17503,1.65031,0.904274,0.92178,
17581,2.17749,1.18,0.526549,
17631,0.435813,0.271092,2.17377,
17694,1.08584,0.647582,1.33675,
17933,1.39365,0.787732,1.10207,
18145,1.06054,0.63572,1.35781,
