eventID,energy,recoilAngle,neutronAngle,
0,2.31305,0.49027,2.13975,
1,2.49901,1.50657,0.125296,
2,2.4982,1.48414,0.169062,
3,2.28525,0.331539,2.46264,
4,2.37925,0.782694,1.55092,
6,2.49686,1.45624,0.223514,
7,2.46966,1.20746,0.710188,
8,2.48757,1.34133,0.447979,
9,2.45233,1.10908,0.903573,
10,2.48793,1.3447,0.441392,
11,2.2875,0.346497,2.43213,
12,2.48529,1.32074,0.48825,
13,2.45125,1.10346,0.914636,
14,2.26216,0.0994131,2.93765,
15,2.37807,0.777779,1.56075,
16,2.27183,0.22571,2.67889,
17,2.49176,1.38447,0.363655,
18,2.35244,0.670054,1.77673,
19,2.44,1.04744,1.02511,
20,2.46855,1.20053,0.723783,
21,2.46303,1.16766,0.788348,
22,2.26215,0.0992117,2.93806,
23,2.47316,1.22999,0.665999,
24,2.36611,0.72785,1.66071,
25,2.37086,0.747732,1.62088,
26,2.48451,1.314,0.501435,
27,2.48137,1.28854,0.551275,
28,2.47992,1.27748,0.572925,
29,2.48877,1.35282,0.425522,
30,2.47698,1.25604,0.614917,
31,2.26462,0.142132,2.85006,
32,2.49524,1.42954,0.275622,
33,2.47961,1.27514,0.577517,
34,2.48152,1.28973,0.548947,
35,2.41796,0.946627,1.22455,
36,2.47846,1.26667,0.594108,
37,2.48943,1.35943,0.412596,
38,2.46445,1.17588,0.772198,
39,2.40222,0.878888,1.3591,
40,2.35674,0.688371,1.73993,
41,2.47546,1.24548,0.635629,
42,2.49778,1.4746,0.187675,
43,2.47235,1.22462,0.67652,
44,2.44711,1.08236,0.956206,
45,2.30028,0.423009,2.27633,
47,2.3821,0.794554,1.52722,
49,2.43659,1.03119,1.05719,
51,2.26336,0.122007,2.89132,
54,2.49017,1.36714,0.397533,
55,2.49421,1.4149,0.304214,
57,2.49599,1.44126,0.252754,
58,2.49684,1.4558,0.224373,
59,2.46067,1.15423,0.814735,
60,2.48016,1.27927,0.569413,
62,2.37533,0.766376,1.58356,
63,2.46479,1.17793,0.768174,
64,2.46308,1.16795,0.787762,
65,2.26443,0.139318,2.85583,
66,2.49431,1.41629,0.301498,
67,2.28284,0.314883,2.49663,
68,2.49871,1.49759,0.142816,
69,2.43864,1.04094,1.03793,
70,2.47779,1.2618,0.603646,
71,2.47959,1.27503,0.577719,
74,2.4893,1.3581,0.41519,
75,2.47087,1.21511,0.695184,
76,2.48234,1.29617,0.536329,
77,2.44995,1.09677,0.92782,
79,2.28778,0.348323,2.42841,
80,2.37873,0.780545,1.55522,
84,2.3331,0.585252,1.94758,
85,2.4609,1.1555,0.81224,
87,2.29604,0.398958,2.32525,
88,2.4174,0.944158,1.22945,
89,2.2669,0.172855,2.78711,
90,2.28084,0.3005,2.52599,
92,2.47565,1.24679,0.633052,
93,2.46256,1.16497,0.793635,
94,2.46864,1.20112,0.722638,
95,2.49406,1.41293,0.308075,
97,2.30852,0.467206,2.18654,
98,2.37285,0.756039,1.60424,
99,2.2619,0.0936314,2.9495,
101,2.37938,0.783225,1.54986,
102,2.29119,0.369904,2.38442,
103,2.49451,1.41898,0.296247,
104,2.4871,1.33691,0.45663,
105,2.3643,0.720253,1.67594,
106,2.44012,1.04799,1.02401,
107,2.49297,1.39884,0.335593,
108,2.47496,1.24204,0.642369,
109,2.49122,1.37839,0.37553,
110,2.27917,0.287934,2.55166,
111,2.47115,1.2169,0.691659,
112,2.47232,1.22445,0.676859,
114,2.46806,1.19752,0.729691,
115,2.32157,0.531858,2.05551,
116,2.49788,1.47673,0.183528,
117,2.38743,0.816785,1.48284,
118,2.42385,0.972732,1.17282,
119,2.46631,1.18695,0.750457,
120,2.30302,0.438094,2.24566,
121,2.49257,1.39404,0.344968,
122,2.27244,0.231447,2.66715,
124,2.2754,0.257735,2.61338,
125,2.48011,1.27891,0.570127,
126,2.49979,1.54149,0.0571776,
127,2.45466,1.12134,0.879432,
128,2.49693,1.45742,0.221207,
130,2.42526,0.979027,1.16035,
131,2.34208,0.625241,1.86693,
132,2.26925,0.199699,2.73213,
133,2.48768,1.34231,0.446062,
134,2.48757,1.34129,0.448067,
135,2.48262,1.29848,0.531817,
136,2.26853,0.191797,2.74831,
138,2.45518,1.12414,0.873926,
140,2.27931,0.28902,2.54944,
142,2.2981,0.410764,2.30123,
143,2.45971,1.14885,0.825318,
144,2.28497,0.329692,2.46641,
145,2.49377,1.40909,0.315571,
146,2.47281,1.22768,0.670516,
147,2.49719,1.46244,0.211402,
148,2.4954,1.43189,0.271036,
150,2.49669,1.45314,0.229557,
152,2.26549,0.154609,2.82449,
153,2.45905,1.14514,0.832605,
154,2.48776,1.34309,0.444543,
155,2.35684,0.688795,1.73908,
156,2.47044,1.2124,0.700498,
158,2.46485,1.17825,0.767538,
159,2.30926,0.470984,2.17887,
160,2.48949,1.36004,0.411408,
161,2.39582,0.851888,1.41285,
162,2.49554,1.43417,0.266588,
163,2.32747,0.559522,1.99955,
164,2.46859,1.20078,0.723301,
165,2.44585,1.07604,0.968669,
166,2.38585,0.81017,1.49604,
167,2.26689,0.172637,2.78755,
168,2.47726,1.25807,0.610951,
170,2.2827,0.313945,2.49854,
172,2.49109,1.37696,0.378327,
174,2.32707,0.557648,2.00334,
175,2.47107,1.21641,0.692635,
177,2.48546,1.32217,0.485454,
178,2.48971,1.36228,0.407019,
179,2.41129,0.917637,1.28208,
180,2.47252,1.22575,0.674314,
181,2.28767,0.347571,2.42994,
182,2.45891,1.14438,0.834106,
183,2.34566,0.640837,1.83552,
184,2.45121,1.10325,0.91505,
186,2.26932,0.200444,2.7306,
188,2.34383,0.632888,1.85152,
189,2.48846,1.34983,0.43137,
190,2.48371,1.30731,0.514534,
191,2.41802,0.946897,1.22402,
192,2.34333,0.630688,1.85595,
193,2.45383,1.11694,0.888087,
194,2.48264,1.29863,0.531527,
195,2.47342,1.23165,0.662729,
196,2.49963,1.53147,0.0767232,
197,2.48246,1.29715,0.534416,
198,2.32457,0.546023,2.02685,
199,2.26695,0.173468,2.78585,
200,2.27049,0.212605,2.70571,
201,2.49566,1.43598,0.263056,
202,2.49689,1.45679,0.222434,
203,2.28418,0.324278,2.47745,
204,2.48738,1.33956,0.451444,
205,2.49233,1.39114,0.35062,
206,2.49558,1.4347,0.265549,
207,2.27117,0.219353,2.6919,
209,2.46477,1.1778,0.768411,
211,2.48935,1.35867,0.414089,
212,2.264,0.132705,2.86939,
213,2.4921,1.38841,0.355964,
214,2.48857,1.35094,0.429198,
215,2.26926,0.199846,2.73183,
216,2.47039,1.21207,0.701139,
217,2.49928,1.51586,0.107167,
219,2.47507,1.24278,0.640906,
220,2.27434,0.248582,2.6321,
222,2.49295,1.39858,0.336089,
223,2.33755,0.605225,1.90728,
224,2.3721,0.752887,1.61055,
225,2.45575,1.12717,0.867965,
226,2.28594,0.33623,2.45307,
227,2.4578,1.13827,0.846126,
228,2.46961,1.20713,0.710837,
230,2.47275,1.22726,0.671347,
231,2.48813,1.34664,0.437589,
232,2.26154,0.0851751,2.96685,
233,2.49677,1.45464,0.22664,
234,2.49373,1.40852,0.316674,
236,2.43278,1.01337,1.09241,
237,2.34468,0.636602,1.84404,
238,2.28755,0.346805,2.4315,
239,2.29346,0.383681,2.35636,
240,2.4669,1.19048,0.743521,
241,2.28316,0.31719,2.49192,
242,2.47815,1.26445,0.598456,
243,2.28912,0.356932,2.41085,
244,2.46654,1.18831,0.747781,
245,2.47144,1.21877,0.687996,
