eventID,energy,recoilAngle,neutronAngle,
0,2.27725,1.26749,0.302794,
1,1.03139,0.697174,0.87247,
2,1.41818,0.852543,0.71723,
3,2.47366,1.46789,0.102725,
4,0.360532,0.389296,1.18002,
5,1.93039,1.0729,0.497107,
6,0.904187,0.644925,0.924679,
7,2.05314,1.13403,0.436062,
8,0.984627,0.67811,0.89152,
9,0.862955,0.627677,0.941914,
10,1.70242,0.970262,0.59963,
11,1.51317,0.891134,0.678676,
12,1.66924,0.956093,0.613783,
13,0.046864,0.137255,1.43035,
14,1.00662,0.687095,0.882542,
15,1.68926,0.964623,0.605262,
16,1.58257,0.919725,0.650113,
17,1.21115,0.769522,0.80018,
18,1.26834,0.792401,0.77732,
19,0.600732,0.512031,1.05746,
20,2.15783,1.19161,0.378566,
21,2.05729,1.1362,0.433897,
22,1.31747,0.812067,0.757671,
23,2.25331,1.25106,0.3192,
24,0.512898,0.469797,1.09964,
25,0.664477,0.541354,1.02816,
26,0.778079,0.591523,0.978038,
27,1.36741,0.832099,0.737656,
28,0.733643,0.572175,0.997369,
29,1.45476,0.867345,0.702442,
30,2.32209,1.30059,0.269752,
31,0.351764,0.384281,1.18502,
32,0.184876,0.275232,1.29374,
33,2.30303,1.2861,0.284215,
34,0.283906,0.343507,1.2257,
35,0.0457428,0.135593,1.43197,
36,0.975394,0.674328,0.895299,
37,1.78356,1.0056,0.564331,
38,0.135055,0.234421,1.33433,
39,2.02153,1.11774,0.452328,
40,0.320188,0.36577,1.2035,
41,0.272732,0.336405,1.23279,
42,0.694906,0.555029,1.0145,
43,0.562721,0.494044,1.07542,
44,2.43376,1.40718,0.163329,
45,2.19001,1.21073,0.359472,
46,0.737236,0.573752,0.995794,
47,1.97301,1.09352,0.476522,
48,1.07645,0.715423,0.854236,
49,0.828632,0.61317,0.956408,
50,0.0649789,0.161819,1.40622,
51,1.69693,0.967905,0.601983,
52,0.0712967,0.169577,1.39857,
53,1.98978,1.10179,0.468257,
54,1.8439,1.03265,0.537309,
55,2.05317,1.13404,0.43605,
56,0.564423,0.494858,1.07461,
57,1.85614,1.03824,0.531732,
58,0.256879,0.326107,1.24306,
59,2.35946,1.33126,0.239125,
60,0.303431,0.355631,1.21361,
61,1.24663,0.783716,0.785998,
62,0.480668,0.453648,1.11577,
63,0.46129,0.44374,1.12566,
64,1.79237,1.00951,0.56043,
65,0.233807,0.3106,1.25851,
66,2.15733,1.19131,0.378861,
67,0.801381,0.601546,0.968024,
68,0.408066,0.415653,1.15371,
69,0.576311,0.500522,1.06895,
70,0.835888,0.616249,0.953332,
71,0.183753,0.274373,1.2946,
72,1.43338,0.858688,0.711091,
73,2.38977,1.3591,0.211331,
74,0.449447,0.437606,1.13179,
75,1.70909,0.973125,0.59677,
76,1.00941,0.688231,0.881406,
77,2.37509,1.34522,0.225187,
78,0.613962,0.518199,1.0513,
79,1.72712,0.980905,0.588998,
80,1.62059,0.935579,0.634276,
81,2.08925,1.1532,0.416918,
82,0.0815478,0.181486,1.38681,
83,0.66795,0.542925,1.02659,
84,0.550701,0.488268,1.08119,
85,1.77216,1.00057,0.569358,
86,1.86534,1.04246,0.527518,
87,1.49361,0.883143,0.686659,
88,0.67738,0.547177,1.02235,
89,0.465692,0.446004,1.1234,
90,1.94594,1.08036,0.489666,
91,0.957095,0.666813,0.902808,
92,2.13336,1.17756,0.392589,
93,0.313541,0.361776,1.20748,
94,1.902,1.05948,0.510517,
95,0.658588,0.538685,1.03083,
96,1.54829,0.905551,0.664273,
97,0.944165,0.661487,0.90813,
98,1.19699,0.763857,0.805841,
99,0.94582,0.66217,0.907448,
100,2.45256,1.43251,0.138047,
101,0.599897,0.51164,1.05785,
102,2.42113,1.39211,0.178376,
103,0.380801,0.400699,1.16864,
104,0.166607,0.260943,1.30796,
105,0.766773,0.58663,0.982927,
106,0.318056,0.364493,1.20477,
107,2.25955,1.25527,0.314994,
108,0.0969644,0.198108,1.37036,
109,1.03966,0.700532,0.869116,
110,1.66251,0.95324,0.616633,
111,1.89364,1.05556,0.514426,
112,1.32858,0.816518,0.753224,
113,1.54061,0.902393,0.667428,
114,0.989465,0.680089,0.889542,
115,2.43235,1.40543,0.165079,
116,1.81861,1.02123,0.548723,
117,2.41765,1.38817,0.182312,
118,0.00818557,0.0572126,1.50624,
119,2.00457,1.10917,0.460889,
120,0.975664,0.674438,0.895189,
121,0.554714,0.490201,1.07926,
122,0.969385,0.671863,0.897762,
123,2.48135,1.48425,0.0863932,
124,0.844723,0.619989,0.949595,
125,0.591637,0.507764,1.06172,
126,1.44161,0.862017,0.707765,
127,2.34137,1.31599,0.254372,
128,1.78658,1.00694,0.562994,
129,2.42232,1.39348,0.177006,
130,0.451088,0.438459,1.13094,
131,1.78701,1.00713,0.562805,
132,1.01464,0.69036,0.879279,
133,0.72537,0.568537,1.001,
134,1.80148,1.01356,0.55638,
135,1.59537,0.925045,0.644798,
136,1.51723,0.892795,0.677016,
137,0.331208,0.372314,1.19697,
