eventID,energy,
0,2.31305,
1,2.49901,
2,2.4982,
3,2.28525,
4,2.37925,
6,2.49686,
7,2.46966,
8,2.48757,
9,2.45233,
10,2.48793,
11,2.2875,
12,2.48529,
13,2.45125,
14,2.26216,
15,2.37807,
16,2.27183,
17,2.49176,
18,2.35244,
19,2.44,
20,2.46855,
21,2.46303,
22,2.26215,
23,2.47316,
24,2.36611,
25,2.37086,
26,2.48451,
27,2.48137,
28,2.47992,
29,2.48877,
30,2.47698,
31,2.26462,
32,2.49524,
33,2.47961,
34,2.48152,
35,2.41796,
36,2.47846,
37,2.48943,
38,2.46445,
39,2.40222,
40,2.35674,
41,2.47546,
42,2.49778,
43,2.47235,
44,2.44711,
45,2.30028,
47,2.3821,
49,2.43659,
51,2.26336,
54,2.49017,
55,2.49421,
57,2.49599,
58,2.49684,
59,2.46067,
60,2.48016,
62,2.37533,
63,2.46479,
64,2.46308,
65,2.26443,
66,2.49431,
67,2.28284,
68,2.49871,
69,2.43864,
70,2.47779,
71,2.47959,
74,2.4893,
75,2.47087,
76,2.48234,
77,2.44995,
79,2.28778,
80,2.37873,
84,2.3331,
85,2.4609,
87,2.29604,
88,2.4174,
89,2.2669,
90,2.28084,
92,2.47565,
93,2.46256,
94,2.46864,
95,2.49406,
97,2.30852,
98,2.37285,
99,2.2619,
101,2.37938,
102,2.29119,
103,2.49451,
104,2.4871,
105,2.3643,
106,2.44012,
107,2.49297,
108,2.47496,
109,2.49122,
110,2.27917,
111,2.47115,
112,2.47232,
114,2.46806,
115,2.32157,
116,2.49788,
117,2.38743,
118,2.42385,
119,2.46631,
120,2.30302,
121,2.49257,
122,2.27244,
124,2.2754,
125,2.48011,
126,2.49979,
127,2.45466,
128,2.49693,
130,2.42526,
131,2.34208,
132,2.26925,
133,2.48768,
134,2.48757,
135,2.48262,
136,2.26853,
138,2.45518,
140,2.27931,
142,2.2981,
143,2.45971,
144,2.28497,
145,2.49377,
146,2.47281,
147,2.49719,
148,2.4954,
150,2.49669,
152,2.26549,
153,2.45905,
154,2.48776,
155,2.35684,
156,2.47044,
158,2.46485,
159,2.30926,
160,2.48949,
161,2.39582,
162,2.49554,
163,2.32747,
164,2.46859,
165,2.44585,
166,2.38585,
167,2.26689,
168,2.47726,
170,2.2827,
172,2.49109,
174,2.32707,
175,2.47107,
177,2.48546,
178,2.48971,
179,2.41129,
180,2.47252,
181,2.28767,
182,2.45891,
183,2.34566,
184,2.45121,
186,2.26932,
188,2.34383,
189,2.48846,
190,2.48371,
191,2.41802,
192,2.34333,
193,2.45383,
194,2.48264,
195,2.47342,
196,2.49963,
197,2.48246,
198,2.32457,
199,2.26695,
200,2.27049,
201,2.49566,
202,2.49689,
203,2.28418,
204,2.48738,
205,2.49233,
206,2.49558,
207,2.27117,
209,2.46477,
211,2.48935,
212,2.264,
213,2.4921,
214,2.48857,
215,2.26926,
216,2.47039,
217,2.49928,
219,2.47507,
220,2.27434,
222,2.49295,
223,2.33755,
224,2.3721,
225,2.45575,
226,2.28594,
227,2.4578,
228,2.46961,
230,2.47275,
231,2.48813,
232,2.26154,
233,2.49677,
234,2.49373,
236,2.43278,
237,2.34468,
238,2.28755,
239,2.29346,
240,2.4669,
241,2.28316,
242,2.47815,
243,2.28912,
244,2.46654,
245,2.47144,
247,2.49698,
248,2.49381,
249,2.49721,
250,2.26341,
251,2.32785,
252,2.45982,
253,2.29435,
254,2.46501,
255,2.49639,
256,2.4747,
257,2.48357,
258,2.32632,
259,2.32165,
260,2.39282,
261,2.32348,
263,2.35197,
264,2.46611,
265,2.47442,
266,2.4838,
267,2.28941,
268,2.4582,
269,2.49372,
270,2.32574,
271,2.26307,
273,2.3322,
274,2.46538,
275,2.37612,
276,2.47158,
277,2.49431,
279,2.48531,
280,2.46819,
281,2.26781,
282,2.49961,
283,2.4993,
284,2.49781,
285,2.49979,
286,2.31744,
287,2.45826,
288,2.29084,
289,2.41562,
290,2.32863,
291,2.32114,
293,2.49471,
297,2.49254,
300,2.48574,
302,2.39191,
303,2.47407,
304,2.43524,
305,2.48701,
306,2.47564,
307,2.47791,
308,2.46025,
309,2.49539,
310,2.28872,
311,2.35302,
312,2.30253,
313,2.49257,
316,2.32013,
317,2.4932,
318,2.48871,
319,2.49086,
320,2.46424,
321,2.26802,
323,2.49851,
324,2.37068,
325,2.49102,
326,2.49341,
327,2.4525,
329,2.48025,
331,2.44547,
332,2.47756,
333,2.47399,
334,2.49022,
335,2.4589,
336,2.42429,
337,2.48475,
338,2.49583,
339,2.43155,
341,2.49474,
342,2.44304,
343,2.35648,
344,2.48713,
345,2.33859,
346,2.49537,
347,2.4182,
348,2.49753,
349,2.4716,
350,2.41133,
351,2.47666,
352,2.42078,
353,2.49148,
354,2.40458,
355,2.46861,
356,2.4571,
357,2.31437,
358,2.45835,
359,2.49984,
360,2.35683,
361,2.47556,
362,2.26166,
366,2.3421,
367,2.49193,
368,2.27583,
369,2.31458,
370,2.4971,
371,2.35791,
372,2.47472,
373,2.3401,
374,2.43161,
375,2.45575,
376,2.34962,
377,2.47008,
378,2.36839,
379,2.4127,
381,2.49737,
382,2.49798,
383,2.46698,
384,2.45268,
385,2.30798,
386,2.27685,
387,2.3781,
388,2.49185,
389,2.4645,
390,2.32047,
391,2.28393,
392,2.36375,
395,2.49342,
396,2.30213,
397,2.47685,
398,2.36634,
399,2.45571,
400,2.27369,
403,2.35467,
404,2.28382,
405,2.45404,
406,2.49077,
407,2.41282,
409,2.48253,
410,2.40546,
412,2.46049,
414,2.49532,
415,2.46702,
416,2.32526,
417,2.38686,
418,2.4975,
420,2.4895,
421,2.45771,
422,2.47908,
423,2.4977,
424,2.47948,
425,2.49177,
426,2.33117,
427,2.29788,
430,2.26981,
431,2.49338,
432,2.49162,
433,2.48556,
434,2.48757,
435,2.45941,
436,2.48718,
437,2.2628,
440,2.46601,
441,2.44842,
442,2.48244,
443,2.45393,
444,2.49775,
445,2.45196,
446,2.29878,
447,2.27949,
448,2.45635,
450,2.37982,
451,2.48077,
452,2.27781,
453,2.49689,
458,2.48422,
459,2.30333,
461,2.4846,
462,2.40482,
463,2.4195,
464,2.27188,
465,2.49977,
466,2.4644,
467,2.27872,
468,2.42861,
469,2.49347,
470,2.27406,
471,2.27021,
473,2.30027,
474,2.48413,
475,2.47912,
477,2.488,
478,2.31547,
480,2.43954,
481,2.29504,
483,2.49921,
484,2.48643,
485,2.4801,
486,2.49504,
487,2.46235,
488,2.47945,
489,2.49496,
491,2.49343,
492,2.40079,
494,2.49746,
497,2.32501,
498,2.48284,
499,2.35583,
500,2.32722,
501,2.49258,
502,2.2865,
503,2.47061,
504,2.34849,
505,2.48419,
506,2.45426,
507,2.49285,
508,2.43959,
509,2.26242,
510,2.4981,
511,2.49614,
512,2.37619,
513,2.38748,
514,2.48944,
515,2.49964,
516,2.37204,
517,2.49689,
518,2.26569,
519,2.45486,
520,2.43236,
522,2.49682,
523,2.32434,
524,2.35839,
525,2.48241,
526,2.49988,
527,2.46233,
528,2.46931,
529,2.49155,
530,2.46466,
531,2.47086,
532,2.47977,
534,2.47048,
535,2.35451,
536,2.49574,
537,2.41904,
538,2.26917,
539,2.49679,
540,2.30204,
541,2.48614,
542,2.4951,
543,2.2838,
544,2.46877,
546,2.26646,
547,2.49073,
548,2.49071,
551,2.26203,
552,2.40862,
553,2.47002,
554,2.38633,
556,2.48845,
557,2.28081,
558,2.45308,
559,2.48898,
560,2.48617,
561,2.4902,
562,2.38174,
563,2.49749,
564,2.47124,
565,2.27676,
566,2.4117,
567,2.49463,
568,2.31594,
569,2.44259,
570,2.44962,
572,2.4022,
573,2.44909,
574,2.47185,
575,2.26702,
576,2.47602,
577,2.47605,
578,2.48067,
579,2.48886,
580,2.49998,
581,2.49616,
582,2.49844,
583,2.49115,
584,2.46202,
585,2.42254,
586,2.47524,
587,2.49489,
588,2.29036,
589,2.48935,
591,2.41949,
592,2.482,
593,2.44578,
594,2.49449,
595,2.32167,
596,2.26623,
597,2.41773,
599,2.48545,
600,2.48594,
601,2.49485,
602,2.41651,
603,2.39546,
604,2.29995,
605,2.46407,
606,2.26202,
607,2.49308,
609,2.33098,
611,2.28006,
612,2.44449,
613,2.49086,
614,2.43899,
616,2.3681,
617,2.35483,
618,2.44717,
619,2.49415,
620,2.32316,
622,2.43267,
624,2.48168,
625,2.30099,
626,2.29853,
627,2.2657,
628,2.4967,
629,2.27208,
630,2.37583,
631,2.47933,
632,2.26924,
633,2.48381,
634,2.25981,
635,2.48938,
636,2.3854,
638,2.43989,
639,2.27308,
641,2.46544,
642,2.27791,
643,2.49091,
644,2.28954,
645,2.28863,
646,2.49348,
648,2.4877,
649,2.30231,
650,2.4022,
651,2.34396,
652,2.49296,
653,2.39486,
654,2.49421,
656,2.49908,
658,2.46974,
660,2.30052,
661,2.47411,
662,2.29186,
663,2.35725,
664,2.31951,
665,2.30902,
666,2.27174,
667,2.27362,
669,2.28909,
670,2.26156,
672,2.45474,
673,2.47831,
674,2.47428,
675,2.49388,
676,2.44229,
677,2.3927,
678,2.43973,
679,2.33507,
680,2.48952,
681,2.49998,
682,2.48501,
683,2.48646,
685,2.49699,
686,2.49514,
688,2.2642,
690,2.43554,
692,2.48777,
693,2.49827,
694,2.48505,
695,2.49966,
696,2.48273,
697,2.48496,
698,2.46117,
699,2.48671,
700,2.48611,
701,2.29738,
702,2.38109,
704,2.48891,
705,2.33865,
706,2.48726,
708,2.47183,
709,2.34312,
710,2.40124,
711,2.48376,
712,2.28633,
713,2.43536,
714,2.48204,
715,2.49814,
716,2.47561,
717,2.49359,
720,2.49686,
721,2.49347,
722,2.37783,
723,2.45165,
724,2.4988,
725,2.35072,
726,2.48619,
727,2.26781,
728,2.47845,
729,2.44256,
730,2.47469,
731,2.43594,
732,2.35092,
733,2.48238,
734,2.48359,
735,2.27965,
736,2.47779,
738,2.46312,
739,2.27361,
740,2.32522,
741,2.28222,
742,2.27488,
743,2.48627,
744,2.28646,
745,2.26457,
746,2.46844,
747,2.42337,
749,2.43915,
750,2.48993,
752,2.48745,
754,2.29753,
755,2.48069,
756,2.49905,
757,2.44284,
759,2.48437,
760,2.45457,
761,2.45068,
762,2.47301,
763,2.4948,
764,2.45615,
765,2.49727,
766,2.3598,
767,2.47677,
768,2.47588,
769,2.28072,
771,2.49423,
773,2.49134,
774,2.27186,
775,2.47789,
776,2.37482,
777,2.3497,
778,2.2976,
779,2.4771,
780,2.26014,
781,2.47855,
782,2.26248,
783,2.47523,
784,2.26099,
785,2.48466,
786,2.45126,
787,2.44935,
788,2.49903,
789,2.48743,
790,2.49298,
791,2.48919,
793,2.49678,
794,2.34644,
795,2.30189,
796,2.47761,
797,2.45138,
798,2.44302,
799,2.26007,
800,2.40515,
801,2.30211,
802,2.47698,
804,2.4787,
805,2.46933,
806,2.45327,
807,2.44052,
808,2.48949,
809,2.26149,
811,2.4552,
812,2.48382,
813,2.46543,
815,2.33486,
818,2.32412,
819,2.44165,
820,2.45288,
822,2.47949,
823,2.27384,
824,2.48229,
825,2.32149,
827,2.41574,
828,2.44511,
831,2.49504,
833,2.46236,
834,2.44239,
836,2.49426,
838,2.46134,
839,2.37306,
840,2.45386,
841,2.4836,
842,2.45989,
843,2.36024,
844,2.48355,
845,2.48973,
847,2.3406,
848,2.44579,
849,2.28132,
850,2.347,
851,2.47289,
852,2.49832,
853,2.48671,
854,2.45756,
855,2.31514,
856,2.33038,
857,2.49898,
858,2.2613,
859,2.44967,
