neutronNum,protonNum,sumStepLengths,numInteractions,numElastic,primary,
0,0,20.7872,1,1,1,
0,0,3.25159,2,1,1,
0,0,8.15756,0,0,0,
0,0,54.7791,4,4,1,
0,0,7.13179,1,0,1,
0,0,60.1132,4,4,0,
0,0,5.9714,2,2,1,
0,0,7.07261,1,1,1,
0,0,25.2239,5,4,1,
0,0,22.0372,1,1,0,
0,0,51.8345,4,4,1,
0,0,80.3933,9,9,1,
0,0,16.9972,3,3,1,
0,0,3.91848,1,0,1,
0,0,15.3929,1,1,0,
0,0,11.5722,2,2,1,
0,0,50,0,0,1,
0,0,33.2069,3,2,1,
0,0,78.2458,7,7,0,
0,0,19.6382,1,0,1,
0,0,37.3401,0,0,0,
0,0,34.7556,4,3,1,
0,0,0.841358,0,0,0,
0,0,26.815,2,2,1,
0,0,95.1502,7,6,1,
0,0,19.0936,0,0,0,
0,0,50.3451,3,2,1,
0,0,30.2845,0,0,0,
0,0,48.0508,6,6,1,
0,0,8.99737,1,1,1,
0,0,68.0318,4,4,1,
0,0,41.3279,3,2,1,
0,0,0.433372,0,0,0,
0,0,50,0,0,1,
0,0,12.2466,3,2,1,
0,0,41.0662,1,1,0,
0,0,21.7834,3,3,1,
0,0,22.4282,3,2,1,
0,0,44.4841,1,1,0,
0,0,6.65826,1,1,1,
0,0,105.661,9,9,1,
0,0,23.6345,2,2,1,
0,0,2.45122,1,0,1,
0,0,24.1412,0,0,0,
0,0,58.5389,3,3,1,
0,0,81.5005,7,7,1,
0,0,28.9769,1,0,1,
0,0,46.6918,4,4,0,
0,0,5.34626,1,1,1,
0,0,40.3288,4,4,1,
0,0,79.6481,8,8,1,
0,0,3.16638,2,1,1,
0,0,27.0864,1,1,0,
0,0,38.73,2,2,1,
0,0,55.7906,4,4,1,
0,0,2.43609,1,1,1,
0,0,46.2682,9,8,1,
0,0,36.3261,2,2,0,
0,0,35.3933,2,1,1,
0,0,26.7152,0,0,0,
0,0,0.53972,1,0,1,
0,0,0.794072,0,0,0,
0,0,47.6937,5,4,1,
0,0,5.18379,0,0,0,
0,0,2.94514,1,0,1,
0,0,66.5723,5,5,0,
0,0,33.3396,3,3,1,
0,0,98.5219,8,8,1,
0,0,41.7297,3,3,1,
0,0,52.3644,1,1,1,
0,0,82.8627,7,7,1,
0,0,83.7243,6,6,1,
0,0,45.2256,4,4,1,
0,0,44.5596,5,4,1,
0,0,20.6774,0,0,0,
0,0,29.9518,1,1,1,
0,0,20.6149,3,2,1,
0,0,33.8803,0,0,0,
0,0,61.1525,8,7,1,
0,0,30.073,0,0,0,
0,0,60.9248,6,5,1,
0,0,32.5356,5,5,0,
0,0,3.5523,1,0,1,
0,0,5.41858,0,0,0,
0,0,51.8814,6,5,1,
0,0,18.7842,0,0,0,
0,0,38.5806,3,2,1,
0,0,26.2127,0,0,0,
0,0,23.9592,2,2,1,
0,0,31.0923,1,1,1,
0,0,20.1583,2,1,1,
0,0,35.4043,1,1,0,
0,0,12.3013,2,2,1,
0,0,7.17386,1,1,1,
0,0,52.3451,6,6,1,
0,0,12.3437,1,0,1,
0,0,26.1918,1,1,0,
0,0,33.3455,2,1,1,
0,0,43.4223,1,1,0,
0,0,5.5351,1,0,1,
0,0,12.5222,3,3,0,
0,0,2.24345,1,1,1,
0,0,32.4123,3,3,1,
0,0,4.89172,1,1,1,
0,0,39.0097,2,2,1,
0,0,54.0231,2,2,1,
0,0,46.4163,5,4,1,
0,0,6.98986,0,0,0,
0,0,9.49229,1,0,1,
0,0,77.7103,5,5,0,
0,0,27.1029,3,2,1,
0,0,31.5349,0,0,0,
0,0,16.5009,2,1,1,
0,0,22.3072,0,0,0,
0,0,103.967,11,11,1,
0,0,4.82778,2,2,1,
0,0,2.73185,1,1,1,
0,0,61.5706,1,1,1,
0,0,35.7689,3,2,1,
0,0,5.71768,0,0,0,
0,0,22.4574,1,1,1,
0,0,37.1523,7,6,1,
0,0,13.7031,0,0,0,
0,0,51.9475,2,2,1,
0,0,21.5713,3,3,1,
0,0,34.6078,4,4,1,
0,0,66.6934,4,4,1,
0,0,66.8266,8,8,1,
0,0,62.423,3,2,1,
0,0,4.57995,0,0,0,
0,0,0.830033,1,1,1,
0,0,4.92264,1,1,1,
0,0,74.0611,6,6,1,
0,0,75.5123,8,8,1,
0,0,16.9994,1,0,1,
0,0,64.2322,7,7,0,
0,0,62.5735,4,4,1,
0,0,26.8202,1,1,1,
0,0,24.037,3,2,1,
0,0,29.6232,2,2,0,
0,0,8.51204,1,0,1,
0,0,29.0333,0,0,0,
0,0,54.2765,4,4,1,
0,0,51.808,1,1,1,
0,0,13.4883,3,2,1,
0,0,64.086,2,2,0,
0,0,26.589,2,1,1,
0,0,33.8314,2,2,0,
0,0,41.9276,2,2,1,
0,0,22.7977,2,1,1,
0,0,32.3188,4,4,0,
0,0,3.10624,1,1,1,
0,0,37.3143,4,4,1,
0,0,22.3409,2,2,1,
0,0,38.261,3,2,1,
0,0,43.7396,4,4,0,
0,0,7.10987,3,2,1,
0,0,23.7027,1,1,0,
0,0,21.9564,3,2,1,
0,0,6.92036,1,1,0,
0,0,52.2027,3,3,1,
0,0,55.7118,2,2,1,
0,0,22.3258,2,1,1,
0,0,62.5525,2,2,0,
0,0,55.0936,5,5,1,
0,0,35.8704,4,3,1,
0,0,9.81624,0,0,0,
0,0,14.5958,2,1,1,
0,0,15.328,0,0,0,
0,0,12.2565,2,1,1,
0,0,37.2044,0,0,0,
0,0,8.54385,1,0,1,
0,0,25.9062,1,1,0,
0,0,13.3891,5,4,1,
0,0,7.38807,2,1,1,
0,0,24.7697,0,0,0,
0,0,28.487,1,0,1,
0,0,34.8339,0,0,0,
0,0,10.1129,3,2,1,
0,0,27.9743,0,0,0,
0,0,12.5768,1,1,1,
0,0,10.8143,1,1,1,
0,0,59.7642,6,5,1,
0,0,21.5904,0,0,0,
0,0,29.239,1,0,1,
0,0,37.1162,0,0,0,
0,0,14.6527,2,1,1,
0,0,29.6847,0,0,0,
0,0,62.5015,1,1,1,
0,0,44.7639,2,1,1,
0,0,33.6518,1,1,0,
0,0,52.081,3,2,1,
0,0,17.7427,1,1,0,
0,0,100.843,14,14,1,
0,0,38.9819,3,2,1,
0,0,28.8326,2,2,0,
0,0,50.9459,3,3,1,
0,0,56.1884,5,4,1,
0,0,47.1459,2,2,0,
0,0,27.7819,2,1,1,
0,0,39.4349,3,3,0,
0,0,75.5575,4,4,1,
0,0,10.5927,1,1,1,
0,0,12.9764,1,0,1,
0,0,46.794,1,1,0,
0,0,23.0907,2,1,1,
0,0,33.4467,0,0,0,
0,0,71.4858,8,7,1,
0,0,22.853,1,1,0,
0,0,33.2828,3,3,1,
0,0,46.9561,1,1,1,
0,0,34.3267,1,0,1,
0,0,25.9426,0,0,0,
0,0,12.926,5,5,1,
0,0,60.9229,3,3,1,
0,0,1.33228,2,1,1,
0,0,1.46222,0,0,0,
0,0,5.93648,1,0,1,
0,0,25.086,1,1,0,
0,0,93.939,7,7,1,
0,0,41.2166,4,3,1,
0,0,18.0884,1,1,0,
0,0,9.70291,4,3,1,
0,0,8.55371,0,0,0,
0,0,41.5946,5,4,1,
0,0,20.9548,0,0,0,
0,0,76.2999,1,1,1,
0,0,36.3756,2,1,1,
0,0,50.9481,1,1,0,
0,0,73.0665,3,3,1,
0,0,43.8826,2,2,1,
0,0,1.93562,1,0,1,
0,0,4.94701,0,0,0,
0,0,63.0493,4,3,1,
0,0,50.0605,1,1,0,
0,0,29.1539,3,2,1,
0,0,81.4549,6,6,0,
0,0,21.4607,2,2,1,
0,0,83.9147,9,9,1,
0,0,51.6665,1,1,1,
0,0,21.8426,2,2,1,
0,0,8.26816,1,0,1,
0,0,16.4582,0,0,0,
0,0,24.5583,1,0,1,
0,0,61.1885,5,5,0,
0,0,50.1922,1,1,1,
0,0,16.5283,2,1,1,
0,0,41.1446,2,2,0,
0,0,2.75383,1,1,1,
0,0,42.7966,2,1,1,
0,0,33.8386,2,2,0,
0,0,49.2903,3,3,1,
0,0,32.6055,3,3,1,
0,0,51.0666,1,1,1,
0,0,56.5121,2,2,1,
0,0,40.6978,3,2,1,
0,0,13.2385,0,0,0,
0,0,118.379,10,10,1,
0,0,3.23454,1,0,1,
0,0,3.3828,0,0,0,
0,0,35.8757,2,2,1,
0,0,45.7119,4,4,1,
0,0,41.6683,3,2,1,
0,0,57.8471,3,3,0,
0,0,44.2307,4,4,1,
0,0,41.0833,6,5,1,
0,0,16.4728,1,1,0,
0,0,40.1072,1,0,1,
0,0,29.1708,0,0,0,
0,0,24.9906,4,3,1,
0,0,15.8915,0,0,0,
0,0,4.6872,1,1,1,
0,0,52.3588,1,1,1,
0,0,28.3966,2,2,1,
