neutronNum,protonNum,sumStepLengths,numInteractions,numElastic,primary,
0,0,20.7872,1,1,1,
0,0,3.25159,2,1,1,
0,0,8.15756,0,0,0,
0,0,130.231,8,8,1,
0,0,25.6971,1,1,1,
0,0,107.95,8,8,1,
0,0,51.3491,1,0,1,
0,0,105.45,7,7,0,
0,0,36.2686,7,6,1,
0,0,155.119,7,7,0,
0,0,21.4711,2,1,1,
0,0,38.1167,2,2,0,
0,0,4.03345,1,0,1,
0,0,50.7922,3,3,0,
0,0,145.732,9,9,1,
0,0,34.7153,2,1,1,
0,0,174.021,7,7,0,
0,0,87.5835,4,3,1,
0,0,74.1975,1,1,0,
0,0,73.809,5,4,1,
0,0,22.0036,2,2,0,
0,0,8.00607,2,1,1,
0,0,108.149,2,2,0,
0,0,7.36095,1,0,1,
0,0,33.0799,4,4,0,
0,0,15.4092,1,0,1,
0,0,66.7724,6,6,0,
0,0,1.73056,1,0,1,
0,0,3.28806,0,0,0,
0,0,1.94081,1,0,1,
0,0,173.922,3,3,0,
0,0,41.132,4,3,1,
0,0,80.895,4,4,0,
0,0,36.5783,3,3,1,
0,0,36.6519,2,1,1,
0,0,122.906,1,1,0,
0,0,80.5826,5,4,1,
0,0,27.3116,1,1,0,
0,0,159.739,10,9,1,
0,0,10.136,0,0,0,
0,0,35.5366,5,5,1,
0,0,22.1263,3,3,1,
0,0,194.651,13,12,1,
0,0,108.706,3,3,0,
0,0,5.47145,2,1,1,
0,0,147.324,1,1,0,
0,0,15.0493,3,3,1,
0,0,26.4995,3,2,1,
0,0,128.983,3,3,0,
0,0,81.8908,8,7,1,
0,0,54.5145,1,1,0,
0,0,94.0184,6,6,1,
0,0,96.1063,7,6,1,
0,0,63.7836,1,1,0,
0,0,33.5657,1,1,1,
0,0,41.7777,1,0,1,
0,0,351.952,10,10,0,
0,0,34.0675,8,7,1,
0,0,59.684,1,1,0,
0,0,63.5262,3,2,1,
0,0,707.778,29,29,0,
0,0,17.1835,1,0,1,
0,0,38.4731,1,1,0,
0,0,41.0688,2,1,1,
0,0,59.0866,3,3,0,
0,0,16.9773,2,2,1,
0,0,4.26055,1,1,1,
0,0,127.306,11,10,1,
0,0,67.4344,1,1,0,
0,0,44.2755,2,2,1,
0,0,14.5227,2,2,1,
0,0,87.4723,10,9,1,
0,0,8.14872,0,0,0,
0,0,56.2179,4,4,1,
0,0,8.66751,1,1,1,
0,0,20.3606,3,3,1,
0,0,344.396,17,17,1,
0,0,3.02422,1,1,1,
0,0,0.0632587,1,0,1,
0,0,108.708,0,0,0,
0,0,22.3294,2,1,1,
0,0,69.8628,1,1,0,
0,0,50.3958,6,5,1,
0,0,103.395,4,4,0,
0,0,23.0101,3,3,1,
0,0,5.47698,1,1,1,
0,0,7.81686,1,1,1,
0,0,0.804052,1,0,1,
0,0,36.0528,2,2,0,
0,0,275.765,19,19,1,
0,0,46.1107,5,5,1,
0,0,7.45036,2,1,1,
0,0,5.98274,1,1,0,
0,0,362.584,26,26,1,
0,0,51.0453,6,5,1,
0,0,110.047,1,1,0,
0,0,47.5289,7,6,1,
0,0,120.019,8,8,0,
0,0,55.3381,7,6,1,
0,0,25.3575,1,1,0,
0,0,215.407,8,8,1,
0,0,26.9115,2,2,1,
0,0,4.41196,1,1,1,
0,0,44.7146,2,1,1,
0,0,99.0592,1,1,0,
0,0,13.2476,1,0,1,
0,0,160.216,3,3,0,
0,0,69.5673,7,6,1,
0,0,139.986,5,5,0,
0,0,403.365,17,17,1,
0,0,131.385,7,7,1,
0,0,6.07224,1,1,1,
0,0,13.4177,2,1,1,
0,0,449.392,18,18,0,
0,0,16.9801,1,0,1,
0,0,334.02,12,12,0,
0,0,18.8165,1,1,1,
0,0,3.88191,1,0,1,
0,0,10.4484,1,1,0,
0,0,19.3267,3,2,1,
0,0,1.53361,1,1,0,
0,0,8.73926,1,0,1,
0,0,10.9551,2,2,0,
0,0,15.0632,2,2,1,
0,0,1.92629,1,1,1,
0,0,91.1382,6,5,1,
0,0,120.99,4,4,0,
0,0,14.6243,2,1,1,
0,0,19.93,0,0,0,
0,0,15.8006,1,1,1,
0,0,4.07837,1,0,1,
0,0,19.1747,0,0,0,
0,0,126.185,6,6,1,
0,0,549.215,36,36,1,
0,0,18.3037,1,1,1,
0,0,16.5809,2,1,1,
0,0,303.54,13,13,0,
0,0,1.56308,1,1,1,
0,0,33.278,2,1,1,
0,0,213.494,7,7,0,
0,0,31.6591,3,3,1,
0,0,35.6139,5,4,1,
0,0,51.1118,1,1,0,
0,0,174.501,9,9,1,
0,0,105.35,9,8,1,
0,0,116.664,4,4,0,
0,0,323.585,15,15,1,
0,0,5.21791,1,1,1,
0,0,32.4494,3,2,1,
0,0,26.725,1,1,0,
0,0,39.4195,4,3,1,
0,0,30.6323,0,0,0,
0,0,102.036,10,9,1,
0,0,90.6482,1,1,0,
0,0,429.083,27,27,1,
0,0,22.2276,1,1,1,
0,0,14.8452,2,1,1,
0,0,475.568,17,17,0,
0,0,17.6239,1,0,1,
0,0,31.5718,3,3,0,
0,0,14.2142,3,3,1,
0,0,170.244,13,13,1,
0,0,13.2303,2,2,1,
0,0,64.084,4,4,1,
0,0,25.1467,3,2,1,
0,0,20.0092,2,2,0,
0,0,23.8438,1,0,1,
0,0,128.599,1,1,0,
0,0,386.262,22,22,1,
0,0,22.9793,2,1,1,
0,0,238.591,11,11,0,
0,0,8.30655,1,0,1,
0,0,201.849,5,5,0,
0,0,110.933,10,9,1,
0,0,43.5264,0,0,0,
0,0,56.6008,6,5,1,
0,0,22.3475,0,0,0,
0,0,27.0783,3,2,1,
0,0,41.9016,1,1,0,
0,0,284.287,22,22,1,
0,0,61.5876,8,7,1,
0,0,124.564,1,1,0,
0,0,62.386,3,2,1,
0,0,256.034,7,7,0,
0,0,4.26777,1,0,1,
0,0,9.26837,1,1,0,
0,0,78.8556,8,7,1,
0,0,51.2128,3,3,0,
0,0,19.6295,2,1,1,
0,0,82.6211,4,4,0,
0,0,41.0689,3,3,1,
0,0,38.6423,4,4,1,
0,0,65.6609,5,4,1,
0,0,26.576,1,1,0,
0,0,343.157,24,24,1,
0,0,58.4001,6,5,1,
0,0,14.5999,0,0,0,
0,0,12.0127,2,1,1,
0,0,272.736,8,8,0,
0,0,215.253,17,17,1,
0,0,23.0675,1,1,1,
0,0,21.3791,1,1,1,
0,0,143.229,13,12,1,
0,0,29.9834,1,1,0,
0,0,13.0395,1,1,1,
0,0,10.0363,2,1,1,
0,0,2.06353,0,0,0,
0,0,34.2404,3,2,1,
0,0,147.766,2,2,0,
0,0,25.1865,3,2,1,
0,0,27.9845,1,1,0,
0,0,24.0199,2,1,1,
0,0,84.2816,3,3,0,
0,0,71.7383,2,2,1,
0,0,47.648,2,1,1,
0,0,71.2905,2,2,0,
0,0,0.127288,1,0,1,
0,0,58.2191,2,2,0,
0,0,66.4828,2,2,1,
0,0,15.9666,4,3,1,
0,0,496.158,25,25,0,
0,0,29.2523,2,2,1,
0,0,34.8098,2,1,1,
0,0,5.71369,0,0,0,
0,0,14.1353,3,2,1,
0,0,22.8099,1,1,0,
0,0,56.7248,3,2,1,
0,0,121.159,2,2,0,
0,0,12.8615,1,0,1,
0,0,160.919,5,5,0,
0,0,9.37302,2,1,1,
0,0,451.742,18,18,0,
0,0,37.8542,4,4,1,
0,0,44.0642,6,5,1,
0,0,141.229,9,9,0,
0,0,29.341,3,3,1,
0,0,145.648,15,14,1,
0,0,25.3678,0,0,0,
0,0,6.40065,1,0,1,
0,0,136.465,1,1,0,
0,0,424.472,20,20,1,
0,0,3.47429,1,1,1,
0,0,6.49309,1,0,1,
0,0,38.0959,3,3,0,
0,0,33.7857,2,1,1,
0,0,3.31018,0,0,0,
0,0,13.9659,2,2,1,
0,0,134.105,9,9,1,
0,0,27.5407,2,1,1,
0,0,108.273,0,0,0,
0,0,10.2444,3,3,1,
0,0,60.683,4,3,1,
0,0,159.723,8,8,0,
0,0,85.1776,5,4,1,
0,0,91.5736,0,0,0,
0,0,94.4343,7,6,1,
0,0,174.98,2,2,0,
0,0,28.8046,3,2,1,
0,0,264.244,5,5,0,
0,0,2.71383,1,1,1,
0,0,159.736,14,14,1,
0,0,49.5602,2,1,1,
0,0,265.522,7,7,0,
0,0,43.1057,8,8,1,
0,0,9.45739,1,0,1,
0,0,187.907,4,4,0,
0,0,473.502,28,28,1,
0,0,41.6105,5,4,1,
0,0,405.526,13,13,0,
0,0,236.728,18,18,1,
0,0,6.39167,2,1,1,
0,0,30.8579,3,3,0,
0,0,6.25724,1,0,1,
0,0,22.4202,0,0,0,
0,0,30.1587,2,1,1,
0,0,226.352,12,12,0,
0,0,74.6623,4,3,1,
0,0,351.978,11,11,0,
