neutronNum,protonNum,sumStepLengths,numInteractions,numElastic,primary,
0,0,20.7872,1,1,1,
0,0,3.25159,2,1,1,
0,0,8.15756,0,0,0,
0,0,130.231,8,8,1,
0,0,25.6971,1,1,1,
0,0,107.95,8,8,1,
0,0,51.3491,1,0,1,
0,0,105.45,7,7,0,
0,0,36.2686,7,6,1,
0,0,139.875,6,6,0,
0,0,38.0616,4,4,1,
0,0,101.541,7,7,1,
0,0,14.3823,2,1,1,
0,0,32.9479,3,3,0,
0,0,41.5721,3,2,1,
0,0,43.1089,1,1,0,
0,0,21.8075,1,1,1,
0,0,94.9799,3,2,1,
0,0,15.3922,0,0,0,
0,0,102.246,8,7,1,
0,0,29.5435,1,1,0,
0,0,15.2131,1,1,1,
0,0,45.6495,4,4,1,
0,0,3.1274,2,2,1,
0,0,99.689,5,5,1,
0,0,149.813,13,13,1,
0,0,13.735,2,1,1,
0,0,56.143,1,1,0,
0,0,51.2162,3,3,1,
0,0,102.799,4,4,1,
0,0,19.6022,1,1,1,
0,0,114.302,12,12,1,
0,0,22.8052,4,3,1,
0,0,66.1894,5,5,0,
0,0,33.3607,2,1,1,
0,0,70.9087,1,1,0,
0,0,245.69,19,19,1,
0,0,19.7984,3,2,1,
0,0,28.6624,2,2,0,
0,0,83.6657,8,7,1,
0,0,81.1566,3,3,0,
0,0,32.7017,3,2,1,
0,0,85.5011,7,7,0,
0,0,115.619,7,7,1,
0,0,98.4891,5,4,1,
0,0,80.3442,1,1,0,
0,0,115.762,7,7,1,
0,0,87.108,4,3,1,
0,0,51.4332,3,3,0,
0,0,38.2221,4,3,1,
0,0,45.4083,0,0,0,
0,0,72.6853,5,4,1,
0,0,20.7199,1,1,0,
0,0,15.5917,2,1,1,
0,0,14.3667,0,0,0,
0,0,27.8028,2,1,1,
0,0,44.5702,2,2,0,
0,0,95.5845,13,12,1,
0,0,18.8836,1,1,0,
0,0,49.1994,4,3,1,
0,0,141.602,7,7,0,
0,0,93.6501,3,3,1,
0,0,5.09772,2,1,1,
0,0,84.1998,3,3,0,
0,0,54.077,6,5,1,
0,0,60.7136,1,1,0,
0,0,124.23,9,8,1,
0,0,40.7173,2,2,0,
0,0,86.3849,6,5,1,
0,0,90.9556,6,6,0,
0,0,3.33514,1,1,1,
0,0,20.3607,1,0,1,
0,0,75.574,2,2,0,
0,0,59.5771,2,2,1,
0,0,3.89373,1,0,1,
0,0,54.1791,0,0,0,
0,0,7.50694,2,1,1,
0,0,131.593,5,5,0,
0,0,22.3249,1,0,1,
0,0,199.556,6,6,0,
0,0,6.08783,1,1,1,
0,0,3.47035,1,0,1,
0,0,73.7577,4,4,0,
0,0,14.5835,1,0,1,
0,0,58.831,3,3,0,
0,0,333.076,29,29,1,
0,0,6.19225,2,1,1,
0,0,129.227,2,2,0,
0,0,12.7775,1,0,1,
0,0,18.9617,2,2,0,
0,0,12.9858,2,2,1,
0,0,15.0735,2,2,1,
0,0,47.7115,2,2,1,
0,0,9.20729,2,1,1,
0,0,13.3118,0,0,0,
0,0,4.24033,1,0,1,
0,0,56.8845,2,2,0,
0,0,46.604,2,1,1,
0,0,31.8311,2,2,0,
0,0,37.44,5,4,1,
0,0,169.28,7,7,0,
0,0,52.1854,6,5,1,
0,0,57.7065,0,0,0,
0,0,16.0284,3,2,1,
0,0,1.28435,0,0,0,
0,0,82.2166,3,3,1,
0,0,0.697668,1,1,1,
0,0,24.6786,3,2,1,
0,0,61.648,2,2,0,
0,0,135.002,5,5,1,
0,0,26.5431,7,7,1,
0,0,187.463,9,9,1,
0,0,4.94116,1,0,1,
0,0,7.49823,0,0,0,
0,0,10.7535,1,0,1,
0,0,43.2997,1,1,0,
0,0,46.8465,3,2,1,
0,0,60.8744,3,3,0,
0,0,81.8193,4,4,1,
0,0,105.383,10,9,1,
0,0,85.1784,4,4,0,
0,0,31.4982,4,3,1,
0,0,47.0983,0,0,0,
0,0,2.94709,1,0,1,
0,0,168.412,9,9,0,
0,0,139.509,6,6,1,
0,0,138.346,8,8,1,
0,0,12.597,1,0,1,
0,0,77.23,5,5,0,
0,0,18.4646,1,0,1,
0,0,56.8087,1,1,0,
0,0,9.71558,1,0,1,
0,0,69.4309,6,6,0,
0,0,24.5544,1,1,1,
0,0,153.93,10,10,1,
0,0,16.5811,1,0,1,
0,0,51.7807,0,0,0,
0,0,92.0765,9,8,1,
0,0,50.1243,0,0,0,
0,0,71.0968,7,6,1,
0,0,69.1333,6,6,0,
0,0,5.15737,1,1,1,
0,0,3.01613,1,1,1,
0,0,7.39405,1,0,1,
0,0,12.9489,0,0,0,
0,0,106.936,7,7,1,
0,0,69.0159,4,4,1,
0,0,67.5691,4,4,1,
0,0,9.66198,2,1,1,
0,0,14.0699,0,0,0,
0,0,3.68829,1,0,1,
0,0,103.17,3,3,0,
0,0,3.03786,1,1,1,
0,0,65.5077,4,3,1,
0,0,62.2453,0,0,0,
0,0,45.6096,5,4,1,
0,0,133.57,7,7,0,
0,0,46.0154,1,0,1,
0,0,91.7969,3,3,0,
0,0,88.4842,5,5,1,
0,0,32.3567,1,1,1,
0,0,81.5077,3,3,1,
0,0,209.414,20,20,1,
0,0,33.9964,2,1,1,
0,0,250.374,10,10,0,
0,0,37.8376,3,3,1,
0,0,62.0785,2,2,1,
0,0,103.862,7,6,1,
0,0,115.086,8,8,0,
0,0,3.08048,2,2,1,
0,0,44.2979,2,2,1,
0,0,75.6766,2,2,1,
0,0,74.2947,2,2,1,
0,0,14.833,1,0,1,
0,0,73.5394,0,0,0,
0,0,76.16,5,5,1,
0,0,11.8718,1,1,1,
0,0,72.9107,7,7,1,
0,0,34.0888,3,3,1,
0,0,72.0169,9,9,1,
0,0,66.1282,9,9,1,
0,0,1.28869,1,1,1,
0,0,93.892,7,7,1,
0,0,6.61635,1,1,1,
0,0,30.9458,1,0,1,
0,0,57.0309,2,2,0,
0,0,29.3092,2,1,1,
0,0,119.386,3,3,0,
0,0,146.744,10,10,1,
0,0,21.303,3,3,1,
0,0,20.3233,2,1,1,
0,0,291.262,14,14,0,
0,0,110.211,7,7,1,
0,0,1.54293,1,0,1,
0,0,131.666,3,3,0,
0,0,55.0616,4,3,1,
0,0,37.1651,3,3,0,
0,0,18.25,2,1,1,
0,0,42.5351,2,2,0,
0,0,96.4508,2,1,1,
0,0,59.0356,3,3,0,
0,0,21.5611,2,1,1,
0,0,88.3884,4,4,0,
0,0,60.8312,5,4,1,
0,0,160.615,6,6,0,
0,0,33.4709,3,3,1,
0,0,8.86749,2,2,1,
0,0,58.7431,1,0,1,
0,0,93.9939,2,2,0,
0,0,54.7883,3,3,1,
0,0,8.79896,1,0,1,
0,0,15.5921,0,0,0,
0,0,53.7718,3,3,1,
0,0,57.0785,1,0,1,
0,0,66.0176,3,3,0,
0,0,11.8607,2,2,1,
0,0,75.7852,9,9,1,
0,0,18.5652,1,1,1,
0,0,166.077,10,9,1,
0,0,33.0058,4,4,0,
0,0,13.7505,2,2,1,
0,0,133.837,8,8,1,
0,0,71.1928,5,4,1,
0,0,25.067,1,1,0,
0,0,2.90966,1,0,1,
0,0,72.3444,2,2,0,
0,0,26.9818,4,3,1,
0,0,67.9532,1,1,0,
0,0,36.575,1,0,1,
0,0,125.709,6,6,0,
0,0,35.8296,2,2,1,
0,0,104.047,6,6,1,
0,0,14.6724,2,1,1,
0,0,80.4207,3,3,0,
0,0,12.2394,3,3,1,
0,0,24.3293,4,3,1,
0,0,59.4149,3,3,0,
0,0,11.9127,1,0,1,
0,0,21.2985,1,1,0,
0,0,60.4631,3,2,1,
0,0,58.4288,1,1,0,
0,0,51.2326,8,7,1,
0,0,29.4317,1,1,0,
0,0,94.6188,5,4,1,
0,0,47.1625,2,2,0,
0,0,113.47,8,7,1,
0,0,19.2921,0,0,0,
0,0,35.7686,4,3,1,
0,0,60.3847,4,4,0,
0,0,124.258,9,9,1,
0,0,18.341,6,5,1,
0,0,59.3434,1,1,0,
0,0,152.886,7,6,1,
0,0,37.8361,0,0,0,
0,0,140.999,6,5,1,
0,0,103.349,7,7,0,
0,0,18.6285,3,3,1,
0,0,44.0631,5,4,1,
0,0,156.975,4,4,0,
0,0,13.4273,1,0,1,
0,0,87.3173,1,1,0,
0,0,39.9047,4,3,1,
0,0,102.375,3,3,0,
0,0,4.81926,1,0,1,
0,0,16.4418,0,0,0,
0,0,60.4977,10,9,1,
0,0,34.3825,0,0,0,
0,0,23.3902,1,0,1,
0,0,95.8188,1,1,0,
0,0,10.8056,1,1,1,
0,0,259.787,17,17,1,
0,0,3.58623,1,0,1,
0,0,233.152,8,8,0,
0,0,23.406,2,1,1,
0,0,128.028,7,7,0,
0,0,79.7833,7,7,1,
0,0,27.0351,3,3,1,
