eventID,energy,recoilAngle,neutronAngle,
268,32.0656,0.67059,0.809675,
329,40.1925,0.666464,0.918122,
828,154.744,0.175394,2.67863,
1014,73.9004,0.607629,1.3794,
1999,51.2393,0.674307,1.11553,
2131,102.897,0.484396,1.75108,
2792,131.59,0.352959,2.16038,
3122,58.4761,0.665286,1.16194,
3295,29.1135,0.666877,0.76347,
3725,138.957,0.288393,2.33783,
3876,96.5504,0.533041,1.68112,
4091,20.3924,0.642673,0.54345,
4383,56.4437,0.673496,1.13646,
5919,125.414,0.39121,2.05408,
6833,94.9204,0.516571,1.70708,
7518,157.153,0.137864,2.74042,
7748,105.544,0.473091,1.81383,
8563,39.889,0.699153,0.908679,
8645,25.5149,0.685293,0.646245,
8677,45.0027,0.664485,1.02428,
9699,156.823,0.156334,2.7172,
9734,30.2865,0.677002,0.785593,
10731,122.082,0.372483,2.08692,
11729,151.044,0.153124,2.72451,
12117,84.4688,0.544421,1.54451,
12289,109.74,0.479509,1.83407,
12388,109.317,0.144847,2.54525,
12489,13.8376,0.524374,0.406922,
12845,75.6432,0.597537,1.39627,
13012,9.48387,0.215031,0.126896,
13017,85.8473,0.579634,1.52905,
13184,49.9771,0.679347,1.08746,
13479,155.092,0.17619,2.6962,
13709,50.0876,0.650677,1.05257,
13777,16.9113,0.634486,0.491943,
13981,23.3401,0.679488,0.632204,
14066,135.558,0.341101,2.21327,
16405,86.845,0.258811,1.97153,
16513,17.5421,0.597791,0.50973,
16975,108.086,0.445233,1.89261,
17787,36.1072,0.687495,0.851863,
17882,82.8619,0.291472,1.83577,
18075,148.091,0.232923,2.48791,
18695,104.286,0.500724,1.79028,
18889,14.2349,0.484807,0.356406,
18952,47.819,0.689147,1.05834,
19725,20.3205,0.627612,0.580849,
20630,135.264,0.292342,2.31407,
21062,87.0727,0.56129,1.54748,
22180,140.109,0.274101,2.36274,
22317,116.658,0.430856,1.95694,
22740,64.1712,0.653252,1.26315,
24105,74.9743,0.611428,1.41016,
24307,91.9933,0.534339,1.64347,
24713,55.0122,0.651402,1.14356,
25213,26.6535,0.672458,0.658451,
25697,36.1105,0.702663,0.871351,
25952,126.501,0.367777,2.10994,
26007,99.0639,0.524284,1.71703,
