eventID,neutronEscapeEnergy,nPrime,
0,2.31305,0,
1,0.915671,1,
1,0,0,
2,2.44479,0,
3,0.694705,1,
3,0,0,
4,2.23668,0,
5,2.29255,0,
6,0.565916,1,
6,0,0,
7,2.44499,0,
8,1.77038,0,
9,2.32042,0,
10,0.942976,1,
10,0,0,
11,2.28597,0,
12,2.5,0,
13,0.696084,1,
13,0,0,
14,1.01582,1,
14,0,0,
15,0.767511,1,
15,0,0,
16,2.33509,0,
17,0.446536,1,
17,0,0,
18,0.878939,1,
18,0,0,
19,2.19965,0,
20,2.34559,0,
21,2.06226,0,
22,0.818158,1,
22,0,0,
23,2.5,0,
24,0.515787,1,
24,0,0,
25,2.14089,0,
26,0.905148,1,
26,0,0,
27,2.29915,0,
28,2.09316,0,
29,2.29071,0,
30,0.944257,1,
30,0,0,
31,2.12805,0,
32,1.80877,0,
33,0.252444,1,
33,0,0,
34,2.26639,0,
35,2.3857,0,
36,1.65483,0,
37,0.902225,1,
37,0,0,
38,2.23585,0,
39,2.44334,0,
40,2.27424,0,
41,0.325747,1,
41,0,0,
42,0.851275,1,
42,0,0,
43,0.901647,1,
43,0,0,
44,0.74122,1,
44,0,0,
45,0.786542,1,
45,0,0,
46,2.25766,0,
47,1.62259,0,
48,2.3489,0,
49,2.46418,0,
50,1.88634,0,
51,2.12649,0,
52,2.32843,0,
53,0.837437,1,
53,0,0,
54,2.29407,0,
55,0.843026,1,
55,0,0,
56,0.357373,1,
56,0,0,
57,0.380995,1,
57,0,0,
58,0.903384,1,
58,0,0,
59,0.685929,1,
59,0,0,
60,0.535337,1,
60,0,0,
61,2.17059,0,
62,2.26234,0,
63,0.678874,1,
63,0,0,
64,2.29194,0,
65,2.26748,0,
66,2.06541,0,
67,0.950058,1,
67,0,0,
68,0.870686,1,
68,0,0,
69,0.79221,1,
69,0,0,
70,2.32551,0,
71,2.25932,0,
72,2.26358,0,
73,2.31496,0,
74,2.47763,0,
75,0.944192,1,
75,0,0,
76,0.786637,1,
76,0,0,
77,0.845412,1,
77,0,0,
78,0.942539,1,
78,0,0,
79,1.50866,0,
80,2.28418,0,
81,2.26469,0,
82,2.44102,0,
83,0.673899,1,
83,0,0,
84,2.33946,0,
85,0.335403,1,
85,0,0,
86,2.49162,0,
87,2.26502,0,
88,2.43985,0,
89,2.18546,0,
90,1.89839,0,
91,0.793086,1,
91,0,0,
92,2.26963,0,
93,2.27951,0,
94,2.19618,0,
95,1.85763,0,
96,0.779559,1,
96,0,0,
97,2.01572,0,
98,2.33971,0,
99,0.929378,1,
99,0,0,
100,0.994112,1,
100,0,0,
101,2.3594,0,
102,2.49191,0,
103,0.678299,1,
103,0,0,
104,0.661679,1,
104,0,0,
105,2.46154,0,
106,0.739327,1,
106,0,0,
107,2.31351,0,
108,2.14791,0,
109,2.29677,0,
110,0.855658,1,
110,0,0,
111,0.508063,1,
111,0,0,
112,0.77776,1,
112,0,0,
113,2.47033,0,
114,2.43012,0,
115,0.834767,1,
115,0,0,
116,2.32699,0,
117,0.855009,1,
117,0,0,
118,0.880219,1,
118,0,0,
119,0.968492,1,
119,0,0,
120,0.952102,1,
120,0,0,
121,0,0,
122,0.863518,1,
122,0,0,
123,0.906422,1,
123,0,0,
124,0.936815,1,
124,0,0,
125,2.28721,0,
126,2.34587,0,
127,0.273366,1,
127,0,0,
128,0.893899,1,
128,0,0,
129,0.901938,1,
129,0,0,
130,2.3902,0,
131,0.826183,1,
131,0,0,
132,0.882589,1,
132,0,0,
133,1.41105,0,
134,0.855836,1,
134,0,0,
135,2.30496,0,
136,0.71149,1,
136,0,0,
137,0.904932,1,
137,0,0,
138,2.03426,0,
139,2.33126,0,
140,0.81594,1,
140,0,0,
141,0.921918,1,
141,0,0,
142,0.19832,1,
142,0,0,
143,2.37021,0,
144,2.26179,0,
145,0.936326,1,
145,0,0,
146,2.21092,0,
147,2.23924,0,
148,0.871288,1,
148,0,0,
149,0.312956,1,
149,0,0,
150,1.9705,0,
151,0.646257,1,
151,0,0,
152,0.839659,1,
152,0,0,
153,0.531818,1,
153,0,0,
154,2.33095,0,
155,0.64235,1,
155,0,0,
156,2.00736,0,
157,2.4306,0,
158,0.922655,1,
158,0,0,
159,0.63706,1,
159,0,0,
160,0.5849,1,
160,0,0,
161,2.27616,0,
162,1.78166,0,
163,2.33186,0,
164,2.26786,0,
165,0.914505,1,
165,0,0,
166,0.711329,1,
166,0,0,
167,2.26214,0,
168,0.758051,1,
168,0,0,
169,2.34547,0,
170,0.746161,1,
170,0,0,
171,2.38387,0,
172,2.32078,0,
173,2.45579,0,
174,2.44297,0,
175,0.62198,1,
175,0,0,
176,1.37623,0,
177,0.881963,1,
177,0,0,
178,2.29045,0,
179,2.01821,0,
180,0.755274,1,
180,0,0,
181,2.34488,0,
182,0.58018,1,
182,0,0,
183,0.976214,1,
183,0,0,
184,0.949863,1,
184,0,0,
185,2.31844,0,
186,2.49203,0,
187,2.15985,0,
188,2.0514,0,
189,0.756574,1,
189,0,0,
190,2.41406,0,
191,2.49479,0,
192,2.37434,0,
193,2.27752,0,
194,2.02128,0,
195,0.896351,1,
195,0,0,
196,0.896539,1,
196,0,0,
197,0.783031,1,
197,0,0,
198,2.26717,0,
199,0.521892,1,
199,0,0,
200,0.638343,1,
200,0,0,
201,1.86741,0,
202,2.33055,0,
203,0.506331,1,
203,0,0,
204,2.00063,0,
205,2.33473,0,
206,0.931457,1,
206,0,0,
207,0.826384,1,
207,0,0,
208,2.29344,0,
209,0.915806,1,
209,0,0,
210,1.99388,0,
211,1.78859,0,
212,0.755852,1,
212,0,0,
213,0.890365,1,
213,0,0,
214,0.596977,1,
214,0,0,
215,2.31699,0,
216,0.731041,1,
216,0,0,
217,2.29316,0,
218,2.36695,0,
219,1.66965,0,
220,1.7336,0,
221,0.810869,1,
221,0,0,
222,0.901582,1,
222,0,0,
223,2.38573,0,
224,2.34826,0,
225,2.46891,0,
226,2.24807,0,
227,0.825543,1,
227,0,0,
228,0.771633,1,
228,0,0,
229,2.25575,0,
230,2.44365,0,
231,0.895977,1,
231,0,0,
232,1.44144,0,
233,0.824879,1,
233,0,0,
234,0.581698,1,
234,0,0,
235,0.969917,1,
235,0,0,
236,2.4573,0,
237,1.66415,0,
238,0.636034,1,
238,0,0,
239,2.31997,0,
240,2.37697,0,
241,2.35937,0,
242,2.49644,0,
243,0.95578,1,
243,0,0,
244,2.11972,0,
245,0.272495,1,
