eventID,neutronEscapeEnergy,nPrime,
0,2.31305,0,
1,0.915671,1,
1,0,0,
2,2.09932,0,
3,2.28525,0,
4,2.12005,0,
5,0.595973,1,
5,0,0,
6,0.344189,1,
6,0,0,
7,0.897345,1,
7,0,0,
8,0.810472,1,
8,0,0,
9,1.48416,0,
10,0.505032,1,
10,0,0,
11,0.217277,1,
11,0,0,
12,0.375584,1,
12,0,0,
13,0.923272,1,
13,0,0,
14,0.793147,1,
14,0,0,
15,0.853325,1,
15,0,0,
16,0.912758,1,
16,0,0,
17,0.847734,1,
17,0,0,
18,0.749046,1,
18,0,0,
19,2.32339,0,
20,0.955817,1,
20,0,0,
21,0.558377,1,
21,0,0,
22,0.474287,1,
22,0,0,
23,2.18317,0,
24,2.32109,0,
25,0.404668,1,
25,0,0,
26,0.894088,1,
26,0,0,
27,2.20364,0,
28,0.853505,1,
28,0,0,
29,0.685156,1,
29,0,0,
30,2.292,0,
31,0.491588,1,
31,0,0,
32,2.27707,0,
33,0.155874,1,
33,0,0,
34,0.416652,1,
34,0,0,
35,0.159775,1,
35,0,0,
36,0.292399,1,
36,0,0,
37,0.882562,1,
37,0,0,
38,2.34945,0,
39,2.2631,0,
40,0.217621,1,
40,0,0,
41,2.27185,0,
42,2.27769,0,
43,0.363181,1,
43,0,0,
44,1.88589,0,
45,2.26636,0,
46,2.013,0,
47,1.2684,0,
48,2.26645,0,
49,0.979447,1,
49,0,0,
50,0.866122,1,
50,0,0,
51,0.486665,1,
51,0,0,
52,2.33084,0,
53,2.32471,0,
54,2.35843,0,
55,0.944469,1,
55,0,0,
56,1.18111,0,
57,2.06832,0,
58,0.744211,1,
58,0,0,
59,0.84697,0,
60,0.653544,1,
60,0,0,
61,0.343823,1,
61,0,0,
62,0.595762,1,
62,0,0,
63,2.04711,0,
64,2.3154,0,
65,2.34001,0,
66,0.932417,1,
66,0,0,
67,0.829564,1,
67,0,0,
68,0.38479,1,
68,0,0,
69,1.121,0,
70,1.78963,0,
71,2.36553,0,
72,0.384268,1,
72,0,0,
73,0.491241,1,
73,0,0,
74,2.29017,0,
75,0.928746,1,
75,0,0,
76,0.796618,1,
76,0,0,
77,0.787682,1,
77,0,0,
78,2.16308,0,
79,2.28828,0,
80,0.245846,1,
80,0,0,
81,0.85412,1,
81,0,0,
82,2.2635,0,
83,0.93591,1,
83,0,0,
84,2.01031,0,
85,0.581714,0,
86,2.28826,0,
87,0.306222,1,
87,0,0,
88,2.27365,0,
89,0.584872,1,
89,0,0,
90,2.29644,0,
91,0.848555,1,
91,0,0,
92,1.72116,0,
93,0.537457,1,
93,0,0,
94,1.08532,0,
95,2.26554,0,
96,0.74641,1,
96,0,0,
97,0.658877,1,
97,0,0,
98,0.384851,1,
98,0,0,
99,0.796061,0,
100,2.29439,0,
101,0.430133,1,
101,0,0,
102,0.766918,1,
102,0,0,
103,2.23518,0,
104,1.42037,0,
105,2.27427,0,
106,2.34051,0,
107,0.770915,1,
107,0,0,
108,0.933836,1,
108,0,0,
109,1.00238,0,
110,0.570194,1,
110,0,0,
111,0.767751,1,
111,0,0,
112,0.450396,1,
112,0,0,
113,0.510852,1,
113,0,0,
114,0.770147,1,
114,0,0,
115,0.904038,0,
116,0.42012,1,
116,0,0,
117,0.71725,1,
117,0,0,
118,0.961224,1,
118,0,0,
119,0.478884,1,
119,0,0,
120,0.827819,1,
120,0,0,
121,2.28305,0,
122,2.17292,0,
123,0.577918,1,
123,0,0,
124,0.897664,0,
125,0.610517,1,
125,0,0,
126,0.651955,1,
126,0,0,
127,1.2137,0,
128,2.34699,0,
129,2.34915,0,
130,0.218245,1,
130,0,0,
131,2.25989,0,
132,0.740977,1,
132,0,0,
133,0.753627,1,
133,0,0,
134,0.894954,1,
134,0,0,
135,0.897195,1,
135,0,0,
136,2.32315,0,
137,0.678538,1,
137,0,0,
138,0.93156,1,
138,0,0,
139,2.32914,0,
140,0.327669,1,
140,0,0,
141,2.19852,0,
142,0.875604,1,
142,0,0,
143,0.942863,1,
143,0,0,
144,0.905252,1,
144,0,0,
145,0.760077,1,
145,0,0,
146,0.431872,1,
146,0,0,
147,2.28246,0,
148,0.2502,1,
148,0,0,
149,2.24124,0,
150,0.378694,1,
150,0,0,
151,0.944796,1,
151,0,0,
152,0.93247,0,
153,2.35431,0,
154,0.817816,1,
154,0,0,
155,0.83495,1,
155,0,0,
156,2.32572,0,
157,2.21131,0,
158,0.948257,1,
158,0,0,
159,2.2637,0,
160,0.649677,1,
160,0,0,
161,0.711601,1,
161,0,0,
162,0.560681,1,
162,0,0,
163,0.695717,1,
163,0,0,
164,2.27315,0,
165,1.6514,0,
166,0.69325,1,
166,0,0,
167,2.0385,0,
168,0.710239,1,
168,0,0,
169,1.24618,0,
170,0.462236,1,
170,0,0,
171,1.18782,0,
172,0.740729,1,
172,0,0,
173,0.93096,1,
173,0,0,
174,0.551046,1,
174,0,0,
175,0.46406,1,
175,0,0,
176,2.27817,0,
177,0.146845,1,
177,0,0,
178,0.463596,1,
178,0,0,
179,0.423116,1,
179,0,0,
180,0.792065,1,
180,0,0,
181,2.24142,0,
182,0.709085,1,
182,0,0,
183,0.0676305,1,
183,0,0,
184,0.976219,1,
184,0,0,
185,0.931259,1,
185,0,0,
186,0.420338,1,
186,0,0,
187,0.762816,1,
187,0,0,
188,1.61299,0,
189,0.544744,1,
189,0,0,
190,0.904727,1,
190,0,0,
191,1.61442,0,
192,2.28414,0,
193,0.853736,1,
193,0,0,
194,0.647208,1,
194,0,0,
195,0.931127,1,
195,0,0,
196,0.64721,1,
196,0,0,
197,1.84782,0,
198,1.52124,0,
199,0.477578,1,
199,0,0,
200,2.22909,0,
201,2.23566,0,
202,2.26467,0,
203,0.304485,1,
203,0,0,
204,0.563915,1,
204,0,0,
205,0.796151,1,
205,0,0,
206,2.39025,0,
207,2.03592,0,
208,2.29728,0,
209,1.72258,0,
210,0.195353,1,
210,0,0,
211,1.32945,0,
212,0.779223,1,
212,0,0,
213,2.19312,0,
214,0.108855,1,
214,0,0,
215,0.895102,1,
215,0,0,
216,0.687835,1,
216,0,0,
217,0.898482,1,
217,0,0,
218,0.810275,1,
218,0,0,
219,0.876823,1,
219,0,0,
220,0.560736,1,
220,0,0,
221,0.532668,1,
221,0,0,
222,0.61395,1,
222,0,0,
223,0.891006,1,
223,0,0,
224,0.897672,1,
224,0,0,
225,0.933007,1,
225,0,0,
226,2.26707,0,
