eventID,neutronEscapeEnergy,nPrime,
0,2.31305,0,
1,0.915671,1,
2,2.09932,0,
3,2.28525,0,
4,2.12005,0,
5,0.595973,1,
6,0.344189,1,
7,0.897345,1,
8,0.810472,1,
9,1.48416,0,
10,0.505032,1,
11,0.217277,1,
12,0.375584,1,
13,0.923272,1,
14,0.793147,1,
15,0.853325,1,
16,0.912758,1,
17,0.847734,1,
18,0.749046,1,
19,2.32339,0,
20,0.955817,1,
21,0.558377,1,
22,0.474287,1,
23,2.18317,0,
24,2.32109,0,
25,0.404668,1,
26,0.894088,1,
27,2.20364,0,
28,0.853505,1,
29,0.685156,1,
30,2.292,0,
31,0.491588,1,
32,2.27707,0,
33,0.155874,1,
34,0.416652,1,
35,0.159775,1,
36,0.292399,1,
37,0.882562,1,
38,2.34945,0,
39,2.2631,0,
40,0.217621,1,
41,2.27185,0,
42,2.27769,0,
43,0.363181,1,
44,1.88589,0,
45,2.26636,0,
46,2.013,0,
47,1.2684,0,
48,2.26645,0,
49,0.979447,1,
50,0.866122,1,
51,0.486665,1,
52,2.33084,0,
53,2.32471,0,
54,2.35843,0,
55,0.944469,1,
56,1.18111,0,
57,2.06832,0,
58,0.744211,1,
59,0.84697,0,
60,0.653544,1,
61,0.343823,1,
62,0.595762,1,
63,2.04711,0,
64,2.3154,0,
65,2.34001,0,
66,0.932417,1,
67,0.829564,1,
68,0.38479,1,
69,1.121,0,
70,1.78963,0,
71,2.36553,0,
72,0.384268,1,
73,0.491241,1,
74,2.29017,0,
75,0.928746,1,
76,0.796618,1,
77,0.787682,1,
78,2.16308,0,
79,2.28828,0,
80,0.245846,1,
81,0.85412,1,
82,2.2635,0,
83,0.93591,1,
84,2.01031,0,
85,0.581714,0,
86,2.28826,0,
87,0.306222,1,
88,2.27365,0,
89,0.584872,1,
90,2.29644,0,
91,0.848555,1,
92,1.72116,0,
93,0.537457,1,
94,1.08532,0,
95,2.26554,0,
96,0.74641,1,
97,0.658877,1,
98,0.384851,1,
99,0.796061,0,
100,2.29439,0,
101,0.430133,1,
102,0.766918,1,
103,2.23518,0,
104,1.42037,0,
105,2.27427,0,
106,2.34051,0,
107,0.770915,1,
108,0.933836,1,
109,1.00238,0,
110,0.570194,1,
111,0.767751,1,
112,0.450396,1,
113,0.510852,1,
114,0.770147,1,
115,0.904038,0,
116,0.42012,1,
117,0.71725,1,
118,0.961224,1,
119,0.478884,1,
120,0.827819,1,
121,2.28305,0,
122,2.17292,0,
123,0.577918,1,
124,0.897664,0,
125,0.610517,1,
126,0.651955,1,
127,1.2137,0,
128,2.34699,0,
129,2.34915,0,
130,0.218245,1,
131,2.25989,0,
132,0.740977,1,
133,0.753627,1,
134,0.894954,1,
135,0.897195,1,
136,2.32315,0,
137,0.678538,1,
138,0.93156,1,
139,2.32914,0,
140,0.327669,1,
141,2.19852,0,
142,0.875604,1,
143,0.942863,1,
144,0.905252,1,
145,0.760077,1,
146,0.431872,1,
147,2.28246,0,
148,0.2502,1,
149,2.24124,0,
150,0.378694,1,
151,0.944796,1,
152,0.93247,0,
153,2.35431,0,
154,0.817816,1,
155,0.83495,1,
156,2.32572,0,
157,2.21131,0,
158,0.948257,1,
159,2.2637,0,
160,0.649677,1,
161,0.711601,1,
162,0.560681,1,
163,0.695717,1,
164,2.27315,0,
165,1.6514,0,
166,0.69325,1,
167,2.0385,0,
168,0.710239,1,
169,1.24618,0,
170,0.462236,1,
171,1.18782,0,
172,0.740729,1,
173,0.93096,1,
174,0.551046,1,
175,0.46406,1,
176,2.27817,0,
177,0.146845,1,
178,0.463596,1,
179,0.423116,1,
180,0.792065,1,
181,2.24142,0,
182,0.709085,1,
183,0.0676305,1,
184,0.976219,1,
185,0.931259,1,
186,0.420338,1,
187,0.762816,1,
188,1.61299,0,
189,0.544744,1,
190,0.904727,1,
191,1.61442,0,
192,2.28414,0,
193,0.853736,1,
194,0.647208,1,
195,0.931127,1,
196,0.64721,1,
197,1.84782,0,
198,1.52124,0,
199,0.477578,1,
200,2.22909,0,
201,2.23566,0,
202,2.26467,0,
203,0.304485,1,
204,0.563915,1,
205,0.796151,1,
206,2.39025,0,
207,2.03592,0,
208,2.29728,0,
209,1.72258,0,
210,0.195353,1,
211,1.32945,0,
212,0.779223,1,
213,2.19312,0,
214,0.108855,1,
215,0.895102,1,
216,0.687835,1,
217,0.898482,1,
218,0.810275,1,
219,0.876823,1,
220,0.560736,1,
221,0.532668,1,
222,0.61395,1,
223,0.891006,1,
224,0.897672,1,
225,0.933007,1,
226,2.26707,0,
227,0.361081,1,
228,2.29502,0,
229,0.552414,1,
230,0.942012,1,
231,0.734992,1,
232,0.612981,1,
233,0.490391,1,
234,0.447984,1,
235,2.28302,0,
236,0.753291,1,
237,0.903039,1,
238,0.829554,1,
239,0.92128,1,
240,0.860069,0,
241,0.885727,1,
242,2.32416,0,
243,2.12615,0,
244,2.26045,0,
245,0.215767,1,
246,0.91801,1,
247,2.23552,0,
248,2.2602,0,
249,0.306012,1,
250,1.22225,0,
251,0.201312,1,
252,0.436801,1,
253,2.38916,0,
254,0.586515,1,
255,0.277819,1,
256,0.583542,1,
257,0.84975,1,
258,0.216802,1,
259,1.53443,0,
260,0.887887,1,
261,2.20146,0,
262,0.205387,1,
263,0.505849,1,
264,0.872149,1,
265,0.749897,1,
266,0.793071,1,
267,0.671923,1,
268,1.6598,0,
269,1.67665,0,
270,0.147409,1,
271,1.63664,0,
272,0.564495,1,
273,0.311777,1,
274,0.626599,1,
275,2.14585,0,
276,0.866137,1,
277,0.266833,1,
278,0.278251,1,
279,2.2753,0,
280,0.525499,1,
281,2.45356,0,
282,0.88232,1,
283,1.20963,0,
284,0.927417,1,
285,0.77131,1,
286,0.159237,1,
287,0.790625,1,
288,0.886496,1,
289,0.886022,1,
290,0.768663,1,
291,0.662393,1,
292,2.26371,0,
293,2.27292,0,
294,1.59571,0,
295,0.689998,1,
296,0.953467,0,
297,0.340954,1,
298,0.347237,1,
299,0.241189,1,
300,2.22726,0,
301,0.692717,1,
302,0.923916,1,
303,0.894293,1,
304,0.0637669,1,
305,0.693324,1,
306,1.02882,0,
307,0.42828,1,
308,0.648475,1,
309,0.898095,1,
310,0.892684,1,
311,0.82661,1,
312,0.628034,0,
313,2.34483,0,
314,1.66125,0,
315,2.26583,0,
316,1.71299,0,
317,1.48462,0,
318,1.68749,0,
319,2.34475,0,
320,0.24946,1,
321,0.557341,1,
