eventID,neutronEscapeEnergy,nPrime,
0,2.31305,0,
1,0.915671,1,
2,2.09932,0,
3,2.28525,0,
4,2.12005,0,
5,0.595973,1,
6,0.349639,1,
7,2.22522,0,
8,2.1071,0,
9,0.747562,1,
10,0.891355,1,
11,2.2875,0,
12,0.981444,1,
13,0.536266,1,
14,2.26216,0,
15,2.32595,0,
16,2.27073,0,
17,2.33059,0,
18,1.43449,0,
19,0.825976,1,
20,2.30224,0,
21,2.41521,0,
22,2.26215,0,
23,1.60388,0,
24,0.681731,1,
25,0.845453,1,
26,1.23372,0,
27,0.833759,1,
28,0.560342,1,
29,0.531394,1,
30,2.11554,0,
31,0.338444,1,
32,2.08591,0,
33,0.591737,1,
34,0.857389,1,
35,0.676892,1,
36,0.880875,1,
37,0.896839,1,
38,0.438438,1,
39,0.435108,1,
40,2.32333,0,
41,0.806286,1,
42,0.482784,1,
43,0.417149,1,
44,0.404667,1,
45,2.30028,0,
46,0.923323,1,
47,2.34647,0,
48,0.967557,1,
49,0.791799,1,
50,0.70114,1,
51,2.26336,0,
52,0.798476,1,
53,0.714626,1,
54,0.917771,0,
55,0.898442,1,
56,0.808459,1,
57,2.28178,0,
58,2.26973,0,
59,2.23471,0,
60,0.916429,1,
61,0.984101,1,
62,0.208602,1,
63,0.641121,1,
64,0.497695,1,
65,0.752984,1,
66,2.35145,0,
67,2.28284,0,
68,0.798351,1,
69,2.19923,0,
70,1.81288,0,
71,1.63108,0,
72,0.903139,1,
73,0.919853,1,
74,0.817742,1,
75,2.33627,0,
76,0.250528,1,
77,0.808982,1,
78,0.626836,1,
79,1.78006,0,
80,1.79474,0,
81,0.727838,1,
82,0.923934,1,
83,0.809575,1,
84,2.3331,0,
85,1.65692,0,
86,0.973614,1,
87,0.15756,1,
88,0.624006,1,
89,2.2669,0,
90,2.28084,0,
91,0.909505,1,
92,1.84518,0,
93,2.24908,0,
94,2.26703,0,
95,0.886527,1,
96,0.853302,1,
97,2.30852,0,
98,0.745762,1,
99,0.242292,1,
100,0.769472,1,
101,1.89926,0,
102,2.29119,0,
103,2.46353,0,
104,1.41628,0,
105,0.589635,1,
106,2.16114,0,
107,2.28701,0,
108,0.483827,1,
109,2.26739,0,
110,2.19596,0,
111,2.46915,0,
112,2.3114,0,
113,0.980055,1,
114,2.33025,0,
115,2.32157,0,
116,1.65228,0,
117,2.37391,0,
118,1.818,0,
119,1.79043,0,
120,2.30302,0,
121,2.35275,0,
122,2.27244,0,
123,0.801105,1,
124,0.588132,1,
125,2.1714,0,
126,2.25635,0,
127,0.46221,1,
128,2.2009,0,
129,0.77071,1,
130,0.492497,1,
131,0.693914,1,
132,0.625958,1,
133,0.691629,1,
134,0.584701,1,
135,2.34319,0,
136,2.26737,0,
137,0.804598,1,
138,2.42859,0,
139,0.909992,1,
140,2.23739,0,
141,0.788972,1,
142,2.29552,0,
143,1.91945,0,
144,2.28497,0,
145,0.0689874,1,
146,2.24589,0,
147,2.12427,0,
148,0.850491,1,
149,0.801846,1,
150,0.678818,1,
151,0.636657,1,
152,2.25928,0,
153,1.87651,0,
154,0.811401,1,
155,2.20045,0,
156,0.784736,1,
157,0.862168,1,
158,0.87137,1,
159,0.280971,1,
160,0.396214,1,
161,0.390004,1,
162,0.780265,1,
163,1.77744,0,
164,0.65296,1,
165,0.496485,1,
166,0.456779,1,
167,2.17834,0,
168,0.558373,1,
169,0.813724,1,
170,0.386197,1,
171,0.929918,1,
172,0.80841,1,
173,0.95833,1,
174,2.32707,0,
175,1.34607,0,
176,0.657284,1,
177,0.578966,1,
178,2.30281,0,
179,2.28119,0,
180,2.24284,0,
181,1.81312,0,
182,0.798326,1,
183,2.21571,0,
184,1.21655,0,
185,0.869451,1,
186,0.422584,1,
187,0.843735,1,
188,2.31542,0,
189,2.25702,0,
190,0.74321,1,
191,1.95892,0,
192,0.616308,1,
193,2.09935,0,
194,0.799861,1,
195,0.682648,1,
196,2.31823,0,
197,0.442851,1,
198,2.32457,0,
199,2.25558,0,
200,2.06857,0,
201,0.347782,1,
202,1.75709,0,
203,0.49658,1,
204,1.57939,0,
205,0.851303,1,
206,2.1388,0,
207,0.0129341,1,
208,0.889057,1,
209,0.250449,1,
210,0.322748,1,
211,0.850051,1,
212,0.492672,1,
213,0.513343,1,
214,0.832979,1,
215,2.26926,0,
216,2.01255,0,
217,1.22497,0,
218,0.252464,1,
219,0.812935,1,
220,0.517346,1,
221,0.752967,1,
222,0.0693875,1,
223,2.32384,0,
224,0.466993,1,
225,0.757849,1,
226,0.159153,1,
227,1.80762,0,
228,0.55676,1,
229,0.686092,1,
230,2.32093,0,
231,0.751309,1,
232,2.26154,0,
233,0.765222,1,
234,0.642277,1,
235,0.885784,1,
236,0.763288,1,
237,0.797129,1,
238,2.28755,0,
239,2.29346,0,
240,0.768201,1,
241,0.75062,1,
242,2.13194,0,
243,2.28912,0,
244,0.849385,1,
245,2.00928,0,
246,0.94447,1,
247,0.730324,1,
248,0.523533,1,
249,2.08351,0,
250,2.26341,0,
251,2.32454,0,
252,0.559925,1,
253,2.29435,0,
254,0.793976,1,
255,0.618099,1,
256,2.19525,0,
257,0.640925,1,
258,0.704575,1,
259,0.207511,1,
260,0.633064,1,
261,2.32348,0,
262,0.831543,1,
263,0.808506,1,
264,2.21765,0,
265,0.512432,1,
266,0.599862,1,
267,2.28941,0,
268,0.563889,1,
269,0.72024,1,
270,2.03714,0,
271,2.26307,0,
272,0.837518,1,
273,2.3322,0,
274,1.7762,0,
275,1.95752,0,
276,0.65766,1,
277,2.15376,0,
278,0.947326,1,
279,2.35873,0,
280,2.29719,0,
281,0.15481,1,
282,0.548598,1,
283,2.49249,0,
284,0.906263,1,
285,2.32492,0,
286,2.27552,0,
287,0.956682,1,
288,2.29084,0,
289,0.89833,1,
290,2.3258,0,
291,0.816109,1,
292,0.939238,1,
293,0.895117,1,
294,0.782022,1,
295,0.699,1,
296,0.245797,1,
297,0.770677,1,
298,0.905581,1,
299,0.589527,1,
300,0.760511,1,
301,0.829637,1,
302,0.109932,1,
303,1.79864,0,
304,1.84972,0,
305,2.26363,0,
306,0.806214,1,
307,0.943349,1,
308,0.43712,1,
309,1.56976,0,
310,0.67525,1,
311,0.130229,1,
312,0.249004,1,
313,0.39454,1,
314,0.671914,1,
315,0.848106,1,
316,2.32013,0,
317,0.579678,1,
318,2.42368,0,
319,0.791443,1,
320,2.18579,0,
321,0.548867,1,
