eventID,neutronEscapeEnergy,
0,2.31305,
1,0.915671,
2,2.09932,
3,2.28525,
4,2.12005,
5,0.595973,
6,0.344189,
7,0.897345,
8,0.810472,
9,1.48416,
10,0.505032,
11,0.217277,
12,0.375584,
13,0.923272,
14,0.793147,
15,0.853325,
16,0.912758,
17,0.847734,
18,0.749046,
19,2.32339,
20,0.955817,
21,0.558377,
22,0.474287,
23,2.18317,
24,2.32109,
25,0.404668,
26,0.894088,
27,2.20364,
28,0.853505,
29,0.685156,
30,2.292,
31,0.491588,
32,2.27707,
33,0.155874,
34,0.416652,
35,0.159775,
36,0.292399,
37,0.882562,
38,2.34945,
39,2.2631,
40,0.217621,
41,2.27185,
42,2.27769,
43,0.363181,
44,1.88589,
45,2.26636,
46,2.013,
47,1.2684,
48,2.26645,
49,0.979447,
50,0.866122,
51,0.486665,
52,2.33084,
53,2.32471,
54,2.35843,
55,0.944469,
56,1.18111,
57,2.06832,
58,0.744211,
59,0.84697,
60,0.653544,
61,0.343823,
62,0.595762,
63,2.04711,
64,2.3154,
65,2.34001,
66,0.932417,
67,0.829564,
68,0.38479,
69,1.121,
70,1.78963,
71,2.36553,
72,0.384268,
73,0.491241,
74,2.29017,
75,0.928746,
76,0.796618,
77,0.787682,
78,2.16308,
79,2.28828,
80,0.245846,
81,0.85412,
82,2.2635,
83,0.93591,
84,2.01031,
85,0.581714,
86,2.28826,
87,0.306222,
88,2.27365,
89,0.584872,
90,2.29644,
91,0.848555,
92,1.72116,
93,0.537457,
94,1.08532,
95,2.26554,
96,0.74641,
97,0.658877,
98,0.384851,
99,0.796061,
100,2.29439,
101,0.430133,
102,0.766918,
103,2.23518,
104,1.42037,
105,2.27427,
106,2.34051,
107,0.770915,
108,0.933836,
109,1.00238,
110,0.570194,
111,0.767751,
112,0.450396,
113,0.510852,
114,0.770147,
115,0.904038,
116,0.42012,
117,0.71725,
118,0.961224,
119,0.478884,
120,0.827819,
121,2.28305,
122,2.17292,
123,0.577918,
124,0.897664,
125,0.610517,
126,0.651955,
127,1.2137,
128,2.34699,
129,2.34915,
130,0.218245,
131,2.25989,
132,0.740977,
133,0.753627,
134,0.894954,
135,0.897195,
136,2.32315,
137,0.678538,
138,0.93156,
139,2.32914,
140,0.327669,
141,2.19852,
142,0.875604,
143,0.942863,
144,0.905252,
145,0.760077,
146,0.431872,
147,2.28246,
148,0.2502,
149,2.24124,
150,0.378694,
151,0.944796,
152,0.93247,
153,2.35431,
154,0.817816,
155,0.83495,
156,2.32572,
157,2.21131,
158,0.948257,
159,2.2637,
160,0.649677,
161,0.711601,
162,0.560681,
163,0.695717,
164,2.27315,
165,1.6514,
166,0.69325,
167,2.0385,
168,0.710239,
169,1.24618,
170,0.462236,
171,1.18782,
172,0.740729,
173,0.93096,
174,0.551046,
175,0.46406,
176,2.27817,
177,0.146845,
178,0.463596,
179,0.423116,
180,0.792065,
181,2.24142,
182,0.709085,
183,0.0676305,
184,0.976219,
185,0.931259,
186,0.420338,
187,0.762816,
188,1.61299,
189,0.544744,
