eventID,neutronEscapeEnergy,nPrime,
0,36.5111,1,
1,54.5207,1,
2,0,0,
2,0,1,
3,0.118389,1,
4,54.1577,1,
5,25.1515,1,
6,0,0,
6,0,1,
7,0,0,
7,0,1,
8,52.4265,1,
9,0,0,
9,0,1,
10,38.2259,1,
11,58.5675,1,
12,0,0,
12,0,1,
13,60.4047,1,
14,61.6634,1,
15,59.8042,1,
16,46.5485,1,
17,54.1857,1,
18,12.2525,1,
19,26.8134,1,
20,60.7547,1,
21,59.9386,1,
22,0,0,
22,0,1,
23,0.901525,1,
24,5.35622,1,
25,50.6215,1,
26,52.7018,1,
27,60.0706,1,
28,59.1627,1,
29,0,0,
29,0,1,
30,51.0746,1,
31,52.3523,1,
32,0,0,
32,0,1,
33,51.1179,1,
34,52.4102,1,
35,0,0,
35,0,1,
36,0,0,
36,0,1,
37,55.364,1,
38,0,0,
38,0,1,
39,25.3187,1,
40,0,0,
40,0,1,
41,60.3951,1,
42,55.2106,1,
43,57.6363,1,
44,28.3307,1,
45,56.6105,1,
46,7.92281,1,
47,41.7087,1,
48,52.403,1,
49,0,0,
49,0,1,
50,61.0744,1,
51,0,0,
51,0,1,
52,0,0,
52,0,1,
53,8.71595,1,
54,53.172,1,
55,11.2936,1,
56,51.6676,1,
57,50.8327,1,
58,54.2801,1,
59,52.2835,1,
60,59.2114,1,
61,0,0,
61,0,1,
62,53.4476,1,
63,53.7921,1,
64,62.9023,1,
65,51.3463,1,
66,55.1582,1,
67,0,0,
67,0,1,
68,58.7159,1,
69,56.4688,1,
70,60.5136,1,
71,55.0825,1,
72,53.4837,1,
73,17.4723,1,
74,0,0,
74,0,1,
75,60.4789,1,
76,30.2149,1,
77,52.0381,1,
78,54.7047,1,
79,8.18887,1,
80,37.8903,1,
81,0.219954,1,
82,54.224,1,
83,0,0,
83,0,1,
84,21.1034,1,
85,0,0,
85,0,1,
86,0,0,
86,0,1,
87,10.3773,1,
88,0.0123582,1,
89,53.1899,1,
90,62.3578,1,
91,3.53692,1,
92,36.9826,1,
93,54.2923,1,
94,60.3325,1,
95,36.2342,1,
96,60.9937,1,
97,51.5171,1,
98,52.4914,1,
99,59.9841,1,
100,60.1385,1,
101,59.6694,1,
102,0,0,
102,0,1,
103,61.3092,1,
104,21.2405,1,
105,4.6363,1,
106,54.9351,1,
107,60.5069,1,
108,59.7301,1,
109,55.0975,1,
110,58.2555,1,
111,59.3568,1,
112,30.4765,1,
113,0,0,
113,0,1,
114,59.8299,1,
115,53.4711,1,
116,50.6508,1,
117,60.1598,1,
118,52.6599,1,
119,58.448,1,
120,0,0,
120,0,1,
121,11.4836,1,
122,59.9245,1,
123,58.7646,1,
124,45.0364,1,
125,51.9055,1,
126,56.2569,1,
127,10.2147,1,
128,0,0,
128,0,1,
129,60.645,1,
130,36.9228,1,
131,59.0461,1,
132,54.6011,1,
133,0,0,
133,0,1,
134,54.1828,1,
135,0,0,
135,0,1,
136,36.5182,1,
137,60.5459,1,
138,9.5455,1,
139,61.3022,1,
140,52.491,1,
141,55.5138,1,
142,56.3257,1,
143,0,0,
143,0,1,
144,52.1916,1,
145,0,0,
145,0,1,
146,57.1767,1,
147,55.7859,1,
148,0,0,
148,0,1,
149,60.6834,1,
150,61.4173,1,
151,55.0728,1,
152,53.3373,1,
153,0,0,
153,0,1,
154,54.96,1,
155,49.0779,1,
156,31.6817,1,
157,59.7123,1,
158,51.3728,1,
159,60.583,1,
160,60.2052,1,
161,60.3353,1,
162,0,0,
162,0,1,
163,62.0238,1,
164,54.145,1,
165,60.4543,1,
166,0,0,
166,0,1,
167,0,0,
167,0,1,
168,10.2809,1,
169,54.323,1,
170,0,0,
170,0,1,
171,54.1965,1,
172,27.8848,1,
173,21.1856,1,
174,44.3644,1,
175,60.3146,1,
176,60.156,1,
177,59.7027,1,
178,53.6467,1,
179,61.7916,1,
180,52.6757,1,
181,54.0396,1,
182,0.231124,1,
183,51.5169,1,
184,54.9371,1,
185,59.6387,1,
186,36.7476,1,
187,0,0,
187,0,1,
188,60.3725,1,
189,22.2424,1,
190,59.9452,1,
191,18.1646,1,
192,53.3157,1,
193,53.3747,1,
194,11.5611,1,
195,60.785,1,
196,0,0,
