eventID,Energy,time,
1,1.46083,6.07148,
1,0.0013096,6.07148,
1,0.0013096,6.07148,
5,1.46083,28.1081,
5,0.00182365,28.1081,
5,0.00182365,28.1081,
6,1.46083,22.3723,
9,1.45926,11.2232,
10,1.46056,23.7288,
12,1.46043,48.1975,
13,1.46083,52.5673,
19,1.45828,10.9016,
24,1.45992,15.3146,
24,0.00843197,15.9194,
25,1.45988,20.0961,
25,0.0325947,21.5284,
27,1.45844,13.685,
27,0.105722,14.3735,
28,1.46083,44.7877,
29,1.46083,19.907,
29,0.00153634,19.907,
29,0.00153634,19.907,
31,1.46083,51.7967,
31,0.151289,52.8308,
33,1.46083,46.1207,
34,1.46071,22.3151,
34,0.0135123,22.5096,
35,1.46083,38.8824,
36,1.4581,11.7559,
37,1.46003,17.3327,
38,1.46083,51.494,
39,1.46026,27.9423,
41,1.46056,6.92161,
42,1.45965,30.4686,
43,1.46083,63.2299,
44,1.45985,45.2721,
46,1.46083,13.9103,
48,1.45971,6.36564,
49,1.45879,8.05549,
50,1.46054,14.8102,
52,1.46024,6.17166,
53,1.46083,11.2633,
55,1.46083,7.41929,
56,1.45929,10.4359,
60,1.46083,8.80825,
60,0.00163262,8.80825,
60,0.00163262,8.80825,
61,1.46083,6.52444,
61,0.00292817,7.10619,
62,1.46083,26.1947,
62,0.6599,26.1947,
63,1.45974,21.907,
64,1.46083,28.8615,
64,0.00139245,28.8615,
64,0.00139245,28.8615,
65,1.46083,12.1055,
68,1.45813,15.9177,
72,1.46083,6.84554,
72,0.0378554,7.99406,
72,0.00687307,7.99579,
73,1.46083,9.50853,
73,0.36261,9.582,
74,1.46055,26.1787,
76,1.45943,54.3712,
77,1.45988,19.2315,
78,1.46083,5.93192,
81,1.45935,10.3532,
82,1.46083,13.0415,
82,0.0149608,13.2905,
83,1.45762,9.03301,
86,1.46083,12.1786,
87,1.46083,51.5385,
88,1.45838,38.138,
88,0.0230487,38.2091,
91,1.45996,7.96937,
91,0.00677193,8.01806,
91,0.00293051,8.01833,
91,0.0744287,8.00908,
95,1.45779,9.01169,
95,0.0524055,9.21718,
96,1.45858,6.27151,
98,1.45917,35.3177,
99,1.46068,27.0014,
100,1.46083,25.6644,
100,0.00136476,25.6644,
100,0.00136476,25.6644,
100,0.00530962,26.4377,
105,1.46083,20.1613,
105,0.0339415,20.2929,
108,1.45991,52.8207,
108,0.0230192,52.8304,
113,1.46078,11.3776,
123,1.46083,18.76,
124,1.46083,18.0965,
124,0.00643123,18.11,
124,0.00292817,18.1101,
127,1.45878,13.9407,
127,0.00567531,14.2398,
129,1.45813,5.28858,
130,1.46051,31.3076,
131,1.46083,13.0715,
131,0.0016975,13.0715,
131,0.0016975,13.0715,
131,0.0289394,15.1921,
132,1.46083,49.5758,
133,1.4603,14.4654,
134,1.46083,33.3507,
137,1.46083,31.4958,
139,1.45929,8.61305,
141,1.45813,30.7331,
141,0.00293051,33.0049,
145,1.46083,90.5122,
148,1.46083,37.6809,
149,1.46083,5.91477,
149,0.00132917,5.91477,
149,0.00132917,5.91477,
149,0.0971648,5.97134,
150,1.46078,17.1,
151,1.46083,21.3391,
151,0.00582562,22.7965,
154,1.46083,11.308,
156,1.46083,15.7972,
157,1.46083,10.0397,
157,0.00193995,10.0397,
157,0.00193995,10.0397,
158,1.46024,32.4591,
159,1.45929,30.1242,
160,1.45798,50.1905,
161,1.46083,59.1847,
162,1.45979,20.9789,
164,1.46083,13.3106,
165,1.46083,78.5025,
166,1.45779,70.5502,
168,1.45982,25.3437,
169,1.46083,10.7336,
169,0.00153554,10.7336,
169,0.00153554,10.7336,
170,1.46083,24.1354,
170,0.00107252,24.1354,
170,0.00107252,24.1354,
171,1.46083,6.78968,
171,0.00119336,6.78968,
171,0.00119336,6.78968,
172,1.46037,32.6667,
173,1.45966,15.2983,
176,1.46027,6.22475,
177,1.46075,15.3091,
182,1.45901,15.8019,
185,1.4586,9.607,
186,1.4587,59.1487,
187,1.46083,7.56082,
187,0.00293051,9.10208,
187,0.0105847,7.87617,
190,1.46083,27.3276,
190,0.0134453,27.6221,
192,1.46083,29.1614,
194,1.46083,24.6742,
194,0.0011639,24.6742,
194,0.0011639,24.6742,
195,1.4601,20.3735,
197,1.45947,73.838,
201,1.45903,27.868,
203,1.46083,48.9145,
205,1.46083,26.0493,
207,1.46083,47.9561,
208,1.46083,12.5311,
209,1.46083,18.8282,
209,0.6599,18.8282,
209,0.0134377,20.2706,
210,1.45963,12.2151,
210,0.6599,12.2151,
211,1.46083,15.7535,
211,0.0161287,16.1849,
211,0.0274223,16.1876,
212,1.46083,42.8653,
212,0.0010689,42.8653,
212,0.0010689,42.8653,
213,1.46002,40.439,
214,1.46083,13.3153,
218,1.46083,7.73527,
218,0.6599,7.73527,
219,1.46083,10.9499,
220,1.46067,10.7581,
221,1.46083,10.8457,
221,0.00112364,10.8457,
221,0.00112364,10.8457,
222,1.46049,64.3762,
222,0.6599,64.3762,
