EventID,totEnergyDeposit,secondaryGammasDeposit,
0,0,0,
1,1463.45,1463.45,
2,0,0,
3,0,0,
4,0,0,
5,1464.48,1464.48,
6,1460.83,1460.83,
7,0,0,
8,0,0,
9,0,0,
10,587.982,587.982,
11,0,0,
12,1460.43,1460.43,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,1458.28,1458.28,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,1468.35,1459.92,
25,1492.48,1459.88,
26,0,0,
27,1564.16,1458.44,
28,739.944,739.944,
29,3.07268,3.07268,
30,0,0,
31,1612.12,1460.83,
32,0,0,
33,1460.83,1460.83,
34,476.197,462.684,
35,1460.83,1460.83,
36,181.224,181.224,
37,441.991,441.991,
38,1460.83,1460.83,
39,1134.17,1134.17,
40,0,0,
41,0,0,
42,1459.65,1459.65,
43,1460.83,1460.83,
44,1459.85,1459.85,
45,0,0,
46,1460.83,1460.83,
47,0,0,
48,929.621,929.621,
49,1458.79,1458.79,
50,1460.54,1460.54,
51,0,0,
52,1460.24,1460.24,
53,1460.83,1460.83,
54,0,0,
55,1460.83,1460.83,
56,0,0,
57,0,0,
58,0,0,
59,0,0,
60,1464.1,1464.1,
61,1460.83,1457.9,
62,1032.4,1032.4,
63,1459.74,1459.74,
64,301.707,301.707,
65,0,0,
66,0,0,
67,0,0,
68,1341.52,1341.52,
69,0,0,
70,0,0,
71,0,0,
72,1279.47,1234.74,
73,1693.56,1330.95,
74,1460.55,1460.55,
75,0,0,
76,1459.43,1459.43,
77,1459.88,1459.88,
78,1036.21,1036.21,
79,0,0,
80,0,0,
81,1459.35,1459.35,
82,1475.79,1460.83,
83,0,0,
84,0,0,
85,0,0,
86,1460.83,1460.83,
87,1460.83,1460.83,
88,1481.43,1458.38,
89,0,0,
90,0,0,
91,1541.16,1459.96,
92,0,0,
93,0,0,
94,0,0,
95,1288.56,1236.16,
96,0,0,
97,0,0,
98,0,0,
99,1460.68,1460.68,
100,1468.87,1463.56,
101,0,0,
102,0,0,
103,0,0,
104,0,0,
105,1494.77,1460.83,
106,0,0,
107,0,0,
108,1348.49,1325.47,
109,0,0,
110,0,0,
111,0,0,
112,0,0,
113,1460.78,1460.78,
114,0,0,
115,0,0,
116,0,0,
117,0,0,
118,0,0,
119,0,0,
120,0,0,
121,0,0,
122,0,0,
123,1359.14,1359.14,
124,1200.63,1194.2,
125,0,0,
126,0,0,
127,1464.45,1458.78,
128,0,0,
129,312.511,312.511,
130,1460.51,1460.51,
131,1493.16,1464.23,
132,1460.83,1460.83,
133,501.754,501.754,
134,499.697,499.697,
135,0,0,
136,0,0,
137,1460.83,1460.83,
138,0,0,
139,392.887,392.887,
140,0,0,
141,1458.13,1455.2,
142,0,0,
143,0,0,
144,0,0,
145,1460.83,1460.83,
146,0,0,
147,0,0,
148,1460.83,1460.83,
149,1439.11,1341.95,
150,1460.78,1460.78,
151,1466.66,1460.83,
152,0,0,
153,0,0,
154,1460.83,1460.83,
155,0,0,
156,1460.83,1460.83,
157,1464.71,1464.71,
158,1460.24,1460.24,
159,1459.29,1459.29,
160,1457.98,1457.98,
161,0,0,
162,1459.79,1459.79,
163,0,0,
164,793.113,793.113,
165,1460.83,1460.83,
166,1457.79,1457.79,
167,0,0,
168,1459.82,1459.82,
169,1463.9,1463.9,
170,1462.98,1462.98,
171,1463.22,1463.22,
172,1460.37,1460.37,
173,214.135,214.135,
174,0,0,
175,0,0,
176,0,0,
177,1317.83,1317.83,
178,0,0,
179,0,0,
180,0,0,
181,0,0,
182,1459.01,1459.01,
183,0,0,
184,0,0,
185,1458.6,1458.6,
186,1458.7,1458.7,
187,1471.41,1457.9,
188,0,0,
189,0,0,
190,923.426,909.98,
191,0,0,
192,0,0,
193,0,0,
194,580.405,580.405,
195,1460.1,1460.1,
196,0,0,
197,0,0,
198,0,0,
199,0,0,
200,0,0,
201,1459.03,1459.03,
202,0,0,
203,0,0,
204,0,0,
205,711.397,711.397,
206,0,0,
207,1460.83,1460.83,
208,978.97,978.97,
209,2134.17,2120.73,
210,2119.53,2119.53,
211,1504.38,1460.83,
212,1462.97,1462.97,
213,540.831,540.831,
214,1149.31,1149.31,
215,0,0,
216,0,0,
217,0,0,
218,1672.87,1672.87,
219,1460.83,1460.83,
220,1460.67,1460.67,
221,1463.08,1463.08,
222,1460.49,1460.49,
223,0,0,
224,792.501,792.501,
225,232.396,232.396,
226,1460.72,1460.72,
227,0,0,
228,1460.83,1460.83,
229,1460.83,1460.83,
230,0,0,
231,1355.14,1355.14,
232,0,0,
233,0,0,
234,1459.16,1459.16,
235,1460.83,1460.83,
236,923.966,923.966,
237,0,0,
238,0,0,
239,0,0,
240,1143.82,1143.82,
241,1459.14,1459.14,
242,0,0,
243,0,0,
244,1524.37,1460.83,
245,0,0,
246,0,0,
247,1466.84,1456.72,
248,0,0,
249,0,0,
250,0,0,
251,0,0,
252,1463.5,1463.5,
253,0,0,
254,1458.82,1458.82,
255,1457.44,1457.44,
256,0,0,
257,305.192,305.192,
258,119.13,119.13,
259,1463.6,1463.6,
260,678.09,678.09,
261,0,0,
262,1459.45,1459.45,
263,0,0,
264,0,0,
265,1326.07,1326.07,
266,1144.04,1144.04,
267,0,0,
268,1460.83,1460.83,
269,1463.18,1463.18,
270,0,0,
271,0,0,
272,1459.78,1459.78,
273,0,0,
274,0,0,
275,0,0,
276,1463.18,1463.18,
277,0,0,
278,1460.83,1460.83,
279,0,0,
280,0,0,
281,1460.83,1457.9,
282,531.419,531.419,
283,0,0,
284,1635.81,1376.76,
285,0,0,
286,0,0,
287,1375.37,1375.37,
288,0,0,
289,1477.63,1460.55,
290,0,0,
291,0,0,
292,1460.83,1460.83,
293,1476.4,1458.57,
294,1458.75,1458.75,
295,401.735,401.735,
296,2124.07,2121.14,
297,1128.4,1128.4,
298,0,0,
299,1460.83,1460.83,
300,1460.83,1457.9,
301,1460.83,1460.83,
302,1459.09,1459.09,
303,0,0,
304,0,0,
305,0,0,
306,1458.57,1455.64,
307,1460.83,1460.83,
308,1460.83,1460.83,
309,0,0,
310,3.72724,3.72724,
311,2119.19,2119.19,
312,1460.81,1460.81,
313,1846.99,1846.99,
314,1466.47,1460.72,
315,1460.24,1460.24,
316,0,0,
317,1464.5,1464.5,
318,0,0,
319,1459.45,1459.45,
320,0,0,
321,1460.83,1460.83,
322,1043.19,1043.19,
323,0,0,
324,2222.11,1457.9,
325,0,0,
326,1457.69,1457.69,
327,0,0,
328,1460.83,1460.83,
329,0,0,
330,0,0,
331,1460.83,1457.9,
332,0,0,
333,1213.47,1213.47,
334,1459.9,1459.9,
335,1460.83,1460.83,
336,0,0,
337,2120.26,2120.26,
338,1457.85,1457.85,
339,424.669,424.669,
340,0,0,
341,931.541,931.541,
342,1460.39,1460.39,
343,3.63747,3.63747,
344,1459.43,1459.43,
345,0,0,
346,1460.17,1460.17,
347,984.946,984.946,
348,0,0,
349,0,0,
350,0,0,
351,0,0,
352,1459.68,1459.68,
353,1503.62,1460.83,
354,2125.73,2119.73,
355,0,0,
356,1463.28,1463.28,
357,0,0,
358,0,0,
359,0,0,
360,0,0,
361,0,0,
362,0,0,
363,1595.95,1463.1,
364,1459.76,1459.76,
365,1460.83,1460.83,
366,0,0,
367,1459.76,1459.76,
368,0,0,
369,0,0,
370,0,0,
371,0,0,
372,1484.6,1460.83,
373,0,0,
374,709.12,709.12,
375,0,0,
376,0,0,
377,0,0,
378,1459.04,1459.04,
379,1459.6,1456.67,
380,2480.35,1458.35,
381,1471.55,1458.25,
382,1460.7,1460.7,
383,1460.83,1460.83,
384,0,0,
385,0,0,
386,0,0,
387,0,0,
388,1530.21,1460.83,
389,0,0,
